,yield,radiation,rain,avg_max_temp,avg_min_temp,class
5,-1.040625,357035.3,2843.61,16.84486111,6.160416667,0
6,-1.38125,369594.13,2918.5,17.26800676,6.503918919,0
11,-1.707375,168840.36,1398.66,19.08972973,8.119285714,0
15,-0.02,282434.47,2270.71,17.14828214,6.264220705,0
17,-1.158882353,89702.5,683.51,15.45751613,4.762806452,0
23,-0.422941176,333422.21,3177.75,17.15107817,6.632578616,0
0,-0.43971836213142623,307007.2024940377,1797.1451362776747,16.384040678766908,5.778429784143929,0
1,-0.5008053540645292,273060.7227772175,1898.9101692357895,17.658690091298116,7.155550156075621,0
2,-0.37106353176278106,376541.77779900294,1647.6078785362613,17.434785343875074,6.337586274236803,0
3,-1.1444466248451466,189677.57203069725,3195.2841596564376,16.818324284411776,6.086836811158463,0
4,-0.3992641295814394,342101.9425457458,1403.326678265576,17.882265059357188,6.719942189147476,0
5,-0.6744300635274539,190865.3925741893,3171.745988005877,17.240058361797413,6.326178816643193,0
6,-1.475684039252136,208770.06575758714,1705.941027600346,18.046441169616863,6.534546988095441,0
7,-1.3659622807806442,323589.84013538226,3022.1131298244245,16.30297599764746,6.937307039286778,0
2,0.1075,262676.7,1825.25,17.12543373,6.416518072,1
3,0.355,276643.96,2066.65,17.58339839,6.847841561,1
8,-0.562625,131312.6,992.54,17.07591346,6.109206731,1
10,1.129875,157491.95,1361.64,18.54092213,7.673668033,1
16,-0.905058824,78064.65,620.61,14.09046429,3.555392857,1
18,-0.839588235,102155.66,712.25,16.84994152,6.067836257,1
19,0.673,115289.61,836.82,18.14039474,7.315078947,1
21,0.766470588,310590.38,2968.34,16.46616046,5.923658071,1
22,0.004705882,323710.46,3057.78,16.86260628,6.306201479,1
0,0.655952952240827,113928.57145240372,1980.0606222103904,15.817604973359693,5.4454099901157855,1
1,0.721657079721014,151696.11465684685,1866.0348536300785,16.154750427620108,5.6748793856119875,1
2,-0.25131425618643727,183407.99304881308,1348.4584466325614,16.182147922280148,6.476712102944381,1
3,0.47998680245313907,221264.9767670861,1172.2731777046415,16.620272653006566,7.168304041225618,1
4,0.5206122937736355,102444.28103442719,1744.9613459376728,16.353160226862983,5.7599981380885135,1
5,-0.29897488629391217,112073.55519945288,2434.1178499207317,16.578974165896682,6.7371220570307555,1
6,0.4156218303292396,211464.39500464842,1086.2072378511912,17.7376017835562,7.293396348425187,1
7,-0.33219652829814256,175587.0347590654,1022.4050906774866,17.299454856202754,5.775656498902232,1
8,-0.2788752138362723,255589.2785799784,2099.9022175839114,16.767797502886218,5.691855269871955,1
9,-0.6141182814130578,235453.52251631918,1161.9329712897634,17.270427718522402,6.231153550325253,1
10,0.24312617163211037,161255.3079064896,1340.9179928959404,17.661890990044927,6.7559267583859794,1
0,0.32375,241551.12,1676.08,16.18895349,5.542067183,2
1,-0.27625,252901.02,1727.29,16.6235741,5.943262765,2
4,-0.63125,345964.18,2766.66,16.55592527,5.925035587,2
7,0.771875,386572.3,3127.99,17.70369318,6.891404221,2
9,1.043875,146256.93,1227.44,18.01838428,7.102052402,2
12,0.5,243203.55,2046.21,15.79166237,4.978840206,2
13,0.156,255157.1,2164.33,16.27543881,5.444029666,2
14,0.316,269341.33,2198.82,16.69194543,5.830510083,2
20,0.684705882,297866.57,2811.76,16.04932806,5.510158103,2
0,0.5680080733316983,286842.5936484161,2190.981382851296,16.375366784176524,6.568860606811952,2
1,0.239647172485897,266161.2510151176,2515.7837650426522,17.015381941764023,6.2657668057888385,2
2,0.45528875480917314,316024.4879939978,2094.2536250899725,16.04896692036004,6.419218832827058,2
3,0.2834629416044535,242182.0770933701,2530.49943600592,16.640807280509414,5.267077845680931,2
4,0.3391971960438737,220759.78603190224,2625.96649738376,16.171589137569562,5.927729395484558,2
5,-0.13468275137180993,297867.9550410506,1899.0820053092707,16.988865672179397,5.658933748760894,2
6,0.14579932148121705,242070.7559367037,2565.9857880206064,16.775729796451756,6.461036160013824,2
7,0.4665823751449297,273262.51962820644,2174.134328424791,16.595096131900576,5.349276389526124,2
8,0.12979389989958745,252000.79788525985,2257.4746906409387,17.17796533323973,6.091702890769779,2
9,0.15563833661651366,318087.8652063753,2064.0269300646514,17.31577707475909,6.536252368543751,2
10,0.4694390072583348,303502.47053204954,2094.378580470409,17.062773417567982,5.558859182989869,2
