,yield,radiation,rain,avg_max_temp,avg_min_temp,class
5,-1.040625,357035.3,2843.61,16.84486111,6.160416667,0
6,-1.38125,369594.13,2918.5,17.26800676,6.503918919,0
11,-1.707375,168840.36,1398.66,19.08972973,8.119285714,0
15,-0.02,282434.47,2270.71,17.14828214,6.264220705,0
17,-1.158882353,89702.5,683.51,15.45751613,4.762806452,0
23,-0.422941176,333422.21,3177.75,17.15107817,6.632578616,0
0,-1.2913502312319227,415840.748463255,2182.0332709299587,17.82714669081453,6.257553135521214,0
1,-0.25910291485854464,370799.6516169813,2964.307523778626,16.36535618276382,7.6051298586143545,0
2,-0.7851834270871825,251976.13187166172,3396.5496455986927,17.600328034159297,5.448731161782441,0
3,-0.32575379377603264,251028.21055612472,3026.2158929937136,17.79983563147936,6.9974128480158555,0
4,-0.9127194609547327,234797.72496001265,3628.603038299631,17.984654685997608,5.985301799248716,0
5,-0.4232148471610564,335399.151348387,1109.1150267032106,15.62457617270468,6.378964773096456,0
6,-0.3815694476242457,107944.00192332911,3016.350296921681,17.322203653610504,6.670751665252001,0
7,-1.0045025928115967,104376.99809088463,2510.543080437641,18.64020740448201,6.595026078427461,0
2,0.1075,262676.7,1825.25,17.12543373,6.416518072,1
3,0.355,276643.96,2066.65,17.58339839,6.847841561,1
8,-0.562625,131312.6,992.54,17.07591346,6.109206731,1
10,1.129875,157491.95,1361.64,18.54092213,7.673668033,1
16,-0.905058824,78064.65,620.61,14.09046429,3.555392857,1
18,-0.839588235,102155.66,712.25,16.84994152,6.067836257,1
19,0.673,115289.61,836.82,18.14039474,7.315078947,1
21,0.766470588,310590.38,2968.34,16.46616046,5.923658071,1
22,0.004705882,323710.46,3057.78,16.86260628,6.306201479,1
0,0.02900832516211671,288203.11494222895,952.1433964199006,15.801231818099204,7.380380281106355,1
1,-0.23211635368629413,303166.3444638498,1191.1791321974897,16.70716919366435,4.721682856183161,1
2,-0.7913747911650443,263558.50242786284,1206.2343831234627,15.928639069835306,6.336019298175914,1
3,-0.6830023596176582,203898.55797932713,452.4045436727834,16.673992971828827,4.6735419856468,1
4,1.0353848858449612,248706.86844468417,3008.7363142965114,16.474566886116243,6.814154022921695,1
5,0.16771183075323548,258558.05945055673,1004.8465354006577,15.195088784010657,6.290065890309074,1
6,-0.778090377257257,236422.34488175064,1001.9416041686852,17.658546534618328,6.846188289069655,1
7,0.7028075192540357,184977.84820469163,2092.779845518503,16.19775426452963,4.530521799482719,1
8,0.8565215835380342,312075.7098097584,533.0322898202096,15.517095868708216,6.827051072437754,1
9,-0.7562466221686672,270833.84786729317,2658.080409767279,18.717025217258914,6.434585359654,1
10,0.8454770858299341,229415.62114994272,791.310461269915,15.996529524668697,6.235445002304816,1
0,0.32375,241551.12,1676.08,16.18895349,5.542067183,2
1,-0.27625,252901.02,1727.29,16.6235741,5.943262765,2
4,-0.63125,345964.18,2766.66,16.55592527,5.925035587,2
7,0.771875,386572.3,3127.99,17.70369318,6.891404221,2
9,1.043875,146256.93,1227.44,18.01838428,7.102052402,2
12,0.5,243203.55,2046.21,15.79166237,4.978840206,2
13,0.156,255157.1,2164.33,16.27543881,5.444029666,2
14,0.316,269341.33,2198.82,16.69194543,5.830510083,2
20,0.684705882,297866.57,2811.76,16.04932806,5.510158103,2
0,0.47422773196306695,228871.11245913288,1396.462518579563,16.070155179066248,6.465984807030889,2
1,0.624695446251333,204571.43879859013,2951.747513946613,16.892483856282702,5.8629026217587805,2
2,0.6142805870382684,305749.4413311507,1719.4678806216825,17.07576014221115,5.925509665594587,2
3,-0.28314677914540015,209475.0387750987,1468.2840675999726,16.576594734096226,4.909185371956219,2
4,0.016840282141258323,268450.42603840225,2814.0888401640645,17.658000194993903,6.101087983919901,2
5,0.7518804638799288,243826.70825681736,2359.413084073739,15.895324188161126,5.581166240338885,2
6,0.33756558767902506,204537.86143069674,1414.5990014494243,15.710280752152332,5.730852700455881,2
7,0.415012131046631,204252.66449349443,2237.989343113016,15.904202620208844,5.132158114225198,2
8,-0.1626040780306845,168402.69131608738,1791.7104275763045,16.980005478114084,5.272681972977958,2
9,0.18780498176816424,226120.56170837657,1973.9798441155228,17.27430747972132,6.67873083443177,2
10,-0.1873602707508102,195145.95753578213,1306.9902501905112,17.35795512525139,6.785022068718222,2
