,yield,radiation,rain,avg_max_temp,avg_min_temp,class
14,-0.859295353,377648.1,3062.92,15.45815702,4.480785124,0
19,-0.335673913,181353.48,1624.62,17.6748913,6.082028986,0
27,-0.111,386512.13,3332.96,15.49115918,4.418873469,0
51,-0.896388889,157910.79,1401.1,18.28739394,7.019575758,0
54,-0.2725,257054.63,2282.72,16.36927885,5.319663462,0
55,0.262651515,278684.13,2555.83,16.84932522,5.821526549,0
59,-0.253636364,388541.9,3607.51,15.83861263,5.134458301,0
67,-0.402666667,363349.35,3281.97,15.55447477,5.003416046,0
71,-0.054833333,364286.18,3129.62,15.83706126,5.010331126,0
80,-1.0075,399016.8,3823.23,22.88389447,11.3489196,0
83,0.179464286,171133.17,1770.36,24.03885602,12.7730572,0
86,0.072142857,264710.44,3124.18,22.27576733,11.16084158,0
95,-0.663636364,410650.95,4332.98,23.21320709,11.69470588,0
98,-0.143766234,145411.48,1549.79,21.93050575,10.81455172,0
101,-0.042142857,267748.74,2973.78,21.3504908,10.4723681,0
103,-0.44375,360076.04,4349.46,21.09026009,10.19486996,0
104,-0.16375,382341.87,4644.4,21.67393039,10.81055178,0
113,-0.5025,383400.96,5163.75,22.73228452,11.82460251,0
116,-0.616388889,254779.96,2079.46,12.25186074,1.396890756,0
122,-0.36125,243608.32,1841.19,12.9367201,1.929839704,0
134,-0.538333333,130630.59,1191.37,12.10302961,1.643667426,0
137,0.02,233918.12,2189.67,10.1505148,-0.557413127,0
140,0.021666666,340586.58,3171.32,10.00757629,-0.708448126,0
143,-0.256666666,121270.9,1251.54,13.26827751,2.989473684,0
146,0.0275,226211.47,2485.43,12.40110692,2.238943396,0
164,-1.040625,357035.3,2843.61,16.84486111,6.160416667,0
165,-1.38125,369594.13,2918.5,17.26800676,6.503918919,0
170,-1.707375,168840.36,1398.66,19.08972973,8.119285714,0
174,-0.02,282434.47,2270.71,17.14828214,6.264220705,0
176,-1.158882353,89702.5,683.51,15.45751613,4.762806452,0
182,-0.422941176,333422.21,3177.75,17.15107817,6.632578616,0
185,-0.727272727,259801.52,2627.47,17.95650964,6.807773019,0
186,0.073636364,273619.11,2756.71,18.14455594,6.818754325,0
198,-0.506,279780.39,2534.37,16.39226697,5.179332566,0
202,0.036,398400.57,3469.17,16.91188845,5.5192749,0
214,0.109833333,285825.46,2634.73,17.79072497,6.606260069,0
217,-0.553,383493.75,3817.77,16.93473552,5.859210747,0
218,-0.142,400987.9,3982.19,17.34995157,6.248983051,0
222,-0.286923077,120950.35,1272.58,18.39823684,6.756973684,0
226,0.373076923,236439.38,2431.7,17.13734312,5.891001335,0
229,-0.455769231,339554.69,3603.04,16.04993482,4.796666667,0
230,-0.363076923,354549.19,3726.33,16.44598743,5.185969479,0
234,0.381538462,158054.33,1723.07,17.64121593,6.775786164,0
238,-0.056923077,382323.67,4290.11,17.58241922,6.542079536,0
246,-0.301428571,240824.79,2940.14,18.03110054,6.246358696,0
258,-0.19,587096.62,6998.66,18.7636568,7.094407895,0
259,-0.865714286,669239.22,8065.33,18.31966651,6.64610767,0
261,-0.227142857,691869.47,8399.32,18.636625,6.974375,0
262,-0.137857143,704673.2,8573.85,18.8006062,7.148669098,0
0,0.09252085756108674,224033.7257209312,2064.0076642875647,15.054936140716684,8.964506199458494,0
1,-0.6440008506906438,237057.146752759,4900.877398754611,15.348553906507052,6.355829272054584,0
2,-0.788896624544493,206282.91659189767,4931.696145204041,20.608059097978185,3.0648876476463873,0
