,yield,radiation,rain,avg_max_temp,avg_min_temp,class
5,-1.040625,357035.3,2843.61,16.84486111,6.160416667,0
6,-1.38125,369594.13,2918.5,17.26800676,6.503918919,0
11,-1.707375,168840.36,1398.66,19.08972973,8.119285714,0
15,-0.02,282434.47,2270.71,17.14828214,6.264220705,0
17,-1.158882353,89702.5,683.51,15.45751613,4.762806452,0
23,-0.422941176,333422.21,3177.75,17.15107817,6.632578616,0
26,-0.727272727,259801.52,2627.47,17.95650964,6.807773019,0
27,0.073636364,273619.11,2756.71,18.14455594,6.818754325,0
39,-0.506,279780.39,2534.37,16.39226697,5.179332566,0
43,0.036,398400.57,3469.17,16.91188845,5.5192749,0
55,0.109833333,285825.46,2634.73,17.79072497,6.606260069,0
58,-0.553,383493.75,3817.77,16.93473552,5.859210747,0
59,-0.142,400987.9,3982.19,17.34995157,6.248983051,0
63,-0.286923077,120950.35,1272.58,18.39823684,6.756973684,0
67,0.373076923,236439.38,2431.7,17.13734312,5.891001335,0
70,-0.455769231,339554.69,3603.04,16.04993482,4.796666667,0
71,-0.363076923,354549.19,3726.33,16.44598743,5.185969479,0
75,0.381538462,158054.33,1723.07,17.64121593,6.775786164,0
79,-0.056923077,382323.67,4290.11,17.58241922,6.542079536,0
86,-0.272903226,378364.79,2362.68,16.35102435,3.738790932,0
87,-0.121612903,390791.26,2451.11,16.68990196,4.072745098,0
91,0.343006452,170701.59,1159.48,16.96141748,4.738718447,0
95,-0.3172,391460.5,2439.24,15.9217199,3.13047502,0
97,0.278553846,139549.54,1029.27,15.97182243,3.117523364,0
99,0.248,170604.73,1286.11,17.73027397,4.871311155,0
101,-0.2724,248953.26,1770.14,16.08387548,3.644523507,0
103,-0.285333333,277368.19,1979.82,17.21226852,4.764537037,0
107,-0.154666667,401118.77,2845.63,16.19904952,3.72634984,0
109,0.373416667,249300.07,1715.49,14.53441741,2.067003841,0
113,0.29375,364625.56,2683.19,14.1400954,2.101702945,0
115,-0.32125,393383.08,3047.82,15.01457792,2.932297619,0
118,-0.027460318,160190.33,806.56,16.23828221,3.714764826,0
121,0.176296296,272117.2,1539.15,14.09200935,2.00963785,0
122,-1.107703704,125591.0,620.06,13.77364322,1.750904523,0
123,-1.035407408,139188.29,680.62,14.99810624,2.925404157,0
124,-0.363407407,154298.05,763.47,16.0979704,3.972684989,0
133,-0.308333334,259392.68,1528.07,14.61579641,2.819185629,0
137,-1.390833333,378891.28,2326.07,14.17441993,2.409893791,0
138,-0.104166667,243110.45,1414.73,12.62358151,0.658677792,0
146,-0.444,259521.12,1754.36,12.732657,1.210519324,0
149,0.064269006,164310.96,706.54,17.35893443,3.235594262,0
165,-0.301428571,240824.79,2940.14,18.03110054,6.246358696,0
177,-0.19,587096.62,6998.66,18.7636568,7.094407895,0
178,-0.865714286,669239.22,8065.33,18.31966651,6.64610767,0
