,index,yield,radiation,rain,avg_min_temp,avg_max_temp,class
0,757712695,-0.013738602,325338.63586783333,821.62,1.489240169,14.53224931,2
1,774510748,0.309843254,221519.1608477168,705.86,2.019809018,15.09912233,2
2,403604820,-0.007183692,372123.0609867911,1641.69,1.081305009,13.78160994,1
3,282377106,-0.049967416,271992.53988070885,1750.24,2.000749586,13.50253896,2
4,163410770,0.069513684,330291.01567655976,1194.04,3.10607254,14.96357369,1
5,663831155,0.36719231,382738.95,1913.32,2.425072135,16.11434063,2
6,13170241,0.098427433,342789.37043603335,998.3,2.154946696,15.46616037,1
7,270133960,0.143880431,164346.68266087124,1281.74,2.232977365,15.69742319,1
8,36843079,0.358126078,382738.95,1393.38,1.264831695,14.00764637,2
9,283920064,0.189359608,240370.3425715435,915.41,1.92143472,15.88546327,1
10,361731510,0.166537347,382738.95,1128.44,1.806205327,13.92854464,1
11,939509347,0.474653288,233678.65880033822,1201.47,2.358698211,15.15687256,2
12,681289224,-0.08801827,337249.2711508083,1861.12,1.966309049,14.93011077,1
13,404045367,-0.051145442,147650.0610383083,586.86,2.005310279,15.39017316,1
14,684531650,0.190305145,345125.87032503966,1646.82,0.513076243,14.89013024,2
15,380472947,0.090280438,178943.74987540077,1264.72,2.439047731,14.43695535,2
16,265138753,-0.03273988,320905.27420517826,1422.35,0.399324645,14.67690065,2
17,421303816,0.100629862,207393.63638237762,803.18,2.609064448,17.16402919,1
18,59581200,-0.024940242,167554.40772059315,1581.7,2.027427855,14.53076562,1
19,321885031,0.00299829,171676.99133033538,1049.62,2.305045282,15.82919275,1
20,698827625,0.239653824,336664.3042822335,943.77,2.069517988,15.30348498,1
21,506330463,0.051103065,126722.9,1277.92,1.37939006,14.97507382,2
22,755250980,0.511718889,382738.95,1482.45,1.527874765,15.24784936,1
23,409430255,0.235455714,216915.48776339745,1331.84,2.486580863,14.83469603,1
24,47276678,-0.215036727,368045.82024456724,1518.11,1.357091411,14.69331565,2
25,863415985,0.072370975,280304.25567707897,1532.95,3.128948876,17.35893443,1
26,638562125,0.297061476,382738.95,1398.48,2.212757138,15.3361651,1
27,955625637,0.33947301,382738.95,1703.45,2.472307229,15.88280688,2
28,220752314,0.115669133,313163.51897785865,1678.61,3.201180498,15.98667237,1
29,276406952,-0.111761271,234595.4446767498,1142.03,2.072952343,16.38123543,1
30,392584493,0.43941237,382738.95,1202.85,1.282628415,14.47361689,1
31,815951412,-0.059519521,195603.46479282778,1080.87,2.43088765,14.18627281,2
32,421642863,-0.104757218,261398.02929253143,1164.29,2.45348826,15.3117658,1
33,543904230,0.101388776,181358.76599052397,1463.29,2.784329552,17.00903002,1
34,774334106,0.098394047,382738.95,909.0,1.781941793,14.28000656,1
35,586998332,0.306479063,271415.80882828485,1215.07,1.697885111,16.00803662,1
36,729255479,0.112783018,152927.85730942947,586.86,3.145976449,15.2814963,1
37,407694242,-0.034192567,126722.9,1805.25,2.774455505,16.58697311,1
38,512239553,-0.058036397,225270.27710905398,1153.29,1.670807056,15.97269787,1
39,374140957,0.038461065,138596.85584318274,586.86,2.225496461,16.20085832,1
40,229849040,0.024141179,126722.9,586.86,2.526936401,15.0511287,1
41,599784269,-0.000238834,368863.48808571533,1647.0,1.718598312,14.91919803,2
42,13142910,0.197378301,232734.06716568203,2229.2,0.754164832,14.90134257,2
43,674347314,0.291573396,299944.117301765,1193.39,1.800734033,16.40609776,1
44,124693481,0.254185817,195322.69117167237,1769.81,1.687899293,14.9753655,1
45,386256508,0.221527897,334781.380962251,1521.81,1.500589137,15.31319327,1
46,778819801,0.033494809,381520.10613330215,2057.12,1.996538034,16.24089622,1
47,468125012,0.019098636,340377.0484310988,809.24,3.171624502,16.97733996,1
48,863017745,0.325097359,382738.95,1334.06,1.777009969,14.91391328,1
49,844580040,0.159579715,126722.9,1041.95,3.153137703,15.72795314,1
50,190710259,0.187290587,353294.47335200425,1224.76,1.12826176,15.10829131,2
51,752134463,-0.056202008,333123.3124031589,1248.33,1.400656954,14.80146728,1
52,847041011,0.108824954,356660.26891995006,990.41,1.76279679,14.5109485,2
53,386505499,-0.061894281,193660.67339986924,796.23,2.544324249,15.76932211,1
54,776352537,0.289416543,203069.37388973185,819.35,2.221536755,15.71135552,1
55,45068375,0.174726408,163796.16530237705,1277.46,2.499835379,16.99125936,1
56,202499760,0.281775312,288070.5477438299,1617.18,0.972089555,15.32292897,2
57,292975620,0.086268832,197758.2415506285,1457.28,2.450491273,14.92065434,2
58,270114003,0.28164227,180174.14747645173,1130.55,1.94897768,15.00650027,1
59,544986666,0.17692509,126722.9,952.14,1.894177657,15.82258291,1
60,171020981,0.198700641,333236.2357314781,1423.67,1.285134755,14.32967014,2
61,980136973,0.405528518,225510.35564658043,1026.09,2.242397597,13.69861385,1
62,566588525,0.255033263,348467.365506265,1671.28,1.896681111,15.54953511,1
63,279222814,-0.028424078,363630.35648692446,1566.86,1.826919196,15.76279347,1
64,362127827,0.453403705,212466.04676752348,1672.95,2.496259562,14.49709657,2
65,392599058,0.14847452,217095.95974793698,2039.96,2.665718972,16.87277777,1
66,842917734,0.146140683,357379.5883902354,1516.03,1.455908554,15.05284417,1
67,504947459,0.047741977,358673.5071130797,1592.72,1.079960184,15.7139652,1
68,57714672,0.216624511,346694.4886422722,1731.32,1.842696712,15.11247784,1
69,979773253,0.298229737,352074.84738341696,2129.58,1.181222094,15.00240346,1
70,805727942,0.292376057,159023.521179935,1206.11,1.533549459,14.53673854,2
71,664595480,0.07687347,150635.03114841093,1401.96,1.845593386,15.56069829,1
72,553055440,0.284040537,306010.0850881281,1661.89,1.810128074,15.0994984,1
73,480984354,0.267406748,196836.0781585935,727.84,3.062220715,15.47245699,1
74,15085978,0.338406515,190470.31566370965,1448.34,2.736506203,14.92972828,1
75,251076572,0.01399602,360741.59124104475,1522.37,1.333163928,15.72885173,1
76,833331216,-0.159566699,382738.95,949.14,2.318833865,14.02610863,1
77,838658203,0.1257833,299945.1422276824,1433.13,1.881102719,14.80972227,2
78,78719397,0.093646034,354495.79855173896,1743.78,0.717840795,14.26892754,2
79,607169328,0.212286982,228130.20151873122,912.35,2.229839349,16.21160406,1
80,487795944,-0.194328893,136354.39857175923,586.86,2.329675776,16.27739523,1
81,836308430,0.185015581,240214.11709742917,832.37,1.159187114,15.54052608,2
82,599704626,-0.011430467,382738.95,1297.22,1.780351094,15.4326325,1
83,85150871,-0.097269574,153256.38529936963,1481.2,1.595128761,14.65623229,2
84,860262886,0.61125643,370350.16588734696,1889.59,1.744293188,15.78904687,1
85,784591819,0.142737753,129786.21066966339,1115.53,1.086269487,15.03389459,2
86,203848367,0.133018985,342378.26850927196,1348.35,1.193249049,13.75816377,2
87,503830502,-0.021988034,200670.23885006318,984.1,1.598846969,15.06714824,1
88,76687580,-0.158318077,155435.24888120568,919.0,2.068776161,15.65661024,1
89,61151292,-0.073155996,149098.23679216285,1063.51,2.368625058,14.94005766,1
90,496173952,0.201578753,180306.05432127643,1182.65,1.435516852,15.52230843,2
91,886143611,0.251627683,137781.7474976257,639.41,2.276116732,15.22100044,1
92,424077748,0.110512273,126722.9,586.86,2.032899204,17.24165045,1
93,254980557,0.018013886,337621.1025707567,1054.42,1.122236166,13.97730267,1
94,384382150,0.145559214,359336.2472582706,1453.38,1.728531045,15.92116179,1
95,292091980,0.354182163,126722.9,1275.64,1.821544669,15.61813529,1
96,91464109,0.156287387,323824.6392896082,2095.43,1.169981788,13.9950088,2
97,797281571,0.05869307,169642.91515889147,1719.15,3.099119772,16.5279344,1
98,93056501,0.332286183,162791.7123937885,586.86,2.041759153,17.35893443,1
99,661036843,0.201100674,171998.3015721973,798.41,2.793182323,15.07083488,1
100,204888190,0.375962092,210297.37962689772,1261.08,2.311677277,14.94322298,1
101,553333867,0.147230059,151690.7701818151,879.16,2.639686562,15.03464186,1
102,57613898,0.357788961,126722.9,586.86,2.065444897,15.78915258,1
103,389504067,0.146116898,382738.95,1203.59,2.003508012,14.06167715,1
104,508275689,0.34716897,361933.4501025677,2402.95,2.897794157,14.73320705,1
105,401744520,0.396557273,366001.19148322265,1685.97,0.774210375,14.70138001,1
106,17208178,-0.134715594,172655.2949248538,1665.27,2.5040366,15.77726586,1
107,63829792,0.258261694,382738.95,1386.8,1.300632808,14.00911468,1
108,881347363,0.039143761,375235.13264581887,637.0,1.728171089,16.24716461,1
109,227165957,0.340081475,160206.0137109113,975.19,1.610874212,14.46872957,2
110,219469153,0.625910284,173118.33958251137,1740.73,3.256808511,15.95312819,1
111,460808963,0.34146413,382738.95,1166.4,2.084023582,14.44753293,1
112,376153772,-0.011013385,326866.1651766384,1680.71,1.196829874,13.34909479,2
113,826306200,0.193690472,342555.9131216001,1221.8,1.621667702,17.16843032,1
114,225778290,0.11251487,231559.3184805212,1490.6,2.247340738,14.82733507,1
115,249550155,0.19202025,195726.8299079365,586.86,2.403452288,16.37679927,1
116,236269166,0.248573981,282760.90067176137,935.97,1.564696623,15.84850608,1
117,925195257,0.509796572,126722.9,1608.74,1.636428605,16.88816862,1
118,899718195,0.493875567,295689.9072311061,1029.68,2.197486202,15.20078311,1
119,986098735,-0.198754008,157991.21683784027,652.84,2.692928216,16.4540612,1
