,yield,radiation,rain,avg_max_temp,avg_min_temp,class
5,-1.040625,357035.3,2843.61,16.84486111,6.160416667,0
6,-1.38125,369594.13,2918.5,17.26800676,6.503918919,0
11,-1.707375,168840.36,1398.66,19.08972973,8.119285714,0
15,-0.02,282434.47,2270.71,17.14828214,6.264220705,0
17,-1.158882353,89702.5,683.51,15.45751613,4.762806452,0
0,-1.1152265079266814,310713.0760634509,2216.6654668725323,16.64840302440061,6.583973499286548,0
1,-1.1800790138472195,218261.62655613886,1605.0918259847906,16.75235322430718,6.782037759525315,0
2,-0.9507320540482758,214433.37871222442,1549.6908766681154,17.29299630078958,6.292998992180463,0
3,-0.8004491054801202,251436.6418418024,2015.1750332785568,16.68521210642146,6.323139097639638,0
4,-0.9276182424512677,208743.38166292926,2145.8555208499565,16.821803100263804,6.106681858781208,0
5,-0.9338676297791908,233588.958270433,2226.9480110640234,17.279198642891174,6.825753503868319,0
6,-0.8844978332333946,224314.28090704296,1680.4032436700945,17.150274103181175,6.48717657560289,0
7,-1.2239386177862461,289958.44047103607,2003.840105557777,17.678762235406733,6.752428507779518,0
2,0.1075,262676.7,1825.25,17.12543373,6.416518072,1
3,0.355,276643.96,2066.65,17.58339839,6.847841561,1
8,-0.562625,131312.6,992.54,17.07591346,6.109206731,1
10,1.129875,157491.95,1361.64,18.54092213,7.673668033,1
16,-0.905058824,78064.65,620.61,14.09046429,3.555392857,1
18,-0.839588235,102155.66,712.25,16.84994152,6.067836257,1
19,0.673,115289.61,836.82,18.14039474,7.315078947,1
0,-0.22424589313720636,144220.85573710548,1119.3043621645538,16.57043407077381,5.706470441104497,1
1,-0.3688002135049976,164906.21248556057,1212.5426975623654,17.585155879747468,5.940083035918951,1
2,-0.33475690870983354,192464.4914959685,1104.7566870517694,17.039821908911215,6.183309365543427,1
3,-0.13782402650880077,142147.3019177629,1087.1918299061035,17.00322518744646,6.376632746755925,1
4,-0.07003316614311222,162993.6293465145,1058.1224819097663,17.757979171003164,6.854289413487363,1
5,-0.24210191527881034,173305.81462673008,1450.912872493624,17.751033303876746,6.52973687440095,1
6,0.25382770168157553,175598.53227291445,1130.108605365434,17.445028294483976,6.473340200364594,1
7,0.06984971997575073,176780.59492338472,1022.1360460905727,17.586853348488706,6.177029699027727,1
8,0.26582094864379835,198886.7629556997,1086.5886167050317,17.301775024260913,5.7814950910587415,1
9,0.20263093315658665,163399.5536753395,1073.7993373645422,16.90197592490144,5.651899333477595,1
0,0.32375,241551.12,1676.08,16.18895349,5.542067183,2
1,-0.27625,252901.02,1727.29,16.6235741,5.943262765,2
4,-0.63125,345964.18,2766.66,16.55592527,5.925035587,2
7,0.771875,386572.3,3127.99,17.70369318,6.891404221,2
9,1.043875,146256.93,1227.44,18.01838428,7.102052402,2
12,0.5,243203.55,2046.21,15.79166237,4.978840206,2
13,0.156,255157.1,2164.33,16.27543881,5.444029666,2
14,0.316,269341.33,2198.82,16.69194543,5.830510083,2
0,0.25344585434911093,261010.31483776687,2401.401710180086,16.750537763394224,6.185852694054949,2
1,0.23564099065175476,258443.47748580962,2403.226507016846,16.74545294479645,6.226388224493552,2
2,0.49455519324555963,257817.97006836144,2397.4018749672405,16.961690115686633,5.684514493149725,2
3,0.2029588335388954,275481.8708844064,2102.843578854959,16.922926708005388,6.263462293862278,2
4,0.36252137954026875,285781.94474702317,2231.710549311496,16.94776539782753,5.86083532035072,2
5,0.3481905575482479,293659.5000857306,1897.3281044317387,16.57222633909681,6.2212389506868195,2
6,0.05189884867123144,232225.68859763152,2135.232020481571,16.855346918180082,5.943685021386633,2
7,0.1296345126791433,246827.25090425604,2081.987441318256,16.824882438367542,6.024148115520046,2
8,0.2559831573019379,296925.2085378235,1887.4835813280934,17.062170277196145,6.249498133362129,2
9,0.1291999055627355,238925.7437452521,2012.7605620844706,16.99249841527937,5.663218784956648,2
10,0.039050534490864215,240558.05988607922,1845.0468025926389,16.810830500960112,5.629132532364243,2
11,0.451121536973829,231700.14804290162,2377.953343649004,17.022897695162637,5.767648987854861,2
