,yield,radiation,rain,avg_max_temp,avg_min_temp,class
3,0.109833333,285825.46,2634.73,17.79072497,6.606260069,0
6,-0.553,383493.75,3817.77,16.93473552,5.859210747,0
7,-0.142,400987.9,3982.19,17.34995157,6.248983051,0
11,-0.286923077,120950.35,1272.58,18.39823684,6.756973684,0
15,0.373076923,236439.38,2431.7,17.13734312,5.891001335,0
18,-0.455769231,339554.69,3603.04,16.04993482,4.796666667,0
19,-0.363076923,354549.19,3726.33,16.44598743,5.185969479,0
23,0.381538462,158054.33,1723.07,17.64121593,6.775786164,0
27,-0.056923077,382323.67,4290.11,17.58241922,6.542079536,0
0,-0.503804636787819,175010.78519234835,3604.6743917947747,17.48695972515378,5.625100842269429,0
1,-0.31919598547567873,249329.6030677349,2760.3001793389476,17.953075734117746,5.999093939641716,0
2,0.25566242867410927,437450.34934538224,3119.450039301396,17.527996134314662,6.702738262984243,0
3,-0.10882226413412721,145753.60935189103,1914.8556344656517,16.837507097683282,5.339078971349096,0
4,-0.4180475349544306,429160.77294950554,2829.89856787595,16.788884493175665,6.79991744980393,0
5,-0.561231879754502,379047.3640156535,3258.1440297066174,17.854189617606085,6.293633211109512,0
6,0.3722453001856676,344051.29283224297,2622.5304233377965,17.712086705389325,6.28974685942152,0
7,-0.4161675184055674,202192.24516617233,4431.106055994231,17.953663448621885,5.078066977268755,0
8,0.09517664665751102,363456.24610643776,3875.9632717679765,16.48540637161444,5.692766156688937,0
9,0.28709761476388396,276571.8076455649,1644.2714706098202,17.109375912440054,6.088152373546897,0
0,-0.609,244241.54,2239.92,16.24311927,5.165557012,1
1,0.438333333,255616.65,2365.86,16.68960908,5.618764187,1
2,-0.0405,269016.87,2574.02,17.21613059,6.122321644,1
4,-0.502,361996.1,3569.09,16.34720705,5.291709251,1
5,-0.697,372266.78,3715.69,16.59960447,5.548177128,1
9,0.678384615,93811.12,1087.45,15.80587097,4.524516129,1
10,0.403461538,106233.46,1211.66,17.28763848,5.868542274,1
13,-0.206153846,208057.01,2160.44,16.0279049,4.766359584,1
14,-0.238461538,220025.4,2382.58,16.57200565,5.382951977,1
16,-0.561153846,315050.09,3307.53,15.37908821,4.124489594,1
17,-0.112692308,327376.19,3477.61,15.75848514,4.505417066,1
22,0.576538462,142409.32,1643.08,16.77338673,6.006727689,1
24,-1.312307692,271314.29,2850.26,17.64296912,6.592339667,1
25,-0.645384615,354227.26,3958.13,17.01488085,5.97701677,1
26,-0.103846154,366093.1,4164.68,17.30103093,6.265661512,1
0,0.03896243689342316,151685.30923399283,3388.0398203694267,15.717112297510091,6.085972648579422,1
1,-0.6080002877427109,144112.7131437803,3762.736537916666,16.764504300035064,4.4867562809109565,1
2,-0.8449601834908222,184197.37528704613,2735.709353108694,17.295437363271773,5.239440708917754,1
3,-0.9845404584643426,309378.2150576743,1602.3781113089576,15.73066716280856,5.532809688969969,1
4,0.27658111979483757,396672.6449226623,1569.3093770907767,17.468027612041833,5.980455791837634,1
5,-0.8525737200674504,265012.385051532,2255.2487358569742,17.506507922491004,5.637639355992021,1
6,0.019127456182890468,268874.361267326,2698.402429652861,16.554469290243446,5.575413966829755,1
7,0.4320873213302019,389817.47791419947,1665.9181469544442,15.999871608636582,5.874383443802963,1
8,0.07870413627178352,129759.87569215706,3894.0916733034264,17.18683572592851,5.584795233902888,1
9,-0.47934219559069835,393511.0553905511,3183.310176899739,15.871430972863767,5.142154996207395,1
10,0.03903023781230619,301429.1161829041,3425.9053253752186,17.29831279987679,6.251993254928458,1
11,-0.6658361016792114,127617.56255631497,2431.5142167314107,15.87605015003621,6.336632626477566,1
12,-0.24207792546220497,393354.0486493524,3636.191462809584,16.180651147817144,5.898761937609351,1
13,-0.003129842507471281,340233.7892619447,3519.943265800868,16.434372396185367,5.971516370257947,1
14,0.2762195445030122,371496.3020578001,4046.535989457908,16.674990661045694,4.652679287598333,1
15,0.39440332660651745,165253.5066553927,1548.4723095465583,16.56997150362339,6.44556927870978,1
8,1.123384615,79771.91,996.35,14.35050725,3.253768116,2
12,-0.122307692,198074.42,2043.17,15.62190108,4.370772798,2
20,0.768076923,119766.11,1173.67,15.16181818,4.267780749,2
21,0.705,131581.31,1480.1,16.0697066,5.274889976,2
0,0.07254640295312284,94182.44960781759,1100.0414714253684,15.744502747522024,4.309746587785216,2
1,1.3357879759156717,119453.12120693488,850.9102498040141,16.027236963766242,3.7216700270691336,2
2,1.155511006054815,103839.67746447248,1474.721277466216,15.902481842210975,5.208991765437057,2
3,0.99181031236029,166412.67162573256,1387.0119731494474,15.887636956616285,4.966255297700329,2
