index,yield,radiation,rain,avg_min_temp,avg_max_temp
1,-0.865483871,237920.06,1566.72,3.256238532,15.27348624
2,-0.167419354,252511,1839.35,3.821579602,15.80236318
3,-0.272903226,264060.84,1909.05,4.307142857,16.2907443
4,-0.121612904,285497.24,1966.28,4.743483146,16.88673034
5,0.512490323,353675.05,2161.05,3.123339254,15.75022202
6,1.425109677,368592.85,2298.69,3.430704467,16.07037801
7,-0.505032258,378364.79,2362.68,3.738790932,16.35102435
8,0.343006452,390791.26,2451.11,4.072745098,16.68990196
9,-0.2344,126696.15,853.02,1.696792929,13.91760101
10,-1.3416,143767.6,950.08,2.944943052,15.24603645
11,-0.0588,152893.15,1063.42,3.927038627,16.12427039
12,-0.0772,170701.59,1159.48,4.738718447,16.96141748
13,2.445507692,241941.7,1490.04,2.185478375,14.8825557
14,0.459046154,256533.54,1535.59,2.88886392,15.60709114
15,0.704030769,272886.01,1741.57,3.566220379,16.32546209
16,-0.24,300000,1900,4.7,17
17,-1.508974359,354427.74,2166.76,2.118117229,14.88994671
18,0.278553846,367987.94,2320.26,2.460577089,15.23031008
19,-0.560430769,379100.41,2403.34,2.784011775,15.55472666
20,0.248,391460.5,2439.24,3.13047502,15.9217199
21,-0.491733333,126350.46,899.54,2.37478481,15.24318987
22,0.2232,139549.54,1029.27,3.117523364,15.97182243
23,-0.0532,153024.73,1105.11,4.066695464,16.85775378
24,-0.058,170604.73,1286.11,4.871311155,17.73027397
25,0.4004,242333.34,1680.15,2.43542595,15.23334207
26,-0.510933333,253166.79,1848.36,2.933244949,15.6917298
27,-0.126266667,267418.86,1898.48,3.564178744,16.31862319
28,0,300000,2000,4.6,17.7
29,-0.445333333,119018.19,851.59,2.516356488,16.01863874
30,0.015333333,131118.2,946.31,3.013383838,16.92604369
31,-0.334,141596,961.41,3.655289855,17.57116705
32,-0.227333333,150000,980,4.6,17.7
33,1.947333333,236724.38,1693.89,3.171099338,15.62235762
34,0.775333333,248953.26,1770.14,3.644523507,16.08387548
35,0.495333334,263706.83,1779.96,4.1956691,16.695
36,-0.154666667,277368.19,1979.82,4.764537037,17.21226852
37,0.74975,360208.29,2598.8,2.781462347,15.17169877
38,0.567166667,372333.99,2651.18,3.080170794,15.50437233
39,0.461833333,381807.61,2772.54,3.406535893,15.80889816
40,0.182,401118.77,2845.63,3.72634984,16.19904952
41,-3.04625,132123.53,966.71,2.55902439,14.85992683
42,-0.19375,144249.23,1019.09,3.370501139,15.76790433
43,0.6925,153722.85,1140.45,4.192703863,16.53551502
44,0.88625,163000,1200,3.7,16
45,1.0225,239119.52,1590.64,1.701487384,14.17831341
46,0.29375,249300.07,1715.49,2.067003841,14.53441741
47,-0.92375,261405,1862.94,2.542820197,15.00083744
48,-0.32125,271709.75,1963.49,2.927630952,15.40058333
49,0.314615385,351989.28,2454.17,1.677290837,13.73831843
50,0.250576923,364625.56,2683.19,2.101702945,14.1400954
51,1.197211538,378890.07,2928.61,2.546502463,14.6292953
52,0.363461538,393383.08,3047.82,2.932297619,15.01457792
