,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.14,382487.0,2011.59,4.196860903,15.55730159
1,0.91,250128.0,2021.53,1.541478441,12.42846913
2,1.91,358467.0,1244.35,1.94594968,14.51862966
3,1.59,138493.0,1872.8,2.336922128,14.98962413
4,1.87,144196.0,1443.84,3.328648362,15.9695707
5,1.78,360285.0,3047.82,2.973129487,14.01588456
6,1.19,260836.0,1418.73,3.816469684,16.51550269
7,0.64,381480.0,1425.46,0.645738474,16.3437815
8,2.18,356999.0,1679.96,3.118232471,15.28993609
9,1.82,381251.0,2336.75,1.368938898,13.57710734
10,2.39,347105.0,2208.71,2.848145203,13.12997721
11,1.77,140106.0,802.64,2.475370291,15.77869896
12,1.58,141956.0,1743.89,2.114641946,14.69492836
13,0.05,279986.0,2076.65,2.060082355,16.65547976
14,2.5,365759.0,2046.21,4.93924406,15.281175
15,1.62,375380.0,586.86,4.473192778,17.0142529
16,1.31,141220.0,1012.22,3.243051922,14.93859523
17,1.55,239637.0,1478.98,3.226334724,16.80729521
18,0.55,366131.0,1879.58,1.668588987,16.21288251
19,1.55,367491.0,1792.33,3.015685222,15.80849847
20,1.99,350120.0,721.64,3.849206524,15.01663338
21,0.78,250667.0,2182.82,1.722483561,17.62137169
22,1.69,128345.0,2199.81,4.93924406,12.5717217
23,2.22,339187.0,1467.32,1.377780864,15.13224475
24,0.63,274791.0,723.29,4.466800485,16.96767977
25,4.04,145939.0,1265.25,4.706796989,15.53015095
26,2.01,235816.0,1150.98,1.687092199,15.01161343
27,5.08,360050.0,1911.01,2.868185855,15.12127679
28,0.96,259838.0,1151.87,2.003677089,14.52712943
29,1.48,348084.0,2279.59,2.811926651,15.40442285
30,1.75,263011.0,2278.39,4.909668273,15.95414377
31,2.85,259060.0,1393.88,2.863544131,16.24767947
32,0.61,145502.0,1234.85,3.164853959,13.01971552
33,2.11,234459.0,2403.85,2.380422066,14.78323353
34,0.76,130578.0,1669.29,1.98055417,14.83812287
35,1.6,361902.0,1862.06,3.818470665,15.4407345
36,1.02,238693.0,1837.79,3.459750544,15.77640814
37,1.42,369480.0,1488.99,4.247922342,15.94980555
38,1.57,143372.0,1377.76,4.031127831,13.76451661
39,0.3,377946.0,1712.24,2.91123305,16.4676727
40,1.72,360849.0,2558.07,4.362013981,15.32405918
41,0.71,266544.0,1877.73,4.451917403,16.97614038
42,2.42,382762.0,1947.48,3.690754794,14.19123454
43,1.49,155305.0,1688.33,2.083568871,15.57423438
44,2.04,381972.0,1901.63,1.029421948,17.35660549
45,2.11,346571.0,1219.17,1.684320341,14.76388183
46,0.87,147126.0,2233.73,2.893634287,15.28082237
47,2.09,364341.0,1349.79,3.161740081,15.99767338
48,2.71,249479.0,2153.33,1.862388142,15.11036439
49,0.48,156658.0,794.42,3.608062132,17.34751083
50,1.93,369253.0,1584.92,3.002774258,13.09493281
51,1.15,158837.0,1297.66,1.13794516,15.9235519
52,1.49,389713.0,1092.37,2.326227737,13.87621417
53,2.95,337632.0,2153.79,2.916602748,15.16282019
54,2.2,340313.0,2319.84,3.076741821,16.34678521
55,0.11,381352.0,1408.35,3.579615991,15.85448807
56,1.69,376276.0,2432.66,4.652524431,16.47345798
57,2.74,153623.0,712.67,3.111083555,17.18412625
58,1.07,275474.0,1978.12,1.659554123,16.9897719
59,0.67,377660.0,2132.98,4.781476339,15.73623155
60,1.44,260229.0,632.77,2.446636289,16.23576007
61,2.66,346650.0,2189.24,3.765245511,15.25534118
62,1.39,389633.0,2479.37,1.307453568,16.01984193
63,1.85,351177.0,1925.36,4.93924406,16.51872245
64,1.43,378740.0,1856.63,2.926738236,16.48934147
65,1.58,260350.0,1047.96,3.642357297,17.6824367
66,1.76,126367.0,2195.21,2.43366385,16.95428977
67,0.12,360374.0,1874.72,4.683093115,16.62630722
68,2.74,132469.0,1732.96,3.555111872,15.46079669
69,1.69,145379.0,2180.16,4.110934903,16.88448819
70,5.83,361202.0,2098.96,2.623199775,13.90409115
71,1.8,372361.0,736.33,4.291242453,15.41632141
72,2.12,254403.0,1850.83,2.100454798,16.14514895
73,1.53,258333.0,1419.65,2.108494823,15.46512659
74,0.0,393895.0,1174.36,2.918965806,15.66903316
75,1.39,251735.0,2438.99,2.106519896,15.58656943
