,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Avg of AAYPVPP,STD AAYPVP,Num STDs,Avg Yield of Varieties Per Cut,Annual Avg Yield,Avg Annual Yield Per Variety Per Plant
0,94,South Dakota,Highmore,5/5/1998,CW 72005,8/16/1999,1.12,370757.16,983.39,1.780211685,17.34184603,1,0.899910256,0.432750437,1.568388838,,1.467730837,1.214770145
1,94,South Dakota,Watertown,4/25/1997,Rhino,10/1/1999,1.06,146151.1,1082.2,2.38362748,12.92289585,1,0.899910256,0.432750437,0.888868769,0.760903906,1.468266224,1.357540233
2,781,South Dakota,Highmore,5/22/1996,Spartan,7/12/2001,0.87,286264.21,2074.98,4.677093948,17.34763158,1,0.899910256,0.432750437,1.300156038,0.748044544,1.467751822,1.359545032
3,754,South Dakota,Watertown,4/3/1999,Vernal,10/1/1999,0.7,362936.7,1597.12,4.661265298,17.34763158,2,0.899910256,0.432750437,1.555373603,,1.44946031,1.418227904
4,234,South Dakota,Watertown,4/25/1997,FQ 315,8/16/1999,0.74,162399.09,2151.68,4.486581795,16.84711731,1,0.899910256,0.432750437,1.212452501,,1.447891584,1.251471807
5,756,South Dakota,Watertown,4/25/1997,DK 127,9/25/2001,0.66,308865.03,1459.36,1.825121576,17.14018886,1,0.899910256,0.432750437,1.732649375,,1.463827876,1.221897233
6,94,South Dakota,Beresford,4/3/1999,DK 142,8/16/1999,1.14,188840.6,1194.74,2.248206539,17.28448669,1,0.899910256,0.432750437,1.634592447,0.705806452,1.468765052,1.51222518
7,94,South Dakota,Beresford,4/25/1997,WL 324,8/3/1999,1.03,179543.47,1061.6,4.743483146,17.34763158,1,0.899910256,0.432750437,1.536792119,0.786834061,1.46345326,1.297632703
8,94,South Dakota,Watertown,4/25/1997,CW5236,10/1/1999,1.1,370757.16,1940.94,2.06492719,13.34926575,1,0.899910256,0.432750437,1.226570536,0.777495495,1.468765052,1.432399825
9,323,South Dakota,Watertown,5/5/1998,DK 127,8/16/1999,1.13,209581.79,1009.93,4.743483146,17.34763158,1,0.899910256,0.432750437,1.572948834,0.756952123,1.46312181,1.280477486
