,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Avg of AAYPVPP,STD AAYPVP,Num STDs,Avg Yield of Varieties Per Cut,Annual Avg Yield,Avg Annual Yield Per Variety Per Plant
0,94,South Dakota,Beresford,5/5/1998,Saranac AR,8/3/1999,0.55,228935.12,1775.45,2.348934853,16.08842228,1,0.899910256,0.432750437,0.670339574,,1.451162039,1.289457124
1,142,South Dakota,Beresford,4/28/2000,ABT 350,8/3/1999,0.88,292822.35,1500.48,4.743483146,16.50553171,0,0.899910256,0.432750437,1.07221697,0.758240253,1.452360001,1.366649138
2,190,South Dakota,Watertown,5/22/1996,Spirit,9/25/2001,0.98,303430.49,924.63,2.473166191,16.30968272,1,0.899910256,0.432750437,1.033133402,,1.450161512,1.479366253
3,843,South Dakota,Highmore,5/5/1998,CW 72005,8/3/1999,0.59,232749.76,1586.91,1.780211685,16.48522135,1,0.899910256,0.432750437,0.670339574,0.705806452,1.447891584,1.760951185
4,266,South Dakota,Highmore,5/22/1996,CW5236,10/1/1999,0.81,370757.16,1155.37,4.743483146,12.92289585,1,0.899910256,0.432750437,0.943244213,,1.465315355,1.533868545
5,334,South Dakota,Watertown,4/25/1997,WL 325HQ,7/12/2001,0.66,310345.05,1764.38,4.743483146,12.92289585,1,0.899910256,0.432750437,0.670339574,0.705806452,1.468765052,1.278978554
6,196,South Dakota,Watertown,5/22/1996,Asset,8/16/1999,0.71,274732.51,2015.61,2.690311324,17.12655545,1,0.899910256,0.432750437,0.782974118,0.705806452,1.466533636,1.265500817
7,843,South Dakota,Watertown,4/25/1997,Excalibur II,9/25/2001,0.5,146151.1,924.63,4.743483146,16.06893236,2,0.899910256,0.432750437,1.999049959,,1.468765052,1.264338086
8,843,South Dakota,Highmore,5/5/1998,CW 5347,8/6/2001,0.92,182281.94,2151.68,2.366607243,16.49662873,1,0.899910256,0.432750437,1.428727734,0.792173472,1.468765052,1.543337691
9,295,South Dakota,Highmore,5/22/1996,A-395,8/16/1999,0.96,370757.16,1521.61,4.743483146,17.03650944,1,0.899910256,0.432750437,0.910390981,0.754867237,1.468765052,1.329903587
10,843,South Dakota,Beresford,5/5/1998,GH 766,9/25/2001,0.73,163805.3,1924.6,2.28276689,17.34763158,2,0.899910256,0.432750437,1.503291206,0.762681976,1.466235731,1.33052449
11,402,South Dakota,Beresford,4/28/2000,Vernal,10/1/1999,0.63,284946.28,2069.9,4.743483146,14.93630842,2,0.899910256,0.432750437,0.948605451,0.748672361,1.449983044,1.311431341
12,307,South Dakota,Beresford,4/3/1999,Spirit,10/1/1999,0.68,370757.16,1434.69,2.730446808,16.4034361,2,0.899910256,0.432750437,1.374539091,,1.468765052,1.765
13,843,South Dakota,Highmore,5/22/1996,Garst 6420,10/1/1999,0.7,313428.29,1538.48,4.743483146,16.57996593,1,0.899910256,0.432750437,1.427956279,,1.447891584,1.35416984
14,94,South Dakota,Highmore,4/28/2000,TMF Multiplier II,8/16/1999,0.66,305576.93,1977.84,4.743483146,16.89899033,1,0.899910256,0.432750437,0.772753475,0.788675733,1.468519859,1.317302948
15,339,South Dakota,Beresford,5/5/1998,WinterStar,9/25/2001,0.64,202803.54,924.63,4.743483146,16.97758555,2,0.899910256,0.432750437,1.999049959,,1.468765052,1.523285907
16,843,South Dakota,Highmore,4/3/1999,TMF 421,8/6/2001,0.88,290721.26,2085.29,1.80557182,12.92289585,1,0.899910256,0.432750437,1.347156617,,1.454393843,1.244229045
17,350,South Dakota,Beresford,5/22/1996,Avalanche +Z,10/1/1999,0.66,182381.63,1423.64,4.743483146,12.92289585,2,0.899910256,0.432750437,1.126307854,,1.465367443,1.342704092
18,758,South Dakota,Beresford,4/25/1997,WL 325HQ,10/1/1999,0.64,370757.16,1384.93,1.845798245,16.54536814,2,0.899910256,0.432750437,0.944484314,,1.447891584,1.363292283
19,735,South Dakota,Highmore,5/5/1998,Ciba 2444,10/1/1999,0.96,311532.17,1021.48,2.69273867,16.36135707,1,0.899910256,0.432750437,1.415670434,0.776071052,1.447891584,1.210734746
20,843,South Dakota,Beresford,4/25/1997,CW 72008,9/25/2001,0.88,286163.28,2150.35,4.743483146,12.92289585,1,0.899910256,0.432750437,1.433308877,,1.447891584,1.446947134
21,770,South Dakota,Watertown,5/5/1998,CW5321,8/6/2001,0.85,299933.82,1438.73,2.343844794,14.04645115,1,0.899910256,0.432750437,1.124401661,,1.447891584,1.546735213
22,94,South Dakota,Beresford,5/5/1998,WL 232HQ,8/16/1999,0.53,301417.61,1450.49,2.597424587,15.72537654,2,0.899910256,0.432750437,1.098487675,,1.452552752,1.200170905
23,444,South Dakota,Highmore,5/5/1998,DK 140,9/25/2001,0.66,320018.3,1512.13,2.267137886,16.36088396,0,0.899910256,0.432750437,0.894334592,,1.447891584,1.317115268
24,606,South Dakota,Highmore,4/25/1997,Goldrush 747,10/1/1999,0.54,318252.14,1437.38,2.672931036,16.73618296,1,0.899910256,0.432750437,0.822055127,,1.468765052,1.472302542
25,793,South Dakota,Watertown,4/3/1999,WL232 HQ,7/12/2001,0.81,370757.16,924.63,2.237793329,16.71929031,1,0.899910256,0.432750437,0.941049466,0.791788307,1.468765052,1.205987576
26,325,South Dakota,Watertown,4/25/1997,Vernal,9/25/2001,0.82,213815.37,1637.52,1.780211685,17.34763158,1,0.899910256,0.432750437,0.713555575,0.744300339,1.46656567,1.285184242
27,274,South Dakota,Beresford,5/5/1998,Multiplier 3,7/12/2001,0.76,370757.16,1289.47,4.743483146,16.8464589,1,0.899910256,0.432750437,1.324628543,0.755223347,1.468765052,1.437121573
28,94,South Dakota,Highmore,5/22/1996,AlfaStar,10/1/1999,1.14,317970.74,1459.25,4.743483146,16.46104555,2,0.899910256,0.432750437,0.930260203,0.755006874,1.45246173,1.332070476
29,111,South Dakota,Highmore,4/25/1997,CW 74040,8/16/1999,0.53,314198.29,1638.91,4.743483146,14.91452089,1,0.899910256,0.432750437,0.826000957,0.705806452,1.468534103,1.298157555
30,615,South Dakota,Watertown,4/3/1999,CW 64026,8/6/2001,0.82,179712.71,1486.44,2.621163506,12.92289585,1,0.899910256,0.432750437,0.885950153,,1.448904804,1.268174051
31,621,South Dakota,Highmore,4/25/1997,CW 64049,9/25/2001,1.23,370757.16,1477.65,2.215792541,14.78905769,1,0.899910256,0.432750437,0.83179487,,1.448612756,1.339770619
32,843,South Dakota,Watertown,4/28/2000,ZG 9840,8/16/1999,0.96,222434.39,1652.44,4.743483146,12.92289585,2,0.899910256,0.432750437,1.516616418,,1.468765052,1.621308109
33,712,South Dakota,Highmore,4/28/2000,Complete,8/6/2001,0.81,266755.64,2119.29,4.743483146,14.61068652,1,0.899910256,0.432750437,1.272137282,,1.449682515,1.19
34,260,South Dakota,Highmore,4/25/1997,GH 750,8/16/1999,1.02,282658.44,1559.53,1.780211685,16.85817923,1,0.899910256,0.432750437,1.069193942,0.77153186,1.452672957,1.551765666
35,275,South Dakota,Watertown,4/3/1999,DK 127,9/25/2001,0.5,222907.79,1874.74,2.244073193,17.06864252,2,0.899910256,0.432750437,1.677583807,,1.447891584,1.425345719
36,843,South Dakota,Highmore,4/28/2000,Defiant,8/16/1999,0.81,281538.95,2151.68,4.743483146,16.46022879,1,0.899910256,0.432750437,1.111994978,,1.467123992,1.352644498
37,330,South Dakota,Watertown,4/25/1997,Viking I,8/6/2001,1.26,192818.53,1356.16,4.743483146,17.34763158,2,0.899910256,0.432750437,0.670339574,,1.468765052,1.220829705
38,843,South Dakota,Watertown,5/22/1996,SDFB,9/25/2001,0.65,370757.16,2056.64,2.825392912,13.57222513,1,0.899910256,0.432750437,0.670339574,,1.468765052,1.469045234
39,843,South Dakota,Beresford,4/25/1997,CW 5321,7/12/2001,0.89,307565.23,1758.82,2.215316631,16.63841484,1,0.899910256,0.432750437,1.7242373,,1.468235647,1.285089837
40,780,South Dakota,Watertown,4/25/1997,Rainier,10/1/1999,0.91,316030.36,924.63,1.852344138,16.61446466,2,0.899910256,0.432750437,0.863904891,0.772188248,1.453493521,1.270548389
41,337,South Dakota,Beresford,5/5/1998,CW72008,7/12/2001,1.37,309154.63,1199.36,2.358231081,16.46218278,2,0.899910256,0.432750437,1.469250638,,1.467211391,1.463474227
42,114,South Dakota,Beresford,4/3/1999,Riley,8/6/2001,0.8,370757.16,1341.19,4.743483146,17.34763158,2,0.899910256,0.432750437,1.112215486,0.753423356,1.447891584,1.19
43,187,South Dakota,Beresford,4/3/1999,ICI 631,10/1/1999,0.6,213413.35,2072.32,1.920564409,13.20816177,1,0.899910256,0.432750437,1.055625845,,1.463975471,1.254327615
44,94,South Dakota,Watertown,4/25/1997,Garst 6410,9/25/2001,0.96,319321.35,2045.59,4.743483146,16.24402614,2,0.899910256,0.432750437,0.725841257,0.75452741,1.468765052,1.297639929
45,843,South Dakota,Beresford,4/28/2000,CW 2227,7/12/2001,0.73,370757.16,2151.68,4.743483146,15.96292605,1,0.899910256,0.432750437,1.357122724,0.754312878,1.447891584,1.486080123
46,410,South Dakota,Watertown,5/5/1998,Rainier,10/1/1999,0.69,295043.72,1082.48,2.653749561,16.90069647,1,0.899910256,0.432750437,1.855710854,,1.450342265,1.569785199
47,283,South Dakota,Highmore,5/5/1998,Excel,10/1/1999,0.61,227708.21,1682.04,2.169677994,16.76727395,2,0.899910256,0.432750437,1.224278885,0.763582733,1.462179226,1.350831364
48,215,South Dakota,Highmore,4/3/1999,Ciba 2888,8/16/1999,0.5,319813.75,1810.9,4.743483146,16.45051154,2,0.899910256,0.432750437,0.92776687,0.757881395,1.447891584,1.355939991
49,327,South Dakota,Highmore,5/22/1996,DK 134,8/6/2001,0.9,370757.16,1662.67,1.780211685,12.92289585,2,0.899910256,0.432750437,1.475145829,,1.468765052,1.352280356
50,788,South Dakota,Highmore,5/5/1998,Husky Supreme,8/3/1999,0.7,311647.82,1624.87,4.743483146,12.96701771,1,0.899910256,0.432750437,0.670339574,,1.448502367,1.506428036
51,210,South Dakota,Highmore,5/22/1996,FQ 314,8/16/1999,1.11,281180.89,2002.74,2.071821605,13.80921313,1,0.899910256,0.432750437,1.174184915,0.730038451,1.468765052,1.289138265
52,795,South Dakota,Highmore,5/5/1998,WL 324,9/25/2001,0.91,318873.24,1695.78,2.290064218,16.02022141,2,0.899910256,0.432750437,1.13477032,0.705806452,1.4667447,1.222003998
53,843,South Dakota,Watertown,4/28/2000,Avalanche +Z,8/6/2001,0.73,296531.63,1644.28,2.020183986,16.48267392,2,0.899910256,0.432750437,0.833910605,0.758459686,1.468765052,1.211031568
54,387,South Dakota,Highmore,4/28/2000,Vernal,9/25/2001,0.61,297960.87,1469.92,1.886915579,14.59498718,1,0.899910256,0.432750437,1.239836338,,1.449385894,1.353897771
55,277,South Dakota,Watertown,5/5/1998,Frontier 2000,8/3/1999,0.8,276219.69,2036.91,4.743483146,16.32461935,1,0.899910256,0.432750437,1.604696652,,1.448692016,1.342971202
56,196,South Dakota,Watertown,5/5/1998,Pioneer Brand 53H81,8/16/1999,0.53,256980.28,1671.47,4.652437226,16.96035805,1,0.899910256,0.432750437,1.222408016,0.754195832,1.447891584,1.302502735
57,401,South Dakota,Highmore,4/25/1997,DK 140,10/1/1999,0.5,308471.57,1168.32,2.124440307,16.76534086,1,0.899910256,0.432750437,1.46119049,,1.46497897,1.218704963
58,237,South Dakota,Beresford,5/22/1996,LegenDairy 2.0,8/16/1999,0.59,305206.79,1696.14,4.711137772,17.24246073,2,0.899910256,0.432750437,1.390449744,,1.468765052,1.527097628
59,203,South Dakota,Watertown,4/3/1999,LegenDairy 2.0,8/16/1999,1.08,210516.92,1685.43,2.512199605,16.06330845,2,0.899910256,0.432750437,1.599564955,0.742245214,1.451606117,1.344603287
60,299,South Dakota,Beresford,4/28/2000,CW 5305,10/1/1999,0.59,210040.52,2126.1,1.780211685,17.05539528,2,0.899910256,0.432750437,1.477246203,,1.447891584,1.270858068
61,237,South Dakota,Watertown,5/5/1998,Pioneer Brand 54V54,8/3/1999,0.63,227709.44,2055.07,2.834176902,16.36569121,1,0.899910256,0.432750437,1.404480372,,1.468765052,1.303617693
62,94,South Dakota,Beresford,5/5/1998,CW 94008,9/25/2001,0.79,304174.94,2151.68,2.409078093,13.39012809,2,0.899910256,0.432750437,1.089057642,,1.468765052,1.28667254
63,305,South Dakota,Beresford,4/28/2000,Spartan,8/16/1999,0.55,266766.64,1620.45,4.743483146,16.22038821,1,0.899910256,0.432750437,1.999049959,,1.453006814,1.560984537
64,377,South Dakota,Watertown,5/22/1996,Pioneer Brand 53H81,9/25/2001,0.64,187222.26,1958.49,2.472444922,17.34763158,1,0.899910256,0.432750437,1.214733008,0.705806452,1.447891584,1.30850284
65,292,South Dakota,Highmore,4/25/1997,Saranac AR,10/1/1999,1.0,288934.75,1868.05,2.006949385,16.48651104,2,0.899910256,0.432750437,1.448237228,0.779341589,1.468765052,1.406716068
66,794,South Dakota,Watertown,4/25/1997,WL 232HQ,8/16/1999,0.56,309488.49,1312.1,1.842643806,12.92289585,2,0.899910256,0.432750437,0.950176138,0.747775644,1.447891584,1.375938387
67,280,South Dakota,Watertown,4/3/1999,TMF Multiplier II,9/25/2001,1.37,370757.16,924.63,4.743483146,12.92289585,1,0.899910256,0.432750437,1.204797977,0.705806452,1.451304891,1.455450489
68,422,South Dakota,Watertown,5/5/1998,Depend +Ev,10/1/1999,0.6,278531.71,2077.22,2.398335052,16.15823549,1,0.899910256,0.432750437,0.981451022,0.705806452,1.448442191,1.636459139
69,300,South Dakota,Beresford,5/5/1998,CW 5321,8/6/2001,0.71,370757.16,1744.95,4.743483146,12.92289585,1,0.899910256,0.432750437,1.17176597,,1.465574538,1.686124044
70,818,South Dakota,Beresford,4/25/1997,DK140,7/12/2001,1.02,286916.24,1826.64,2.647078272,14.07604649,1,0.899910256,0.432750437,1.733729387,0.765252544,1.447891584,1.255143357
71,175,South Dakota,Highmore,4/28/2000,TMF Multiplier II,7/12/2001,0.77,280881.78,1452.29,2.289850793,16.19543047,1,0.899910256,0.432750437,0.670339574,,1.450656433,1.281508627
72,705,South Dakota,Beresford,4/3/1999,Frontier 2000,8/3/1999,0.73,295777.76,1874.9,2.221787557,15.05471336,2,0.899910256,0.432750437,0.688107666,0.761581558,1.447891584,1.431142681
73,364,South Dakota,Beresford,4/28/2000,Complete,8/3/1999,0.65,219774.02,1030.39,2.543151698,14.70973235,2,0.899910256,0.432750437,1.3909821,0.705806452,1.468765052,1.423970266
74,392,South Dakota,Beresford,4/3/1999,WL 232HQ,8/16/1999,1.11,370757.16,1789.41,2.699236354,12.92289585,1,0.899910256,0.432750437,1.103521268,0.705806452,1.450768878,1.459648973
75,339,South Dakota,Watertown,5/22/1996,Rainier,8/6/2001,1.07,215035.82,1725.67,4.743483146,16.79169036,1,0.899910256,0.432750437,0.912976129,,1.449971976,1.207430338
76,390,South Dakota,Highmore,4/25/1997,Sprint,10/1/1999,0.97,370757.16,1171.02,4.743483146,13.10649327,1,0.899910256,0.432750437,1.140704677,0.708450553,1.468270335,1.670568224
77,843,South Dakota,Highmore,5/5/1998,Columbia 2000,10/1/1999,0.82,263129.26,1696.38,4.743483146,16.32506599,1,0.899910256,0.432750437,1.999049959,,1.451714904,1.412492198
78,427,South Dakota,Highmore,5/5/1998,Legend Gold,8/6/2001,0.87,304579.88,1204.45,1.780211685,16.77991032,1,0.899910256,0.432750437,1.232436528,,1.465841963,1.290835007
79,353,South Dakota,Watertown,5/5/1998,Amerigraze 401+Z,10/1/1999,0.51,180747.54,968.2,4.743483146,15.03431791,1,0.899910256,0.432750437,1.682162365,,1.448616911,1.460900699
80,228,South Dakota,Watertown,5/5/1998,GH 750,8/3/1999,0.54,295795.8,2004.06,2.760132857,12.92289585,1,0.899910256,0.432750437,1.356525036,,1.448099765,1.641577928
81,296,South Dakota,Watertown,4/3/1999,CW 5321,7/12/2001,0.65,191716.45,981.47,2.551172823,12.92289585,2,0.899910256,0.432750437,1.999049959,0.744895352,1.452381168,1.202825552
82,258,South Dakota,Beresford,5/5/1998,CW 73029,8/6/2001,0.81,293297.32,2085.31,4.743483146,16.78904611,1,0.899910256,0.432750437,1.197467281,,1.468765052,1.484865026
83,358,South Dakota,Beresford,5/22/1996,DK 134,8/16/1999,0.5,262616.33,1674.07,4.743483146,12.92289585,2,0.899910256,0.432750437,1.913234547,,1.447891584,1.764348581
84,337,South Dakota,Highmore,5/5/1998,Pioneer Brand 5454,8/3/1999,0.51,181741.3,1516.36,2.197098203,16.23946086,2,0.899910256,0.432750437,1.781606435,,1.447891584,1.296495027
85,147,South Dakota,Highmore,4/25/1997,Complete,9/25/2001,0.89,298174.91,1626.99,2.50958222,16.49187406,2,0.899910256,0.432750437,1.999049959,,1.468765052,1.205372273
86,843,South Dakota,Beresford,4/25/1997,A-395,8/6/2001,1.22,279075.31,2151.68,4.734643886,16.71571388,1,0.899910256,0.432750437,0.700305299,0.803602542,1.447891584,1.470958606
87,843,South Dakota,Beresford,5/22/1996,Defiant,8/6/2001,0.55,146151.1,1699.78,2.599119347,16.05832297,2,0.899910256,0.432750437,1.276978089,0.764570323,1.468765052,1.459282211
88,772,South Dakota,Watertown,4/28/2000,DK140,7/12/2001,1.05,288845.68,1913.02,4.743483146,16.83660322,1,0.899910256,0.432750437,0.835420937,,1.452442979,1.28987389
89,328,South Dakota,Beresford,5/22/1996,GH 750,10/1/1999,0.71,214906.34,1726.29,4.743483146,13.73471201,1,0.899910256,0.432750437,1.315100054,,1.467287696,1.572750198
90,180,South Dakota,Beresford,4/25/1997,SDFB,10/1/1999,0.76,315251.53,924.63,4.743483146,17.19706059,1,0.899910256,0.432750437,1.069428465,0.756669454,1.44963553,1.319189877
91,259,South Dakota,Beresford,4/28/2000,Complete,8/6/2001,0.91,370757.16,1509.2,2.683495023,13.38983068,2,0.899910256,0.432750437,1.021299485,,1.447891584,1.423283221
92,814,South Dakota,Watertown,5/22/1996,A-395,8/6/2001,0.92,239487.07,1378.63,2.444150666,17.03296786,1,0.899910256,0.432750437,1.3584014,0.747442273,1.452261128,1.223252422
93,277,South Dakota,Beresford,4/25/1997,WL 325HQ,8/3/1999,0.64,269187.2,2151.68,4.743483146,16.6369613,1,0.899910256,0.432750437,1.14339034,0.705806452,1.453391709,1.19782827
94,811,South Dakota,Beresford,4/3/1999,Maverick,8/3/1999,0.9,370757.16,1138.38,2.738030428,16.68593314,1,0.899910256,0.432750437,0.979611382,,1.452596199,1.337481911
95,326,South Dakota,Highmore,4/25/1997,CW 5236,9/25/2001,0.81,370757.16,2151.68,2.073773161,17.02010215,1,0.899910256,0.432750437,1.701880023,0.768825399,1.449056696,1.270133153
96,843,South Dakota,Watertown,4/3/1999,CW 64004,7/12/2001,0.72,284967.88,1603.6,2.004968829,16.26631996,2,0.899910256,0.432750437,0.697516705,,1.466605328,1.209589773
97,112,South Dakota,Watertown,4/3/1999,WL 325HQ,7/12/2001,0.85,370757.16,1613.85,4.743483146,16.07181742,1,0.899910256,0.432750437,0.670339574,,1.468765052,1.443056267
98,843,South Dakota,Highmore,4/28/2000,Garst 6420,8/16/1999,0.78,268903.39,2151.68,4.743483146,16.82967086,2,0.899910256,0.432750437,1.751827951,,1.452002609,1.217466333
99,418,South Dakota,Watertown,5/22/1996,Complete,9/25/2001,0.52,268653.33,990.65,1.895808681,15.18043759,1,0.899910256,0.432750437,1.607272725,,1.468765052,1.378236402
100,240,South Dakota,Beresford,5/22/1996,TMF 421,10/1/1999,0.54,361246.94,1225.43,2.6313302,16.14100398,1,0.899910256,0.432750437,1.144104203,,1.447891584,1.231571469
