,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Avg of AAYPVPP,STD AAYPVP,Num STDs,Avg Yield of Varieties Per Cut,Annual Avg Yield,Avg Annual Yield Per Variety Per Plant
0,94,South Dakota,Highmore,4/25/1997,ICI 620,8/16/1999,0.79,252568.57,1492.29,1.994894438,16.78988243,2,0.899910256,0.432750437,1.178960759,0.719181461,1.447891584,1.349493208
1,173,South Dakota,Beresford,4/25/1997,A-395,8/3/1999,0.77,184253.72,924.63,4.743483146,17.34763158,2,0.899910256,0.432750437,0.781908449,0.806842105,1.447891584,1.426971204
2,265,South Dakota,Beresford,4/25/1997,Columbia 2000,10/1/1999,0.83,243722.42,1996.48,4.743483146,16.68693855,2,0.899910256,0.432750437,1.059298138,0.806842105,1.447891584,1.368642204
3,265,South Dakota,Beresford,4/25/1997,Excalibur II,8/16/1999,0.9,290635.16,924.63,4.002032304,17.31777518,1,0.899910256,0.432750437,1.428708001,0.786306605,1.447891584,1.659582739
4,152,South Dakota,Beresford,5/22/1996,BigHorn,8/3/1999,0.88,146151.1,1097.94,3.74026002,17.34763158,1,0.899910256,0.432750437,0.926307216,0.712472697,1.447891584,1.372903219
5,145,South Dakota,Highmore,5/5/1998,Defiant,8/16/1999,0.85,320102.23,930.45,4.234390237,17.34763158,1,0.899910256,0.432750437,1.298445184,0.768890009,1.447891584,1.72
6,114,South Dakota,Watertown,4/25/1997,Spur,10/1/1999,0.91,336601.44,1775.52,3.71369627,17.04338908,1,0.899910256,0.432750437,0.835022885,0.705806452,1.447891584,1.201819343
7,118,South Dakota,Beresford,4/25/1997,A-395,10/1/1999,0.96,306758.61,924.63,1.780211685,15.10384122,2,0.899910256,0.432750437,0.875091167,0.710554534,1.447891584,1.461575598
8,175,South Dakota,Highmore,5/5/1998,Asset,10/1/1999,0.71,146151.1,924.63,4.493885604,17.34763158,1,0.899910256,0.432750437,0.865365318,0.71055655,1.447891584,1.370140779
9,94,South Dakota,Beresford,5/22/1996,DK140,8/3/1999,0.95,354329.69,1930.89,4.591593294,17.34763158,1,0.899910256,0.432750437,0.982453054,0.774448487,1.447891584,1.432039605
