,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Avg of AAYPVPP,STD AAYPVP,Num STDs,Avg Yield of Varieties Per Cut,Annual Avg Yield,Avg Annual Yield Per Variety Per Plant
0,312,South Dakota,Watertown,5/22/1996,CW 72005,7/12/2001,0.85,257191.42,1618.62,1.780211685,16.80899158,2,0.899910256,0.432750437,1.984749168,,1.462511736,1.466690519
1,193,South Dakota,Highmore,5/5/1998,Rebound 4.2,8/16/1999,0.99,197179.05,983.79,4.378242271,13.24535001,1,0.899910256,0.432750437,1.999049959,0.757117153,1.466798555,1.440850379
2,683,South Dakota,Watertown,4/28/2000,ICI 620,10/1/1999,0.94,370757.16,1467.6,4.58183234,13.24382026,1,0.899910256,0.432750437,1.094837067,0.750086276,1.447891584,1.765
3,398,South Dakota,Watertown,4/25/1997,DK 127,8/6/2001,0.9,370757.16,1685.59,4.139886243,12.92289585,2,0.899910256,0.432750437,1.791099748,,1.447891584,1.506180967
4,843,South Dakota,Beresford,4/3/1999,Spartan,8/16/1999,0.94,370757.16,1601.1,4.51708505,15.95248162,2,0.899910256,0.432750437,1.892350835,0.763418937,1.448701011,1.424055404
5,843,South Dakota,Watertown,5/22/1996,CW72008,9/25/2001,1.37,146151.1,924.63,1.839221162,12.92289585,1,0.899910256,0.432750437,1.338972245,0.705806452,1.468765052,1.398517287
6,822,South Dakota,Watertown,5/5/1998,WL 324,9/25/2001,0.7,299123.77,981.87,2.353995958,16.83348497,2,0.899910256,0.432750437,1.291012768,0.705806452,1.463602331,1.65594582
7,247,South Dakota,Highmore,4/25/1997,TMF 421,7/12/2001,0.86,347607.63,1088.7,1.780211685,14.1306938,2,0.899910256,0.432750437,1.846728201,,1.468599088,1.413182254
8,290,South Dakota,Highmore,4/25/1997,WL 324,10/1/1999,0.88,262282.62,1404.94,1.930927014,13.91824006,2,0.899910256,0.432750437,1.966354801,0.749791421,1.447891584,1.716615074
9,843,South Dakota,Highmore,4/28/2000,Husky Supreme,8/16/1999,0.97,317379.23,1894.03,4.377014056,13.10352479,2,0.899910256,0.432750437,1.170644779,,1.450141754,1.344932444
10,298,South Dakota,Watertown,5/5/1998,CW 94008,8/6/2001,0.94,262731.93,1730.42,1.904056031,16.68073089,2,0.899910256,0.432750437,0.917210723,0.79118478,1.447891584,1.592940612
11,365,South Dakota,Beresford,4/25/1997,CW 5321,8/6/2001,1.36,370757.16,1457.32,2.188219297,16.6381367,2,0.899910256,0.432750437,1.808606233,0.747909293,1.468765052,1.377580788
12,843,South Dakota,Watertown,4/3/1999,DK 122,8/3/1999,1.26,213262.82,1523.13,1.780211685,12.92289585,2,0.899910256,0.432750437,1.047404885,0.783228264,1.462670039,1.563914117
13,223,South Dakota,Watertown,4/25/1997,WL 324,8/16/1999,1.09,146151.1,1434.87,1.780211685,16.78250639,1,0.899910256,0.432750437,1.714891879,0.760131901,1.463103234,1.426441966
14,247,South Dakota,Beresford,4/25/1997,AlfaStar,7/12/2001,0.68,370757.16,1459.05,4.074672461,13.06644453,2,0.899910256,0.432750437,1.474558396,0.750340736,1.447891584,1.481011925
15,843,South Dakota,Watertown,5/5/1998,Pioneer Brand 53Q60,10/1/1999,0.6,146151.1,1381.06,4.491209962,14.04200357,2,0.899910256,0.432750437,1.382325727,0.750807011,1.464624738,1.494727996
16,843,South Dakota,Beresford,5/5/1998,DK124,7/12/2001,1.25,360170.57,2014.2,1.964486468,16.61943898,2,0.899910256,0.432750437,1.651843042,0.758532807,1.468765052,1.48409329
17,310,South Dakota,Beresford,5/22/1996,BigHorn,8/6/2001,0.91,352680.59,1848.97,4.743483146,13.69706279,2,0.899910256,0.432750437,1.999049959,,1.465312657,1.346393047
18,266,South Dakota,Beresford,5/5/1998,Travois,7/12/2001,1.07,370757.16,924.63,1.780211685,13.18546825,1,0.899910256,0.432750437,1.999049959,0.745322513,1.447891584,1.524242945
19,255,South Dakota,Watertown,5/5/1998,AlfaStar,10/1/1999,1.02,360424.12,924.63,1.874587757,13.92658328,2,0.899910256,0.432750437,0.804705151,,1.467619229,1.419441111
20,843,South Dakota,Beresford,5/5/1998,CW 5321,10/1/1999,0.89,356524.02,2094.74,1.780211685,13.71179652,2,0.899910256,0.432750437,1.318738772,0.788615577,1.463575023,1.323755225
21,806,South Dakota,Highmore,5/5/1998,Pioneer Brand 53Q60,7/12/2001,1.1,370757.16,1512.61,1.840069066,17.24384852,1,0.899910256,0.432750437,1.388016547,,1.447891584,1.531303835
22,843,South Dakota,Beresford,5/5/1998,WinterKing,8/3/1999,0.97,256908.98,1447.39,2.323391905,12.92289585,1,0.899910256,0.432750437,0.972408695,,1.464701381,1.439343932
23,592,South Dakota,Beresford,4/3/1999,WL 252HQ,7/12/2001,1.09,204419.07,1642.76,4.498745301,12.99341459,2,0.899910256,0.432750437,1.931760413,0.764469442,1.447891584,1.45865908
24,642,South Dakota,Beresford,5/5/1998,645-11,8/16/1999,0.93,368665.06,2098.73,1.863628551,16.35357894,2,0.899910256,0.432750437,1.859752676,0.7469947,1.447891584,1.437352405
25,843,South Dakota,Beresford,5/22/1996,Pioneer Brand 53Q60,8/3/1999,1.02,360973.61,2045.94,4.630212161,16.73930507,1,0.899910256,0.432750437,1.540640622,0.75828453,1.447891584,1.35449973
26,345,South Dakota,Watertown,4/28/2000,Legend Gold,8/16/1999,1.1,164466.78,1937.33,4.050655734,12.92289585,2,0.899910256,0.432750437,1.608065391,,1.468054685,1.405553965
27,737,South Dakota,Highmore,5/5/1998,TMF 421,10/1/1999,0.83,187325.68,924.63,1.912474588,13.90547064,1,0.899910256,0.432750437,1.76328988,0.744771216,1.468765052,1.617063923
28,685,South Dakota,Highmore,4/28/2000,Spur,10/1/1999,1.02,370757.16,1145.69,1.780211685,16.84104319,2,0.899910256,0.432750437,1.579317728,0.753181973,1.467171589,1.499655485
29,747,South Dakota,Beresford,4/25/1997,CW 64026,8/16/1999,1.37,146151.1,1023.29,1.826012372,13.34132758,1,0.899910256,0.432750437,1.999049959,0.754242201,1.447891584,1.765
30,94,South Dakota,Watertown,5/5/1998,Sprint,9/25/2001,0.62,220048.03,1502.47,4.504124022,16.97064748,2,0.899910256,0.432750437,1.862712362,0.75907693,1.463484071,1.480488568
31,222,South Dakota,Watertown,4/28/2000,Frontier 2000,8/6/2001,1.03,304154.59,1211.15,4.682618315,16.62678681,1,0.899910256,0.432750437,1.999049959,0.705806452,1.447891584,1.686925814
32,843,South Dakota,Beresford,5/5/1998,Vernal,10/1/1999,1.37,172988.1,2151.68,1.81367854,16.62017607,1,0.899910256,0.432750437,1.999049959,,1.467541968,1.31005284
33,843,South Dakota,Watertown,5/5/1998,WL 324,10/1/1999,1.02,197667.07,2151.68,1.780211685,12.92289585,2,0.899910256,0.432750437,1.341547322,0.753770055,1.447891584,1.398974117
34,731,South Dakota,Beresford,4/3/1999,Complete,8/6/2001,0.9,306919.22,1941.56,4.743483146,16.37881978,1,0.899910256,0.432750437,1.22367448,,1.464599407,1.722861107
35,843,South Dakota,Watertown,5/5/1998,Baker,8/16/1999,0.74,370757.16,1781.53,1.795677418,16.86749359,1,0.899910256,0.432750437,1.782498133,,1.46474944,1.216674534
36,170,South Dakota,Highmore,5/22/1996,Spur,10/1/1999,1.1,370757.16,1688.64,2.096732859,14.16391815,2,0.899910256,0.432750437,1.264995915,0.752234174,1.447891584,1.543075725
37,667,South Dakota,Watertown,4/28/2000,Award,8/16/1999,0.85,370757.16,1887.87,2.150299635,16.99680248,1,0.899910256,0.432750437,1.218005862,0.75931297,1.467262688,1.319329855
38,843,South Dakota,Beresford,4/3/1999,Sprint,8/16/1999,0.96,363288.87,1475.95,2.191590178,16.67373681,1,0.899910256,0.432750437,0.786706728,0.707114757,1.447891584,1.39186492
39,843,South Dakota,Watertown,4/28/2000,ICI 620,10/1/1999,0.88,267870.37,1125.14,4.530326476,17.34763158,1,0.899910256,0.432750437,1.614977155,0.75315498,1.447891584,1.42618904
40,843,South Dakota,Beresford,5/5/1998,TMF 421,8/16/1999,1.37,354652.13,1203.14,1.780211685,14.3690993,2,0.899910256,0.432750437,1.565010484,0.753682968,1.447891584,1.739590743
41,798,South Dakota,Watertown,4/3/1999,TMF 421,9/25/2001,1.02,370757.16,1302.9,1.780211685,12.92289585,1,0.899910256,0.432750437,1.999049959,0.747335968,1.465802396,1.491803724
42,252,South Dakota,Beresford,5/5/1998,CW 74040,8/3/1999,0.62,306780.76,1795.4,1.780211685,16.13725514,1,0.899910256,0.432750437,1.205654761,,1.464542589,1.348391184
43,350,South Dakota,Watertown,5/5/1998,WL 325HQ,7/12/2001,0.82,303839.86,1913.72,4.124099621,16.66316781,2,0.899910256,0.432750437,1.685278583,,1.447891584,1.679435087
44,843,South Dakota,Watertown,5/22/1996,ICI 620,8/16/1999,1.37,370757.16,1627.42,1.780211685,12.99112005,2,0.899910256,0.432750437,1.999049959,,1.468765052,1.44785404
45,843,South Dakota,Watertown,4/3/1999,Garst 6420,10/1/1999,1.03,183737.14,1946.54,4.70586597,16.58891827,1,0.899910256,0.432750437,1.999049959,0.752812333,1.468765052,1.713876056
46,843,South Dakota,Beresford,5/5/1998,Legend Gold,9/25/2001,0.94,370757.16,1478.32,4.523373507,17.18843563,1,0.899910256,0.432750437,1.826673396,,1.450610114,1.417996822
47,94,South Dakota,Beresford,4/28/2000,Excalibur II,9/25/2001,1.07,370757.16,2045.37,1.845301566,13.14542372,2,0.899910256,0.432750437,1.219876939,0.808716643,1.468765052,1.672250585
48,740,South Dakota,Beresford,4/3/1999,DK 127,8/16/1999,0.91,239349.27,929.65,4.743483146,14.19607154,1,0.899910256,0.432750437,1.153409214,0.765973181,1.467046299,1.401014898
49,117,South Dakota,Watertown,5/5/1998,Bounty,8/6/2001,1.28,255339.21,2120.9,4.743483146,16.65723483,2,0.899910256,0.432750437,0.75876337,0.7662851,1.462717855,1.395638649
50,842,South Dakota,Watertown,5/5/1998,Rebound 4.2,7/12/2001,1.02,245519.36,1722.24,1.780211685,16.65911882,2,0.899910256,0.432750437,1.565166558,0.782971246,1.447891584,1.406912427
51,673,South Dakota,Highmore,4/25/1997,ABT 205,8/6/2001,1.01,367892.06,1944.54,1.808014004,12.92289585,1,0.899910256,0.432750437,1.717037938,,1.467375621,1.729094675
52,395,South Dakota,Highmore,5/5/1998,Husky Supreme,8/3/1999,1.08,370757.16,1451.12,4.578929009,12.92289585,2,0.899910256,0.432750437,1.896207275,,1.467240145,1.335313192
53,785,South Dakota,Beresford,4/28/2000,DK 127,7/12/2001,0.96,170064.54,924.63,1.780211685,12.92289585,2,0.899910256,0.432750437,1.035942365,,1.447891584,1.425442318
54,195,South Dakota,Beresford,5/22/1996,DK 127,8/3/1999,0.73,302122.2,2151.68,4.387934139,14.10889684,2,0.899910256,0.432750437,1.219882714,0.764495904,1.447891584,1.443517663
55,624,South Dakota,Beresford,5/22/1996,Rhino,8/16/1999,1.0,302705.44,2008.16,1.780211685,16.96972187,2,0.899910256,0.432750437,1.587115061,,1.447891584,1.710852815
56,721,South Dakota,Highmore,4/28/2000,TMF Multiplier II,10/1/1999,0.5,370757.16,1775.53,1.780211685,13.40966896,1,0.899910256,0.432750437,1.83938784,0.756713317,1.465854312,1.334655228
57,94,South Dakota,Highmore,4/25/1997,CW 74040,8/6/2001,0.86,370757.16,2100.83,2.126680654,15.09945571,2,0.899910256,0.432750437,1.23291514,,1.447944664,1.649158706
58,843,South Dakota,Beresford,4/3/1999,WL232 HQ,10/1/1999,0.85,257226.18,1832.27,4.743483146,14.34638407,2,0.899910256,0.432750437,1.366411425,0.754833157,1.468765052,1.2856269
59,762,South Dakota,Beresford,4/28/2000,WL 232HQ,8/16/1999,1.23,149926.17,1655.45,1.780211685,16.33234141,1,0.899910256,0.432750437,1.870657499,0.762361905,1.465505263,1.621051027
60,365,South Dakota,Watertown,4/28/2000,Award,10/1/1999,1.25,370757.16,1604.86,4.302139484,16.4419894,1,0.899910256,0.432750437,1.501428706,,1.468765052,1.32107043
61,843,South Dakota,Highmore,4/28/2000,645-II,8/3/1999,0.89,352790.3,1575.28,1.780211685,16.52018615,1,0.899910256,0.432750437,1.20656299,0.750347502,1.465901007,1.448427079
62,843,South Dakota,Beresford,5/5/1998,645-11,10/1/1999,1.12,276750.36,1136.79,1.780211685,17.06220261,1,0.899910256,0.432750437,1.864204451,0.750054973,1.447891584,1.666025686
63,319,South Dakota,Beresford,4/25/1997,DK 140,9/25/2001,0.68,316906.04,1595.86,4.364456382,16.43582426,1,0.899910256,0.432750437,0.923974927,0.77602387,1.467856843,1.397231804
64,843,South Dakota,Beresford,4/28/2000,CW5321,10/1/1999,0.8,370757.16,2151.68,1.92955434,17.09600178,2,0.899910256,0.432750437,1.353431806,0.74816867,1.447891584,1.19
65,843,South Dakota,Watertown,5/22/1996,Goldrush 747,7/12/2001,1.04,337455.64,1863.73,1.780211685,16.34807802,1,0.899910256,0.432750437,1.783701064,,1.463051313,1.504255402
66,239,South Dakota,Beresford,5/22/1996,Vernal,8/6/2001,1.27,184608.06,1950.97,1.780211685,12.92289585,2,0.899910256,0.432750437,1.485974861,0.754500226,1.447891584,1.364995813
67,843,South Dakota,Beresford,4/25/1997,CW 5321,8/16/1999,0.84,370757.16,1820.73,1.972477306,13.68924064,2,0.899910256,0.432750437,1.457789291,,1.447891584,1.593367726
68,843,South Dakota,Highmore,4/25/1997,Pioneer Brand 5312,7/12/2001,0.85,178261.72,1464.93,1.780211685,14.71296003,1,0.899910256,0.432750437,1.999049959,0.705806452,1.465507942,1.382633856
69,750,South Dakota,Beresford,4/28/2000,DK 127,9/25/2001,1.37,370757.16,1943.83,4.743483146,16.88054478,1,0.899910256,0.432750437,1.714929951,0.749393195,1.467946139,1.357384935
70,843,South Dakota,Highmore,4/28/2000,CW 2227,9/25/2001,0.82,277093.4,1214.12,1.849988018,13.87933264,1,0.899910256,0.432750437,1.999049959,0.705806452,1.462460034,1.19
71,404,South Dakota,Watertown,4/28/2000,CW 64049,10/1/1999,1.17,350968.47,1447.31,4.586264932,16.80176356,2,0.899910256,0.432750437,1.974204707,0.744266731,1.447891584,1.499431236
72,219,South Dakota,Watertown,4/28/2000,WL 324,9/25/2001,1.36,370757.16,1393.29,1.780211685,14.97978307,2,0.899910256,0.432750437,1.800754284,,1.466178243,1.609244205
73,401,South Dakota,Watertown,4/3/1999,Goldrush 747,10/1/1999,0.82,370757.16,1179.86,1.780211685,12.92289585,2,0.899910256,0.432750437,1.999049959,0.762184036,1.447891584,1.532339949
74,843,South Dakota,Highmore,5/5/1998,CW 64026,8/16/1999,1.26,356511.92,924.63,4.254883305,16.63300153,1,0.899910256,0.432750437,0.810560956,,1.447891584,1.414209406
75,843,South Dakota,Watertown,4/3/1999,WinterKing,8/6/2001,0.89,369742.82,1117.96,1.780211685,12.92289585,2,0.899910256,0.432750437,1.439926344,0.715241447,1.466359118,1.520868597
76,159,South Dakota,Highmore,4/3/1999,DK 140,8/16/1999,0.93,294780.86,1097.35,4.743483146,16.40699516,1,0.899910256,0.432750437,1.809180154,,1.464708201,1.622473943
77,843,South Dakota,Beresford,5/5/1998,Garst 6420,8/6/2001,0.78,370757.16,1797.98,1.780211685,14.43444576,2,0.899910256,0.432750437,1.393412106,0.762338074,1.468765052,1.428334157
78,842,South Dakota,Watertown,5/5/1998,Excel,8/6/2001,1.02,283833.82,925.8,4.743483146,16.32474659,1,0.899910256,0.432750437,0.856416575,,1.468269297,1.289139896
79,240,South Dakota,Beresford,5/5/1998,CW 74040,10/1/1999,0.77,199775.21,1436.8,1.847411331,12.92289585,1,0.899910256,0.432750437,1.999049959,0.712958641,1.464059024,1.458355882
80,286,South Dakota,Watertown,4/25/1997,Excalibur II,7/12/2001,0.87,296840.02,1468.35,2.245307694,16.60758605,2,0.899910256,0.432750437,1.140379321,,1.463989689,1.261781697
