,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Avg of AAYPVPP,STD AAYPVP,Num STDs,Avg Yield of Varieties Per Cut,Annual Avg Yield,Avg Annual Yield Per Variety Per Plant
0,734,South Dakota,Watertown,5/22/1996,Vernal,8/16/1999,0.55,269916.4,1894.96,1.887556898,13.49513633,1,0.899910256,0.432750437,0.970582999,0.847608571,1.447891584,1.663986621
1,297,South Dakota,Beresford,5/5/1998,ICI 620,10/1/1999,0.56,294087.31,1653.82,1.95864986,14.67611656,1,0.899910256,0.432750437,1.251646258,,1.447891584,1.634254063
2,184,South Dakota,Watertown,5/22/1996,CW 5236,8/6/2001,0.61,273027.33,1486.55,4.438732415,16.95137481,1,0.899910256,0.432750437,0.897638461,0.830795286,1.451992646,1.638771941
3,163,South Dakota,Beresford,5/5/1998,Vernal,8/6/2001,1.08,370757.16,1708.33,1.780211685,15.66365577,1,0.899910256,0.432750437,1.004617355,0.786215853,1.467673719,1.488763587
4,94,South Dakota,Highmore,5/5/1998,WL 252HQ,10/1/1999,0.65,178863.34,1060.06,4.433432091,14.15928715,2,0.899910256,0.432750437,1.58914727,0.774966259,1.447891584,1.312089073
5,94,South Dakota,Watertown,4/3/1999,Complete,10/1/1999,0.75,359387.06,1452.31,1.874424497,16.94837801,1,0.899910256,0.432750437,1.640523358,0.823975596,1.447891584,1.476086158
6,843,South Dakota,Watertown,4/3/1999,Vernal,9/25/2001,0.61,275011.93,2151.68,1.780211685,17.34763158,1,0.899910256,0.432750437,0.987984185,0.761033712,1.468765052,1.523116267
7,118,South Dakota,Beresford,4/3/1999,ICI 620,9/25/2001,0.86,370757.16,1958.7,4.743483146,15.35034321,2,0.899910256,0.432750437,1.999049959,0.705806452,1.468765052,1.439377913
8,833,South Dakota,Beresford,4/25/1997,645-II,9/25/2001,0.58,289813.5,1893.68,1.798944747,17.15878881,1,0.899910256,0.432750437,1.572311359,,1.448636826,1.765
9,153,South Dakota,Watertown,4/28/2000,TMF 421,10/1/1999,0.5,370757.16,1429.29,1.780211685,17.16272894,1,0.899910256,0.432750437,1.37331407,0.807500191,1.447891584,1.744610975
10,683,South Dakota,Beresford,4/3/1999,WL 324,10/1/1999,0.78,282135.82,2151.68,1.780211685,17.33494922,2,0.899910256,0.432750437,1.148988026,0.772044415,1.467083768,1.526580048
11,119,South Dakota,Beresford,5/5/1998,DK 122,9/25/2001,0.5,146151.1,2149.75,2.294902613,17.03942436,2,0.899910256,0.432750437,1.045551152,,1.447891584,1.530691825
12,672,South Dakota,Beresford,4/28/2000,Columbia 2000,10/1/1999,0.56,262762.53,2151.68,4.743483146,12.92289585,1,0.899910256,0.432750437,1.077742679,0.761096357,1.447891584,1.486760707
13,94,South Dakota,Beresford,4/28/2000,Award,8/16/1999,0.76,370757.16,1324.7,1.780211685,16.88664202,2,0.899910256,0.432750437,0.706271917,0.716195979,1.468595245,1.410968758
14,410,South Dakota,Beresford,5/22/1996,Frontier 2000,8/16/1999,0.5,370757.16,2151.68,4.743483146,16.89777075,1,0.899910256,0.432750437,1.516710119,0.762559169,1.462657914,1.495426491
15,278,South Dakota,Beresford,4/25/1997,MagnumV,7/12/2001,0.51,342260.6,1660.88,2.195556077,15.27036664,2,0.899910256,0.432750437,1.165849835,0.705806452,1.462859265,1.627959425
16,824,South Dakota,Watertown,4/28/2000,Husky Supreme,8/6/2001,1.15,286024.64,1692.94,1.95206924,15.59847211,2,0.899910256,0.432750437,1.213351904,,1.463383238,1.359898103
17,392,South Dakota,Watertown,4/28/2000,TMF Multiplier II,8/6/2001,0.5,304187.33,1963.05,1.892007373,16.96085223,1,0.899910256,0.432750437,1.314682982,0.83218043,1.468587556,1.523248596
18,355,South Dakota,Beresford,5/22/1996,5347LH,7/12/2001,0.78,274806.26,2045.29,4.105282437,17.34763158,2,0.899910256,0.432750437,1.084015877,0.744072547,1.447891584,1.530276751
19,204,South Dakota,Beresford,4/28/2000,MT 9503,8/16/1999,0.99,304798.46,1746.96,2.088121782,13.3598649,1,0.899910256,0.432750437,1.074143597,0.731351305,1.448041334,1.325772394
20,244,South Dakota,Watertown,5/22/1996,Asset,9/25/2001,0.71,370757.16,1397.06,2.232666949,15.78685947,1,0.899910256,0.432750437,0.923097785,0.769005134,1.461395679,1.310180527
21,193,South Dakota,Watertown,4/25/1997,WL 252HQ,8/6/2001,0.77,162450.43,1853.07,4.743483146,17.34763158,2,0.899910256,0.432750437,0.798070089,,1.449832276,1.455574329
22,794,South Dakota,Watertown,4/25/1997,Maverick,10/1/1999,0.77,213092.09,1403.81,4.743483146,17.34763158,1,0.899910256,0.432750437,1.105767024,0.766186983,1.447891584,1.401145602
23,94,South Dakota,Watertown,4/25/1997,TMF 421,8/16/1999,0.91,273863.85,2151.68,2.102896774,17.09175311,0,0.899910256,0.432750437,0.882027199,,1.46643429,1.413636524
24,708,South Dakota,Highmore,5/22/1996,Multiplier 3,8/6/2001,0.75,308022.73,1960.92,1.780211685,13.72625251,2,0.899910256,0.432750437,1.167536184,0.781142276,1.45210093,1.383126101
25,318,South Dakota,Highmore,5/5/1998,Garst 6420,10/1/1999,0.5,289945.64,1642.42,1.780211685,15.93708891,2,0.899910256,0.432750437,1.60139573,0.742103497,1.447891584,1.295501954
26,270,South Dakota,Beresford,4/3/1999,CW72005,9/25/2001,0.51,370757.16,2076.86,1.958912606,12.95839129,1,0.899910256,0.432750437,1.359697285,0.760658608,1.447891584,1.480281835
27,94,South Dakota,Beresford,4/25/1997,Legend Gold,9/25/2001,0.54,370757.16,1806.69,4.743483146,12.92289585,2,0.899910256,0.432750437,0.944963194,0.841059044,1.464362777,1.298232946
28,368,South Dakota,Beresford,4/25/1997,DK 134,8/6/2001,0.54,370757.16,2011.57,2.018269947,15.21912605,2,0.899910256,0.432750437,1.999049959,,1.468765052,1.620221163
29,778,South Dakota,Beresford,4/25/1997,Vernal,7/12/2001,0.5,313345.6,1893.3,2.119737006,15.17324964,2,0.899910256,0.432750437,0.964474071,,1.447891584,1.676497361
30,843,South Dakota,Watertown,4/3/1999,WL 324,8/16/1999,0.57,315806.32,2151.68,4.741274887,14.52783919,1,0.899910256,0.432750437,1.313555932,,1.448716987,1.399423223
31,843,South Dakota,Watertown,4/25/1997,CW 5236,8/16/1999,0.68,208426.99,2134.18,1.785658998,14.6333004,1,0.899910256,0.432750437,0.670339574,,1.450555228,1.521003036
32,739,South Dakota,Highmore,5/22/1996,Garst 620,10/1/1999,0.76,310089.82,1924.22,4.569259825,16.97519273,1,0.899910256,0.432750437,1.873296009,,1.448439823,1.286842327
33,118,South Dakota,Beresford,5/5/1998,Vernal,9/25/2001,0.54,356292.39,2151.68,4.743483146,16.86553366,2,0.899910256,0.432750437,0.701891239,,1.447891584,1.601373375
34,94,South Dakota,Beresford,4/25/1997,DK 140,9/25/2001,0.57,370757.16,924.63,2.718582215,17.10505296,1,0.899910256,0.432750437,1.613619629,,1.447891584,1.310621864
35,624,South Dakota,Watertown,5/5/1998,CW 72008,8/16/1999,0.71,370757.16,1646.62,2.08600004,12.92289585,2,0.899910256,0.432750437,1.61350693,0.796043697,1.447891584,1.565398018
36,735,South Dakota,Beresford,4/28/2000,Amerigraze 401+Z,10/1/1999,0.66,303746.28,2151.68,4.451545005,14.53138589,2,0.899910256,0.432750437,0.723007238,0.762224291,1.447891584,1.626280523
37,843,South Dakota,Beresford,4/28/2000,Depend +Ev,9/25/2001,1.12,317488.97,1268.88,1.780211685,13.40769982,1,0.899910256,0.432750437,0.759894641,0.756393065,1.447891584,1.723535613
38,843,South Dakota,Highmore,4/3/1999,Goldrush 747,9/25/2001,0.65,301401.02,2151.68,2.495906748,17.34763158,2,0.899910256,0.432750437,0.670339574,,1.447891584,1.199439372
39,755,South Dakota,Highmore,4/25/1997,MagnumV,8/3/1999,0.88,306369.63,1973.23,4.621736219,16.90069266,2,0.899910256,0.432750437,1.003591525,0.795826311,1.448157531,1.261517059
40,317,South Dakota,Watertown,4/28/2000,GH 750,8/16/1999,1.2,287619.42,1955.42,1.886941499,17.34763158,1,0.899910256,0.432750437,1.660258299,0.764677822,1.462031015,1.546654032
41,835,South Dakota,Highmore,4/28/2000,Excalibur II,7/12/2001,1.13,189435.53,1683.39,4.732950816,15.05567051,1,0.899910256,0.432750437,1.244436147,0.722055117,1.447891584,1.43010547
42,716,South Dakota,Beresford,4/28/2000,CW 2227,8/3/1999,0.8,304442.93,2036.01,2.248335234,16.90573098,1,0.899910256,0.432750437,1.310094635,,1.462598904,1.468993989
43,200,South Dakota,Highmore,4/28/2000,Abound,9/25/2001,0.56,172417.91,2151.68,2.08594104,14.56857583,2,0.899910256,0.432750437,1.117575059,0.820890721,1.451538479,1.508875461
44,268,South Dakota,Watertown,4/3/1999,AlfaStar,8/6/2001,0.5,283848.81,1400.93,1.894869892,17.01088396,2,0.899910256,0.432750437,1.382368969,0.753317486,1.468765052,1.51491993
45,201,South Dakota,Beresford,4/25/1997,Garst 6420,8/6/2001,0.7,286169.24,2054.23,4.605175394,16.47957362,1,0.899910256,0.432750437,1.323445452,0.751601066,1.447891584,1.757904338
46,107,South Dakota,Watertown,5/22/1996,Ciba 2888,8/16/1999,0.9,212308.49,2151.68,1.780211685,13.61908887,1,0.899910256,0.432750437,1.307188414,0.765640221,1.467816328,1.765
47,255,South Dakota,Watertown,5/22/1996,Vernal,8/6/2001,0.54,172947.14,1981.35,2.126773343,16.17093209,2,0.899910256,0.432750437,1.222822608,,1.468765052,1.765
48,697,South Dakota,Beresford,5/5/1998,Award,10/1/1999,0.76,166903.98,2034.39,4.689475115,17.25079774,1,0.899910256,0.432750437,1.954394645,,1.468765052,1.541776398
49,300,South Dakota,Watertown,4/25/1997,ICI 631,9/25/2001,1.14,229501.69,2092.28,1.944236904,14.92403985,1,0.899910256,0.432750437,1.721958293,0.776243865,1.468765052,1.359917623
50,255,South Dakota,Beresford,5/5/1998,TMF Multiplier II,8/6/2001,0.65,323208.04,2151.68,2.27172511,16.70236888,1,0.899910256,0.432750437,0.835451437,0.835603767,1.46500542,1.635227362
51,413,South Dakota,Beresford,5/22/1996,Ciba 2444,8/3/1999,0.5,336568.15,1958.78,2.027790673,16.45828954,2,0.899910256,0.432750437,0.950593907,0.785970268,1.450586752,1.569496832
52,229,South Dakota,Beresford,4/3/1999,Garst 6410,10/1/1999,0.61,284152.8,924.63,1.780211685,13.45253859,2,0.899910256,0.432750437,1.428876517,0.784418995,1.451587743,1.765
53,245,South Dakota,Beresford,4/3/1999,Garst 620,9/25/2001,0.88,280368.67,2151.68,4.260140598,15.64066506,1,0.899910256,0.432750437,1.104468117,,1.450745936,1.223996856
54,813,South Dakota,Beresford,4/28/2000,DK124,8/16/1999,0.52,148118.78,1315.33,1.946946848,14.36778166,1,0.899910256,0.432750437,1.23750169,,1.447891584,1.325831872
55,425,South Dakota,Watertown,5/5/1998,Travois,7/12/2001,0.82,370757.16,1783.62,1.780211685,14.27242805,2,0.899910256,0.432750437,0.891741243,0.762201913,1.447891584,1.488807892
56,285,South Dakota,Highmore,4/28/2000,Pioneer Brand 5454,8/6/2001,0.76,370757.16,1731.45,1.780211685,17.34763158,1,0.899910256,0.432750437,1.600572859,0.705806452,1.447891584,1.657176293
57,251,South Dakota,Highmore,5/22/1996,DK 127,8/6/2001,0.5,279358.76,1894.47,4.080877454,17.34763158,2,0.899910256,0.432750437,0.884840584,,1.447891584,1.480205266
58,115,South Dakota,Watertown,5/5/1998,Alfastar,10/1/1999,0.5,370757.16,1427.46,2.155728385,16.3550428,2,0.899910256,0.432750437,1.319271169,0.761422392,1.466059024,1.310430605
59,229,South Dakota,Watertown,5/5/1998,CW 75044,10/1/1999,0.52,309538.14,1914.46,1.83901465,14.51324713,2,0.899910256,0.432750437,1.224388663,,1.450156587,1.389746178
60,256,South Dakota,Beresford,4/28/2000,Asset,8/6/2001,0.8,198376.67,2151.68,2.17528956,12.92289585,2,0.899910256,0.432750437,1.469356491,0.759718263,1.452281142,1.41788927
61,94,South Dakota,Beresford,4/28/2000,DK 122,10/1/1999,0.8,296949.44,2151.68,1.780211685,16.43971472,1,0.899910256,0.432750437,1.277642883,,1.447891584,1.414397016
62,243,South Dakota,Beresford,5/5/1998,CW 5236,10/1/1999,0.91,292317.0,2151.68,4.363736795,17.34763158,1,0.899910256,0.432750437,1.999049959,,1.447891584,1.382127896
63,94,South Dakota,Beresford,4/28/2000,Pioneer Brand 53H81,7/12/2001,0.64,347200.15,1935.66,1.780211685,15.14448847,1,0.899910256,0.432750437,1.414398315,,1.466811716,1.550185456
64,655,South Dakota,Beresford,4/28/2000,DK 140,7/12/2001,0.59,191231.44,2151.68,4.743483146,15.68039459,1,0.899910256,0.432750437,0.670339574,0.763730193,1.447891584,1.627677273
65,787,South Dakota,Highmore,5/5/1998,CW 73029,10/1/1999,0.95,286128.16,1950.98,1.780211685,17.34763158,1,0.899910256,0.432750437,1.102499647,,1.447891584,1.659259676
