,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Avg of AAYPVPP,STD AAYPVP,Num STDs,Avg Yield of Varieties Per Cut,Annual Avg Yield,Avg Annual Yield Per Variety Per Plant
0,98,South Dakota,Highmore,4/28/2000,CW 94008,8/3/1999,0.71,291500.11,1588.31,4.578594209,17.34763158,2,0.899910256,0.432750437,1.271126427,0.7407737,1.450888657,1.221242957
1,663,South Dakota,Beresford,4/25/1997,Saranac AR,8/16/1999,0.79,284081.0,2151.68,2.108726622,17.12151606,0,0.899910256,0.432750437,1.089776043,0.777304087,1.468765052,1.50290072
2,98,South Dakota,Beresford,5/5/1998,Multiplier 3,8/16/1999,0.99,370757.16,924.63,2.169256846,16.78571375,2,0.899910256,0.432750437,0.883917979,0.763985322,1.447891584,1.204942845
3,94,South Dakota,Beresford,4/3/1999,Pioneer Brand 5312,8/16/1999,0.62,261206.85,1711.0,4.743483146,17.34763158,1,0.899910256,0.432750437,1.422648409,0.808178438,1.450509448,1.368069955
4,94,South Dakota,Watertown,5/5/1998,Ciba 2888,8/16/1999,0.9,370757.16,1488.84,1.996332758,12.92289585,1,0.899910256,0.432750437,0.96506436,,1.467930384,1.273779743
5,623,South Dakota,Highmore,4/25/1997,Excalibur II,8/3/1999,0.83,370757.16,1751.0,2.580176969,14.17185274,1,0.899910256,0.432750437,1.25451059,0.746803601,1.468765052,1.213673357
6,216,South Dakota,Watertown,4/3/1999,Vernal,8/16/1999,1.26,357644.4,1361.2,4.743483146,17.34763158,1,0.899910256,0.432750437,0.784561436,,1.447891584,1.269697713
7,238,South Dakota,Watertown,5/5/1998,Viking I,10/1/1999,1.07,370757.16,1156.51,2.202594313,16.59262251,1,0.899910256,0.432750437,1.152609961,0.744418022,1.468662709,1.29184557
8,634,South Dakota,Highmore,5/22/1996,CW5236,10/1/1999,0.97,370757.16,1984.68,4.743483146,16.43486153,2,0.899910256,0.432750437,1.602443415,0.80328466,1.468765052,1.522558651
9,663,South Dakota,Highmore,5/5/1998,Excalibur II,8/6/2001,0.95,277913.09,2023.67,4.743483146,13.84716905,1,0.899910256,0.432750437,0.802866132,0.75772682,1.467865447,1.423625806
10,677,South Dakota,Highmore,5/22/1996,Asset,8/16/1999,1.07,201392.11,2114.2,4.743483146,17.03726078,1,0.899910256,0.432750437,1.3780547,0.705806452,1.448916979,1.326810699
11,94,South Dakota,Beresford,4/25/1997,CW5321,8/16/1999,1.29,146151.1,1827.6,1.780211685,17.34763158,1,0.899910256,0.432750437,0.856954613,,1.448219816,1.289621167
12,94,South Dakota,Beresford,4/25/1997,CW 64004,7/12/2001,0.99,370757.16,1339.94,2.388446694,13.00785245,2,0.899910256,0.432750437,0.763786505,0.705806452,1.449845193,1.190329602
13,778,South Dakota,Highmore,5/5/1998,MT 9503,9/25/2001,0.8,313730.45,1764.89,2.134996465,17.34763158,2,0.899910256,0.432750437,0.806826452,,1.448133879,1.40576097
14,94,South Dakota,Beresford,4/3/1999,CW 74040,10/1/1999,1.0,365467.78,2151.68,4.507244997,15.3075037,1,0.899910256,0.432750437,1.04136855,0.762812352,1.448588549,1.379905075
15,121,South Dakota,Beresford,5/22/1996,DK 127,8/3/1999,0.84,302844.82,2151.68,2.026908975,15.5046232,1,0.899910256,0.432750437,0.93594227,,1.451264037,1.328665077
16,153,South Dakota,Beresford,4/3/1999,FQ 315,8/16/1999,0.99,368025.68,2108.67,4.743483146,17.34763158,1,0.899910256,0.432750437,0.670339574,,1.468339426,1.19
17,796,South Dakota,Beresford,4/3/1999,Columbia 2000,10/1/1999,0.96,187028.37,2092.61,4.743483146,16.84232259,1,0.899910256,0.432750437,1.809592467,0.756415952,1.447891584,1.242450844
18,94,South Dakota,Watertown,5/5/1998,FQ 315,8/16/1999,0.96,273434.78,1855.55,4.324542083,17.34763158,2,0.899910256,0.432750437,0.670339574,0.755430002,1.451322371,1.2373111
19,94,South Dakota,Beresford,5/22/1996,CW 5236,10/1/1999,0.88,370757.16,2008.83,2.297554579,17.3352031,1,0.899910256,0.432750437,1.514347312,,1.468765052,1.354144825
20,94,South Dakota,Watertown,4/3/1999,DK 122,8/6/2001,1.37,370757.16,924.63,2.311984332,15.98436257,2,0.899910256,0.432750437,1.114288468,0.759833432,1.465661478,1.451539735
21,198,South Dakota,Watertown,4/28/2000,Garst 6420,8/6/2001,0.91,262232.44,2151.68,2.080784492,16.74104982,1,0.899910256,0.432750437,1.210736625,0.751423056,1.449378499,1.240607157
