,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Avg of AAYPVPP,STD AAYPVP,Num STDs,Avg Yield of Varieties Per Cut,Annual Avg Yield,Avg Annual Yield Per Variety Per Plant
0,761,South Dakota,Beresford,4/28/2000,Vernal,9/25/2001,0.71,161679.36,1070.31,4.712091437,17.03619729,1,0.899910256,0.432750437,1.303279965,,1.468665665,1.336056087
1,193,South Dakota,Highmore,5/5/1998,WL 325HQ,10/1/1999,0.74,281684.73,1893.7,4.699685689,17.04893387,1,0.899910256,0.432750437,1.11256515,0.800298693,1.447898338,1.405837026
2,789,South Dakota,Watertown,4/3/1999,Vernal,8/6/2001,0.75,277006.63,1544.7,1.990015747,13.90968562,1,0.899910256,0.432750437,1.146025291,,1.468672702,1.36755256
3,191,South Dakota,Beresford,5/22/1996,WL 324,8/16/1999,0.79,365181.24,2069.9,4.629810771,16.74654342,2,0.899910256,0.432750437,1.944260805,0.764986529,1.447891584,1.647961778
4,140,South Dakota,Beresford,4/25/1997,Vernal,10/1/1999,0.75,283756.26,1983.88,4.742809991,16.85372911,1,0.899910256,0.432750437,0.985913347,0.707178744,1.44795712,1.401700265
5,222,South Dakota,Watertown,5/22/1996,Vernal,8/16/1999,0.83,369635.02,2048.51,1.861211972,13.49840676,1,0.899910256,0.432750437,1.11479945,0.765079964,1.447931831,1.279862498
6,203,South Dakota,Watertown,5/22/1996,Vernal,8/16/1999,0.69,274656.66,2031.11,1.929577136,13.23375675,1,0.899910256,0.432750437,0.899331652,0.763790731,1.447891584,1.2570888
7,789,South Dakota,Watertown,4/3/1999,Garst 6420,8/6/2001,0.89,277572.7,1530.55,1.9492023,14.16192766,1,0.899910256,0.432750437,1.659431822,,1.468723128,1.337189766
8,789,South Dakota,Watertown,5/5/1998,Vernal,7/12/2001,0.81,361275.05,1935.16,1.966093854,13.87593931,1,0.899910256,0.432750437,1.584338796,0.76488528,1.468528383,1.433044535
9,160,South Dakota,Beresford,4/25/1997,WL 324,10/1/1999,0.82,280692.87,1971.15,4.719398052,16.97318827,1,0.899910256,0.432750437,1.34056234,0.706243555,1.447977143,1.487882483
10,738,South Dakota,Highmore,5/5/1998,Vernal,7/12/2001,0.81,366077.59,1977.31,1.958875919,14.62547023,1,0.899910256,0.432750437,1.064375135,0.761799002,1.46862589,1.332788393
11,766,South Dakota,Highmore,5/5/1998,Vernal,7/12/2001,0.81,367310.16,1930.34,1.968306336,14.72103634,1,0.899910256,0.432750437,1.363860543,,1.468733063,1.397365105
12,171,South Dakota,Highmore,5/5/1998,WL 324,8/3/1999,0.95,156341.54,1964.29,4.586089082,17.10782051,1,0.899910256,0.432750437,1.033254316,0.802797153,1.44801138,1.414495039
13,762,South Dakota,Watertown,5/5/1998,Vernal,8/6/2001,0.9,280919.44,1960.38,1.979845892,14.14511185,1,0.899910256,0.432750437,1.188128901,,1.468763063,1.411516101
14,787,South Dakota,Watertown,4/3/1999,Vernal,8/6/2001,0.95,277002.34,1498.45,2.004257409,14.13980696,1,0.899910256,0.432750437,1.190941177,,1.468632259,1.260818851
15,103,South Dakota,Beresford,4/25/1997,Vernal,10/1/1999,0.76,283804.39,2014.98,4.743483146,16.89676712,1,0.899910256,0.432750437,1.28688218,0.708147099,1.447921339,1.365609786
16,183,South Dakota,Highmore,5/5/1998,WL 324,8/3/1999,0.93,160693.97,1054.4,4.613371313,17.05856771,1,0.899910256,0.432750437,1.617120009,0.763761453,1.44796011,1.442464653
17,236,South Dakota,Watertown,5/22/1996,WL 324,8/16/1999,0.73,366781.88,2078.01,1.848760771,13.36503085,2,0.899910256,0.432750437,1.261777966,0.766246301,1.447940573,1.582176585
18,149,South Dakota,Highmore,5/5/1998,WL 324,10/1/1999,0.73,163852.65,1988.76,4.667281758,17.04301855,1,0.899910256,0.432750437,1.016675325,0.763663518,1.44801432,1.358127451
19,166,South Dakota,Highmore,5/5/1998,TMF Multiplier II,8/3/1999,0.74,165287.29,1921.5,4.645673031,17.20094748,1,0.899910256,0.432750437,1.070591373,0.803930163,1.448020718,1.292525088
20,781,South Dakota,Watertown,5/5/1998,Vernal,8/6/2001,0.7,360785.15,1996.88,1.9135878,13.87319312,1,0.899910256,0.432750437,0.979546382,,1.468757607,1.384324331
21,176,South Dakota,Highmore,5/5/1998,Vernal,8/3/1999,0.83,156658.98,2001.9,4.613290546,17.05875859,1,0.899910256,0.432750437,0.888704589,0.76326151,1.447891584,1.363364955
22,172,South Dakota,Beresford,4/25/1997,Rainier,10/1/1999,0.71,280099.48,2019.01,4.641841742,16.78918928,1,0.899910256,0.432750437,0.83213036,0.707311391,1.447981565,1.329409372
23,773,South Dakota,Highmore,5/5/1998,Vernal,8/3/1999,0.78,280396.7,1918.08,1.928935838,14.21214712,1,0.899910256,0.432750437,0.809554099,0.761865924,1.468566003,1.292079262
