,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2,369162.0,2386.1,0.940964702,15.81459484
1,1,262352.0,1758.98,2.724047796,17.36686516
2,2,264525.0,1622.96,3.566851088,15.91123708
3,2,148058.0,1341.38,4.884593946,11.90281214
4,1,241417.0,1956.38,2.28873865,14.65812431
5,0,258887.0,1865.37,2.474554464,13.0595064
6,2,232106.0,1924.21,0.158654374,15.01938299
7,2,160174.0,591.19,3.274712391,14.3616039
8,2,149957.0,1828.2,2.205843828,12.93710823
9,3,233898.0,1012.22,2.915063972,15.18388156
10,2,341048.0,2099.28,1.578259835,12.94349108
11,2,271151.0,2169.43,2.565821688,11.8367726
12,2,260130.0,1925.46,2.221631166,11.6781835
13,2,147172.0,617.28,3.778451435,16.46696167
14,2,241934.0,1816.28,0.900519308,15.01872893
15,1,363059.0,1574.95,2.056180702,13.60652739
16,1,253927.0,1677.35,1.750288545,17.17354035
17,1,153577.0,1935.66,3.3351819,13.72193637
18,2,166803.0,1917.99,3.119326836,17.24272897
19,1,256513.0,664.91,3.904340512,15.00686958
20,2,354498.0,1306.59,4.602236168,12.90344227
21,2,129398.0,2038.92,2.932883669,14.68715797
22,2,114947.0,881.87,2.714014979,17.07291973
23,2,362066.0,1498.88,2.746436708,13.80286308
24,2,161482.0,2024.16,3.159318613,15.32177152
25,2,258591.0,903.14,1.690989127,13.69844218
26,2,243311.0,907.44,4.723006211,11.71840153
27,2,350660.0,809.58,1.849863299,15.1540741
28,2,326899.0,879.67,-0.326393035,11.2583727
29,2,259744.0,1435.73,3.914629831,13.50839532
30,1,248783.0,1962.44,3.952221704,15.40030885
31,2,138606.0,773.92,1.648481376,12.25924629
32,1,395047.0,855.2,2.666420134,17.73027397
33,1,156155.0,1974.87,2.017949876,16.99293779
34,2,334347.0,1195.56,2.312394438,15.25842244
35,2,236872.0,1820.51,1.71654862,15.38891571
36,1,240669.0,1547.63,0.609669862,15.14743018
37,2,381900.0,2065.18,2.497547447,15.64078502
38,2,372159.0,712.13,2.746434504,13.55856405
39,2,138504.0,1794.24,1.701647526,16.62687404
40,1,368343.0,1314.68,1.951748479,13.32743454
41,1,271990.0,2350.51,2.011718307,16.77805876
42,1,234814.0,2153.53,4.753921863,15.53960016
43,2,230186.0,823.18,0.949011709,13.57840114
44,2,251240.0,800.49,1.34616274,11.52519608
45,1,154365.0,2173.87,2.055163071,16.18161695
46,1,144577.0,2180.37,2.221615432,13.77892818
47,2,233013.0,1054.9,1.977695415,13.99713165
48,2,248024.0,1619.26,1.608122795,15.34616015
49,1,349463.0,852.42,0.825333501,12.10563354
50,1,170776.0,2791.3,4.001311137,12.27254254
51,2,139085.0,844.17,2.036925903,12.04651647
52,2,140233.0,2223.93,1.766195511,15.35430011
53,2,134083.0,1726.22,1.882904039,12.87479117
54,3,355499.0,2264.5,3.152018493,15.10928112
55,2,249760.0,2324.8,2.442613668,16.40158205
56,1,157714.0,2261.41,2.505344397,16.90943242
57,2,337290.0,1997.42,1.965986303,14.17360686
58,3,252341.0,1688.01,2.204268897,16.38126741
59,2,228860.0,1246.03,3.211595089,12.76272916
60,2,233896.0,2056.8,2.964644062,15.25058957
61,2,223303.0,1651.09,3.926369376,12.86541587
62,2,154022.0,765.53,4.396383505,15.79955664
63,2,260332.0,1266.07,0.783201565,13.55879518
64,2,249271.0,856.65,3.913867277,12.90168185
65,2,230071.0,749.2,2.397739115,14.5431549
66,3,137152.0,2018.41,1.937154354,16.14368529
67,1,352752.0,863.37,1.349119423,14.01606966
68,1,264322.0,919.94,3.980000626,12.32474442
69,2,369633.0,889.17,2.562371115,13.73255841
70,2,371594.0,1578.51,3.450963422,13.04256147
71,2,364141.0,1002.22,2.019739788,14.06651246
72,2,383361.0,1996.8,3.04751373,14.84864689
73,2,342444.0,823.6,2.040148939,13.52506596
74,2,238062.0,1904.3,2.854777059,15.07121812
75,2,122377.0,1058.89,1.801084216,15.07336182
76,2,247249.0,586.86,4.050799471,13.43141466
77,2,238901.0,2155.58,2.09990395,12.66587916
78,1,245175.0,1621.35,1.672324637,16.09219803
79,1,156096.0,1261.78,2.852927598,16.66784718
80,2,358268.0,894.16,2.227259486,11.88274511
81,1,273179.0,2334.18,2.222005574,13.62276849
82,2,354508.0,785.7,1.173397887,15.08837775
83,2,249360.0,2000.92,1.641786029,15.0945876
84,1,268927.0,834.26,2.58353688,14.97159912
85,2,350313.0,1344.69,2.325164674,14.53199312
86,1,252490.0,1700.53,0.724614182,12.17680131
87,1,381524.0,1855.46,1.4060221,12.73087714
88,1,253107.0,804.49,1.449561979,15.86811833
89,2,275887.0,1996.34,4.859090724,15.54375239
90,2,383900.0,1395.07,2.584242216,16.50361086
91,2,275930.0,1901.66,1.763895815,15.23913112
92,2,142946.0,2069.43,3.859179796,15.76922274
93,2,376972.0,1697.33,3.48750275,12.2621243
94,2,384915.0,746.18,3.232147998,16.31466134
95,2,240833.0,803.71,4.761790982,13.55715245
96,2,236889.0,2267.28,3.483973376,12.3343853
97,2,358687.0,864.32,2.147606443,14.96435287
98,2,253282.0,1413.31,1.510370109,15.93795489
99,2,219927.0,797.88,1.58585361,14.22067482
100,2,265445.0,2436.81,1.045993883,12.36847581
101,2,370555.0,668.08,2.624981361,15.05630739
102,1,141339.0,1959.04,2.361192337,15.99774031
103,1,135574.0,930.86,2.256990602,15.27850965
104,1,181886.0,586.86,3.404293434,13.23071774
105,2,133725.0,1878.43,2.134776949,14.79269612
106,2,253457.0,1748.58,2.38663858,16.17905439
107,2,231938.0,1738.64,2.761859738,15.22722321
108,2,257964.0,1936.14,2.070139879,13.3922597
109,1,280234.0,910.44,2.702718412,17.58317541
110,2,334943.0,1535.09,2.258413867,15.79686203
111,1,140933.0,708.08,3.34519815,14.53321952
112,1,174437.0,1753.06,4.027305342,16.18800288
113,1,183768.0,2253.83,4.09868467,16.88837718
114,2,240858.0,877.64,2.165683888,13.28719944
115,1,248170.0,586.86,1.481820637,15.59260437
116,1,358683.0,2020.59,2.08492608,12.75014507
117,1,255242.0,1932.25,3.149824984,15.04633943
118,2,254028.0,1771.73,1.312601159,14.51934335
119,1,140698.0,2313.54,3.650477571,16.41012631
120,1,126090.0,727.19,2.83018791,17.01702543
121,4,394460.0,1150.05,-0.022056233,16.71259204
122,1,265082.0,781.24,2.275514557,13.26873011
123,2,247796.0,2553.06,1.813731992,13.85227465
124,2,364802.0,939.55,3.010734174,13.75720696
125,2,160831.0,2344.86,2.817932585,12.38136461
126,2,381208.0,1933.12,1.754831903,15.81542867
127,2,353748.0,1478.5,2.610744832,11.26456362
128,2,248591.0,1814.16,-0.196166134,13.81293477
129,1,245227.0,859.43,0.194723668,13.86653369
130,2,350202.0,1954.56,3.093994596,13.0832421
131,1,390072.0,1815.88,1.806157451,16.23642599
132,2,371421.0,1951.69,1.261935959,14.81875879
133,1,156146.0,1015.68,4.93924406,13.66913991
134,2,147170.0,1921.99,2.509725649,15.25334597
135,1,175659.0,1762.59,3.813964126,14.80268253
136,1,257540.0,1706.55,1.829838116,14.77567975
137,2,246314.0,2343.63,3.298691634,12.84611321
138,2,362745.0,2155.13,0.458315774,12.01043297
139,2,255263.0,2306.38,0.873875711,11.64126104
140,2,242985.0,881.49,3.68860527,14.70503918
141,1,242497.0,1430.73,2.861377088,14.545436
142,2,278028.0,642.89,4.93924406,16.95076167
143,1,377722.0,1800.97,4.93924406,16.14172434
144,1,129834.0,1598.23,3.553578745,15.59842554
145,1,148918.0,857.85,3.109689045,12.97240378
146,2,353415.0,2032.83,1.950661989,12.46181816
147,2,352360.0,1685.78,1.093347901,15.08263031
148,2,379440.0,1730.51,1.861785482,14.99076314
149,1,262572.0,1915.41,1.422948122,15.32098385
