,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2,231986.0,898.36,2.899240126,12.71234304
1,2,148930.0,1903.55,3.106464187,13.23662933
2,1,276944.0,1564.68,2.011126086,17.41611935
3,2,373708.0,1113.81,1.358865211,15.73272948
4,2,147157.0,717.55,4.321158329,13.85680948
5,1,246850.0,956.02,0.46839843,12.60026614
6,2,253096.0,1647.45,1.584185481,15.98629708
7,1,253615.0,1778.86,1.717911561,17.44149851
8,2,381396.0,1737.22,1.974896093,16.89261828
9,1,256774.0,2254.87,2.218511089,13.66870245
10,1,247736.0,899.32,4.93924406,16.1441041
11,1,387586.0,2840.44,3.955930442,12.67631012
12,2,241318.0,826.62,1.433808835,15.92413805
13,1,235185.0,1290.84,1.632264989,13.6326614
14,1,170339.0,812.82,4.763844696,12.24035737
15,2,360688.0,1400.29,2.91275271,14.83244809
16,2,268287.0,1778.61,4.028397279,15.57471659
17,1,250216.0,900.3,3.941490359,16.93816207
18,2,362332.0,1459.42,3.864921005,11.2583727
19,2,155727.0,753.31,3.869696838,14.66539159
20,1,266073.0,971.72,-0.183631575,15.51604354
21,1,253274.0,804.92,3.721387205,16.30767304
22,2,231483.0,890.73,2.241583086,13.24295157
23,2,269873.0,682.6,3.562763198,16.12900118
24,1,273219.0,1864.32,3.359405996,14.06641531
25,1,385404.0,660.48,4.723560702,15.56763594
26,2,263256.0,1188.82,3.79114418,15.56701213
27,1,239905.0,1645.36,1.650469531,12.28873534
28,2,246565.0,1384.66,2.968933541,11.80277507
29,2,370287.0,2396.53,0.746049277,15.58542265
30,1,155541.0,2246.94,2.724111204,16.56934204
31,2,262829.0,1451.74,4.174917009,16.31154834
32,1,120381.0,725.63,3.768528692,15.77568125
33,1,385817.0,607.54,2.358386825,16.00455394
34,1,366625.0,1665.95,0.65724913,12.36786613
35,2,156838.0,2516.51,1.719400416,16.16400548
36,1,146725.0,1190.23,3.356544107,13.48926844
37,1,267673.0,1644.95,3.588085084,17.0481271
38,2,246155.0,1279.22,0.841621857,13.23053006
39,2,357292.0,586.86,2.622707901,12.45710676
40,0,161793.0,586.86,3.951327524,16.45252826
41,1,238194.0,586.86,3.569445904,14.29292774
42,0,250260.0,1991.43,3.891242809,16.12975438
43,1,256586.0,1612.61,2.3586303,13.27153822
44,2,248979.0,1020.12,-0.023251906,12.59030263
45,2,255255.0,1423.21,3.589295319,13.04228743
46,2,260078.0,2770.68,3.092068241,15.94056035
47,2,221244.0,2319.14,2.903337458,14.30376322
48,2,333913.0,604.9,1.470931107,12.98714213
49,1,247619.0,1200.13,3.104182846,16.36634195
50,1,134253.0,611.54,2.829727214,15.73362397
51,1,272385.0,879.41,3.095525189,13.84123352
52,1,349681.0,1826.14,4.389450288,11.2583727
53,2,270345.0,1305.1,4.12692207,16.79280194
