,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1,114947.0,1269.73,2.729063909,13.75163246
1,2,129503.0,1864.93,1.679151779,13.52369571
2,2,259121.0,2294.54,1.977335257,13.89808368
3,1,240905.0,847.8,4.08229831,17.16150106
4,2,239930.0,1404.11,2.734000835,14.70752746
5,3,165041.0,2292.99,3.021797198,15.42751018
6,3,136397.0,1241.41,3.002263539,16.07725406
7,1,155747.0,1821.24,3.654404898,13.63755093
8,2,219944.0,795.09,2.511070303,12.92094107
9,2,237873.0,1813.17,2.270876746,13.77518757
10,1,238768.0,1719.68,0.375947093,14.64083946
11,1,258039.0,3047.82,1.619208175,16.55644267
12,1,268786.0,1815.34,2.669777116,15.85496183
13,1,129584.0,1825.26,2.230904148,13.89702462
14,1,231738.0,2262.98,1.173029307,13.11215413
15,1,114947.0,2442.46,3.294413554,15.65171144
16,2,380089.0,1799.62,4.499673805,15.77713359
17,2,234437.0,2038.31,1.514686351,15.3827206
18,1,164838.0,2337.86,1.601719338,15.97933262
19,1,268021.0,1034.36,4.028441212,16.88521337
20,2,243830.0,1925.38,3.077585384,13.47689629
21,1,133545.0,1700.0,0.079592355,15.45950537
22,2,349345.0,953.23,4.742041742,16.5957821
23,1,260308.0,2209.35,1.038890337,16.96013923
24,2,348792.0,792.19,3.890533853,15.75150264
25,2,373830.0,641.11,1.166580642,16.02066168
26,3,158618.0,1776.58,3.42299128,12.08503538
27,3,134439.0,668.24,1.610929552,13.71370899
28,1,358457.0,1849.69,3.068450546,14.86092425
29,1,138653.0,1593.39,1.001528267,14.10577506
30,3,145974.0,761.95,2.91740892,14.11596045
31,2,148573.0,1358.34,3.158305457,16.14762563
32,1,119685.0,711.48,4.93924406,14.13582581
33,1,139834.0,1160.78,2.818366323,16.49621273
34,2,130400.0,849.6,2.848989065,17.50608695
35,2,147819.0,1869.8,2.279125661,15.51129131
36,1,149607.0,1720.8,2.935348332,16.18608279
37,4,142922.0,1551.28,4.381601578,14.37872689
38,1,246973.0,1005.27,0.076626077,17.28548902
39,2,279149.0,1042.18,1.963119138,13.87970649
40,1,248575.0,1456.11,3.076166121,17.07293225
41,1,150747.0,586.86,3.237062966,14.13847363
42,1,125956.0,1079.92,3.659281182,15.70831857
43,2,132390.0,1121.76,2.538384064,15.43268595
44,1,360921.0,852.71,1.430829934,17.30803794
45,1,280659.0,1943.62,3.31382338,16.05647086
46,1,135613.0,981.5,4.274888515,16.73116144
47,1,157555.0,1398.8,1.641080571,16.42838702
48,1,159092.0,659.72,1.731255599,13.70584943
49,1,132815.0,1302.89,3.913860283,13.4856997
50,1,144971.0,687.18,2.480613263,14.6557902
51,1,144620.0,2095.61,1.226605736,16.64361
52,1,246857.0,1664.32,2.228033792,16.93534631
53,1,149688.0,2230.29,1.20170895,16.46344149
54,1,118449.0,922.71,2.849164876,14.95579983
55,3,365778.0,950.01,3.142252505,12.6624059
56,1,156242.0,1055.34,3.562812629,15.88460012
57,1,169743.0,1861.1,3.402396693,16.57930236
58,1,118680.0,1789.27,1.881537194,13.73372095
59,2,341568.0,794.06,3.154756868,13.37660076
60,2,248479.0,837.16,2.210576982,16.35406018
61,1,357734.0,1700.66,1.002400147,16.17998013
62,1,142610.0,3047.82,1.16086194,17.38338804
63,1,236383.0,2069.48,0.715568502,15.79747118
64,1,363036.0,2214.78,0.808591677,17.08576805
65,1,390042.0,835.45,2.599730559,17.46079349
66,1,388581.0,1366.87,2.026637573,13.06437938
67,1,167947.0,2207.75,2.212206895,16.12846989
68,2,287491.0,2248.79,2.247013135,16.19842513
69,1,350992.0,2272.44,2.689310419,13.24106433
70,1,254254.0,2065.69,1.454735846,15.43568235
71,1,123534.0,1438.3,2.508883309,14.01517841
72,1,254520.0,1927.26,4.471376671,13.53120553
73,2,220433.0,1040.29,1.48827128,15.28689864
74,1,139067.0,805.91,4.210072413,12.58653459
75,1,384307.0,2338.98,3.104335822,13.6687156
76,2,235114.0,1046.14,2.367815172,15.18028746
77,1,114947.0,1824.98,4.93924406,17.5595457
78,2,230973.0,1410.86,4.61607199,13.50076927
79,1,149326.0,1451.24,3.066512196,17.00129274
80,2,243757.0,1868.65,3.299851709,13.8508113
81,1,374682.0,842.22,0.373530385,13.63285658
82,3,178771.0,2488.37,3.342359699,15.55970439
83,1,156299.0,2727.44,1.554456619,13.81920521
84,2,340628.0,2307.09,1.950613851,14.69755263
85,1,161518.0,832.82,4.033152549,17.73027397
86,1,138917.0,704.07,1.88918612,13.84799898
87,1,232048.0,866.36,1.502723147,15.91162339
88,2,258359.0,1060.69,1.961923979,11.99345347
89,1,285595.0,1911.38,3.634761031,17.40176084
90,2,261643.0,2824.08,1.752083579,15.05536978
91,1,357783.0,3047.82,2.930718025,12.81499048
92,2,238017.0,1749.58,1.59061509,15.76309722
93,2,252958.0,1386.28,3.382332201,16.94153367
94,1,134881.0,985.72,3.902210279,16.6977431
95,3,243818.0,774.02,3.151680281,15.45594869
96,1,152344.0,1305.47,4.082130235,14.12258243
97,2,333041.0,935.32,3.797729921,14.07412804
98,3,277049.0,1882.47,1.210758239,15.5225853
99,2,152861.0,699.74,4.002832623,13.31883496
100,3,166832.0,1327.52,0.873733037,13.693182
101,1,383549.0,831.91,2.959950656,13.89535163
102,1,238515.0,1918.56,4.414904842,16.63411711
103,2,144362.0,1392.75,2.760144069,16.86138075
104,1,234198.0,837.07,1.276633272,16.14067757
105,1,138141.0,842.87,2.777411601,14.41780217
106,1,167237.0,1428.47,1.798750069,16.06654948
107,3,253226.0,2250.18,1.581003695,14.23119648
108,2,249969.0,2434.54,3.004256249,16.1301512
109,2,341337.0,1568.33,2.101303235,13.12247659
110,1,351653.0,2276.73,3.860009839,15.87443644
111,1,252449.0,1010.01,1.873294492,16.87814422
112,1,362433.0,2202.52,2.065285359,15.52200281
113,2,156279.0,2381.02,4.003558858,15.26417138
114,1,258649.0,1102.6,3.074121262,14.43682665
115,1,376306.0,688.19,2.379136822,16.15362565
116,2,118023.0,1747.11,1.338332865,14.79157969
117,1,258897.0,2576.3,2.380666963,15.66874843
118,1,362521.0,1992.21,3.180952315,15.43882687
119,1,393029.0,2508.62,4.757624036,14.31020169
120,3,150020.0,1375.25,1.29242357,15.61170281
121,2,245689.0,3040.39,2.796713131,14.43036841
122,1,258100.0,2504.46,1.739754201,15.62044875
123,1,366147.0,1579.93,2.654242045,15.67959119
124,3,118293.0,1927.46,0.90795378,14.21678988
125,2,341299.0,1578.69,3.75706913,12.53407375
126,1,238823.0,807.04,4.20167594,16.50714721
127,1,150111.0,1705.45,2.268714272,15.79306065
128,3,127657.0,1770.86,2.149573662,14.19511776
129,1,141500.0,1912.76,3.246188207,16.33972947
130,1,154984.0,1804.42,3.495559264,14.58419234
131,2,245973.0,880.78,4.608460157,15.95270705
132,1,280314.0,1774.21,3.208336158,16.31854782
133,1,266958.0,2340.34,2.099866165,15.77994214
134,1,134361.0,2236.3,3.218649392,16.94046302
135,1,383563.0,2360.57,1.798170694,15.73251723
136,1,114947.0,1707.11,1.829431995,13.01780376
137,1,132928.0,1598.51,4.885752494,14.50561943
138,2,237581.0,2821.53,1.603819505,16.44650076
139,2,173304.0,2415.53,1.427824303,14.54819132
140,1,140306.0,1193.96,1.985440528,15.8997161
141,1,114947.0,750.72,1.108051948,13.43686606
142,1,380406.0,1901.95,3.298094913,14.22978266
143,1,250171.0,1126.63,2.472546536,16.11273885
