,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0,126489.0,1761.18,3.637404438,12.97256234
1,1,147539.0,833.41,1.851850074,17.29046946
2,1,151130.0,614.65,3.899068527,15.65935143
3,3,383396.0,2300.71,1.751306399,15.92790744
4,2,136898.0,2534.86,3.57034751,16.71178159
5,3,152416.0,2244.49,3.083700863,17.26911636
6,2,377975.0,1522.96,3.384768546,16.53634848
7,1,374800.0,981.51,2.891690366,16.57154067
8,1,156300.0,2349.06,2.510330793,17.02832341
9,1,254045.0,2361.84,1.392617402,15.36907859
10,1,364272.0,809.83,1.917103165,13.3463559
11,2,152106.0,1832.45,2.171768113,13.79768577
12,2,365094.0,926.65,-0.039494066,16.79286002
13,1,358673.0,2512.28,3.799215056,13.30443322
14,3,375688.0,1913.52,2.670614136,16.85769844
15,2,248947.0,1923.44,3.943332477,13.74756998
16,1,364900.0,1725.09,1.475917087,15.96050373
17,1,381739.0,2221.76,3.079712497,13.04460281
18,1,368003.0,977.32,1.938929001,14.65231004
19,1,132323.0,2040.53,1.294686563,15.22054676
20,2,377151.0,1878.29,2.750749426,13.07198707
21,1,123010.0,789.36,1.79118883,16.16091374
22,1,383574.0,1812.2,1.372452846,12.04914586
23,2,146718.0,851.02,2.17610776,16.07494054
24,1,256191.0,1695.37,3.120131528,15.80276129
25,1,353034.0,1202.18,1.906227828,15.44913057
26,2,334071.0,861.35,3.467389635,13.13102931
27,0,391358.0,958.04,2.862176198,16.3838618
28,1,134455.0,851.36,1.935680732,13.19432436
29,1,382383.0,2378.26,1.218354839,15.56713226
30,1,343820.0,1772.35,0.865199091,11.2687847
31,2,133562.0,1315.18,1.703427139,15.83949075
32,1,374117.0,746.87,1.917183964,16.26874709
33,1,358175.0,1865.53,4.031979082,12.85570437
34,1,143138.0,1970.25,3.071839158,12.5902257
35,1,366078.0,1894.25,1.604574835,16.65707517
36,2,345728.0,1778.72,-0.247162661,14.68802752
37,1,370668.0,1441.13,2.597041563,15.47782009
38,1,155794.0,1721.6,0.865552989,13.60830339
39,1,367547.0,799.53,4.483135138,14.84742733
40,1,363067.0,1907.72,2.885467783,15.75674294
41,1,374499.0,2690.75,3.619446057,16.24699695
42,3,251270.0,696.25,2.159666866,12.10176791
43,1,370099.0,2293.29,1.765359701,16.36910467
44,1,233806.0,1419.17,1.956535167,13.86397185
45,2,134647.0,1240.04,2.097013241,12.25971168
46,2,272540.0,1868.21,3.083822057,16.93780742
47,1,386603.0,1696.73,2.284969527,14.19222136
48,1,370578.0,1686.2,4.560453539,13.30419318
49,2,377746.0,1939.93,4.017427407,15.74562449
50,1,124632.0,1682.89,0.224123843,12.66773929
51,2,384099.0,1823.13,2.902038218,16.92585438
52,2,126974.0,1235.5,2.726140814,15.43201105
53,3,351730.0,1333.88,2.273780392,17.20713628
54,3,241617.0,1860.85,0.823139734,16.25740198
55,0,352042.0,1518.03,4.216258724,16.51018164
56,2,139030.0,976.17,2.052006852,13.4340149
57,1,253192.0,1839.54,1.296695373,15.84797275
58,1,356703.0,2073.04,1.642274038,11.35157301
59,1,139628.0,987.11,3.934378006,15.05202648
60,2,342069.0,761.55,1.397319277,14.90529902
61,1,131462.0,586.86,1.122316013,12.48639598
62,4,267903.0,2782.55,3.140005256,15.34419679
63,3,219998.0,1750.83,2.133075074,15.66921715
64,1,138294.0,2238.52,1.111679481,15.98427227
65,2,346760.0,851.31,0.829914534,13.44997427
66,1,391049.0,973.39,1.808002398,16.49455667
67,1,242434.0,1991.57,4.702814623,15.34718391
68,0,147996.0,1124.36,1.54514533,16.56434933
69,1,393686.0,1891.55,2.764045239,13.63382249
70,2,144265.0,2232.32,1.505257478,16.65648179
71,2,236914.0,606.96,3.232222327,11.45545849
72,1,257709.0,3047.82,2.514455001,16.08025819
73,2,139981.0,2685.74,3.049345321,15.98370385
74,1,355753.0,1740.41,2.059203908,13.25824704
75,1,387560.0,2349.5,1.192190756,12.10110855
76,3,383410.0,1872.47,1.713814183,16.17015619
77,1,160266.0,2401.78,1.490681782,11.2583727
78,1,133446.0,2525.4,2.359679208,14.62855279
79,1,142884.0,1101.38,3.195791453,16.74975757
80,2,244901.0,748.34,1.663448182,11.79875645
81,1,157808.0,1655.0,4.826156639,16.91608864
82,2,259759.0,2446.25,2.211711666,14.36754633
83,1,387569.0,1500.25,2.905220599,14.81449283
84,1,249764.0,2006.11,1.240066346,13.28549126
85,2,128320.0,642.2,2.376633768,16.08281022
86,2,377862.0,1240.21,1.579697756,13.95308875
87,1,126741.0,2183.64,1.753045794,15.83151268
88,1,156531.0,726.45,2.010803175,14.28778615
89,1,363046.0,1899.6,1.711305199,16.36463153
90,1,155393.0,633.77,3.009340136,16.32036523
91,1,151824.0,1640.54,3.071911229,16.76899422
92,2,146564.0,685.87,4.040335745,16.21588677
93,2,362704.0,1758.47,4.122956113,14.64668391
94,2,156273.0,1190.65,4.93924406,15.89876776
95,1,256185.0,1464.73,3.720349717,14.90900594
96,1,142770.0,836.78,1.46383633,15.85595658
97,1,126046.0,699.48,1.501959614,15.96894184
98,3,141319.0,671.31,2.83914432,16.31947019
99,2,348948.0,2086.54,1.37396996,15.29700978
100,2,136533.0,2490.53,1.645127937,14.37206039
101,2,136276.0,2383.34,3.427124626,14.87047951
102,1,257785.0,1958.2,3.929296101,15.62220539
103,2,387380.0,2537.27,3.776842767,14.50980555
104,1,355578.0,1475.08,0.767976484,12.93038227
105,1,254344.0,1383.12,1.561500826,15.32498609
106,3,148903.0,1041.82,1.24268234,15.45143301
107,1,156435.0,1931.95,0.420204576,17.47195837
108,1,382789.0,1870.13,4.320934727,13.23623985
109,1,150579.0,1196.41,3.662084497,16.65256358
110,2,153231.0,1945.17,2.107981552,13.31258258
111,2,378278.0,1181.17,3.10094716,14.73777095
112,1,159365.0,2322.95,4.711539644,15.52542263
113,2,231927.0,1397.74,3.125626136,12.74441002
114,2,361400.0,2434.01,3.627925173,15.17519073
115,0,133664.0,1767.97,1.220878943,16.12451457
116,1,155499.0,882.8,1.750730374,15.84868423
117,1,132084.0,730.42,2.967639933,14.98404136
118,1,363476.0,2357.18,2.298294855,14.16679739
119,0,260474.0,2217.73,2.722581699,16.06132267
120,2,142534.0,845.26,2.678114691,14.14786757
121,1,361707.0,2372.2,3.623466899,15.57767769
122,1,271490.0,1322.3,1.964615212,17.02154075
123,1,363783.0,1338.56,0.543004173,11.61261277
124,1,255771.0,1519.69,2.010487513,15.97208136
125,1,345073.0,1015.28,3.200058922,13.25920616
126,3,119050.0,1414.37,0.963365406,15.50955579
127,2,374144.0,1298.53,2.918684014,12.14987972
128,1,370144.0,2422.67,1.767289667,15.65301905
129,1,152591.0,1855.38,2.241534915,13.36617966
130,2,130333.0,1802.63,1.896328887,14.66425357
131,4,143191.0,2001.36,3.507698394,14.60572076
132,4,140659.0,2164.23,1.868346316,15.28463512
133,1,136687.0,885.17,1.149394054,16.08436372
134,1,382042.0,1273.82,1.527306427,17.04002088
135,0,359938.0,1977.86,2.319983054,15.14880638
136,2,242906.0,877.73,0.425093558,12.89115999
137,3,251833.0,864.58,1.521753738,12.9439284
138,0,135654.0,763.1,4.584119455,13.85408731
139,3,243166.0,1038.72,1.575633062,15.56612631
140,1,350605.0,802.19,0.865974234,15.67795262
141,1,259722.0,1872.84,2.565092055,15.73299318
142,1,350924.0,734.16,3.879484286,15.43628599
143,2,375806.0,1797.9,2.063907026,16.25072212
144,1,256037.0,598.54,2.604816197,16.03453288
145,1,161541.0,2327.68,1.940711054,14.54332688
146,1,355764.0,1147.74,1.675356776,13.6257147
147,1,149065.0,937.53,1.319471145,11.67859488
148,2,151402.0,1643.68,3.16520027,15.90038951
149,2,372641.0,689.28,1.387770932,14.02519438
150,2,148256.0,1199.16,1.062495495,13.97078862
151,2,360646.0,774.48,2.982725561,14.91259121
152,1,148404.0,1273.43,2.859629102,15.55907287
153,1,372399.0,1975.1,1.876441428,17.14143386
154,1,271899.0,890.45,2.904609877,17.2266806
155,2,270643.0,1472.4,3.039982517,12.64610661
156,1,357595.0,1444.66,3.558754264,12.93294591
