,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,5,377533.0,959.24,1.182101834,17.00670606
1,3,401119.0,1929.4,4.93924406,13.08731645
2,3,257213.0,788.04,3.84138665,17.20069907
3,2,386492.0,989.7,4.421099946,15.73437055
4,2,264466.0,1992.01,3.374770744,16.3478005
5,1,172878.0,2012.41,3.748450544,14.40733448
6,2,276063.0,1988.96,4.107752979,12.9807656
7,2,253495.0,2203.26,1.574721394,15.51078792
8,1,345523.0,1430.15,1.037012973,13.0307177
9,1,388065.0,1092.0,1.353103104,13.21063609
10,2,254004.0,1558.84,1.700141971,17.39034751
11,2,254971.0,1002.93,2.318858325,16.47334897
12,1,390285.0,763.95,3.038691014,17.01992499
13,1,172493.0,725.49,3.545124924,16.14569501
14,1,163402.0,682.04,3.742499603,15.75522932
15,1,254987.0,1718.09,3.87245979,14.6023632
16,1,143275.0,931.16,3.518295836,15.59729249
17,3,142724.0,2257.03,1.538001486,13.17609284
18,1,139255.0,980.59,0.821552006,15.52867152
19,2,151964.0,883.48,3.18028048,17.61898449
20,2,364012.0,1387.71,3.595476843,16.18792746
21,2,155754.0,844.24,4.348488341,13.36500432
22,2,163344.0,828.25,4.787922496,16.32288688
23,1,134408.0,754.98,1.867361839,15.5336258
24,2,401119.0,1746.08,0.796485734,12.43941383
25,1,375666.0,1438.36,3.770175649,17.08795903
26,2,154855.0,2446.75,3.495151259,14.34634664
27,1,143403.0,2504.51,4.185799353,15.23720813
28,1,365448.0,1775.51,3.039343604,15.47216914
29,2,377418.0,887.94,1.849749778,14.7874563
30,3,264093.0,762.94,0.915299152,16.5521289
31,3,273544.0,878.86,3.632732744,15.38604856
32,3,155036.0,803.63,1.64400449,15.84028511
33,1,179189.0,881.64,3.721623766,15.95787752
34,2,389152.0,1901.0,-0.114426269,15.12147693
35,1,141615.0,2391.78,3.950584739,14.23131068
36,1,375416.0,764.44,4.053616607,15.94490221
37,3,147090.0,864.25,2.369010206,14.74550141
38,3,273630.0,612.61,1.378024399,13.56603523
39,2,367793.0,1834.45,3.868836794,15.61118389
40,2,265367.0,1968.44,3.773668047,14.35470996
41,2,242515.0,687.4,3.447564829,16.03687779
42,1,136360.0,856.58,3.870032265,16.38945251
43,2,164192.0,849.88,0.873661188,15.79667585
44,1,365693.0,787.34,4.56331865,15.6316209
45,2,143862.0,852.55,0.273455636,16.41760138
46,3,360079.0,2188.08,0.336849134,13.82458967
47,3,366820.0,1880.67,0.193585799,11.88918152
48,2,155470.0,779.81,0.826971229,16.05625292
49,1,377760.0,1903.02,0.527904382,16.69282217
50,1,264315.0,972.48,1.613154517,16.23564896
51,1,372611.0,746.09,1.637959004,15.12693309
52,1,257661.0,645.79,2.753518225,17.10636139
53,1,379351.0,1444.69,3.814941866,15.33807752
54,1,243630.0,1862.65,2.90729492,15.4761571
55,1,147462.0,926.36,1.858050484,16.73804672
56,1,355695.0,1088.57,3.371661766,16.19830549
57,2,233411.0,2209.01,1.351567247,13.68192894
58,4,135435.0,888.09,0.902690719,14.37315964
59,2,154926.0,1378.38,1.635706171,14.31489093
60,1,167214.0,754.47,1.070089745,16.11538986
61,2,114947.0,806.25,0.443068486,16.45241199
62,3,156790.0,896.46,2.248543592,15.20891644
63,1,148086.0,871.77,0.691555199,15.64789231
64,2,132457.0,906.13,2.179421336,14.54099543
65,2,277864.0,1232.07,4.272369876,15.86917955
66,1,159164.0,1935.68,4.331480898,16.16327622
67,1,147893.0,981.76,3.647872631,16.21112713
68,2,386447.0,934.89,1.685985207,11.70582143
69,1,268027.0,1018.15,3.748190559,11.61419043
70,2,133050.0,1869.87,1.464995092,15.58180628
71,1,382439.0,1695.24,3.394046529,17.00851455
72,1,258667.0,2311.51,4.395778591,16.12337703
73,3,383834.0,1829.23,4.127887524,16.2991117
74,1,258612.0,681.6,3.723404802,13.43910928
75,2,167818.0,2264.29,2.084725542,15.82186729
76,1,374228.0,912.09,3.840225457,15.72086468
77,2,371381.0,1833.5,0.741576866,15.46602392
78,4,169479.0,984.2,1.482300646,12.49455591
79,1,167394.0,1997.62,2.418758266,15.72464587
80,2,397876.0,1799.83,3.339503712,16.22623488
81,1,173057.0,840.39,3.518743884,13.40219575
82,1,393665.0,1845.16,1.266934192,13.65318348
83,1,129087.0,739.45,3.606320924,16.6433422
84,1,378484.0,893.03,4.660768664,15.36867298
85,3,365662.0,2018.9,0.571893514,15.27849067
86,1,267393.0,980.03,1.716921777,17.72626034
87,3,143079.0,2633.15,3.176183054,17.03502434
88,2,353273.0,1078.74,1.219032649,13.47007806
89,3,158928.0,903.72,1.864576882,16.31475199
90,3,154069.0,854.79,3.551514337,17.02413688
91,2,361789.0,1388.17,0.472148369,14.7447883
92,2,122862.0,872.63,3.549153216,13.66438872
93,4,368744.0,1025.1,3.822186636,15.51477043
94,2,162098.0,1008.3,0.663219393,14.22367621
95,1,144068.0,1242.12,0.591972178,16.71900579
96,3,264380.0,777.49,2.529109899,15.19241601
97,1,273352.0,1341.66,3.715432269,16.60985339
98,1,161082.0,870.7,0.870417407,14.18615991
99,1,356010.0,1651.86,0.544531188,14.97988683
100,1,269535.0,1566.02,2.344236642,15.33314385
101,1,139016.0,819.34,3.558521908,17.41253064
102,1,153655.0,1481.1,4.420311643,15.59906415
103,3,378827.0,1840.68,3.703072877,16.75271906
104,1,376697.0,906.92,0.138940366,15.12016795
105,1,163959.0,1057.06,1.749671518,15.64401982
106,3,384110.0,918.38,2.026760177,17.13159126
107,1,378578.0,970.55,4.449916244,15.6052411
108,2,368213.0,1074.75,1.237056537,15.72060089
109,2,383361.0,1331.55,3.414536435,12.86983903
110,2,343842.0,2491.2,1.553588407,16.92580045
111,2,355168.0,2114.02,1.2375581,13.40492314
112,2,170219.0,1767.8,1.658640565,17.70944898
113,2,165226.0,1791.7,1.845026732,14.96982449
114,1,130081.0,1792.18,1.437669914,13.97757769
115,2,354395.0,2490.89,1.937311113,13.91280879
116,1,394492.0,1860.37,0.786577336,16.3258455
117,1,150390.0,843.01,1.963941186,14.8612976
118,2,171921.0,823.38,2.52885798,15.27980865
119,3,176097.0,893.6,3.409096577,15.43941814
120,5,240685.0,1694.1,2.639995682,15.12545733
121,2,363648.0,1666.0,3.37041479,15.87896685
122,1,138040.0,2610.7,2.235674973,15.71341935
123,2,126108.0,1666.3,3.251729241,16.92492329
124,0,290625.0,762.51,2.852449919,13.03552553
125,2,367578.0,840.46,2.763020601,16.74248668
126,3,141272.0,1016.81,1.080155483,11.36309356
127,2,376047.0,1968.42,3.51907371,15.70769828
128,1,139226.0,1529.61,4.129875888,13.66055716
129,1,159838.0,1846.2,1.914038678,15.97231504
130,1,160385.0,915.84,0.290704971,16.36874039
131,2,158169.0,960.92,2.150323328,16.91757125
132,1,157153.0,1920.12,4.307569153,15.82426123
133,1,358350.0,1035.84,3.969117958,15.97046153
134,1,138002.0,1957.96,1.420930357,15.15446988
135,2,353736.0,1759.17,3.206175505,15.844347
136,2,342805.0,795.02,3.854324618,15.85302608
137,2,137444.0,1406.21,3.734817909,16.33042127
138,3,384971.0,1005.29,2.386765425,16.89655156
139,1,162019.0,838.3,4.642880321,16.5454929
140,3,377079.0,1862.89,2.416116344,13.41218656
141,1,388143.0,1878.04,1.085016223,15.2078879
142,2,158703.0,1419.24,1.648978142,15.20747008
143,1,147619.0,1253.27,1.754327676,16.5356503
144,1,131210.0,1949.34,2.816117599,16.63496576
145,2,145592.0,2328.65,3.084024196,15.96287527
146,3,156943.0,1922.63,1.841657533,15.67473106
147,1,133896.0,2174.23,2.770594974,15.3499197
148,2,371387.0,1773.96,2.448332466,16.10271888
149,1,162558.0,767.46,2.39575743,16.80900244
150,2,182319.0,932.76,3.766122499,17.01300433
151,1,180117.0,723.07,3.772736558,16.9820605
152,3,144558.0,1816.78,3.824039303,17.31009685
153,1,167021.0,863.17,3.300331461,16.75477461
154,2,245078.0,844.03,2.008617953,13.78694711
155,2,363711.0,1001.88,2.77836203,14.8943152
156,4,261274.0,2590.46,1.593469694,13.5579848
157,2,255102.0,944.34,1.959994682,13.7563243
158,1,373512.0,1123.91,2.290024563,12.09125387
159,2,114947.0,586.86,1.945123067,15.67629821
160,1,158357.0,2338.03,3.797669217,16.1720116
161,3,255141.0,2281.8,4.175151024,15.5699993
162,1,250480.0,1976.99,1.212998615,14.89957198
163,1,362985.0,968.75,1.574111142,17.01326895
164,2,139371.0,833.7,2.27796859,15.12864182
165,2,130055.0,1794.34,1.518225983,17.52604274
166,1,144892.0,1610.03,2.373035819,16.38635613
167,1,136530.0,1816.77,2.994445189,16.30650754
168,2,129828.0,1782.32,3.447556743,16.52607852
169,1,374841.0,1168.1,1.59839261,16.74851562
170,1,159523.0,1958.71,1.980298401,15.87440041
171,2,395449.0,979.48,1.974963354,15.15994552
172,1,374311.0,781.27,1.522953266,15.69327262
173,2,347983.0,2064.51,3.206600837,13.78791826
174,1,156170.0,2235.25,3.538881923,15.72175709
175,3,374641.0,2903.95,3.982103473,13.53044335
176,1,134762.0,977.79,1.738070981,15.18249294
177,2,353337.0,1902.01,4.391079405,13.51367947
178,2,121020.0,2391.2,1.340671558,14.18364165
179,1,164339.0,914.98,1.258905322,12.44623894
180,2,368605.0,739.54,1.308232833,15.39351514
181,2,348712.0,1974.13,2.87286575,16.54967001
182,2,376305.0,1528.66,2.85145334,11.52800475
183,2,370807.0,2570.05,1.993254685,16.43922223
184,2,138412.0,2417.94,1.929348743,13.47324079
185,2,126020.0,1925.35,3.231709767,15.27247288
186,2,399421.0,727.13,3.27062767,14.41634662
