,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2,258756.0,1585.11,3.237998843,15.75579984
1,1,159617.0,839.29,4.230574512,17.18548912
2,2,341539.0,1825.46,1.341449773,13.23155928
3,2,245359.0,1760.83,1.797507697,15.58858851
4,1,387421.0,2314.91,3.147200839,15.19315438
5,1,265608.0,1728.29,3.446021117,15.56227936
6,1,259802.0,1892.0,3.57807193,16.06281403
7,1,364618.0,2255.39,1.619822783,13.66449872
8,2,248518.0,1690.17,1.367029225,14.9146933
9,2,228088.0,1262.8,2.585749535,15.9324834
10,1,141227.0,594.52,2.115433423,15.2080096
11,2,138964.0,821.93,3.665672469,16.1732158
12,1,149121.0,720.66,2.925596958,15.65804136
13,2,237760.0,1394.57,1.864027895,13.99167206
14,1,142108.0,709.84,4.109957913,16.51704917
15,2,123427.0,766.15,1.756225397,13.90553553
16,1,373578.0,1976.89,2.81835491,15.45259912
17,1,160811.0,794.97,4.551384761,16.76259166
18,2,245444.0,1772.03,2.818437472,15.94830631
19,2,125903.0,777.83,2.385698362,14.66207313
20,2,351817.0,1802.57,0.497129524,11.29144838
21,2,352857.0,1704.29,2.6238869,15.58797617
22,1,383536.0,2290.48,3.805413194,17.25919819
23,2,130796.0,714.28,1.891526784,14.5508901
24,2,246081.0,1763.66,2.400169602,14.01336733
25,1,266349.0,1252.97,3.324563043,16.05450599
26,2,235288.0,1687.22,1.515807125,13.49265454
27,1,258146.0,1825.46,3.199398737,15.37892306
28,1,262446.0,1850.93,3.413650154,15.41995062
29,2,253197.0,1672.72,3.218635948,15.8949936
30,2,247297.0,1614.4,3.054891014,15.08965894
31,2,231507.0,1356.58,2.561455932,15.9418668
32,2,121480.0,783.08,2.064756882,14.80014494
33,2,240672.0,1164.87,0.831213631,13.00359448
34,2,133398.0,899.64,1.776036298,13.60663792
35,2,252129.0,1356.19,1.623792118,13.43085473
36,1,144406.0,856.21,3.947717196,16.0022129
37,1,364833.0,2108.93,3.32003489,15.76501851
38,2,138828.0,976.8,2.992220949,15.66698265
39,1,385081.0,1863.27,3.436900674,15.47424021
40,1,152739.0,952.81,3.058450605,15.92886867
41,1,145941.0,1064.03,2.264700039,15.62435959
42,2,136871.0,729.22,3.135048025,15.34614847
43,2,358928.0,1811.9,0.816274288,13.12068105
44,1,268180.0,1108.44,2.040228533,14.82673074
45,1,267932.0,1543.73,3.946549412,16.73111249
46,2,356631.0,1671.86,2.520421595,15.71039307
47,4,360859.0,2213.3,1.710014908,15.10125304
48,1,265290.0,1864.92,3.540207405,15.06238897
49,2,133025.0,620.03,2.183396217,15.62391628
50,1,270561.0,1707.86,3.509308089,15.55427671
51,1,395424.0,2557.79,3.689287518,16.04387727
52,2,239386.0,1724.78,0.861927393,13.08164489
53,1,159878.0,1260.76,3.74188382,16.14754777
54,1,161770.0,933.26,4.673935608,17.25829614
55,2,249422.0,1659.08,1.404308458,15.48557259
56,1,359093.0,2265.8,1.183576212,12.24523629
57,1,258944.0,1629.72,2.826019178,15.08018192
58,2,240931.0,1570.53,2.396341251,14.97543213
59,1,361223.0,1929.93,1.975154643,13.48344927
60,1,277624.0,1915.59,3.953074756,16.33389881
61,1,120418.0,599.92,2.326802733,15.84935124
62,1,161648.0,1022.45,4.159556497,16.65670779
63,1,149483.0,902.76,4.617366426,17.10123533
64,1,163018.0,1284.39,4.459040434,16.05386967
65,2,250388.0,1496.99,2.864310389,15.08639522
66,2,122319.0,787.11,2.681933883,13.45983978
67,1,137046.0,842.02,1.987559047,14.28031298
68,2,366182.0,2355.74,2.177566152,13.73132021
69,1,257443.0,1350.68,3.10396277,15.53955237
70,1,131030.0,767.64,3.098430702,16.03596231
71,1,158475.0,762.92,3.926097398,17.12292025
72,2,255420.0,1231.3,2.757350982,15.15546919
73,1,146179.0,794.05,3.568655249,15.9266637
74,1,258253.0,1579.05,2.597151764,15.99937562
75,2,135328.0,1056.46,3.215775071,15.38829088
76,2,125004.0,860.7,2.442754941,15.4850647
77,1,364492.0,2246.03,1.461674599,12.03553941
78,3,131527.0,892.17,2.939300897,15.20310356
79,2,352102.0,1812.17,1.487210596,14.98545926
80,2,341305.0,1740.72,1.214061058,12.9808982
81,1,357707.0,1769.03,1.40490546,13.5640506
82,2,239980.0,1476.75,1.294845039,13.22407358
83,1,392474.0,2080.55,3.681382215,15.94761179
84,1,351210.0,2122.34,1.117379153,15.07528378
85,1,358894.0,1779.45,0.99488866,13.14826962
86,1,268435.0,1830.71,4.52263459,15.83602813
87,2,249935.0,1482.48,3.154890409,14.58106725
88,2,114947.0,819.37,0.68901455,13.53465096
89,1,149654.0,1270.45,2.368654217,15.81584938
90,2,360235.0,1897.74,1.481292461,13.07757347
91,1,278401.0,1771.69,4.589878335,16.8947199
92,2,354974.0,1870.2,1.222380346,13.094364
93,1,371207.0,2405.75,1.480360063,12.70442626
94,2,123231.0,947.08,2.110950602,14.8526856
95,2,137028.0,732.29,2.956127788,15.25770195
96,2,340679.0,1671.18,1.343156999,13.17393739
97,2,366901.0,1696.72,2.94841895,15.04736273
98,2,230480.0,1531.86,1.476012439,12.50881784
99,1,154784.0,734.41,3.689395833,17.00502054
100,2,121176.0,833.48,1.855325103,13.91888639
101,1,264468.0,1914.24,3.053049026,15.36752424
102,1,141100.0,807.47,3.797413858,16.1534199
103,2,125114.0,730.0,2.182853422,16.05936476
104,1,365702.0,2087.28,1.257258774,12.41173989
105,1,148247.0,823.74,3.946782417,16.00787821
106,1,381571.0,2524.93,3.04822239,15.20494308
107,1,250107.0,1776.76,3.083252126,15.21066157
108,2,252635.0,1816.08,2.244907658,14.01797097
109,1,351655.0,2136.71,0.762409502,12.2100108
110,2,124197.0,975.32,2.350993922,15.83656528
111,2,128125.0,972.51,1.766080672,15.60957621
112,2,245438.0,1363.11,1.809493723,13.18780659
113,2,129699.0,723.06,1.863038138,13.90056151
114,2,121783.0,717.59,2.063451575,15.20808663
115,1,137130.0,771.75,3.191316094,16.54458366
116,1,380324.0,1817.4,1.732708822,15.02264652
117,1,374223.0,2209.49,1.945981013,13.27915135
118,2,248818.0,1462.95,2.12370221,15.36977376
119,2,352774.0,1796.04,1.786161078,15.15284945
120,1,264011.0,1750.5,3.688652494,15.77539239
121,2,339280.0,2247.32,1.221993851,12.43764836
122,1,148495.0,780.98,2.91819772,15.76366713
123,3,136697.0,885.26,1.993335716,14.13085062
124,1,150293.0,912.01,3.669267199,16.58416014
125,1,371618.0,2465.37,2.976823399,15.68485984
126,1,367172.0,1819.75,2.743288513,14.9660659
127,1,268956.0,1818.86,4.356110086,17.12526019
128,1,353345.0,2052.96,0.413687652,11.91860072
129,1,263407.0,1163.35,2.188186536,15.19086664
130,2,347330.0,2040.4,1.268560138,12.62771062
131,1,382865.0,1951.84,2.397481197,15.58940652
132,1,151004.0,940.5,3.020144358,15.71770082
133,2,251764.0,1734.29,3.424641479,16.48464761
134,2,124561.0,722.81,1.698419158,14.49965519
135,1,139553.0,994.33,2.908899656,15.65878353
136,1,143331.0,823.97,2.801903299,16.04025156
137,2,342382.0,1781.71,1.50552037,13.03212653
138,1,130349.0,696.18,2.554837143,15.45150691
139,2,254400.0,1847.82,3.528814804,16.20271661
140,2,346106.0,2061.99,1.362588848,11.95528096
141,2,231384.0,1446.23,0.236803978,13.06614392
142,1,154134.0,819.76,3.784285484,15.58359488
143,1,162209.0,967.87,4.595161841,16.96947544
144,2,146679.0,924.6,4.001361416,15.96863459
145,1,132870.0,795.65,3.149606668,15.76091359
146,2,128429.0,1089.5,1.719448518,13.72491017
147,2,250651.0,1261.66,0.972631008,12.35087588
148,1,378369.0,1864.13,3.594128157,15.50594023
149,2,247811.0,1303.91,1.656561883,14.20107981
150,2,246282.0,1841.37,3.023022829,15.65884132
151,2,122988.0,832.76,2.501021858,14.46953514
152,1,378238.0,2335.13,1.8398776,14.76758104
153,1,380494.0,2438.0,2.222680077,15.28163068
154,1,279647.0,1919.53,4.311252537,16.82674048
155,2,359149.0,1879.53,1.583466276,13.50956907
156,2,257434.0,2206.13,2.543737974,14.10414549
157,1,137481.0,596.05,2.382058463,15.66711428
158,2,362866.0,1936.39,2.215496302,13.85208172
159,1,270177.0,2081.65,3.832813615,16.91196631
160,2,123724.0,892.27,2.108512616,15.01324541
161,1,379172.0,2578.34,2.734946909,15.11446476
162,2,244084.0,1615.45,0.385891643,12.00852844
