,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2,245514.0,982.13,1.24092605,15.95752507
1,2,134623.0,1230.37,1.637089483,12.09157506
2,2,124036.0,2002.9,2.930115082,12.74552695
3,1,169038.0,926.91,3.033495201,16.14768122
4,2,232111.0,722.1,1.433973987,12.86565207
5,3,114947.0,1471.31,1.808331576,15.727599
6,3,223842.0,1623.28,0.865363655,14.47234107
7,2,395280.0,2230.66,4.911292324,15.23672135
8,1,159024.0,905.13,4.524255457,16.03931714
9,2,114947.0,1664.34,1.119755883,13.28354365
10,2,136310.0,1143.23,3.943098916,17.32763663
11,1,385850.0,2356.49,4.018432422,17.47615503
12,1,248194.0,898.78,3.002736296,15.6293583
13,2,114947.0,817.13,3.681620074,11.2583727
14,2,143721.0,1879.71,3.077526355,14.03661366
15,0,391629.0,724.29,3.077170014,13.99434728
16,1,154523.0,1574.99,2.110716788,15.61163077
17,1,345276.0,696.99,0.857516826,15.57962059
18,1,147802.0,1781.08,4.338296493,15.95649278
19,2,145158.0,1712.13,1.40218515,15.11403744
20,2,262469.0,1491.92,0.789744371,16.51724732
21,1,366474.0,968.48,0.28566407,11.48520756
22,2,173474.0,876.71,4.310583449,16.99651068
23,2,141902.0,1111.8,2.570983833,14.09156279
24,2,250936.0,1013.98,1.857020194,14.99590113
25,2,138219.0,619.62,2.770722302,14.10550397
26,2,229882.0,602.44,1.540703683,15.62574947
27,0,352305.0,1645.79,3.084225774,17.12235876
28,1,366581.0,833.84,4.624203603,16.42970841
29,2,255410.0,847.67,3.000110795,15.44253654
30,4,363983.0,1709.85,4.490302392,15.66677639
31,0,114947.0,865.29,2.79969849,12.52090429
32,2,250459.0,2055.06,2.846427203,16.20422059
33,2,237421.0,759.44,0.89915613,13.00858163
34,2,376430.0,1389.76,2.506585464,13.11876665
35,4,138133.0,2259.26,1.193595705,11.88419457
36,1,115458.0,1029.59,2.531190842,16.15304413
37,0,378653.0,1622.99,1.763064665,12.28635655
38,1,394968.0,1841.76,2.690462766,16.91510503
39,1,145334.0,586.86,3.18901254,13.69900419
40,1,158784.0,648.42,3.714666448,17.08806158
41,2,114947.0,777.22,2.97116087,15.10825383
42,2,148770.0,1200.84,2.103669995,13.52026968
43,1,163991.0,1382.1,3.075974284,17.07835735
44,2,125637.0,662.86,3.786151108,13.34914418
45,0,153925.0,1015.49,2.991836248,15.42472882
46,1,140465.0,2336.79,0.711088886,16.44989685
47,0,130393.0,1647.31,0.809932528,15.45918061
48,2,361445.0,1662.26,1.560704739,15.13536675
49,3,366395.0,788.96,3.116089167,16.00742517
50,3,160775.0,789.0,3.50229952,16.3718503
51,2,384665.0,925.02,1.543802406,15.38736607
52,2,245020.0,834.84,2.055266102,14.28895006
53,2,237193.0,659.73,4.317211912,13.63228626
54,2,377265.0,1304.24,1.131730423,16.43603606
55,0,152439.0,2268.44,2.521599283,17.71096285
56,3,135838.0,1521.66,1.760383424,15.63832142
57,2,114947.0,586.86,2.155346696,17.72787549
58,1,347711.0,1434.35,2.631343441,15.22803801
59,2,159589.0,832.68,1.575673554,17.73027397
60,2,129399.0,801.7,0.879386898,16.13101998
61,2,364915.0,2491.13,1.521171072,15.48595844
62,1,176001.0,1234.24,4.447838126,16.36274234
63,1,263653.0,1689.92,4.098687582,16.28853779
64,1,155246.0,2055.49,3.195951836,14.2503832
65,2,124482.0,749.65,3.29122405,17.73027397
66,1,363581.0,1507.73,3.816696104,15.40290315
67,2,116777.0,1870.72,1.845189004,15.06264228
68,2,125980.0,2529.65,3.250657061,16.89497933
69,1,140245.0,1532.02,2.939832471,14.92934572
70,1,162930.0,789.93,4.07253371,15.67569708
71,1,122808.0,586.86,2.859555011,16.22890157
72,2,173994.0,1393.46,3.524358474,16.62674435
73,2,377286.0,1835.05,2.80012896,11.97168716
74,1,154201.0,1499.7,1.99867459,14.82797764
75,2,341211.0,609.22,4.563445336,14.02229331
76,1,383594.0,710.56,2.892889354,14.49205652
77,2,142815.0,1909.91,3.614844701,15.35802104
78,2,252129.0,586.86,2.533986017,13.42105232
79,2,358922.0,2129.74,1.6543772,12.75349539
80,2,133920.0,586.86,3.215625161,15.59100107
81,2,351700.0,2424.38,3.019032101,12.20504229
82,1,332898.0,2461.57,0.27556539,15.17801929
83,2,114947.0,1463.58,4.68019843,15.14583536
84,0,136985.0,2302.58,3.101329599,16.30974222
85,1,171999.0,1932.02,2.533235089,13.94658618
86,1,349163.0,586.86,2.311817744,15.67019329
