,Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C),Yield (tons/acre)
2383,252578.57,1329.21,16.44955919,2.799949622,0
2384,252578.57,1329.21,16.44955919,2.799949622,0
2385,252578.57,1329.21,16.44955919,2.799949622,0
2386,252578.57,1329.21,16.44955919,2.799949622,0
2387,252578.57,1329.21,16.44955919,2.799949622,0
2388,252578.57,1329.21,16.44955919,2.799949622,0
2389,252578.57,1329.21,16.44955919,2.799949622,0
2390,252578.57,1329.21,16.44955919,2.799949622,0
2391,252578.57,1329.21,16.44955919,2.799949622,0
2392,252578.57,1329.21,16.44955919,2.799949622,0
2393,252578.57,1329.21,16.44955919,2.799949622,0
2394,252578.57,1329.21,16.44955919,2.799949622,0
2395,252578.57,1329.21,16.44955919,2.799949622,0
2396,252578.57,1329.21,16.44955919,2.799949622,0
2397,125591.0,620.06,13.77364322,1.750904523,0
2398,125591.0,620.06,13.77364322,1.750904523,0
2399,125591.0,620.06,13.77364322,1.750904523,0
2400,125591.0,620.06,13.77364322,1.750904523,0
2401,125591.0,620.06,13.77364322,1.750904523,0
2402,125591.0,620.06,13.77364322,1.750904523,0
2403,125591.0,620.06,13.77364322,1.750904523,0
2404,125591.0,620.06,13.77364322,1.750904523,0
2405,139188.29,680.62,14.99810624,2.925404157,0
2406,139188.29,680.62,14.99810624,2.925404157,0
2407,139188.29,680.62,14.99810624,2.925404157,0
2408,154298.05,763.47,16.0979704,3.972684989,0
2409,154298.05,763.47,16.0979704,3.972684989,0
2410,154298.05,763.47,16.0979704,3.972684989,0
2411,391460.5,2439.24,15.9217199,3.13047502,0
2412,391460.5,2439.24,15.9217199,3.13047502,0
2413,391460.5,2439.24,15.9217199,3.13047502,0
2414,391460.5,2439.24,15.9217199,3.13047502,0
2415,391460.5,2439.24,15.9217199,3.13047502,0
2416,248458.22,1267.22,13.61200753,1.631794228,0
2417,248458.22,1267.22,13.61200753,1.631794228,0
2418,248458.22,1267.22,13.61200753,1.631794228,0
2419,248458.22,1267.22,13.61200753,1.631794228,0
2420,248458.22,1267.22,13.61200753,1.631794228,0
2421,248458.22,1267.22,13.61200753,1.631794228,0
2422,170604.73,1286.11,17.73027397,4.871311155,0
2423,372128.73,1871.48,16.38992754,3.60178744,0
2424,372128.73,1871.48,16.38992754,3.60178744,0
2425,372128.73,1871.48,16.38992754,3.60178744,0
2426,372128.73,1871.48,16.38992754,3.60178744,0
2427,372128.73,1871.48,16.38992754,3.60178744,0
2428,372128.73,1871.48,16.38992754,3.60178744,0
2429,372128.73,1871.48,16.38992754,3.60178744,0
2430,372128.73,1871.48,16.38992754,3.60178744,0
2431,372128.73,1871.48,16.38992754,3.60178744,0
2432,372128.73,1871.48,16.38992754,3.60178744,0
2433,372128.73,1871.48,16.38992754,3.60178744,0
2434,372128.73,1871.48,16.38992754,3.60178744,0
2435,372128.73,1871.48,16.38992754,3.60178744,0
2436,372128.73,1871.48,16.38992754,3.60178744,0
2437,372128.73,1871.48,16.38992754,3.60178744,0
2438,372128.73,1871.48,16.38992754,3.60178744,0
2439,372128.73,1871.48,16.38992754,3.60178744,0
2440,372128.73,1871.48,16.38992754,3.60178744,0
2441,372128.73,1871.48,16.38992754,3.60178744,0
2442,372128.73,1871.48,16.38992754,3.60178744,0
2443,372128.73,1871.48,16.38992754,3.60178744,0
2444,372128.73,1871.48,16.38992754,3.60178744,0
2445,372128.73,1871.48,16.38992754,3.60178744,0
2446,263706.83,1779.96,16.695,4.1956691,0
2447,263706.83,1779.96,16.695,4.1956691,0
