,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1,140979.0,848.17,2.92608319,16.28063319
1,1,158712.0,723.02,3.222664977,16.97582588
2,1,259191.0,1815.1,3.765173439,16.37459061
3,1,166141.0,1404.85,4.379522493,17.20615867
4,2,136035.0,634.56,2.341908807,15.65005181
5,2,245911.0,1814.05,1.057121237,13.17065443
6,1,377802.0,2011.24,3.215785812,15.32382313
7,1,144214.0,1207.14,3.849408543,16.13704371
8,2,229945.0,1424.91,0.704314933,13.21139817
9,1,375549.0,1863.77,1.522233501,15.83569337
10,1,360494.0,1989.26,1.788487865,15.44030082
11,1,265180.0,1289.6,3.229580856,15.85433711
12,2,125552.0,586.86,1.147795497,14.07589609
13,2,247827.0,1827.03,3.035211173,15.83187509
14,1,143865.0,877.54,3.096918154,15.83404459
15,2,264458.0,1911.75,3.769462096,15.64200044
16,2,240044.0,2131.29,2.732150246,15.31449088
17,1,141369.0,731.39,2.8957614,15.92949958
18,2,133112.0,908.54,2.666073839,14.8105027
19,2,349590.0,1880.75,1.52275329,13.19588712
20,2,252079.0,1407.94,3.215086606,15.29455951
21,1,370029.0,2202.47,1.842509635,13.46593638
22,2,251130.0,1175.48,2.472835535,15.49178067
23,2,127254.0,819.08,2.224057137,14.03959357
24,1,168478.0,700.72,4.684189092,16.71306968
25,2,130230.0,918.87,2.70095315,15.78125056
26,2,140571.0,822.95,2.981871861,14.54065113
27,1,362298.0,2175.09,1.896935946,13.85078733
28,1,147229.0,978.65,2.866048444,15.06172308
29,1,170589.0,1032.01,4.149748377,16.73370697
30,2,369207.0,2362.75,2.176609498,15.3897336
31,1,272992.0,1705.35,3.86892907,16.04229158
32,1,355764.0,2323.66,1.018220727,12.77571147
33,1,249440.0,1158.29,2.866985905,14.289211
34,2,355872.0,2447.89,1.585516679,13.41152143
35,2,360671.0,2313.52,1.693269183,13.21783539
36,1,257885.0,1746.73,2.715742405,13.83206601
37,1,382910.0,1858.82,3.799482554,17.34650732
38,1,142464.0,820.98,3.484863584,16.12476456
39,2,241154.0,1818.25,2.230252045,15.54557902
40,1,373965.0,2003.8,1.414054413,15.45238455
41,1,165227.0,1645.19,4.08930159,16.54908521
42,2,131785.0,732.32,3.108719376,15.39542155
43,4,350657.0,2247.57,0.647034144,12.87959531
44,1,261617.0,2074.94,2.446730083,15.33925231
45,1,387062.0,1851.42,3.813447451,16.43207685
46,1,367039.0,2212.22,1.569492475,13.07651913
47,1,270923.0,1880.05,3.969529413,16.87686665
48,2,249247.0,1297.27,3.212267053,15.85528549
49,4,367758.0,2409.6,2.711972887,15.26405973
50,2,118799.0,829.63,1.521792994,13.66446701
51,2,124102.0,696.84,2.086527871,14.92277574
52,2,240707.0,1741.55,1.986812473,15.39008533
53,1,248070.0,991.0,1.806827423,14.3133604
54,1,255109.0,2097.95,3.375165086,15.85210887
55,1,142889.0,949.03,3.657316519,16.54732832
56,1,274481.0,1743.0,3.638894228,15.54965614
57,1,134186.0,830.37,2.406541677,15.51857909
58,2,248234.0,1725.87,1.885780798,15.31891999
59,1,156536.0,1491.38,4.403428645,16.32033511
60,2,362185.0,1823.55,3.264312255,15.89580326
61,1,174067.0,1422.3,4.93924406,17.43926466
62,1,274498.0,1537.87,4.012867561,16.07628152
63,1,354885.0,1864.27,1.266795299,13.62737873
64,1,171206.0,1302.95,3.872535838,16.66880018
65,1,257619.0,1693.67,3.567834859,14.89686844
66,4,360439.0,2302.31,2.378099604,14.89905141
67,2,352311.0,2001.27,2.308787195,15.47575308
68,2,346426.0,1858.67,1.503361988,13.14613848
69,1,365102.0,2209.23,1.567585026,13.94902173
70,1,245800.0,1801.64,2.073655298,15.38464569
71,1,130728.0,605.63,1.831696896,14.86037289
