,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2,346213.0,1893.51,1.286661689,12.25068768
1,1,163803.0,664.99,4.225273808,17.68032936
2,2,134721.0,930.14,3.090693207,16.25488256
3,1,373049.0,2101.9,2.157856406,14.52559874
4,2,128990.0,591.82,2.863831483,14.98698955
5,1,375811.0,2183.87,2.999019968,15.2847849
6,1,365502.0,1887.52,1.415130762,13.94654206
7,2,131756.0,606.69,1.923529277,14.19874403
8,1,145036.0,669.08,3.20113625,16.07266116
9,1,401119.0,2122.39,4.059868537,16.59229679
10,1,274027.0,1589.99,3.925221034,16.12453862
11,2,244203.0,1087.86,1.22561301,13.5676774
12,2,348900.0,1750.33,1.448088383,13.31635117
13,1,268654.0,1559.03,4.444310697,16.58760856
14,2,145539.0,884.33,2.994386925,15.42198696
15,2,137969.0,886.87,2.447819702,14.90412786
16,1,164031.0,1676.61,3.995276992,16.52729155
17,1,162729.0,1272.99,4.519119919,17.16025077
18,1,154630.0,849.85,3.470734209,15.99932432
19,2,244742.0,1432.12,0.829999139,13.32982102
20,2,137600.0,790.86,3.672509081,16.26975568
21,1,146770.0,927.43,2.890866113,15.29459837
22,1,260692.0,1749.9,3.218890922,15.89566936
23,2,134187.0,859.31,2.903530138,15.41765759
24,1,262848.0,1095.68,2.928734622,16.2161287
25,2,249167.0,1129.01,2.872165836,13.44439652
26,1,376728.0,2246.55,2.656644453,14.38724955
27,1,141254.0,707.9,3.067111346,15.81102048
28,1,383162.0,2027.61,3.84456229,14.24209493
29,2,241142.0,1029.37,1.785438471,13.99854414
30,1,357389.0,2140.55,1.067332952,13.10850883
31,2,241566.0,1167.5,1.629092595,14.71242564
32,1,382115.0,2224.81,3.840813473,16.41629887
33,1,148040.0,789.8,3.696373255,15.97175905
34,1,159842.0,1321.59,3.914755076,16.7615317
35,1,146606.0,955.82,3.993138803,16.87671558
36,1,145270.0,722.09,2.98978074,16.07366029
37,1,265383.0,1546.07,3.598283077,14.08247164
38,1,265971.0,1776.97,3.050358961,16.07418878
39,1,379313.0,1932.82,3.617389306,16.00120686
40,2,353269.0,1968.55,1.924686285,14.9421808
41,1,263687.0,1544.31,4.061233427,16.27092682
42,1,369581.0,1907.64,2.04022698,13.98409613
43,1,347417.0,2228.24,-0.022162274,11.85881116
44,1,261994.0,1776.73,3.739618239,15.92946569
45,1,144820.0,660.13,2.683871562,16.07699257
46,1,264669.0,1690.66,3.235927009,15.75088328
47,2,355111.0,1740.13,0.872174398,13.34470086
48,1,162397.0,756.33,4.474257604,16.65547803
49,4,352713.0,2196.35,0.87029292,13.31449643
50,2,251093.0,1759.02,1.880415318,13.57039337
51,2,253347.0,1927.24,2.274463115,14.1158166
52,1,173137.0,768.72,4.375111683,17.18618097
53,1,271698.0,1871.48,3.737709698,16.51131743
54,1,275680.0,1680.0,3.556685476,15.99840082
55,2,236452.0,1843.08,0.692965833,12.23152859
56,2,245459.0,1165.7,1.832938707,13.50672589
57,1,141450.0,785.13,1.675009613,14.99698363
58,1,368153.0,2232.94,3.354769517,15.93957487
59,1,391134.0,1994.7,4.428956298,16.9227245
60,1,160719.0,1163.33,3.94957742,16.48299802
61,1,147121.0,713.24,3.117332486,16.47696621
62,1,149294.0,1094.66,4.29795386,16.2881298
63,1,356110.0,2138.24,0.527508797,13.28973847
64,1,376955.0,1955.21,1.876275918,13.6296297
65,2,118676.0,853.28,1.554088814,13.26205797
66,2,242133.0,1802.11,2.290852444,15.2610983
67,1,390543.0,2449.73,3.711183468,16.22943307
68,2,244315.0,1729.29,2.146077819,14.43236109
69,2,353809.0,1924.53,1.774022466,14.06490034
70,1,252574.0,1476.29,1.176552057,13.31901456
71,2,244057.0,1736.69,3.033189158,15.57272918
72,1,390250.0,1920.45,3.465428983,16.18289473
73,1,361906.0,2108.91,1.756768137,15.0305701
74,1,258376.0,1858.47,2.958094994,15.36985118
75,2,369412.0,1932.45,2.637677688,15.21043839
76,1,358016.0,2190.3,0.98447495,13.92274319
77,1,138618.0,586.86,2.819992708,15.97726103
78,1,379418.0,2481.17,1.40279958,13.73690422
79,2,241960.0,1290.36,2.079111963,14.99264555
80,1,149040.0,735.72,3.523780861,16.15881248
81,1,147600.0,853.17,3.812599799,15.98095958
82,2,354547.0,2003.8,1.965139415,13.70090406
83,1,370812.0,2174.59,1.471594586,12.97991338
84,1,172179.0,962.53,4.722836016,16.81795017
85,1,356755.0,1915.12,1.938126142,14.02857769
86,1,373161.0,2423.12,3.066820714,15.40424425
87,1,145540.0,907.88,3.680997529,16.3856492
88,1,378847.0,2242.33,1.619499002,13.7038156
89,2,246958.0,1472.27,2.915979038,15.49749287
90,1,141050.0,729.38,3.200132418,16.6301873
91,2,133056.0,586.86,2.862511005,15.43928283
92,1,286882.0,1912.84,4.455873983,17.42963934
93,1,146462.0,749.04,3.044173239,16.16026173
94,2,359215.0,1822.09,3.219414248,15.43125238
95,1,274738.0,1854.91,4.227253817,16.35991622
96,2,249225.0,1759.46,2.144979924,15.74834969
97,2,357509.0,1866.51,3.108162011,15.63285783
98,1,155082.0,900.87,4.361652945,17.26987622
99,1,362164.0,2217.14,1.476899883,13.31458096
100,2,126451.0,684.66,2.789838155,14.83199372
101,1,266668.0,1811.63,3.591304663,15.96038285
102,1,263077.0,1751.16,3.814288127,16.49036509
103,1,269794.0,2115.08,3.885007044,16.46323469
104,1,362697.0,2365.13,1.809975261,13.88728147
105,2,258051.0,1779.57,2.987744418,15.43933272
106,1,372601.0,2172.23,3.187860925,15.99588259
107,1,138291.0,685.95,3.000472463,15.49960833
108,1,288445.0,2294.7,4.90481607,16.74060046
109,1,352088.0,2308.98,0.971814152,13.23375878
110,1,154027.0,724.62,3.816468377,16.28243709
111,2,251004.0,1781.82,3.045380201,16.29109053
112,1,265751.0,1446.59,4.461935341,16.37096872
113,1,157435.0,777.69,4.516574731,17.28662514
114,1,154544.0,1133.39,4.465134606,16.62819275
115,2,243742.0,1328.18,3.009655567,15.64539554
116,1,155297.0,1193.43,4.522625204,16.62862695
117,1,258684.0,1245.13,2.49992282,16.09424591
118,2,237997.0,1329.78,1.619735335,13.8542609
119,2,247594.0,1603.97,2.890440702,15.9613347
120,2,347233.0,1871.3,1.188542911,11.96010024
121,1,389762.0,2325.44,3.983542931,16.64354727
122,1,269320.0,2143.12,3.15183875,15.9158997
123,2,232364.0,1284.92,0.891647617,12.21435106
124,1,375911.0,2434.57,2.093642879,14.69890064
125,1,143722.0,1327.28,4.009858421,15.93961469
126,2,252244.0,1412.89,2.895449286,15.18266619
127,2,250799.0,1733.46,3.108556716,15.86907751
128,1,377851.0,2269.47,2.49027821,15.39587635
129,2,252294.0,1765.15,2.896470055,15.25058216
130,2,254633.0,1818.53,2.233738326,15.18654316
131,1,157449.0,1248.99,3.904226306,16.56366692
132,1,368205.0,2095.53,2.395439014,15.1442212
133,1,148088.0,805.11,3.721792192,15.95288935
134,2,364585.0,2390.43,3.051195536,15.65310718
135,1,383024.0,2215.75,3.390373524,15.91810782
136,2,339970.0,1682.11,1.351918239,13.50877668
137,1,139741.0,824.61,3.610248447,16.16466135
138,2,349789.0,1893.82,2.203232891,13.47706024
139,1,360115.0,1827.59,1.468625431,14.05776042
140,1,269365.0,1942.64,3.821059216,17.35359259
141,2,244273.0,1256.42,1.894420528,15.33906442
142,1,264981.0,1799.47,3.930084478,16.43714173
143,1,268113.0,1639.23,3.625014261,16.30503988
144,1,395585.0,2424.12,3.855784586,16.22397209
145,1,380218.0,2426.25,3.526636739,15.90107213
146,1,371063.0,1866.5,3.015675036,15.4465196
147,1,255929.0,1426.72,1.300352611,13.28391891
148,2,355883.0,1760.24,1.747350678,13.63341864
149,1,384719.0,2038.56,3.180025186,15.82425063
150,1,139555.0,654.02,2.550666841,13.10509515
151,1,157000.0,825.49,4.586527181,17.01218655
152,1,377873.0,2262.77,2.880575925,15.46190499
153,2,344461.0,1722.8,1.430446118,13.31859856
154,1,148964.0,1138.01,3.533105194,15.90297666
155,2,120901.0,610.79,2.048311462,13.87893112
156,1,148289.0,801.73,3.936825101,16.89964183
157,1,144855.0,1159.14,3.365983846,16.12512842
158,2,128029.0,956.45,3.077010652,15.62295244
159,4,356059.0,2283.92,2.340741232,15.09647214
160,2,130430.0,929.31,3.016481034,15.41094271
161,1,140214.0,736.91,1.812355112,15.78281638
162,2,249729.0,1367.99,1.397607347,13.92150551
163,2,251872.0,1509.37,3.334568828,15.24257938
164,1,154937.0,678.17,3.647484863,17.42929999
165,2,247832.0,1779.08,3.148810967,15.72699891
166,1,268662.0,1483.14,4.577792442,16.9935234
167,1,379639.0,2376.55,2.310061961,15.60460899
168,2,239457.0,1242.62,0.876716195,13.58268036
169,2,245053.0,1375.19,1.830312641,13.7604771
170,1,136302.0,586.86,1.798427943,16.02168101
171,2,353426.0,2037.85,0.896648291,13.0471574
172,2,248511.0,1490.13,2.162023264,14.91548431
173,1,353695.0,1807.34,0.559063347,11.85283785
174,1,163468.0,1213.49,4.402625145,14.53178614
175,1,265797.0,1242.31,3.191712712,15.87174072
176,2,145329.0,1559.85,3.233428141,16.1207563
177,1,351417.0,2141.02,1.455855733,13.67078694
178,1,364050.0,1773.91,3.220781685,15.62307663
179,1,363991.0,1901.24,1.448138078,13.2972309
180,2,239274.0,1239.43,1.990069393,13.81537302
181,2,246488.0,1854.94,2.977235611,15.50798463
182,4,353924.0,1890.56,2.397076971,14.52504815
183,1,264369.0,1523.25,4.234433437,16.68685931
184,1,151548.0,1220.96,3.060786843,16.09111979
185,1,150084.0,1143.08,3.24564645,16.18109189
186,1,350501.0,2342.78,1.55031236,13.38149584
187,1,364603.0,2233.57,0.451629328,13.1368805
188,2,262132.0,1834.7,3.788779506,16.39689419
189,2,253383.0,1390.1,2.986347178,15.83722117
190,2,257215.0,1830.95,3.23657086,16.23682879
191,2,252163.0,1377.7,3.26933504,15.04501238
192,2,250869.0,1796.27,1.92666281,13.78170189
193,1,165888.0,1558.85,4.093264374,16.28153705
194,2,134527.0,904.31,2.278026314,15.02753123
195,1,373357.0,1883.74,3.599979429,15.56458561
196,2,132294.0,780.09,3.085660506,14.29708267
197,1,159524.0,1421.26,3.940892314,16.64891164
198,2,235736.0,1701.12,1.672748346,15.08998748
199,1,351109.0,2172.57,2.854309297,15.24670402
200,2,253420.0,1795.07,3.385510665,16.1192841
201,2,356272.0,1855.94,2.063478244,14.19037293
202,1,383507.0,1913.25,3.402165446,15.51688705
203,2,246337.0,1742.48,3.280756303,15.35009121
204,1,358819.0,1972.3,0.889573468,12.85660659
205,1,151228.0,1155.24,3.192757538,15.78007348
206,2,126135.0,753.18,1.64336784,13.35169594
207,1,281014.0,1957.28,4.701211326,17.22593957
208,1,259499.0,1812.87,3.504093093,16.28598069
209,2,253325.0,1262.96,1.824705904,14.44456453
210,2,242857.0,1721.67,1.614116787,12.45594564
211,1,276196.0,1876.9,3.572009421,16.35049962
212,1,155488.0,889.44,4.782888599,17.44357395
213,1,399595.0,2701.35,4.144543784,16.19840821
214,2,135821.0,740.08,1.498705582,13.94590305
215,1,139906.0,880.36,2.843470643,16.51975616
216,2,254571.0,1890.23,2.635634744,15.37032511
217,1,361671.0,2352.89,2.85907641,15.92464496
218,1,372305.0,2227.79,2.688102796,15.29770145
219,1,361124.0,2355.15,2.813453079,15.56736172
220,1,156339.0,890.2,4.219522225,17.1752848
221,2,362235.0,1861.98,2.124061472,15.08453971
222,2,124839.0,697.86,1.641403264,13.71957925
223,2,260680.0,1457.05,3.721402061,16.20922247
224,1,368569.0,1927.35,3.027549356,15.86213824
225,2,252303.0,1446.77,2.982642649,14.11166563
226,1,158957.0,1702.85,3.723593144,16.75055429
227,1,386369.0,2043.31,3.926192077,16.04112399
228,1,364734.0,2322.96,2.255243726,15.35251302
229,1,167711.0,673.31,4.390732497,17.22150519
230,1,157798.0,1137.81,3.909669385,16.5860279
231,2,353699.0,1674.29,1.561964785,14.87550806
232,2,141544.0,874.81,2.781363986,15.53817879
233,1,266483.0,1431.57,4.358795693,16.47572156
234,2,254089.0,1636.08,3.245503309,16.08003059
235,1,363928.0,2120.25,2.776881857,13.94405428
236,1,378246.0,1920.18,3.665337834,15.88951419
237,1,167590.0,964.99,4.411532123,17.46949307
238,1,260195.0,1055.98,2.206742244,14.60017695
239,1,151693.0,1219.0,3.115179315,15.7176484
240,2,123414.0,766.32,2.492878826,15.10073772
241,2,137021.0,778.7,2.854632633,15.1031434
242,1,365969.0,1860.8,1.809668562,13.79896759
243,1,144444.0,634.21,3.00812332,16.20947795
244,1,272910.0,1892.76,4.387191632,16.71977869
245,4,347861.0,2242.43,2.303184226,15.34726657
246,1,395000.0,1994.71,3.921599641,16.00285206
247,1,258255.0,1707.97,3.942738666,16.40829935
248,2,239294.0,1694.68,0.253843008,12.50483922
249,1,384434.0,2197.03,3.639729486,16.94440853
250,2,253175.0,1831.35,3.853416132,15.94492632
251,1,147744.0,679.21,3.124178978,16.35805306
252,1,266842.0,2015.01,3.101208328,15.75262659
253,1,166229.0,836.12,3.804026373,16.425865
254,2,359173.0,1853.95,1.484624906,15.09471828
255,2,132773.0,676.29,1.752776891,15.06265039
256,2,124662.0,772.18,1.610256216,13.60352521
257,1,369210.0,1873.4,2.839010585,15.04994285
258,1,241836.0,1002.57,0.350945579,11.95847719
259,2,361176.0,1765.37,2.236161426,14.94115166
260,1,384322.0,1876.63,3.009188652,15.99371874
261,1,153581.0,744.64,3.722164358,16.40155888
262,2,337969.0,1857.56,1.498678699,13.12572238
263,1,139470.0,1046.04,3.418364258,15.91693382
264,2,239923.0,1711.7,1.741836335,14.61964742
265,2,350804.0,1866.86,1.901315843,15.05272161
266,1,141622.0,1292.44,3.557174471,16.23828294
267,2,124565.0,753.24,2.453786281,15.32690645
268,2,345647.0,1794.57,0.976441418,13.03966798
269,2,250291.0,1779.85,1.912688541,14.32054971
270,1,136755.0,734.75,2.798042318,13.75529239
271,1,149592.0,1133.59,3.641588407,16.03977898
272,1,148548.0,882.54,3.611251653,16.21079852
273,2,131847.0,817.86,1.930632583,13.61314117
274,2,242729.0,1702.34,1.75895441,13.42622277
275,1,386172.0,1908.61,3.399702154,15.83273811
276,4,360589.0,2423.35,2.183096132,15.43891884
277,1,157363.0,902.24,4.45810829,16.97346782
278,1,376004.0,2202.25,2.00923057,13.66285091
279,1,358220.0,2412.7,2.065336368,14.11644606
280,1,259619.0,1826.88,1.337999231,13.44382304
281,1,373732.0,2426.88,1.844158254,15.23771691
282,2,133952.0,799.8,2.965231799,15.63939039
283,1,364575.0,2263.79,1.60983592,15.34212569
284,1,148117.0,1072.61,3.907525684,16.35164185
285,1,259512.0,1886.2,1.633025596,13.76532568
286,1,141558.0,784.32,3.143817729,16.01906984
287,2,127558.0,849.04,1.415089312,13.16458973
288,1,259255.0,1446.74,1.473403322,13.99998779
289,1,381239.0,2510.76,1.581529036,13.44504254
290,2,343793.0,1885.79,1.971008585,13.15604214
291,1,384249.0,2119.64,3.649601488,14.20523901
292,2,350965.0,2018.79,0.976394888,12.81410832
293,1,133370.0,655.57,1.8112534,15.16885338
294,1,156067.0,1666.33,4.284820418,16.71218939
295,2,135225.0,791.49,2.89923743,15.81372627
296,1,260955.0,2002.38,3.197869751,15.96049659
297,1,167956.0,785.33,4.800283338,17.69691614
298,2,136821.0,901.75,2.792486402,15.44252637
299,1,368482.0,2292.03,0.998782731,13.7920823
300,1,258351.0,1921.98,1.337898338,13.82269036
301,2,127867.0,844.86,2.963072896,16.51267941
302,1,377777.0,2344.07,1.662509211,15.20450226
303,2,135240.0,819.17,3.174018235,15.50867548
304,2,241793.0,1242.82,2.391571531,15.42051222
305,1,267680.0,1727.66,3.807191311,16.42398557
