,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1,367524.0,2150.09,1.469987091,13.59540203
1,2,127653.0,778.66,2.444203997,15.16275211
2,1,273220.0,1918.63,3.897852361,16.08241967
3,1,157330.0,586.86,4.179086762,16.71903381
4,2,340232.0,1849.69,1.609485811,12.62856806
5,2,246355.0,1799.9,0.741409466,13.07261252
6,2,248722.0,1818.95,3.084896352,15.6233471
7,1,369656.0,2358.85,2.238670439,13.84676092
8,1,157468.0,805.65,3.808212022,16.8924298
9,2,351863.0,1869.1,1.844261456,13.03356838
10,1,365079.0,1929.3,1.630757488,13.47542021
11,1,270297.0,2031.31,3.784433476,16.3162774
12,2,358455.0,1910.83,2.186435095,15.70852862
13,2,354600.0,1735.02,1.355399992,12.63335319
14,2,243903.0,1887.06,2.130554523,14.04344535
15,1,275449.0,1590.16,4.278231591,17.13702282
16,2,253316.0,1859.38,3.499067623,15.90780752
17,1,265183.0,1066.64,1.427695053,15.52876137
18,1,136661.0,871.04,2.836065964,15.90509971
19,2,232840.0,1233.34,0.927485603,13.43399411
20,2,229535.0,1255.45,1.523818523,12.72288193
21,2,238392.0,958.51,1.565686357,14.22406423
22,2,135102.0,939.52,3.229341334,15.31937567
23,2,128340.0,787.05,2.748417635,15.60952739
24,2,352228.0,1891.05,1.483459286,14.8648179
25,2,239207.0,1829.41,1.77810587,14.86547967
26,2,120987.0,753.92,2.61052871,15.63027095
27,1,371648.0,2219.62,1.92783004,14.6684933
28,1,284971.0,1767.47,4.872016913,16.37255163
29,1,356315.0,2103.42,0.993398508,12.1056331
30,1,141532.0,700.94,3.219659559,16.40702594
31,2,246408.0,1239.25,2.101218266,15.14842564
32,2,138264.0,967.21,2.049910862,15.75923254
33,2,258741.0,1226.5,1.718957904,13.45037398
34,1,370789.0,2326.36,2.867591367,15.33163947
35,1,153804.0,650.92,4.114839843,16.74626706
36,2,370176.0,1815.18,2.031847072,14.84746827
37,1,268204.0,1842.12,3.692037504,16.45570674
38,1,162045.0,782.08,4.310362218,16.79061058
39,1,144923.0,586.86,2.600352222,15.66148499
40,1,376884.0,2181.15,2.943621064,15.87660093
41,1,366326.0,2176.34,2.530943838,15.43512092
42,2,117601.0,647.56,2.040281766,15.41743911
43,1,360009.0,2192.54,3.19971253,15.50579233
44,1,260581.0,1844.65,3.063521018,16.11815377
45,2,131845.0,693.4,3.105780151,15.56045146
46,1,146231.0,831.45,3.289530971,16.77799153
47,2,131081.0,676.34,2.115669535,15.70354831
48,1,378964.0,2510.73,3.352211433,15.58034465
49,1,249738.0,1495.8,1.716227482,14.94553838
50,1,351510.0,2308.43,1.613393204,13.7219496
51,1,148017.0,1681.69,4.371426179,16.06992727
52,1,379134.0,2164.03,1.622875956,15.00365167
