,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1,147310.0,961.28,3.744149572,16.87616675
1,2,260306.0,1985.58,3.004423876,15.5880252
2,1,164556.0,760.96,3.776805088,16.36226766
3,1,153189.0,732.01,2.9191425,16.27938284
4,2,374028.0,2506.7,3.268793557,16.00113307
5,1,341090.0,2459.93,0.898931708,15.03994672
6,2,244052.0,1414.83,0.517886733,12.57912106
7,2,346388.0,2200.81,2.508140929,13.89568237
8,1,358208.0,2271.1,3.389697137,16.19562199
9,1,141220.0,787.3,3.911605468,16.04454183
10,2,369181.0,2449.17,3.182017835,15.74802957
11,1,374143.0,2299.66,1.703065202,15.4761271
12,1,356657.0,1960.63,1.664332526,13.67792383
13,1,248406.0,1763.57,3.790002126,16.20956838
14,1,359633.0,1911.71,1.989959686,13.78437025
15,1,387347.0,2449.1,3.748726678,15.56510127
16,1,258384.0,1483.8,0.886508157,13.55050488
17,2,364474.0,1894.93,2.225352903,14.21665675
18,2,246467.0,1762.91,1.771186226,13.81683188
19,2,347705.0,2223.61,1.687451786,13.34211461
20,1,359816.0,2131.88,0.466583459,12.65960593
21,1,263232.0,1657.99,3.541149112,16.66209375
22,1,153963.0,766.05,3.067435574,16.21671333
23,1,138238.0,717.83,3.048734434,16.19518674
24,1,155997.0,586.86,3.157787082,16.6608587
25,2,362237.0,2379.9,3.461234306,15.61802916
26,2,251412.0,1234.17,1.422880854,13.53039276
27,1,121723.0,1036.34,2.737548562,16.39825629
28,2,236965.0,1420.47,2.824511857,15.15282916
29,1,126302.0,661.72,2.158349702,15.39787877
30,1,363464.0,2288.12,3.297008155,16.27490789
31,2,146676.0,888.44,2.917988222,14.10774205
32,1,149896.0,766.73,3.112454229,15.85530534
33,3,119482.0,833.17,0.889308996,12.45511672
34,1,265169.0,1707.15,3.38764611,15.60306761
35,1,147202.0,1619.81,3.973949469,17.0913407
36,2,356584.0,1877.41,1.339996039,15.40014126
37,2,120698.0,1222.18,1.153650258,13.42285539
38,1,144706.0,742.61,3.719187558,17.48846972
39,2,336440.0,1921.12,0.912312676,13.19336893
40,2,238131.0,1372.61,2.939207669,15.66364881
41,1,367657.0,2174.39,2.013384325,15.90097383
42,2,123402.0,766.76,1.190395663,14.36965194
43,1,149497.0,1360.04,3.057650262,15.45265737
44,1,372179.0,2332.91,1.510624926,13.5357018
45,1,160593.0,1056.41,3.196672053,16.23537964
46,1,144417.0,586.86,1.589538285,14.14630534
47,2,351050.0,1768.91,1.032748896,13.14517184
48,1,273172.0,1835.85,3.788144444,16.55415592
49,1,368820.0,1851.36,1.92504447,15.48195638
50,2,231719.0,1336.17,0.011547598,12.75152415
51,1,258791.0,1153.22,1.802346364,15.25713483
52,2,253650.0,1279.25,3.078902737,16.15050335
53,2,356867.0,1818.89,1.934662693,13.86313717
54,1,250622.0,1512.87,3.13708393,15.94728261
55,1,152573.0,1013.21,4.037377657,16.56953146
56,2,246243.0,1567.06,2.853324143,15.23135303
57,1,164859.0,980.23,4.749239394,17.44932952
58,1,244623.0,1259.23,0.933396724,12.11983015
59,2,239338.0,1770.91,2.049257572,14.08931428
60,2,356389.0,2316.21,1.865896538,13.70199873
61,2,122616.0,804.62,3.173091827,16.01053216
62,1,382151.0,2397.99,3.057662432,15.82277108
63,2,250991.0,1529.96,3.214863415,15.40434632
64,1,351951.0,2163.14,1.303957192,12.29717342
65,2,125372.0,762.23,0.392890255,13.24669904
66,1,252566.0,1683.03,2.669765197,15.16627458
67,2,127556.0,819.17,1.871523403,14.01978818
68,2,250981.0,1476.93,2.761917571,15.52771524
69,2,122030.0,909.92,1.184952879,13.16209678
70,1,365604.0,2136.68,1.927974159,15.83535901
71,1,364367.0,2388.92,1.570074338,13.66910898
72,2,243735.0,1304.04,0.938466973,12.51194997
73,1,357823.0,2194.86,2.33857512,13.82478017
74,1,367098.0,2327.59,2.669780925,15.8898779
75,2,348768.0,2193.73,1.68120688,13.74123783
76,1,140850.0,872.37,3.653248031,16.64685145
77,1,264121.0,1839.21,2.779147245,15.29461479
78,1,268012.0,1858.72,1.454927786,14.55028183
79,1,158905.0,865.84,3.750946305,17.14778483
80,1,357341.0,2314.81,1.048510593,12.62669483
81,1,264032.0,1941.33,3.822192225,16.21193414
82,1,154415.0,732.31,4.509650754,16.69808817
83,1,274370.0,1969.53,4.771500084,16.9116951
84,1,263938.0,1340.8,3.497361838,15.50241997
85,1,254828.0,1832.27,3.660740806,16.78462853
86,2,352477.0,2250.96,1.429364405,14.88549266
87,1,376910.0,2460.12,2.150953881,13.7598788
88,1,152521.0,632.81,3.078806345,16.69015819
89,4,371821.0,2593.76,2.676049638,15.13254351
90,1,361185.0,1746.07,1.190721917,12.52703852
