,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1,145056.0,1208.34,3.800191725,16.36103757
1,1,136405.0,794.0,3.181221067,15.80844671
2,3,135976.0,1379.21,2.496291023,15.55596732
3,1,377260.0,2274.29,3.301322496,16.03119141
4,1,380869.0,2397.07,2.478594813,15.22655966
5,2,252986.0,1519.33,2.939986473,15.8030214
6,2,354207.0,2002.59,1.799066692,12.67704438
7,1,365836.0,1868.35,0.822008371,12.8060308
8,1,366450.0,2499.76,1.814351475,15.31809878
9,2,264434.0,1804.96,3.705874041,15.80928336
10,1,365166.0,2180.97,1.436564923,13.33919191
11,1,358784.0,2232.74,1.330709742,12.5290374
12,1,139085.0,588.98,2.345237098,15.58557892
13,2,256782.0,1765.89,3.228232538,16.56138696
14,1,367348.0,2138.64,1.251167437,13.51971751
15,2,140390.0,733.88,2.520854402,15.43109567
16,1,142057.0,853.71,2.057877636,13.53926111
17,2,358862.0,1805.6,1.746313905,14.2903399
18,1,148135.0,1271.81,3.688337362,16.17056309
19,1,374207.0,2308.95,3.074098082,15.99188522
20,1,153407.0,822.17,3.972812116,16.34303652
21,1,381971.0,2450.86,1.178177781,13.59572563
22,2,242681.0,1511.97,3.054453539,15.34732558
23,1,249101.0,1618.49,1.092521992,13.27979592
24,1,151597.0,883.66,2.940381378,15.80443987
25,1,246607.0,1863.33,0.173219422,11.98116173
26,1,154219.0,1036.18,3.481456056,16.54390676
27,2,132820.0,947.2,1.455900573,13.6534106
28,1,371795.0,2432.77,1.054354488,13.05729641
29,1,386037.0,2367.9,1.152077018,13.13021753
30,1,143176.0,846.43,3.621715777,16.63354618
31,2,125398.0,816.48,1.839850534,15.48277892
32,2,137955.0,1243.35,3.538474138,15.51230138
33,1,365609.0,2128.06,1.315538572,13.54389539
34,1,369237.0,2225.14,1.555638645,13.28948276
35,1,355159.0,1353.23,0.255372909,12.65694946
36,2,349976.0,1812.52,1.162463507,13.1888583
37,1,357900.0,1797.38,3.729955377,16.82395908
38,4,363012.0,2259.0,1.516137811,15.01135181
39,1,355586.0,2271.49,1.527307539,12.40461901
40,1,374822.0,2154.79,1.681224052,15.17370312
41,2,260872.0,1556.57,3.198848823,15.84414378
42,1,156184.0,832.99,4.28058649,16.67676614
43,1,249416.0,1278.73,1.282598231,12.61684321
44,1,371230.0,2258.11,1.683509115,12.58875535
45,2,135562.0,1375.36,2.718481124,15.17696552
46,1,143645.0,1258.66,3.677171009,16.65822401
47,1,392426.0,2666.99,2.198320988,15.90043588
48,2,245695.0,1790.14,1.758211507,14.46181381
49,4,366206.0,2096.51,2.961977393,15.03643398
50,2,133955.0,819.36,1.309439941,14.01856253
51,1,155856.0,1058.58,3.59192694,16.77970089
52,1,145177.0,710.66,3.067780792,16.71845247
53,1,368022.0,2161.68,3.807509949,15.65719326
54,2,250439.0,1150.59,2.608752932,13.25818929
55,1,139431.0,644.47,2.915284714,15.45306381
56,1,375565.0,1834.79,3.647669597,16.17303939
57,1,356003.0,2209.76,0.412797276,13.2562119
58,1,135336.0,641.82,1.945661764,14.08457068
59,1,365759.0,2196.34,2.055819464,14.69125429
60,1,387292.0,2138.64,3.909180113,17.29228986
61,2,353116.0,1748.51,1.741687775,13.53609259
62,1,385135.0,2796.31,3.545431206,16.90420067
63,1,135675.0,742.18,3.061361566,15.54102538
64,2,134643.0,903.03,2.481472387,15.09740279
65,1,374317.0,2795.99,3.016287584,16.01746418
66,4,354482.0,2248.23,2.788817587,15.21906839
67,1,159950.0,791.82,4.710945129,16.73240428
68,2,244749.0,1776.19,1.891163251,14.96197067
69,1,152660.0,1221.21,3.777433709,16.20467272
70,1,360078.0,2251.33,0.459453956,13.21179225
71,2,236244.0,1296.15,1.560893211,15.01781709
72,2,356509.0,2257.26,3.295604771,15.75169932
73,2,245441.0,988.95,2.861849152,14.74824878
74,1,137083.0,761.51,2.935091691,15.87199261
75,2,122223.0,810.28,1.962046739,14.15384188
76,1,135646.0,835.95,2.410860348,14.64596068
77,1,148015.0,1233.47,4.071192392,16.78910634
78,1,257582.0,1832.0,3.668521245,15.95091964
79,2,128989.0,909.77,2.923398709,16.25440726
80,1,157770.0,724.96,4.779827249,17.36300454
81,2,364555.0,1778.28,2.685903652,13.99129187
82,2,358875.0,1985.04,1.724824043,15.20449331
83,1,378268.0,1901.76,2.758726878,15.86164964
84,2,348449.0,1769.1,1.052284876,12.61722953
85,2,259937.0,1610.93,3.195551216,16.34088976
86,2,126675.0,1006.32,0.827626415,13.58293252
87,2,358931.0,2037.99,1.793367375,13.81701651
88,1,371175.0,2520.92,1.201627972,13.10940148
89,1,366078.0,2335.83,3.22919159,14.85134636
90,2,244761.0,1504.39,1.826526816,15.08476439
91,4,371016.0,2322.57,3.123481775,15.62937875
92,1,123709.0,607.76,2.28670169,15.6756876
93,1,372077.0,2579.96,3.150124177,15.9767049
94,2,125931.0,818.13,1.305578837,13.34387493
95,1,143209.0,764.74,2.926259643,15.30560129
96,1,142455.0,975.16,3.746513357,16.06677947
97,1,153311.0,750.65,3.555127784,16.68399196
98,1,377384.0,2395.61,1.107642503,13.53567348
99,2,249236.0,1452.92,1.042817712,14.05902216
100,1,167385.0,1177.23,4.618315613,17.73027397
101,1,140176.0,733.27,2.79290805,15.83647782
102,1,256579.0,1798.86,3.653739989,16.56053601
103,2,240965.0,1791.6,1.291171775,14.16810453
104,1,256985.0,1325.52,1.388589448,13.31948414
105,1,148820.0,798.18,3.563491772,16.95418181
106,1,369876.0,1840.71,3.849161249,16.15798845
107,2,363314.0,1861.82,2.990263422,14.96066121
108,1,135758.0,1095.98,2.920593755,15.34629744
109,2,335737.0,1868.83,0.627348938,13.10302962
110,2,348695.0,1721.71,1.755965002,13.18613243
111,2,250206.0,1630.4,1.501798603,13.75906525
112,1,361367.0,1800.29,0.639828854,12.14148418
113,1,261341.0,1530.13,3.639169784,15.78001321
114,1,368909.0,2022.89,1.671054845,13.67318835
115,1,254705.0,1698.01,3.785002293,15.724484
116,1,382545.0,1904.06,4.375527402,15.96461986
117,2,246528.0,1850.64,1.959737553,14.58926038
118,1,144504.0,1352.65,2.864616396,16.36705787
119,2,238234.0,1359.04,1.299447504,12.48936725
120,1,128957.0,660.91,2.242646129,15.69341012
121,2,249511.0,1199.37,2.574993214,15.66367365
122,1,393107.0,2566.86,3.355371811,16.11478054
123,2,238734.0,966.22,2.975081971,14.62719797
124,1,253702.0,1494.65,1.154696385,11.94884259
125,1,147658.0,1211.85,3.821338996,16.50611798
126,1,144126.0,857.99,3.585998521,16.29997969
127,1,159976.0,1150.33,4.423757396,16.4601881
128,1,253780.0,1566.05,1.935207774,13.8494392
129,1,264123.0,1418.63,4.003907281,16.38570994
130,2,147212.0,1408.87,3.902032898,16.02280691
131,1,265442.0,1945.3,1.976439024,13.60320597
132,1,133338.0,1337.58,3.202543572,14.95413026
133,1,152013.0,676.85,3.479487182,15.99871274
134,1,261258.0,1519.53,3.276682321,16.28739065
135,2,253235.0,1822.86,3.670184123,15.68576531
136,2,136897.0,957.41,3.815584446,16.77455802
137,4,369491.0,2230.62,2.513062718,15.37487438
138,2,352973.0,1904.83,1.839174446,13.77647425
139,2,129829.0,657.23,2.242422711,13.47154238
140,1,375282.0,1815.36,0.566846134,12.6737483
141,1,368767.0,2135.68,1.915318686,13.05029547
142,1,262983.0,1524.68,3.987819343,16.16652068
143,1,133692.0,636.0,2.700868455,15.81547371
144,1,370327.0,2196.44,0.770709153,12.63856444
145,2,249087.0,1862.43,2.648120348,15.29172273
146,1,127419.0,786.49,2.742380962,15.3597214
147,2,251618.0,1238.97,2.084857866,15.43716186
148,1,141456.0,787.55,2.615633711,15.20097003
149,3,132678.0,1437.78,2.706457788,15.98616235
150,1,253618.0,1775.7,1.150377276,13.42545144
151,1,136308.0,793.17,3.014239627,16.59669486
152,1,140354.0,610.72,2.87408973,15.40436193
153,1,358123.0,1794.04,1.133384001,12.10756545
154,1,164639.0,1341.66,4.714524091,17.55160557
155,4,364679.0,2214.57,3.070412745,15.05349853
156,1,147301.0,884.41,3.019324989,16.07842906
157,1,251040.0,1749.14,4.400534717,16.71037334
158,3,126694.0,1405.62,2.218964922,15.13760755
159,1,140218.0,633.72,2.87022807,15.80801135
160,1,247933.0,1696.1,1.396518565,12.39478163
161,2,370548.0,2207.01,2.666907686,14.72599271
162,1,400263.0,2967.69,3.834518232,16.31294089
163,2,351294.0,1433.49,1.56072325,15.14354555
164,1,374606.0,2367.51,2.790604338,15.8867186
165,1,382085.0,2585.85,2.668893247,15.48658276
166,1,145755.0,1009.28,3.720159709,16.12225337
167,1,254085.0,1512.56,1.21705743,11.93022834
168,1,279458.0,1442.68,4.276208955,16.82190204
169,2,242552.0,1558.21,1.195370322,13.42454589
170,1,370697.0,2268.77,2.981649749,15.74124771
171,1,362330.0,2116.29,1.97230652,13.00875634
172,1,265692.0,1846.37,3.382119397,15.99584795
173,1,151931.0,1011.76,4.735968264,16.79036739
174,1,146747.0,815.62,3.048545929,16.84326415
175,2,243948.0,1164.23,0.463616404,12.98327523
176,1,377177.0,2360.17,3.228440343,16.22997687
177,1,150532.0,821.79,4.490287153,17.09983466
178,1,132516.0,648.96,2.166456091,15.71411045
179,1,384628.0,2153.43,1.681257896,15.83669346
180,2,252230.0,1318.32,2.725903293,15.49573869
181,1,128906.0,645.83,2.459416572,15.17933166
182,2,127135.0,758.2,3.099129758,15.5365542
183,2,250811.0,1311.45,2.944490603,14.05457759
184,1,142666.0,1195.71,3.61604372,16.57297324
185,1,264756.0,1733.99,3.345280334,15.99195246
186,2,360573.0,1918.3,1.584288166,13.96086686
187,2,132928.0,792.47,2.808827355,15.83855324
188,1,267286.0,1888.75,4.320429387,16.02959246
189,1,135675.0,753.17,1.984192413,13.76956755
190,1,257955.0,1403.76,1.60613729,13.32495219
191,1,137139.0,816.35,2.22798488,15.2623023
192,2,357456.0,1627.45,2.791803146,13.33917386
193,2,246383.0,1228.04,0.987139429,13.65424868
194,1,130657.0,906.36,3.185183754,16.56022426
195,1,385882.0,1951.81,1.796035988,15.8334485
196,2,244168.0,1350.79,3.194074847,15.75289192
197,1,383265.0,2269.85,3.970111916,17.64526688
198,1,389427.0,2464.1,3.638319863,16.1100464
199,1,386688.0,1898.94,3.855712669,16.66333471
200,2,253967.0,1835.39,2.398942803,15.33415347
201,1,386638.0,2599.87,2.830844015,15.5407109
202,1,272427.0,1896.91,3.545657799,16.2939108
203,1,259469.0,1825.49,3.732754651,15.79823391
204,1,151071.0,796.67,3.866363505,16.53624727
205,2,114947.0,847.83,2.156026131,13.38241451
206,2,249325.0,1016.75,2.650744868,15.44556565
207,2,133755.0,772.28,3.154727349,15.97397305
208,2,242815.0,1169.15,3.039003178,15.32701824
209,1,368313.0,2201.17,1.854289979,13.97859247
210,1,258222.0,1876.71,3.623605609,16.2705078
211,2,237848.0,1516.85,3.018797074,15.40994664
212,2,254113.0,1362.56,2.954903035,15.14733749
213,1,374982.0,1847.16,3.505168128,15.9675065
214,2,361704.0,1967.4,1.783120257,13.38744452
215,1,149994.0,734.39,3.712220808,16.70742924
216,1,137876.0,786.24,2.70508543,15.06613585
217,1,363448.0,2162.36,2.773190083,15.65631574
218,1,375715.0,2115.18,2.348456978,14.35090168
219,1,135267.0,679.96,3.017795229,16.18770016
220,1,259952.0,1837.51,3.716538921,15.49963514
221,2,341906.0,1697.34,1.182049386,12.08374145
222,2,239280.0,1476.44,0.935772966,12.08765155
223,1,144436.0,750.09,3.055824363,16.49249183
224,1,144088.0,967.33,3.80048884,17.5482646
225,1,170955.0,1113.03,4.658615677,17.27521105
226,2,130616.0,810.06,0.342388035,11.68620704
227,1,276715.0,1870.11,4.382162857,16.91296213
228,1,147613.0,945.9,3.807629971,16.62029011
229,2,362263.0,1884.34,2.786815567,15.06302594
230,1,163866.0,633.11,4.913575259,17.59511769
231,2,126765.0,737.41,2.133800504,14.22126093
232,2,372036.0,1947.78,3.401041091,15.96374029
233,2,360184.0,1705.03,1.980468128,15.15794362
234,1,365081.0,2340.5,0.666661305,12.33193948
235,1,364498.0,1853.35,3.03399279,15.68071396
236,1,174504.0,1208.92,4.212532491,16.57134141
237,2,351873.0,1858.21,3.337801485,15.89326557
238,1,262633.0,1762.45,3.535114136,16.11424976
239,2,131986.0,798.68,2.785966789,14.02540148
240,2,248331.0,1450.34,3.042531058,15.4713189
241,1,380200.0,2413.71,3.736142658,15.76552914
242,1,269648.0,2045.44,4.597372957,16.06249632
243,2,341911.0,1476.2,2.166867598,14.73506662
244,1,369992.0,2289.39,1.822960521,13.51517939
245,1,373179.0,2104.36,2.372644216,14.2212409
246,2,347673.0,2131.76,0.809752814,13.06745677
247,1,364628.0,2208.54,0.836572883,12.24513488
248,1,262024.0,1774.06,1.422097079,14.02159648
249,1,157323.0,1005.88,4.589077194,17.6589985
250,2,251255.0,1785.73,1.783751836,14.1019011
251,1,375624.0,2468.49,1.341983378,15.08030753
252,2,127805.0,695.37,1.635898636,13.16046533
253,2,237816.0,1564.51,2.481761258,15.06121884
254,1,162472.0,1014.77,3.989693025,16.80347697
255,1,387395.0,2412.14,2.806047733,15.1741568
256,2,353039.0,1842.01,3.016481017,15.73336187
257,2,141200.0,715.79,3.02415187,15.39928506
258,2,243179.0,1439.8,2.820104406,15.63072413
259,1,362408.0,2273.55,0.405256207,11.2583727
260,1,254066.0,1861.5,2.805291457,14.07090701
261,1,137315.0,1435.45,2.921855024,16.14162212
262,1,263163.0,1844.08,3.767229652,16.01460593
263,2,251914.0,1723.82,3.793986572,15.446263
264,1,153257.0,707.3,4.240941255,16.35565641
265,1,274681.0,1456.66,4.524384112,16.30360341
266,2,232812.0,1359.26,2.017885081,14.87485814
267,1,365817.0,2072.23,2.361298408,15.08033881
268,2,250338.0,1275.56,3.376939452,15.29523675
269,2,130412.0,650.82,1.552421277,14.20582792
270,1,140417.0,768.51,2.867748898,15.74850988
271,1,358665.0,1864.5,1.389446452,13.31859265
272,2,239448.0,1792.51,3.23241093,16.39772464
273,1,378224.0,1971.06,3.040877256,15.61913947
274,1,370057.0,2209.19,0.724822873,12.99165333
275,1,354198.0,1865.79,3.317588381,16.13201462
276,1,368245.0,2450.54,1.01110658,12.87794546
277,3,126689.0,982.32,2.924247103,14.80898451
278,3,357044.0,2379.51,2.131129379,15.31881102
279,2,117091.0,664.98,1.495909579,13.51747395
280,4,352877.0,2346.04,3.100262289,15.09808631
281,2,365475.0,1989.29,2.791432959,15.23979366
282,1,151213.0,586.86,2.793538738,15.68875308
283,1,150833.0,1487.16,3.890227457,16.27893916
284,1,377662.0,2313.98,2.955833303,15.79555172
285,1,359735.0,2152.62,3.069679904,15.36273211
286,1,137428.0,683.31,1.934791578,14.94857477
287,1,150727.0,1317.2,3.746053781,16.75862786
288,1,167429.0,972.81,3.161893302,16.47996859
289,1,269452.0,1919.28,3.973802692,16.71003021
290,1,137574.0,662.2,3.488635238,16.11268534
291,2,251721.0,1908.69,2.980653141,15.27544592
292,1,146086.0,667.98,3.154925734,16.44924023
293,2,361606.0,1814.97,2.757325555,16.22879044
294,2,247285.0,1850.51,2.93251007,14.8869667
295,1,148715.0,829.23,3.839418135,16.1919228
296,1,140004.0,700.52,2.234073565,16.34635564
297,2,245560.0,1369.18,2.864804316,15.79391228
298,1,156698.0,1200.91,3.844322767,15.66644226
299,1,267825.0,1847.04,1.169203949,13.79853507
300,1,353885.0,1765.64,0.731058976,12.31995156
301,2,135210.0,1038.45,2.556268957,15.79806716
302,2,246929.0,1218.62,2.910307201,15.17768371
303,1,362377.0,2275.96,0.836523997,12.18464154
304,2,244264.0,1575.01,1.557809609,15.58458497
305,1,371970.0,2494.97,2.903516517,15.3740565
306,1,136654.0,652.0,2.557339206,15.57456265
307,1,376244.0,2245.02,2.332826167,15.26956081
308,1,371696.0,2233.51,1.350661968,13.98714116
309,2,254718.0,1647.79,2.418767006,14.97175243
310,1,268106.0,1720.03,3.991000226,16.10654673
311,1,373623.0,2527.38,3.012929741,16.55831725
312,4,364913.0,2287.58,3.144640017,15.17300437
313,1,374121.0,2282.39,1.355588123,15.08388514
314,2,144757.0,1001.12,3.844498744,16.35770022
315,1,257074.0,1339.99,2.943577564,15.17251727
316,1,381734.0,2171.33,3.480537702,16.47573186
317,4,367780.0,2599.21,1.691031162,13.48723526
318,1,147686.0,924.51,4.310775039,16.57556454
319,2,252889.0,1624.3,2.067528386,13.99213595
320,1,150728.0,727.6,3.162371153,16.18698587
321,1,369133.0,2201.5,2.178939883,15.09329382
322,1,139402.0,1214.1,3.615393362,16.22406676
323,1,150354.0,911.61,3.64214066,15.84928874
324,2,256259.0,1866.29,3.824619969,16.99129798
325,1,276315.0,1887.27,4.09732091,16.54593921
326,1,354667.0,1887.94,2.165554096,12.61162159
327,2,132901.0,807.07,2.280010627,14.6610663
328,1,373692.0,2431.64,3.23423198,15.6334543
329,2,248899.0,1472.05,1.971086804,13.60068504
330,2,354599.0,1927.37,2.088025025,14.92598719
331,1,151993.0,862.65,4.30618223,16.83131016
332,2,118652.0,668.72,2.394098364,14.62803089
333,1,390286.0,2198.14,3.69162193,16.33778466
334,2,123035.0,731.52,2.041697874,13.1232414
335,1,370569.0,2372.87,1.845973345,15.05105651
336,2,360900.0,2112.5,3.165738464,15.4844228
337,1,139592.0,743.24,3.152923008,15.88991432
338,1,260572.0,1986.49,4.150406999,16.20566242
339,1,375962.0,1875.15,3.23624687,15.36354867
340,1,371696.0,1931.01,3.461906675,15.97140889
341,1,156341.0,760.69,4.503209263,16.98926251
342,1,369040.0,2306.72,2.591522372,14.34083445
343,2,242904.0,1328.6,3.045315095,16.43683122
344,1,147093.0,843.05,2.956271355,15.64138041
345,1,117224.0,666.73,2.35930262,15.12833553
346,4,363410.0,2465.64,2.10112746,13.22016925
347,2,240539.0,1243.99,2.518526177,15.425705
348,1,146157.0,878.27,3.524347246,16.39160621
349,2,143130.0,1099.01,3.564261971,15.69840785
350,1,131507.0,759.73,3.014464529,15.83888205
351,2,134065.0,900.83,2.939718502,14.89932611
352,1,363735.0,2122.75,1.49433593,13.89782785
353,1,391230.0,2158.93,3.735819911,15.77832945
354,3,127527.0,1623.23,1.262345375,13.32937582
355,1,384188.0,2561.52,3.219492957,15.77122811
356,1,280349.0,1947.46,4.610819352,15.62971189
357,2,126038.0,919.51,3.042136888,15.63507092
358,2,235839.0,1443.12,2.302919263,15.39683437
359,1,368823.0,2128.07,1.74564798,13.40576516
360,2,238981.0,1294.61,3.055419666,15.20888668
361,2,120350.0,688.82,2.513013674,15.36146671
362,1,150231.0,601.62,3.845360136,16.92065563
363,2,253699.0,1552.7,1.311019153,14.30710538
364,1,366597.0,2327.33,1.988571333,13.5248484
365,1,364584.0,1841.8,1.154659001,12.92392797
366,1,147552.0,758.26,3.075921576,16.20912515
367,2,344926.0,1752.34,1.751595668,15.21011788
368,1,148322.0,1294.66,3.662579595,16.00188869
369,1,372895.0,1905.49,3.315258861,15.93447427
370,2,354466.0,1829.22,1.129324202,14.56416775
371,1,277806.0,1732.07,3.317914665,16.67730353
372,1,150644.0,1265.75,3.79239096,16.9815187
373,4,360186.0,2176.06,2.106991737,13.48319363
374,2,244313.0,1226.45,1.757372184,14.84173477
375,1,373439.0,2311.68,2.81228135,15.97569308
376,2,362649.0,1848.9,2.101365889,15.00745086
377,1,367995.0,2298.63,2.017450962,13.77863947
378,1,145356.0,1358.58,3.423693793,15.81587489
379,1,149934.0,670.74,3.037169232,15.73408982
380,1,259606.0,1841.47,3.762185617,17.00984398
381,1,262348.0,1909.3,4.443730452,16.34383013
382,1,145590.0,797.13,3.326734597,16.3689988
383,1,141630.0,594.29,1.957336325,14.99607764
384,2,136280.0,839.92,2.91724702,15.41170394
385,1,269005.0,1865.68,3.048443782,15.27643082
386,2,242669.0,1596.97,3.054307182,14.99131837
387,2,238394.0,1534.88,1.673024915,13.94254675
388,2,252846.0,1328.67,4.089050947,16.48731923
389,1,262925.0,1970.88,4.210984612,16.75218508
390,1,368262.0,1943.75,3.150366002,16.01912736
391,2,251559.0,1387.77,3.467918709,15.79200053
