,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1,358661.0,2226.23,1.464096274,13.45172774
1,1,369518.0,1809.67,3.180921715,15.92952467
2,1,142384.0,962.04,3.651770015,16.71661832
3,1,150357.0,1275.74,1.602273961,16.11276902
4,1,164683.0,788.85,4.219997642,16.2294386
5,2,127433.0,953.79,1.919436554,14.67087198
6,4,365101.0,2354.1,3.09690402,14.71647793
7,4,361612.0,2190.22,1.66815796,14.94945108
8,2,128768.0,751.19,3.150872101,16.69489935
9,1,372951.0,2351.79,2.72169386,15.61422479
10,2,257584.0,1551.74,3.407781972,16.09272389
11,1,152356.0,815.53,3.616435368,17.18145062
12,2,357458.0,2218.22,2.850382478,15.61710768
13,2,126872.0,748.71,1.815021682,13.66307381
14,3,134970.0,927.51,1.64363265,15.18497868
15,1,152761.0,711.71,3.688793019,16.12327232
16,1,360311.0,2141.38,1.633771611,14.00750241
17,1,140196.0,1082.3,2.920659188,15.96238697
18,1,369243.0,2226.69,3.018102953,15.50669835
19,1,260274.0,1784.32,2.028703966,15.68695843
20,2,126145.0,631.09,2.3988728,15.75691344
21,1,390215.0,2805.73,3.642260417,16.01128937
22,1,376130.0,2630.38,3.15344745,15.6995007
23,1,363125.0,2283.89,1.078324427,12.84092751
24,1,365694.0,2262.17,2.173006573,15.03668313
25,1,131488.0,729.5,1.421536911,13.04971163
26,1,127289.0,705.96,2.112728627,15.58550363
27,2,256440.0,1862.39,3.048360887,15.83562833
28,2,240733.0,950.07,2.697628561,15.12559359
29,2,349024.0,1907.65,1.334937443,13.47512047
30,1,155878.0,731.39,3.57789627,16.50706404
31,1,360624.0,2173.49,1.59093293,13.4197584
32,2,350565.0,2332.28,2.015916164,13.12600046
33,2,118291.0,1170.55,1.389831811,13.48298233
34,2,122978.0,964.08,3.282465254,15.30684735
35,2,234786.0,1138.72,1.105291323,12.11730288
36,2,252337.0,1746.07,1.580620257,13.2138217
37,2,266977.0,1577.49,2.933700911,15.73469129
38,1,169396.0,717.87,3.233377983,16.93822435
39,1,161676.0,1351.08,4.616460342,16.70964047
40,1,375488.0,2403.61,2.18880704,15.23455413
41,2,344655.0,1737.37,0.204527769,12.66387323
42,1,377950.0,1977.08,1.465911137,14.10672981
43,2,153610.0,1439.43,2.862224729,15.928162
44,2,253450.0,1546.35,2.838528431,14.84932388
45,1,264018.0,1293.91,3.673948027,16.5383606
46,1,364884.0,1863.64,1.954724595,14.11192494
47,2,255464.0,1669.09,2.598304126,13.43254072
48,1,261494.0,1764.36,3.740572506,16.69954626
49,1,366308.0,1781.58,2.020754558,15.08261488
50,2,356401.0,1915.73,1.974194549,14.98708856
51,1,364697.0,2138.77,1.16461433,12.28756856
52,1,262915.0,1804.24,3.671402656,16.2331896
53,2,339779.0,1808.43,2.499806957,14.94993811
54,2,345030.0,1876.79,2.301867572,14.83837747
55,1,359632.0,1600.05,1.312991446,13.1149693
56,1,167657.0,893.1,4.325576367,16.94717517
57,2,235397.0,1267.38,0.295893,12.21084478
58,2,246689.0,1909.52,3.296644861,15.48328776
59,1,257849.0,1881.89,2.905790752,15.78902351
60,1,260059.0,1361.16,1.418138955,15.86895655
61,1,144733.0,761.12,3.053596214,16.21364675
62,1,263608.0,1302.05,2.681295566,13.75351724
63,1,248251.0,983.18,3.608124645,16.24779811
