,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1,260954.0,1818.43,3.684111746,16.10027525
1,1,264486.0,1617.82,3.097415808,14.54960227
2,1,357251.0,2213.23,1.768200525,13.83996269
3,1,155243.0,1082.84,3.706561154,16.05479157
4,1,155250.0,848.66,4.216359964,16.87178643
5,2,230765.0,1251.74,1.873060324,15.40695199
6,1,280853.0,1751.22,4.808615135,16.36824912
7,1,151027.0,682.92,3.127616357,16.07728129
8,1,371987.0,2435.6,3.042607185,15.47312669
9,1,273025.0,1884.24,3.6229888,16.44451778
10,2,358311.0,1708.39,1.37327225,13.67086763
11,1,149902.0,944.2,3.82365591,16.86657851
12,1,154388.0,993.06,4.744494787,17.32509632
13,1,274771.0,1505.81,3.595047027,15.67759705
14,0,382187.0,2368.27,3.631768788,16.21982318
15,1,362005.0,2267.36,1.90469969,13.57202404
16,1,142581.0,781.7,2.990674985,14.88639134
17,2,142124.0,871.36,2.971525421,14.90329451
18,2,252767.0,1790.3,3.01126354,15.76363532
19,1,268114.0,1909.54,4.065238193,16.45669517
20,2,256554.0,1723.31,3.693305213,15.54713922
21,2,241333.0,1775.49,3.009695904,15.3716719
22,1,143973.0,853.75,2.856925491,15.86962426
23,2,363643.0,1925.82,0.768265872,13.12779676
24,1,147909.0,784.45,3.723208262,16.20899257
25,2,254081.0,1418.46,1.20976378,12.97388719
26,1,350048.0,2094.87,0.777185663,12.93566377
27,2,354645.0,2181.55,2.420122147,15.42002804
28,1,345991.0,2179.83,-0.004735162,11.99579567
29,2,241114.0,1467.17,2.220914012,13.89425149
30,2,261292.0,1692.32,3.027709845,13.89991526
31,1,364723.0,2298.88,2.881403558,13.84861643
32,2,366397.0,2514.27,2.915830496,13.88210751
33,2,364424.0,1872.12,1.791002013,15.21972997
34,1,362932.0,1878.65,0.468888519,12.70006779
35,2,245256.0,1269.93,2.747256363,15.68209807
36,1,264679.0,1227.48,3.714023469,16.89208914
37,1,241651.0,1759.65,3.328967982,16.08764688
38,2,147572.0,1380.3,3.141371014,15.48175808
39,2,134697.0,586.86,2.915576715,15.51334775
40,2,244976.0,1852.29,1.824819413,14.91542944
41,1,359090.0,2185.72,0.173156055,12.83459322
42,2,257635.0,1539.5,1.739415413,13.7040086
43,1,363693.0,2214.55,2.6270047,15.36278277
44,2,268414.0,2267.82,3.328572833,15.29496017
45,1,150845.0,906.11,4.28049892,16.32604001
46,1,260373.0,1287.06,3.236712779,15.53389407
47,2,263597.0,1326.23,2.881229645,14.92123358
48,2,349238.0,1930.15,0.891882708,13.30301353
49,1,347059.0,2144.01,2.028971264,12.93028873
50,2,258408.0,1195.38,3.164895487,15.53838684
51,2,251956.0,1131.66,2.406320958,15.70736912
