,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1,369536.0,2087.46,3.635344701,15.90935211
1,1,259984.0,1419.12,1.754984006,13.91911445
2,1,349301.0,2041.88,0.494157588,12.81212999
3,1,352592.0,2226.17,1.271725367,13.29517867
4,1,148614.0,734.38,4.317499737,16.59259441
5,1,366887.0,1725.88,1.078295641,12.96204988
6,1,280393.0,1767.77,4.137778623,16.96137868
7,0,374461.0,2249.84,3.666659658,16.09005053
8,1,364674.0,1876.47,1.343723306,13.2821203
9,2,131429.0,821.91,2.480013019,14.54016662
10,1,282793.0,1924.64,4.883043889,16.90206701
11,1,259879.0,1680.63,1.726168139,14.12152609
12,1,370838.0,2424.7,2.067177424,15.40636098
13,2,124946.0,753.37,2.146575,14.59770197
14,2,363490.0,1819.85,1.317161501,13.64871165
15,1,362137.0,2214.36,2.343989557,14.46841113
16,1,252091.0,1340.43,2.273750756,15.47733719
17,1,268117.0,1514.39,3.798973095,16.4888475
18,1,364774.0,1753.77,1.925604963,15.48967256
19,1,148235.0,744.8,3.248608363,16.39682254
20,1,165040.0,716.06,4.154910011,17.68298005
21,2,245412.0,1663.84,2.403105541,15.81656146
22,1,160000.0,889.37,4.56809908,16.81952115
23,1,146727.0,1036.06,3.344087033,16.58823861
24,2,349252.0,2171.95,1.501936164,13.85166126
25,1,149106.0,907.19,3.736912011,15.89680387
26,1,381076.0,2447.04,1.683863363,15.2769064
27,1,147203.0,820.49,3.667098217,15.94753642
28,1,267512.0,1902.32,3.74634014,15.38972617
29,1,372775.0,1936.13,1.996934989,15.15794774
30,1,273078.0,1841.93,3.395132402,15.58342205
31,1,397370.0,2344.12,3.537460663,16.00867086
32,2,234845.0,1347.17,1.993388948,15.07306358
33,1,155547.0,1838.59,3.885401623,15.03717584
34,1,367338.0,2311.8,2.479170021,15.94747246
35,2,252008.0,1808.57,3.045384664,15.32838099
36,1,158271.0,823.9,4.447662474,17.05180226
37,2,129381.0,1132.18,1.598443153,14.10299052
38,1,268114.0,1786.14,3.955350781,15.43494971
39,1,141361.0,617.23,2.523786927,16.08987456
40,1,349343.0,2199.33,1.018758487,12.35545801
41,1,144024.0,644.54,3.514676388,15.79422524
42,2,255261.0,1829.47,3.171610373,15.93837579
43,1,380531.0,2219.41,2.483949386,15.92292915
44,1,360286.0,2071.03,0.40403302,11.95379766
45,1,358842.0,2289.24,2.069888445,13.62151695
46,2,242483.0,1409.67,1.452714134,13.30247806
47,1,261396.0,1554.87,3.053411011,14.44567017
48,2,121487.0,777.31,0.357555913,13.141097
49,1,167717.0,951.52,4.868050285,16.19345534
50,1,167156.0,1128.22,4.149769017,16.90897134
51,2,243566.0,1715.12,2.331980742,15.51562681
52,1,362920.0,2253.87,-0.326393035,13.25605031
53,1,373238.0,2193.92,1.510050914,13.35366223
54,1,273851.0,1848.91,3.885577292,16.73288959
55,1,135492.0,1082.3,3.185558698,16.00656782
56,1,270757.0,2000.72,3.879528263,17.04053082
57,1,140358.0,835.59,2.907289314,15.10438423
58,1,367881.0,2385.47,2.075600821,15.39049002
59,1,150069.0,764.75,3.170101286,16.4196505
60,1,363365.0,1825.95,1.153892585,12.99181754
61,1,252562.0,1323.69,3.838159022,15.86706169
62,1,131958.0,586.86,2.568651265,15.72122384
63,2,248062.0,1265.01,1.812476136,14.32791616
64,2,247477.0,1420.21,2.169919394,14.13258205
65,1,157083.0,735.52,3.139600232,16.07649774
66,1,268384.0,2404.57,3.703936327,16.50974582
67,2,248546.0,1336.23,3.045900341,15.95330866
68,1,387868.0,2903.72,3.342391073,16.1332226
69,2,256326.0,1768.4,3.672323355,15.92517265
70,2,253880.0,1405.44,3.033578252,15.62511492
71,1,355618.0,2225.48,1.508501786,13.58632863
72,1,150729.0,1333.86,3.702961597,16.07943965
73,2,145122.0,797.54,3.600633655,16.38977264
74,2,246562.0,1503.78,1.988725217,14.09620169
75,1,368875.0,2323.33,3.375209488,15.88161964
76,1,376121.0,2282.75,3.16777129,16.33101339
77,1,352623.0,2165.43,2.501580222,15.12468148
