,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1,254661.0,1833.03,3.409170999,15.98654982
1,1,260090.0,1701.33,1.211219056,12.5545966
2,1,260923.0,1467.56,3.994942088,15.97864509
3,1,359739.0,2298.12,1.946327667,13.40817801
4,4,359975.0,2105.63,2.286966569,15.07946484
5,1,159002.0,999.76,4.534723805,16.78118593
6,2,223598.0,1744.85,1.237250265,12.48199537
7,1,363427.0,2192.83,3.120715489,15.94817406
8,1,352458.0,2249.62,1.654256966,11.89880652
9,2,135458.0,1026.52,3.110342493,15.61268166
10,2,238541.0,1420.27,0.886663597,13.32681174
11,1,263690.0,1810.93,3.233972325,14.55545799
12,4,344780.0,2275.17,2.211757452,14.86125501
13,2,241387.0,1729.57,1.842782846,15.77711423
14,1,154267.0,832.0,3.754948529,15.8978621
15,2,136869.0,1011.94,3.052325592,14.88228034
16,1,146714.0,1595.53,3.963031967,16.42874973
17,1,376186.0,2376.95,3.134621219,15.00505693
18,1,380347.0,2237.37,3.652224885,15.84564251
19,1,264855.0,2096.68,3.856634661,15.83277287
20,1,164919.0,1412.59,3.961536088,16.37291986
21,1,141052.0,823.85,3.882666376,16.25362234
22,1,366701.0,2202.18,1.105060358,13.22967241
23,2,247944.0,1476.27,1.935631459,13.98859651
24,2,248025.0,1354.58,1.65885214,14.21339593
25,1,361243.0,1837.05,1.868287466,14.95912588
26,2,258463.0,1869.09,1.830034356,13.85348224
27,2,126949.0,689.13,1.726049153,13.7646145
28,1,267560.0,1237.25,4.137885504,16.02756674
29,1,271887.0,1952.36,3.825194245,16.45116567
30,1,175622.0,1037.52,4.583430344,17.73027397
31,4,369405.0,2377.76,3.245030248,15.6565408
32,2,337408.0,2442.04,1.980510459,13.18226093
33,1,373825.0,1878.71,3.356925613,15.93122258
34,2,127518.0,1086.69,2.118629053,13.75909365
35,1,365855.0,1792.8,0.62405528,12.99052378
36,2,233845.0,1318.41,1.006080864,13.5411426
37,2,127893.0,894.69,2.08824966,15.19113979
38,1,265582.0,1758.2,4.54622359,16.443087
39,1,136757.0,739.84,2.9624695,16.73477484
40,1,146847.0,733.51,2.793462722,16.53107539
41,2,134115.0,895.8,4.012813854,16.30827633
42,1,163029.0,1013.35,3.732800728,16.66919734
43,1,133438.0,614.75,2.028394954,15.29164801
44,2,247864.0,1606.28,2.41556256,14.63837801
45,1,366168.0,1972.08,2.112309454,13.35767466
46,2,129316.0,767.82,1.050875987,13.61001455
47,1,343594.0,2186.07,0.608671251,12.49811977
48,1,161037.0,1397.22,4.402130299,16.93836566
49,1,357533.0,2077.92,1.2728718,13.33652258
50,1,361952.0,2195.53,2.99950015,15.41763706
51,1,261114.0,1537.07,4.028027049,16.17667696
52,1,368805.0,2270.32,1.199669499,13.25177041
53,1,364679.0,1895.67,2.787691777,15.78219009
54,1,253226.0,1409.97,3.005761116,16.24491173
55,1,270202.0,1829.94,4.067554983,17.14963363
56,1,373120.0,2291.01,1.661468856,13.53154269
57,1,355329.0,2357.69,0.824944591,12.50973139
58,1,139249.0,861.57,3.564485821,16.28505037
59,1,131310.0,684.55,2.603296456,15.4665398
60,1,145587.0,1020.76,2.364157951,16.07387
61,1,367452.0,2228.71,1.530991725,14.07987338
62,2,241907.0,1540.51,3.173523015,14.52689355
63,1,388872.0,2365.86,3.246624638,16.03658162
64,2,257486.0,2100.45,3.079372511,15.06309342
