,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1,264434.0,1421.1,1.750718465,13.90199923
1,1,357104.0,2489.54,1.633708405,13.47107718
2,1,255718.0,1734.77,2.757558595,15.52467154
3,1,360698.0,2064.28,2.045122243,13.40113471
4,1,145852.0,714.98,3.926120478,15.81911098
5,1,256535.0,1503.05,3.676270444,13.97132137
6,1,150458.0,706.51,3.626380191,16.83217897
7,1,145815.0,608.77,2.130053649,14.23029547
8,1,154265.0,646.05,3.94194475,17.59441275
9,2,346570.0,2008.35,1.587346814,13.82969539
10,1,280716.0,1942.32,4.470147245,16.17805313
11,1,262700.0,2007.01,3.94939836,16.54057937
12,1,282092.0,1692.06,4.501374067,16.8323313
13,1,262082.0,1861.66,2.030723319,14.80757542
14,2,142469.0,764.79,2.926071938,15.36149534
15,1,261364.0,1446.56,2.362596086,14.38236692
16,1,136492.0,826.72,2.216951568,15.49290621
17,2,135762.0,586.86,2.953726073,15.60315028
18,1,359998.0,1990.34,2.074249149,14.84181488
19,1,362545.0,2011.67,2.49617902,15.46079615
20,2,249488.0,1410.96,2.837046889,15.51363885
21,2,242433.0,1090.79,2.11629263,14.0226365
22,1,267567.0,1151.13,3.963288523,16.47052643
23,1,146994.0,774.04,2.803538777,15.90268043
24,1,367091.0,1874.3,1.613218554,13.63475419
25,2,120649.0,592.84,1.962733526,15.21964804
26,1,382804.0,2032.08,3.815407772,15.98052913
27,1,146116.0,586.86,3.153632419,16.09936787
28,1,264847.0,1945.12,4.449155365,16.87945566
29,2,234251.0,1764.69,1.503087321,13.09579587
30,2,249120.0,1895.28,2.01082103,15.14480029
31,1,264201.0,1744.99,3.620135561,15.87718863
32,1,268700.0,1193.23,3.557168712,16.30233994
33,2,136756.0,1021.44,2.43707705,14.60043221
34,2,243515.0,1458.48,2.610607039,15.06165559
35,1,142660.0,1036.34,3.483671197,15.9080665
36,2,346178.0,1916.17,0.501156077,12.01150464
37,1,368874.0,2282.04,2.404652499,14.55848224
38,1,139184.0,634.25,3.109727238,15.91180072
39,1,149960.0,1118.61,3.394930368,15.7897233
40,1,371734.0,2577.57,1.826735812,15.07059446
41,2,251611.0,1420.38,1.155521746,13.55265419
42,4,355118.0,2181.17,1.325118899,13.04387426
43,2,349663.0,1709.81,1.754217014,13.48272216
44,2,230018.0,1382.89,1.745127926,13.38002496
45,1,373198.0,2461.71,3.123672896,15.4436906
46,1,373133.0,2422.66,1.711590436,13.79761259
47,1,145570.0,826.26,2.909654403,15.32970965
48,2,346228.0,1748.38,1.790005832,14.74519558
49,1,376352.0,2426.3,1.580575795,13.90142045
50,1,146574.0,696.65,3.808129951,16.69885005
51,1,267335.0,1806.68,3.583810941,16.08312677
52,2,364090.0,1785.73,2.560210318,15.28003266
53,1,172370.0,804.09,4.636903146,16.16530386
54,1,383560.0,2275.57,2.55895838,15.63123711
55,2,259184.0,1799.41,3.134909795,15.87763246
56,1,140904.0,820.13,2.974522299,15.52842412
57,1,261501.0,1850.82,4.523803831,16.94319856
58,2,139725.0,885.51,3.314159242,15.55095139
59,1,379379.0,2359.93,2.867325766,15.59080322
60,1,147294.0,690.25,3.050558615,16.5738084
61,1,144176.0,1000.7,3.665985149,16.24101408
62,2,352161.0,2289.8,1.155259802,13.11931469
63,1,137526.0,600.5,2.905737394,15.60138228
64,1,269251.0,1855.05,4.089334827,16.48078753
65,1,369817.0,2074.48,1.270255854,13.45952972
66,1,371635.0,2442.69,1.373638645,13.5216909
67,2,236256.0,1416.38,1.432730975,12.2273164
68,1,148397.0,1148.95,2.235763529,15.91596345
69,1,369008.0,1898.39,3.036132399,16.21761396
70,2,246180.0,1444.04,1.940057968,13.50213806
71,2,242661.0,1286.74,2.085217965,14.07989473
