,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1,386114.0,2482.77,3.446784086,16.10373321
1,2,358608.0,1826.46,0.979684907,13.16103951
2,1,257447.0,1860.5,3.147161964,15.71122211
3,1,387952.0,2492.04,2.976385127,15.41253585
4,1,145895.0,674.61,3.082802129,16.11425103
5,2,243642.0,1081.25,2.032890602,14.07969324
6,1,372048.0,2515.92,3.05012171,15.29694532
7,1,371864.0,2294.12,1.96921749,14.03431411
8,1,145714.0,806.66,3.16025092,15.85167233
9,2,246456.0,1392.6,2.122152657,15.22229324
10,2,237372.0,1547.44,2.161128837,15.01832151
11,2,336503.0,1846.15,1.799504118,13.37973781
12,2,122932.0,586.86,1.59581858,13.86838761
13,1,386741.0,2266.23,3.896010349,16.28118713
14,1,371714.0,2205.01,2.931438972,15.1230509
15,1,358522.0,1826.29,1.580122173,14.07715775
16,1,148510.0,757.37,2.930810888,15.70443919
17,1,280275.0,1690.18,4.879331364,16.6547447
18,1,154459.0,715.65,3.798302726,16.19433444
19,2,355810.0,2051.52,1.107779729,12.99801265
20,2,142285.0,771.93,3.696447921,16.45617649
21,1,151906.0,751.74,3.264325649,16.05114664
22,2,257944.0,1519.2,2.979121506,15.43769595
23,1,261974.0,1704.31,1.485923245,13.4587001
24,2,234703.0,1379.67,2.503771946,14.91900129
25,2,246538.0,1583.99,1.599580647,14.57729727
26,1,152096.0,852.4,3.074836268,16.83117616
27,2,122478.0,847.23,2.394011747,14.16711642
28,2,122672.0,847.5,1.684393857,13.03088025
29,1,382862.0,2199.26,1.803516106,14.12801405
30,1,257855.0,1267.93,3.961917178,16.3932872
31,1,131898.0,849.08,0.683577449,13.40583546
32,2,243996.0,1316.78,1.634714374,13.49106303
33,2,345624.0,2034.38,0.314194544,12.90235684
34,1,257561.0,1434.88,3.583154272,16.26017366
35,1,257806.0,1464.49,0.966765189,13.60125913
36,1,370304.0,2238.09,1.404114,13.18573252
37,1,150844.0,978.99,4.569149797,16.87248426
38,2,361547.0,1839.29,1.228335542,13.61825937
39,2,355582.0,1882.89,1.806170835,13.62570031
40,2,134331.0,820.46,1.178953467,14.67396159
