,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2,253980.0,2158.24,1.994837772,14.59226585
1,2,125717.0,890.62,2.481877193,16.43485041
2,1,369920.0,2528.9,3.15753882,15.273181
3,1,270072.0,1441.25,3.743985458,16.55828938
4,2,252449.0,1482.74,1.398931169,13.81882475
5,2,252881.0,1375.47,3.062038523,15.49507576
6,1,270745.0,1900.63,3.972980943,16.31679095
7,1,355709.0,2246.69,1.101038667,13.25254709
8,1,391580.0,2119.74,4.00700288,16.29917161
9,2,245103.0,1586.6,2.159040875,14.65839828
10,1,366865.0,2385.3,2.979664103,15.50255166
11,2,352212.0,2465.69,1.6440184,15.40666513
12,2,258825.0,1515.46,4.146887539,16.32236979
13,1,357398.0,2370.81,1.042441541,12.08600997
14,2,141394.0,755.72,3.061282436,16.11121903
15,2,256041.0,1614.68,2.95050653,14.98018221
16,2,252810.0,1773.65,3.002621589,15.82276415
17,2,247440.0,1293.77,1.20818392,12.17680033
18,1,131739.0,669.98,2.35040173,16.04242806
19,2,256035.0,1388.73,1.516108441,13.93353616
20,1,257424.0,1423.54,3.005523042,14.99296993
21,1,265212.0,1685.66,3.659734139,15.80421404
22,2,137808.0,856.01,2.990725582,15.21153161
23,1,372497.0,1938.95,2.063052272,13.92370138
24,2,136955.0,939.78,3.491211618,15.98535723
25,1,150497.0,966.14,4.291250475,16.16357151
26,2,233761.0,1341.61,0.626003681,12.0220274
27,2,351532.0,1873.63,1.968684932,14.87728344
28,1,154163.0,790.66,3.698140999,16.30921334
29,1,270146.0,1926.4,3.737638801,15.39710319
30,1,147907.0,1149.69,3.424792571,16.16483844
31,2,151030.0,825.59,3.869734738,16.58070427
32,2,133374.0,712.14,2.164004721,13.44747098
33,2,252965.0,1909.93,3.44736779,16.89191515
34,4,345910.0,2118.44,1.826618782,15.14579804
35,1,141869.0,765.54,3.73740139,16.18202203
36,2,225008.0,1316.33,2.209085929,14.73504747
37,1,274649.0,1412.15,4.437240742,16.28494599
38,4,347791.0,2372.04,2.379854103,15.33106355
39,1,277424.0,1753.97,3.620578111,15.45005853
40,2,120566.0,812.7,1.870834106,13.69534369
41,2,361746.0,2210.04,3.187016996,15.40271335
42,2,252306.0,1432.68,3.567890873,16.40175461
43,2,247583.0,2029.73,2.794424742,14.99256455
44,1,374829.0,2535.31,3.930186321,16.5555922
45,2,344308.0,2096.59,1.796574078,13.18858556
46,1,393840.0,2514.18,3.479367128,16.07476477
47,2,240102.0,1590.68,1.972293401,13.7990357
48,2,241508.0,1219.66,1.480667168,13.89339214
49,2,237296.0,1545.59,2.428477738,14.86376436
50,2,251086.0,1568.79,3.22866638,14.97409561
51,1,356249.0,1990.46,1.711214965,13.23823886
52,2,224600.0,1207.48,1.781834813,13.39615377
53,4,371187.0,2384.4,2.853343653,15.02874836
54,4,342688.0,2353.53,0.725603508,12.11223327
55,2,132743.0,858.45,2.714324907,15.87158463
56,1,148213.0,704.0,3.157343303,15.33642543
57,2,255548.0,1288.87,2.868838305,14.71046805
58,1,262093.0,1793.49,3.168742662,15.60400191
59,1,372845.0,2081.44,1.777402389,15.25571153
60,2,247066.0,1341.95,1.587673931,13.68920658
61,2,232818.0,1270.61,1.760146737,13.20563886
62,1,139989.0,691.74,2.719022021,15.58713677
63,2,133941.0,895.13,3.788096753,16.5145863
64,1,263476.0,1567.57,1.95523588,14.0067256
65,2,132449.0,641.41,2.4224048,15.22512757
66,1,274627.0,1331.1,4.128796085,16.28100207
67,2,244982.0,1373.35,1.823691453,14.18497099
68,1,129417.0,819.74,1.431823563,13.3508078
69,2,227407.0,1653.78,2.423287886,15.81334743
70,1,262010.0,1684.64,1.589597651,13.76660531
71,2,355932.0,1785.24,1.005095365,13.40517198
72,2,122163.0,681.48,2.145936858,15.07545472
73,1,144602.0,752.7,3.607533318,15.65253852
74,2,131769.0,748.9,2.651839327,14.16792207
75,1,381623.0,2547.53,3.078159783,16.51568759
76,2,139873.0,645.73,1.4156695,13.68351895
77,1,154441.0,821.46,3.699547759,15.64641866
78,1,370891.0,2037.11,2.83823365,15.02121922
79,2,131313.0,1148.21,2.069680812,15.16321358
80,1,361149.0,2093.51,1.811026044,13.01746871
81,1,261114.0,1854.39,3.762077551,16.31028355
82,2,240803.0,1793.37,2.481140183,15.27363192
83,2,120303.0,896.34,2.011677888,13.51419154
84,2,359697.0,1547.38,2.829629566,16.01682915
85,1,149325.0,976.01,3.591829511,15.85812696
86,1,270618.0,1793.02,3.635435142,15.46385317
87,2,250776.0,1315.4,2.115504196,15.43052823
88,2,248085.0,1848.62,2.899131405,15.10442855
89,2,243504.0,1315.8,1.011490932,12.05399533
90,2,234049.0,1343.82,2.234873081,14.75172509
91,1,371125.0,2298.15,3.518680943,16.1972343
92,1,355603.0,2554.81,1.816613385,12.59255909
93,1,374489.0,2241.34,3.193590717,15.76682242
94,2,243077.0,1432.86,2.145678168,15.14409814
95,1,261693.0,1742.62,3.461260532,14.08949617
96,2,120585.0,713.32,2.176359184,15.32807933
97,1,360479.0,2023.83,3.491231705,15.18384497
98,2,243734.0,1273.81,2.351459911,15.00465008
99,1,146450.0,814.22,1.643408806,13.61003345
100,1,141614.0,789.08,3.653887777,16.07422873
101,2,232798.0,1257.42,1.560083131,12.86591614
102,1,370078.0,2340.59,3.173065127,16.20979063
103,1,156728.0,717.19,3.89565086,16.11954028
104,2,122676.0,785.79,0.940333377,12.52912396
105,2,125884.0,788.64,1.849087888,13.28963835
106,1,153479.0,776.85,3.750348534,16.86292588
107,1,168917.0,1341.26,4.93924406,16.84908879
108,1,146716.0,779.37,3.091235058,15.87667128
109,2,134157.0,816.81,3.710690798,15.53091334
110,2,116429.0,803.91,1.977096301,15.35949684
111,2,337074.0,1793.7,2.196391397,14.58979545
112,2,250498.0,1676.78,2.047701672,15.34647261
113,1,259829.0,1785.83,1.278783299,13.54228724
114,1,278147.0,1842.59,4.406957293,16.25437103
115,1,387222.0,1931.89,3.036470815,15.93638948
116,1,142636.0,605.32,3.166968546,15.49399963
117,2,123063.0,676.94,2.731494186,15.18539771
118,1,379075.0,1979.05,1.752086514,13.57806849
119,2,264201.0,2045.32,3.86389623,15.68651214
120,0,381117.0,2635.12,4.068453203,17.31314182
121,2,357212.0,1767.07,3.038831189,15.00821886
122,2,141881.0,874.13,2.751431027,13.54450553
123,2,244571.0,1743.27,1.085895511,12.6506853
124,2,255150.0,1165.39,3.059462547,16.31121881
125,1,257728.0,1468.45,4.027244837,15.54062134
126,1,141161.0,660.15,3.146761044,16.05668724
127,2,126114.0,690.81,2.942396763,15.15808774
128,2,247096.0,1650.0,3.016590444,15.15481899
129,1,364829.0,2176.82,1.507936503,12.45055833
130,1,142248.0,668.72,2.716976862,15.56730876
131,1,177908.0,1602.33,4.597372173,17.27958189
132,2,344427.0,1514.97,2.311794831,14.89323761
133,2,360188.0,1914.73,1.763062659,14.14856693
134,2,132237.0,874.94,2.914509452,15.73709015
135,2,239520.0,1658.29,2.978843897,14.91427267
136,2,232355.0,1289.58,1.618821525,14.62653799
137,1,272670.0,1831.95,3.007933264,16.52229908
138,1,142880.0,729.47,2.94935045,15.89157981
139,2,352662.0,2168.91,1.656867068,14.09767671
140,2,120917.0,778.5,2.732721331,15.74773687
141,1,371420.0,2384.07,1.7893887,15.24842701
142,1,146082.0,860.15,3.725374953,17.0183468
143,1,374332.0,1939.71,3.489344239,16.2621641
144,1,367343.0,2334.4,0.931259853,13.28765464
145,2,366742.0,1954.2,3.554857902,15.650791
146,2,120150.0,833.53,1.644963167,13.13206089
147,2,134012.0,688.08,2.489823756,13.91285206
148,2,368065.0,2296.59,3.241537275,15.81971575
149,2,257833.0,1370.15,3.113722546,15.24671088
150,2,127047.0,776.29,1.082833894,13.21394394
151,2,242834.0,1089.83,1.101499983,14.07255742
152,2,229598.0,1254.93,1.743345404,13.40232601
153,1,145954.0,635.38,3.070266656,15.84352179
154,2,241977.0,1801.92,2.032129796,14.12670691
155,4,357075.0,2273.46,2.116349751,14.82236813
156,1,157549.0,860.71,3.731894344,16.54124972
157,2,152549.0,1082.25,3.720484198,16.70694379
158,1,164207.0,1223.26,4.176592868,16.57096888
159,2,126383.0,839.01,2.661642429,15.55310021
160,1,265867.0,1499.22,3.819540563,16.22623246
161,2,245519.0,1330.58,1.181398989,13.0901581
162,1,146876.0,1228.12,3.147700517,15.55588875
163,2,135116.0,962.88,3.216635219,16.71921316
164,2,376074.0,2470.23,2.988454397,15.83556162
165,2,134018.0,890.08,2.833675788,16.06039449
166,2,237962.0,1706.23,0.487593175,12.71538592
167,1,271204.0,1789.59,3.420494797,13.73556469
168,2,136764.0,690.58,2.876087839,15.72782215
169,1,366154.0,2142.8,0.865425342,13.21685238
170,4,356556.0,2262.63,1.738336792,15.25606942
171,1,355182.0,2256.69,1.607818459,11.97970534
172,2,345650.0,1781.87,2.316677375,15.49778856
173,2,131865.0,969.5,2.924194994,13.88886868
174,1,370246.0,2215.21,2.622369939,15.57213471
175,2,346476.0,1566.18,1.3580991,13.2398608
176,1,373719.0,2442.8,1.587262324,13.46825638
177,2,143824.0,986.06,3.116196774,15.24822776
178,1,375063.0,2131.1,1.933966654,13.20928607
179,2,255328.0,1608.68,2.896938987,14.99949022
180,2,270790.0,1750.53,4.733315847,16.36620436
181,2,136905.0,930.91,3.697728691,16.90048796
182,1,143621.0,898.7,2.001302187,14.14547117
183,1,134707.0,721.15,2.633773733,15.38781373
184,1,372892.0,2251.94,1.81557055,14.14226826
185,1,152022.0,1426.98,4.113905546,16.83285353
186,1,376219.0,2276.17,4.052960058,16.39827898
187,1,378143.0,2345.66,3.355074032,15.04562074
188,2,261291.0,1792.8,3.671841474,16.29118257
189,2,358582.0,1812.85,1.384298101,13.48355128
190,2,127921.0,816.3,1.774758815,15.0456196
191,1,379082.0,2566.53,3.20077282,15.78313141
192,1,241238.0,1502.49,1.659530129,13.55520054
193,2,144364.0,858.64,3.047521731,16.40891741
194,2,238694.0,1416.48,1.075709381,13.11927503
195,1,172394.0,782.71,4.822866972,17.23907218
196,2,230378.0,1334.17,1.095660364,13.34204767
197,1,163056.0,945.76,4.234652261,15.67566497
198,1,369779.0,1921.75,2.353321796,13.89557992
