,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2,128098.0,757.17,1.993858004,15.04435386
1,1,348251.0,2224.29,1.332892024,13.43431675
2,1,374031.0,2444.5,1.306809102,13.32922859
3,1,274471.0,1606.04,4.022126262,16.45303832
4,2,350896.0,2285.4,1.370566695,13.4503796
5,1,265541.0,1901.46,3.702082453,15.9391872
6,1,366340.0,2180.41,1.318649993,13.44911552
7,2,250016.0,1812.27,2.075225697,15.59224805
8,1,254149.0,1378.8,2.823291102,15.17673754
9,2,358768.0,1657.27,1.865372438,13.43301774
10,2,138479.0,961.99,2.48839364,15.02186082
11,1,143821.0,941.96,2.158417946,15.37916781
12,2,234815.0,1683.63,1.0227428,12.40541642
13,4,362437.0,2353.7,2.93588512,15.33739733
14,1,360100.0,2244.94,1.516205558,15.71638978
15,1,357362.0,1796.77,1.711310058,14.94830431
16,2,145338.0,1177.56,3.157092095,15.89170317
17,1,138812.0,868.97,2.729363813,13.30325203
18,2,365896.0,2318.45,2.613295795,15.29418365
19,1,134489.0,688.55,2.926694917,15.4663474
20,2,135234.0,586.86,2.061991529,15.85799137
21,2,340758.0,1739.62,1.053437044,13.42208842
22,1,260499.0,1822.01,2.420001956,15.71606646
23,1,360468.0,2276.8,1.526532567,13.04374225
24,1,369219.0,2597.24,2.394617411,13.88275198
25,2,246105.0,1383.75,3.118696312,14.84934641
26,1,377402.0,2142.07,3.667609053,15.90710655
27,2,241518.0,1848.94,2.893330231,15.14348372
28,1,368752.0,2394.89,1.214402592,13.42315148
29,2,354159.0,1889.45,1.744311776,13.63554643
30,1,378234.0,2409.89,3.623080252,16.20505419
31,0,393549.0,1949.32,3.577270449,16.13776567
32,1,369130.0,1871.85,2.04705709,13.6923349
33,2,130757.0,797.48,2.270255646,15.10805568
34,2,247779.0,1720.88,2.370412981,15.00892463
35,1,366063.0,2243.36,1.344937623,13.65679564
36,2,254730.0,1467.64,1.528169915,13.73407882
37,1,378274.0,2476.5,1.629297834,14.69953091
38,1,262681.0,1971.13,2.710654486,15.54757162
39,2,137392.0,840.7,2.958477984,16.1821781
40,1,138345.0,721.12,2.951052894,15.98632114
41,1,354258.0,1839.42,0.875657643,11.83686504
42,2,238221.0,1492.73,2.21361755,15.18010941
43,1,359965.0,2153.6,1.554506819,13.0753964
44,1,145637.0,1786.13,3.794550403,16.53179267
45,1,276902.0,1890.29,3.543614868,16.26585776
46,1,263000.0,1802.61,0.590491477,13.40215627
47,2,242235.0,1390.59,2.359455975,15.15691548
48,2,355043.0,1392.91,1.01639111,12.19990178
49,1,151803.0,751.85,2.946612407,16.19866268
50,2,135066.0,957.5,2.288704274,13.8935447
51,1,355966.0,2124.31,1.792575115,13.88360242
52,1,370306.0,2043.56,3.693291905,15.85800376
53,1,368904.0,2235.75,1.148079677,14.21964406
54,2,248942.0,1419.95,1.649912029,13.49170295
55,4,368959.0,2627.56,3.072337135,15.39051745
56,2,350258.0,2214.75,0.795787257,12.64026309
57,2,127595.0,855.58,1.295000483,13.4583982
58,2,357072.0,1859.72,2.891427064,15.32413545
59,4,366550.0,2442.45,1.466139938,14.75175897
60,1,160602.0,838.36,4.660822752,17.51898069
61,2,138715.0,860.06,2.944877733,14.75876261
62,1,142679.0,764.64,3.032384955,15.28804111
63,1,148928.0,1084.62,2.896129558,15.11923061
64,0,398144.0,2645.75,3.908133567,16.29613241
65,2,132520.0,814.41,3.147436989,15.94961087
66,2,251154.0,1789.84,1.698890705,13.69771024
67,1,253380.0,1315.8,0.788197554,13.2464306
68,1,375961.0,1926.4,1.825165665,14.03101891
69,1,267876.0,1772.29,4.198104218,16.85410036
