,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,1,265413.0,1664.74,3.966692539,16.3584755
1,2,244982.0,1446.57,1.338823977,12.88571013
2,1,146800.0,714.43,3.158861226,16.58087264
3,1,154745.0,1266.6,3.614584683,16.30538502
4,2,354052.0,2259.71,0.820920922,13.06076653
5,3,362906.0,2587.8,1.864597241,15.47317882
6,1,255277.0,1480.03,1.705523673,13.86844522
7,1,157273.0,1003.63,4.348531117,16.01938614
8,1,150002.0,777.73,2.874013398,14.46585724
9,2,249284.0,1337.0,1.706089512,13.7785131
10,2,261451.0,1871.38,4.068337771,15.71982708
11,3,134368.0,828.55,2.900809291,15.40739032
12,1,258857.0,1470.15,1.785508012,13.82727921
13,2,248444.0,1850.92,2.982659836,15.04813823
14,1,153545.0,659.26,3.236695123,16.57022855
15,1,158291.0,1688.4,4.216646114,16.74455515
16,2,141512.0,1325.9,2.60889507,14.9394768
17,2,133037.0,768.4,2.506238359,16.41677126
18,2,131613.0,905.27,3.72090748,16.44001429
19,2,130174.0,911.04,2.175417169,14.09522162
20,2,240877.0,1760.55,0.559128648,12.4276136
21,4,348946.0,2429.99,2.128169924,14.69927004
22,2,348938.0,1811.01,1.32458942,13.00511335
23,2,131791.0,729.02,1.778651286,13.39763959
24,2,246913.0,1723.77,2.18901015,13.89342043
25,1,262765.0,1925.16,3.268007077,16.16879423
26,1,368385.0,1870.2,1.408875506,13.01037429
27,1,150226.0,728.98,3.164164311,15.95038542
28,2,126415.0,724.5,1.493569319,13.73610682
29,1,150245.0,1077.65,3.606003761,16.6559058
30,2,134020.0,745.17,2.274732282,14.92933658
31,1,245890.0,1390.04,0.012401458,12.28003343
32,1,364192.0,1730.51,1.731521853,15.80932594
33,2,241294.0,1431.18,1.789188068,13.3006059
34,1,152938.0,730.54,3.967761683,16.12545479
35,2,243956.0,1289.16,1.616588849,13.36356913
36,1,369429.0,1862.35,1.631268098,12.76404454
37,1,271853.0,1766.12,3.754716851,15.944171
38,1,268210.0,1892.16,4.425453005,16.4018087
39,2,354216.0,1777.56,2.137133636,14.92920425
40,2,363785.0,2279.65,3.255100134,16.14963475
41,2,264407.0,1862.9,2.941933125,16.39185097
42,2,357306.0,1792.18,2.047889526,13.68369155
43,2,249156.0,1693.52,2.159867836,15.89334691
44,1,367867.0,1825.21,0.815171726,13.38854377
45,1,170701.0,912.87,4.93924406,17.18765484
46,1,353052.0,2129.76,1.217365498,13.00757167
47,1,153883.0,793.51,2.817572003,13.99130034
48,2,362520.0,2163.06,1.842188298,13.4939496
49,2,234626.0,1211.18,2.300039415,15.24738565
50,1,261302.0,1877.7,3.630519212,16.14133353
51,2,231908.0,1324.14,2.009483071,15.25627955
52,2,365378.0,2331.52,1.72505722,15.0924449
53,1,391762.0,2412.17,1.285161549,14.2428657
54,2,358722.0,1819.24,1.113852915,15.02400008
55,1,382555.0,1814.7,3.411544642,14.0334075
56,1,169241.0,1372.99,4.93924406,17.52175068
57,1,152475.0,1269.61,3.91155937,16.72851352
58,1,142158.0,671.52,2.81147018,16.4324247
59,2,141903.0,871.27,3.839239761,15.86528984
60,2,354173.0,1706.87,1.976857907,13.54019466
61,1,379883.0,2265.2,2.765189366,15.80392045
62,1,169945.0,727.32,4.93924406,17.73027397
63,2,135856.0,589.29,2.104197134,15.39212652
64,2,249986.0,1177.96,2.551600682,15.95846259
65,1,159710.0,1702.35,4.545515774,16.40223069
66,2,255421.0,1801.98,2.078228643,15.27834273
67,2,244203.0,1032.38,1.896736162,15.20915892
68,1,143077.0,881.85,3.935472787,16.19525167
69,2,136400.0,1034.5,2.242161499,13.6422233
70,1,150190.0,730.32,3.721976065,16.32924017
71,2,249975.0,1831.86,3.126505713,15.71145244
72,1,354321.0,1994.18,2.457939898,15.51914644
73,2,275577.0,1871.41,3.737243016,15.79364448
74,2,244085.0,1331.56,1.820085443,15.05275263
75,1,364857.0,2188.0,1.947496276,13.74787384
76,1,374076.0,2380.57,1.447584291,13.90993411
77,1,245171.0,1599.82,1.246750866,13.25097044
78,1,381261.0,2541.45,3.803968521,15.95354593
79,1,351220.0,2063.94,1.211838353,12.61384052
80,2,130792.0,586.86,2.084707167,14.90770676
81,2,356131.0,2276.53,1.185716577,13.40962016
82,2,355751.0,1772.6,1.82988981,15.49344359
83,1,255072.0,1596.68,3.442337045,16.15854043
84,2,371151.0,1956.87,1.343768921,13.68308866
85,1,387912.0,2258.29,3.791058577,16.4017952
86,2,247911.0,1751.4,2.311204227,15.58485572
87,1,148386.0,1137.34,3.366376802,16.30074278
88,2,243089.0,1846.9,2.598701599,15.97658919
89,1,277736.0,1878.17,3.882466955,16.39138849
90,3,131667.0,807.65,1.436531765,13.43914248
91,1,147923.0,637.03,2.463363339,16.11878836
92,2,130981.0,763.92,3.089227866,16.26698877
93,2,257231.0,1750.34,4.033303225,15.66154854
94,1,368680.0,1879.99,2.346167647,15.45108694
95,1,140857.0,725.02,3.039077402,15.67118187
96,2,242401.0,1786.51,2.460345927,15.18110752
97,1,365817.0,2375.22,2.99063822,15.2947612
98,2,250333.0,1492.1,2.884238529,14.95245492
99,1,252535.0,1736.77,3.611269591,16.10791735
100,1,372733.0,1901.32,1.716034701,14.89742332
101,1,371445.0,2427.45,1.577374583,13.45458787
102,1,168092.0,853.01,3.859215093,16.91713405
103,1,364159.0,1815.18,0.903364703,12.89237593
104,2,250002.0,1548.52,1.515516349,14.74220784
105,2,238552.0,1743.21,2.457751963,15.66873362
106,2,245138.0,952.57,1.737686793,14.78472859
107,2,368772.0,2161.54,2.293958535,15.22162013
108,2,253709.0,1879.42,2.923582607,14.06547836
109,1,352808.0,1796.49,2.349322898,14.93010417
110,1,163740.0,1222.98,4.233102704,17.62502547
111,1,367476.0,1799.72,2.101087908,13.58929133
112,3,137823.0,944.55,3.232867464,15.81184476
113,2,133062.0,800.07,3.189867483,15.91453335
114,1,263596.0,1494.99,3.788422454,16.05261481
115,2,255812.0,1564.88,1.897132776,15.04720134
116,2,359283.0,1888.7,2.187657737,14.64111498
117,2,132833.0,714.92,3.084230725,15.56749216
118,1,361380.0,2212.49,2.08758213,15.2214279
119,2,134569.0,749.35,0.581142318,12.48123219
120,1,359714.0,2339.48,0.504208683,13.01406541
121,2,251855.0,1225.35,2.077815812,13.99737823
122,1,368803.0,1858.14,1.333632488,14.11854443
123,1,242826.0,1704.78,1.939829029,14.83388808
124,1,257659.0,1436.13,3.592763223,14.24935169
125,1,369051.0,2086.9,0.893581994,12.98787468
126,1,363645.0,2248.12,2.034201327,14.83815153
127,2,355780.0,1844.0,1.138789309,13.16273794
128,1,152495.0,887.6,4.434006224,16.83297146
129,1,152006.0,872.01,3.426559093,16.25492596
130,1,264485.0,1663.52,1.786978064,14.08702412
131,1,369223.0,2340.4,2.992673067,16.10625732
132,2,135068.0,989.04,3.41487935,14.68637816
133,2,139862.0,920.27,2.78510222,13.81392787
134,1,156196.0,932.11,4.58880013,17.00382725
135,2,127986.0,851.37,2.833904774,15.82715452
136,2,243863.0,1807.79,1.613303066,13.85306836
137,1,272337.0,2045.37,3.814643293,17.21354473
138,1,155324.0,845.18,4.592392019,16.62983646
139,2,236858.0,1812.59,0.944741898,13.06796676
140,1,247622.0,1443.8,1.64109653,13.640473
141,1,242487.0,1205.19,1.731066264,13.58173865
142,2,254458.0,1734.95,2.321706451,15.42453762
143,1,368231.0,2134.11,2.535964076,15.68412657
144,2,259471.0,1489.05,2.110018478,15.01688854
145,2,365919.0,1775.58,3.005380825,15.29728801
146,2,360121.0,1873.5,2.342635126,15.47728328
147,1,249292.0,1836.38,3.791033863,16.42898123
148,2,247217.0,1597.61,3.113833295,15.04197761
149,1,378691.0,1909.06,1.704654897,14.77194105
150,2,123169.0,699.1,1.645569816,14.87239551
151,1,264599.0,1693.97,2.797212159,13.90508297
152,1,271035.0,2085.39,1.843114485,15.68316448
153,1,370775.0,2213.73,2.147584809,13.79580745
154,1,158630.0,665.9,3.890141655,15.97777261
155,2,254181.0,1743.43,1.39516565,13.8919668
156,2,356650.0,1794.93,2.061762769,14.93246067
157,1,172455.0,1170.26,4.93924406,17.73027397
158,1,369800.0,2332.45,1.802782978,15.30486218
159,1,375832.0,2353.3,0.286654052,13.52353266
160,1,135388.0,594.39,2.133821161,16.01295885
161,2,267485.0,1904.1,3.320563473,15.43621921
162,1,148427.0,974.45,3.117378001,16.06729609
163,1,264389.0,1697.88,3.720201677,16.03998527
164,1,154238.0,649.84,3.666366871,17.40321594
165,2,339771.0,1910.73,0.643616609,12.85460172
166,2,141594.0,1129.55,3.316227329,16.35803217
167,1,373839.0,2444.2,3.200123478,15.4997855
168,1,377105.0,2127.95,3.512902673,15.85100128
169,2,239644.0,1338.55,0.755293168,13.69625419
170,1,146968.0,973.84,2.581757615,13.93113706
171,2,245490.0,1675.96,1.799988757,14.82489975
172,2,245353.0,1368.24,3.14045665,15.1410141
173,1,265362.0,1888.17,4.173044783,16.23505767
174,1,163045.0,711.37,4.03675757,16.47046492
175,2,234527.0,1380.03,2.691044675,15.39467296
176,2,243424.0,1720.0,0.945525144,12.26999922
177,2,343159.0,2046.42,1.306622956,12.88812922
178,2,223935.0,1027.25,2.722266937,15.52040306
179,2,255644.0,992.6,2.308490286,13.89057399
180,2,256743.0,1816.73,4.399901841,16.03777323
181,1,375560.0,2262.38,2.977923041,15.75411653
182,1,351619.0,2206.49,1.82300871,13.32369901
183,2,130437.0,1615.94,2.716067362,13.96734838
184,1,269819.0,1385.77,4.443442538,16.1193228
185,2,228059.0,1296.5,1.553186643,13.20395973
186,1,264865.0,2112.54,3.674491046,16.90716717
187,2,242048.0,1738.51,2.361508934,14.6417887
188,2,370237.0,1907.62,3.150965191,15.11471754
189,1,373733.0,2367.84,3.78143609,16.15075801
190,1,357706.0,1838.85,2.880438463,15.36345526
191,4,346335.0,2332.88,1.148151344,13.1250798
192,1,165295.0,939.83,4.066712857,17.73027397
193,2,132620.0,1224.07,2.262031171,14.0527899
194,2,369003.0,2310.43,0.749346336,12.96630753
195,1,258461.0,1509.24,1.243558163,13.9352495
196,1,259679.0,1811.11,3.738781509,15.55354368
197,2,360386.0,1717.87,2.265124648,14.99248928
198,1,261121.0,1704.08,3.654940981,16.58460155
199,2,241206.0,1369.66,2.701018066,14.75603858
200,2,237900.0,1693.53,0.958773824,13.35654069
201,1,153960.0,586.86,2.939392777,16.11028685
202,2,343888.0,1868.48,1.377406529,12.92822053
203,2,256108.0,1811.05,3.923102315,16.21749494
204,3,139983.0,989.71,2.841995249,15.10979913
205,1,374458.0,2304.66,2.098751196,13.70029342
206,1,139071.0,708.56,3.470175743,16.51623186
207,1,157575.0,775.57,3.940822104,16.99206778
208,2,367658.0,1849.46,2.041630429,13.77008156
209,1,374984.0,2246.65,0.808130926,12.92406988
210,1,152951.0,992.82,3.334341026,16.98205603
211,1,372371.0,2268.35,2.947146862,15.85961636
212,1,285719.0,2247.08,4.629552646,16.31215693
213,1,147462.0,824.93,3.703763623,16.46276669
214,1,385826.0,1889.46,1.302979489,13.80281314
215,2,339675.0,1830.55,1.793112219,13.50501469
216,2,361812.0,1909.0,2.410429385,15.25273945
217,1,263825.0,1369.89,3.656999582,16.26213904
218,1,147223.0,1008.51,3.199466812,16.15967336
219,1,369358.0,2714.27,2.306627078,15.72440228
220,1,138415.0,977.88,2.524346189,16.05069573
221,2,360294.0,1882.59,1.527408102,13.18110025
222,2,139895.0,919.17,1.341433952,14.58438235
223,2,127027.0,793.39,2.77775359,14.08407505
224,2,254402.0,1765.63,3.113464552,15.20429877
225,2,146874.0,1018.18,2.150111877,14.22198188
226,1,364463.0,2086.4,1.84153973,13.87352042
227,2,252075.0,1798.37,2.450961277,14.4995445
228,1,364316.0,2356.74,0.943173682,13.2001503
229,1,257615.0,1672.54,1.926811279,13.98165723
230,1,161811.0,1481.51,4.93924406,17.03835772
231,1,273511.0,1441.86,4.072325884,16.98323526
232,1,257641.0,1660.68,3.301382614,15.45837337
233,1,139794.0,711.79,2.465829608,15.30083182
234,2,344945.0,1856.86,0.440395334,12.57448354
235,1,370341.0,1878.88,3.088364857,16.1041804
236,2,351328.0,1998.66,1.341859806,13.52523385
237,2,251882.0,1153.6,1.730802745,13.5842257
238,1,363624.0,2220.67,1.491116497,12.60626323
239,1,361803.0,2068.58,0.642494129,12.39030917
240,2,240463.0,1110.21,1.545992164,13.40391791
241,2,363632.0,1851.12,0.470210218,12.22891793
242,2,249809.0,1925.58,2.979594147,15.62709348
243,2,145146.0,853.62,3.685862794,15.83735549
244,1,142698.0,815.06,3.228577863,16.6039625
245,1,377695.0,1899.85,3.744258936,16.17053339
246,1,382491.0,2329.62,1.782334283,13.90072269
247,2,347302.0,1370.13,1.166158575,13.09106392
248,1,394955.0,2435.15,3.557101841,15.94825409
249,1,154170.0,1129.12,4.054151927,16.2352055
250,1,156236.0,949.53,2.966937355,16.20283063
251,2,355201.0,1862.49,2.900795098,15.47627009
252,1,268696.0,1959.5,3.236010741,16.00460357
253,1,370234.0,1961.31,2.629657485,14.41931825
254,2,253554.0,1371.27,0.858551072,13.72647141
255,1,381453.0,1913.66,3.865662815,16.62599454
256,1,149562.0,892.92,3.065277828,16.40145326
257,3,115314.0,955.51,2.384719489,15.27345903
258,2,370363.0,2416.86,2.452281782,14.7459951
259,2,263469.0,1531.89,4.025629798,16.0763505
260,1,263526.0,1349.41,4.243793078,16.07639312
261,1,373476.0,2360.77,3.025862989,15.21364237
262,2,141397.0,800.87,2.793727912,15.4555534
263,2,251025.0,1204.58,1.604307175,15.23743695
264,1,362812.0,2511.58,0.736623267,11.93940985
265,1,141304.0,822.17,3.591888417,16.09517697
266,3,120182.0,874.84,2.983786317,15.36331338
267,1,394615.0,2539.53,3.317092029,16.25445194
268,2,363439.0,1967.43,2.266050101,15.45863378
269,1,155443.0,1305.74,4.140673985,15.92859032
270,2,362256.0,1932.43,1.229711719,12.5537098
271,1,140895.0,729.33,3.090489732,15.85000165
272,2,366595.0,2267.8,1.696071484,14.94422136
273,2,132788.0,632.93,2.780923399,15.50432346
274,2,253803.0,1814.74,3.222515654,16.30935265
275,2,241229.0,1571.21,1.94955619,15.16107604
