,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2,120271.0,1698.82,1.345349666,13.92498808
1,2,133236.0,1468.51,3.735159779,16.31468812
2,2,248538.0,704.71,0.322996204,17.49102685
3,1,243804.0,1216.68,2.847041347,16.72529617
4,1,345338.0,664.69,2.206657046,16.39935588
5,1,231103.0,1146.54,-0.079888192,13.98008689
6,2,246517.0,1086.06,2.929289366,12.16593055
7,2,244925.0,2507.23,0.909072424,15.318534
8,1,116853.0,894.27,2.229305812,15.31292117
9,3,114947.0,2241.14,1.640212014,12.78438117
10,2,238895.0,2369.06,-0.21233923,12.48139693
11,0,233036.0,936.47,2.815669575,11.2583727
12,1,243594.0,1122.02,2.792634045,16.35184101
13,1,124541.0,2408.83,2.219699122,15.54188718
14,1,236268.0,1690.67,1.90540909,16.19139357
15,1,262166.0,1595.11,2.850770299,14.31294597
16,1,242592.0,1764.11,3.645382174,12.5371028
17,3,114947.0,1078.42,3.057433969,13.84387258
18,1,131439.0,971.75,4.145080801,17.73027397
19,0,246403.0,997.06,2.314914222,12.13405003
20,1,133193.0,829.5,0.421909809,16.07312496
21,0,139984.0,1822.5,3.062077768,13.0549041
22,2,244032.0,1832.73,0.972070886,16.99351015
23,2,251859.0,2568.76,3.227300605,14.06680621
24,1,265614.0,1731.29,1.405369317,15.17424637
25,1,373772.0,1694.7,1.17288421,14.63941115
26,1,241785.0,1869.96,-0.125700821,14.66974953
27,1,135083.0,654.84,2.129805986,15.20295283
28,1,254055.0,1496.67,4.077478473,15.59897162
29,1,356287.0,1742.77,3.643671473,11.88220008
30,4,124371.0,2699.08,2.874586102,13.4679309
31,2,231007.0,1021.94,4.207885743,15.71349625
32,0,235135.0,751.36,3.069850424,13.56833978
33,0,231150.0,1055.23,0.382284903,13.29729961
34,0,249761.0,999.88,3.641043884,14.51404997
35,2,120589.0,2112.77,4.93924406,16.69631198
36,2,239365.0,1026.07,3.362400489,13.67875567
37,1,340798.0,2251.19,0.58530671,15.76630336
38,1,235624.0,1692.17,1.95798871,17.11396253
39,1,147466.0,2501.63,1.731457464,14.59383111
40,0,124651.0,723.91,3.084650347,15.56867307
41,1,240982.0,1944.15,2.744577787,15.69242945
42,1,136637.0,1956.01,0.315799189,15.67869649
43,1,137495.0,2356.04,2.122621242,13.9543541
44,3,138143.0,2017.39,2.423641437,13.60683808
45,1,262353.0,2198.98,3.497441505,16.22110426
46,4,148360.0,1575.91,4.725333994,16.73568722
47,1,260008.0,1522.94,1.436476949,16.0696514
48,2,376915.0,752.45,3.634138741,14.97109208
49,2,366275.0,953.11,3.24919487,13.14657197
50,1,244927.0,2171.61,2.87982073,17.31273797
51,1,138409.0,1504.54,2.877187901,15.30584203
52,2,337022.0,586.86,0.056202263,16.79178408
53,1,359745.0,1688.18,0.75558493,15.31884641
54,1,135290.0,1166.28,1.506257771,13.62730015
55,1,141784.0,1616.6,2.882171487,16.6177891
56,1,222266.0,800.44,-0.042060388,11.87321741
57,1,362611.0,2204.65,2.891937692,13.06174996
58,2,259897.0,2675.56,2.36053575,16.94887926
59,2,335543.0,986.72,0.428916084,13.56233738
60,3,253829.0,914.17,2.343878195,17.19251955
61,1,366628.0,1519.72,1.919267957,12.9612543
62,2,160642.0,1940.05,3.033716989,15.8760637
63,1,127933.0,1353.44,4.587444124,13.91189593
64,0,258734.0,2001.63,4.212831958,13.09788129
65,4,257747.0,2022.33,1.605757387,16.20845938
66,1,142051.0,2139.52,2.181951178,16.75233783
67,1,114947.0,1072.07,1.300111987,13.49202717
68,2,123213.0,1066.77,3.312176097,14.90673196
69,1,243137.0,1076.09,2.711569714,15.52013919
70,1,144630.0,889.87,1.590117181,16.7208363
71,2,237007.0,1849.66,0.389148008,13.63947726
72,1,134344.0,1360.46,2.028555867,13.82358507
73,1,233509.0,2229.42,0.69098968,17.52905951
74,1,136732.0,2507.2,2.753074334,16.18148814
75,1,222969.0,1858.11,0.810333256,12.33186701
76,0,238729.0,1489.55,3.046493399,16.05832104
77,2,267324.0,2193.85,2.618291535,16.81980185
78,1,368929.0,1571.51,1.505079546,17.1686463
79,1,137705.0,2166.39,2.740766761,14.06163748
80,2,252911.0,1196.11,4.088897896,13.18459646
81,1,120114.0,919.54,1.065471028,15.96279919
82,2,125710.0,1905.03,1.122888549,17.03663413
83,1,332458.0,1999.73,2.825774813,14.8103684
84,0,246619.0,2318.8,3.432047773,16.10437202
85,2,128021.0,858.6,1.277735667,14.36668035
86,1,357740.0,1881.56,3.029832341,13.73470385
87,2,356679.0,1324.37,0.152999103,11.93949886
88,2,237956.0,848.53,0.972361667,12.64265553
89,2,129977.0,2186.36,3.913709,16.33785072
90,1,247069.0,2503.31,2.425969604,13.63282874
91,1,243843.0,2192.05,1.811602848,13.96683637
92,2,376187.0,1259.32,1.06123704,15.30593211
93,2,265379.0,1423.22,1.819088542,11.74589236
94,2,256030.0,763.89,2.159227662,13.62953802
95,4,236671.0,1767.84,3.493213471,12.70635361
96,0,258287.0,2563.5,1.79859813,14.08749122
97,1,246309.0,2519.05,1.750172057,16.15975071
98,1,251129.0,1949.6,2.824963186,17.29576045
99,2,127583.0,790.18,2.183395265,16.90016158
100,1,241639.0,2398.86,1.768979763,12.10408023
101,2,365778.0,1109.33,0.479523202,14.85521309
102,0,368572.0,908.46,1.713040188,14.35140566
103,2,376882.0,1822.15,3.171492499,16.17366621
104,1,356762.0,1582.14,2.066692121,16.58086379
105,2,137290.0,1901.62,1.293224084,12.85265239
106,2,258707.0,2395.5,3.953427717,16.89101262
107,2,242924.0,1144.9,3.55482488,15.68953676
108,0,140337.0,603.72,2.873174233,14.38598803
109,3,237274.0,1918.01,0.785416545,15.99922338
110,1,372836.0,2613.06,1.65834591,14.04112046
111,1,146856.0,2277.17,1.655864939,14.23290346
112,1,133724.0,1045.69,3.024584053,14.67444204
113,1,239188.0,1993.96,3.506278596,12.87228418
114,1,119473.0,1189.3,0.53300976,14.14529451
115,1,142691.0,1618.06,2.633476139,15.39957813
116,0,372071.0,1661.45,4.045197432,13.59333006
117,0,243858.0,1469.8,1.692121642,13.93691815
118,0,249423.0,2445.25,1.762900815,15.27990878
119,2,114947.0,727.21,4.93924406,15.6069002
120,1,138854.0,2085.71,3.217793279,17.73027397
121,1,258718.0,850.21,2.181324909,14.45182509
122,0,264794.0,625.93,0.493003712,16.22290397
123,1,259590.0,2441.11,4.488208892,15.79042612
124,1,133673.0,825.5,2.016006578,14.52678202
125,2,274513.0,1717.51,2.24219575,15.44377576
126,1,128292.0,951.14,4.34801166,15.13443492
127,1,251816.0,786.13,2.971439456,17.73027397
128,1,251630.0,1995.22,0.891513464,13.45044801
129,0,121958.0,1298.82,3.535813853,16.21168774
130,1,153457.0,2853.7,2.611068188,13.62470113
131,1,355558.0,681.86,2.232106617,15.6521424
132,1,235503.0,1039.16,2.523790885,15.40096645
133,1,243603.0,1549.86,3.655572351,12.19701425
134,2,118571.0,1028.52,1.858215961,13.22239796
135,2,237621.0,796.53,0.458977211,13.04486591
136,1,388692.0,2181.62,3.567634618,13.74572954
137,1,259881.0,1576.13,1.970202964,16.93912274
138,0,145234.0,916.51,2.660561081,12.97109388
139,1,143528.0,2724.85,1.604698889,16.97483001
140,1,262673.0,995.07,1.469387237,13.4846763
141,2,245665.0,1817.18,-0.237900918,12.32868506
142,1,250106.0,2483.56,3.37431824,13.3833745
143,1,254548.0,887.34,1.227721085,13.25666406
144,1,122342.0,586.86,3.895030144,16.28536796
145,2,137277.0,931.77,3.137914321,14.6149145
146,2,356364.0,2348.04,0.797382256,12.79659288
147,1,252568.0,2394.01,2.011104422,17.73027397
148,1,114947.0,2194.28,1.598958352,13.17824832
149,2,145304.0,2298.88,3.260584623,12.99065198
150,1,261594.0,972.25,2.343396701,15.90576254
151,3,231481.0,1042.68,1.214894901,15.23077418
152,2,353660.0,2422.44,2.973661555,15.36829876
153,2,120772.0,849.53,1.750263297,16.08130269
154,1,245402.0,1904.83,1.175672774,15.69366072
155,1,257664.0,2552.2,1.031500634,15.5092482
156,2,241728.0,833.69,2.47105579,13.12312653
157,2,126068.0,630.97,1.091127293,14.85596713
158,2,337559.0,1965.69,0.920097526,14.78003254
159,2,156527.0,2103.55,4.36705741,14.05426378
160,1,380242.0,1793.85,1.806408673,15.82717209
161,2,371872.0,2400.87,2.336730945,13.77946274
162,2,114947.0,679.29,3.694529831,15.68743752
163,1,386358.0,2189.59,2.733415981,15.85409479
164,2,122525.0,2075.75,3.500812799,15.69171409
165,1,361632.0,586.86,1.86630393,16.15805966
166,1,253836.0,2313.64,0.169785893,14.46972304
167,1,357163.0,2471.77,2.739101874,12.83788652
168,1,340860.0,1474.09,3.200573767,13.40063525
169,0,371017.0,1053.56,1.347292855,13.98149017
170,1,366092.0,793.68,0.647221223,13.86223002
171,1,240432.0,940.62,2.10694729,15.29539915
172,1,125966.0,1826.08,0.791537423,16.58381458
173,2,133243.0,1751.04,3.193752551,14.89994536
174,0,356928.0,2035.93,3.262377137,13.12928613
175,2,248867.0,1023.97,1.579172506,12.1138414
176,1,117946.0,1730.44,1.430240231,15.71390759
177,1,366048.0,2186.84,3.000176198,16.36460122
178,3,135031.0,1083.3,2.903541259,13.64164693
179,1,134470.0,987.91,3.137636787,13.95373057
180,1,123687.0,2477.22,2.463378389,15.2059306
181,2,241991.0,1838.41,1.225751231,15.42629289
182,2,152922.0,680.35,2.30728827,13.38820664
183,1,157683.0,2517.23,3.09194723,15.67938568
184,2,248589.0,912.0,2.094630401,15.95929939
185,1,114947.0,2302.23,1.216076963,12.92676183
186,1,358897.0,2233.36,1.754059036,15.57488497
187,2,236796.0,2057.29,1.097844884,13.62209794
188,1,128485.0,2480.48,2.147905736,15.94916178
189,1,257294.0,1468.11,1.273265791,17.21992407
190,1,152478.0,810.13,2.201072563,13.82059482
191,1,242033.0,979.87,1.605253315,16.89209879
192,1,228622.0,2128.8,3.391618102,13.88783022
193,1,247417.0,2122.99,1.718701857,16.1220691
194,3,341866.0,2248.68,2.093270006,14.51767746
195,1,258679.0,1299.23,1.833508882,16.14468962
196,2,151717.0,2320.82,2.140579957,15.99358048
197,2,242316.0,896.19,3.381750812,15.78027427
198,1,365637.0,746.17,4.662450182,14.40375866
199,2,129483.0,947.95,1.388857209,16.94115075
200,1,247501.0,902.44,1.10977081,13.45478867
201,2,139146.0,603.21,1.982663371,13.05046508
202,1,252060.0,1591.41,2.534770012,13.47527971
203,0,128622.0,941.0,0.648573957,13.11187446
204,1,122152.0,2286.38,2.98100072,14.95412921
205,1,114947.0,675.56,0.987613841,17.73027397
206,3,236409.0,1067.07,2.434404831,15.88663106
207,1,145351.0,934.41,1.711877383,14.11029467
208,1,377476.0,1402.49,2.121903483,13.41515345
209,1,227358.0,1343.21,3.534590381,15.82280501
