,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,0.8,376214.0,2406.55,1.496620923,13.22171951
1,3.0,245199.0,1116.64,2.087096398,14.68031966
2,1.5,256351.0,1891.69,3.324376609,15.60850922
3,2.2,140511.0,866.38,2.278757649,15.4499173
4,1.5,351972.0,1977.17,1.127804456,12.60596972
5,0.6,358726.0,1769.05,1.374098187,12.90124922
6,1.1,242285.0,1679.84,1.8351027,15.46690221
7,1.9,361080.0,2446.95,2.796722644,15.8159389
8,2.3,133742.0,706.1,2.243306177,15.64881919
9,1.6,128086.0,631.6,2.009503262,13.76271496
10,3.0,360165.0,1862.18,1.798666111,15.43131835
11,1.7,137012.0,899.55,3.514823016,16.18415385
12,1.1,365125.0,2145.27,2.806840024,15.55080548
13,0.7,388545.0,2491.61,3.039889979,16.04880817
14,0.3,258903.0,1414.14,1.854980474,13.15942132
15,1.4,250748.0,1892.3,3.906003021,16.2780057
16,1.6,261259.0,1901.9,4.818980108,16.56397198
17,1.5,237470.0,1993.53,2.814720062,15.8882658
18,1.4,146337.0,903.56,3.589128385,15.76955869
19,1.4,268760.0,1692.58,2.760141703,14.34286918
20,1.8,259398.0,1883.59,3.727926656,15.93236058
21,1.5,366425.0,2174.56,3.593299292,15.68253543
22,1.7,269984.0,1652.65,3.011000744,15.37332952
23,1.8,243983.0,1228.46,1.831023629,13.38401513
24,1.6,381919.0,2126.73,1.779941614,15.62653667
25,1.4,253875.0,1823.21,2.314602415,15.35680567
26,1.2,272027.0,1896.3,2.31770351,15.62699638
27,1.0,269170.0,1832.17,3.593852137,16.38636977
28,2.0,338538.0,2199.76,1.12479272,13.05952037
29,1.5,369446.0,2258.53,3.044352228,15.88563291
30,0.7,163887.0,1186.93,4.636366846,17.50498731
31,2.3,371426.0,2556.92,3.162342468,15.38123482
32,1.9,260262.0,1572.84,3.06108266,15.69941523
33,0.7,140773.0,700.29,2.803055826,15.66895568
34,1.5,365804.0,2163.03,1.805465311,12.7846048
35,1.2,233362.0,1666.81,-0.326393035,13.62885117
36,1.7,340911.0,1895.09,1.530826509,11.79576196
37,1.4,127521.0,803.56,1.135765505,13.14399284
38,1.7,354877.0,1735.39,0.841464461,11.92960776
39,1.9,133381.0,784.03,3.114970215,15.38408536
40,1.6,269135.0,1960.72,3.014943173,15.99797971
41,2.2,372365.0,2298.15,2.188086008,15.554835
42,1.0,250304.0,1765.95,3.135306996,15.87277441
43,1.8,146844.0,714.99,3.60691958,16.06187755
44,2.1,134090.0,852.98,1.941223997,15.5100053
45,1.8,346664.0,1895.79,1.213039243,13.33115932
46,1.7,354245.0,2220.61,2.828230074,15.60469582
47,1.2,249558.0,1824.5,4.131275644,16.54924879
48,2.2,243692.0,1344.98,1.817508511,14.37638362
49,0.8,162962.0,989.54,4.532206273,16.89142776
50,2.1,145871.0,961.4,3.602621758,15.78198239
51,1.5,130154.0,914.56,3.592935627,15.86283602
52,1.1,373308.0,2166.3,3.128571125,15.75311647
53,1.6,253236.0,1607.13,3.771129103,16.37081831
54,0.8,145263.0,969.25,1.61288768,14.02242011
55,0.6,142990.0,629.03,2.736076014,16.40313566
56,1.2,277655.0,1906.61,3.622111682,16.03096683
57,1.6,242357.0,1370.85,1.385625448,12.98032485
58,1.4,358383.0,1765.18,1.503116599,13.20833317
59,2.0,240471.0,1281.06,0.377335268,12.72504443
60,0.9,256065.0,1607.32,1.726026062,15.29761549
61,2.0,135626.0,914.99,1.536235452,13.73724321
62,1.1,352098.0,1957.22,0.818056215,12.2279831
63,1.6,125018.0,1444.69,0.458663025,12.88650948
64,1.8,137918.0,957.99,3.678756743,15.86005097
65,0.5,135786.0,683.17,1.534710659,12.95313949
66,1.3,263343.0,1899.01,4.609852095,16.7035369
67,1.1,150724.0,766.79,3.527504526,16.67991928
68,2.6,128136.0,707.3,2.835049377,15.67131148
69,2.1,261799.0,1869.15,3.786212338,16.17857684
70,2.2,244451.0,1750.19,3.803156592,15.75388257
71,0.7,157373.0,834.09,3.781180517,16.54150916
72,1.1,375161.0,2413.71,3.705660833,16.58045983
73,1.2,252758.0,1636.5,1.717256732,15.20383725
74,1.6,364434.0,1880.96,2.232099979,15.48679506
75,1.3,381829.0,2454.73,3.901255432,15.96352961
76,1.4,140115.0,903.7,3.702694111,16.38557576
77,0.7,261278.0,1887.6,3.652062219,16.56833951
78,1.3,150746.0,1028.55,2.832513774,15.4020605
79,1.8,255592.0,1817.6,3.622491817,16.12173849
80,1.8,259287.0,1852.24,3.375309731,15.68233091
81,1.7,157861.0,841.58,4.82007086,16.5520376
82,1.4,272960.0,2523.54,4.400569474,16.54207853
83,1.1,140569.0,942.94,2.946640947,15.75561546
