,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2,243688.0,1654.54,2.928097299,15.39243096
1,2,365028.0,1734.49,0.778087272,14.17556818
2,2,270346.0,1900.9,4.624817207,16.34802083
3,2,258514.0,1746.19,1.551191998,14.64850219
4,2,244606.0,1498.82,1.026194219,13.23903335
5,2,144832.0,1089.53,2.933485656,15.79411292
6,2,129713.0,918.1,2.821381386,13.84829151
7,2,330756.0,1820.98,1.94523394,13.45366792
8,2,352338.0,1989.11,0.899313652,13.41006248
9,1,145398.0,749.14,3.050558663,15.23325952
10,2,121854.0,685.92,1.566789562,13.53263615
11,2,128008.0,1504.74,3.017500973,15.23695875
12,2,252567.0,1029.53,2.560005232,15.68329107
13,1,171648.0,1779.89,3.408540855,16.45961804
14,2,249211.0,1278.19,1.720204379,13.53401447
15,2,339539.0,1953.61,1.909142925,13.18416695
16,2,243799.0,2061.08,2.533997888,13.60339282
17,2,235686.0,1602.11,1.617263615,12.88587638
18,3,366255.0,2432.26,1.66263472,15.22374733
19,2,351475.0,1743.55,2.431488908,14.66852157
20,1,158616.0,1224.26,3.899920471,16.64885502
21,1,353730.0,1785.94,1.720462615,13.10207542
22,2,249402.0,1756.38,2.791807467,15.46236552
23,1,236703.0,1160.64,1.208818512,14.03330528
24,1,377798.0,2191.17,2.963789686,15.57123236
25,2,368870.0,2242.78,2.815658834,15.06142973
26,1,362275.0,2042.04,1.090461915,13.59203547
27,2,237646.0,1565.8,1.552423769,13.70386021
28,1,364210.0,2135.51,1.91428726,13.881276
29,2,261127.0,1422.9,2.401513181,15.21531984
30,1,152364.0,1061.4,3.872038163,16.80541973
31,2,242994.0,1306.32,1.009093187,13.49037351
32,2,361887.0,2259.22,1.915847671,14.04557892
33,1,260629.0,1851.99,3.298073837,15.91828803
34,1,144332.0,640.38,1.502326948,14.10739508
35,2,369565.0,2132.92,1.809168627,15.06693488
36,1,142498.0,759.0,1.890553598,13.79309387
37,2,367043.0,2062.89,1.353511036,13.29599734
38,1,156383.0,713.86,3.413678248,16.56023431
39,1,369998.0,1812.15,3.18575527,15.44688333
40,1,374056.0,1935.62,3.482331177,16.34476935
41,1,248143.0,1844.58,2.98921152,15.71321138
42,2,266501.0,1935.55,3.767805276,16.31641131
43,1,235663.0,1320.93,0.980037497,14.17502016
44,1,362220.0,1887.62,1.312779034,12.98842182
45,1,161236.0,819.67,3.811614995,16.1694664
46,2,232890.0,1452.52,2.275069214,14.64234341
47,2,128983.0,1037.35,3.009584483,15.12857229
48,2,367369.0,2285.61,3.150164668,15.45508681
49,2,242601.0,1396.87,2.371536047,13.51322113
50,0,251110.0,1296.28,3.163801361,15.69335339
51,1,374227.0,2214.88,1.183352185,14.21066535
52,2,130638.0,963.28,0.909624031,13.84214779
53,2,258765.0,1640.19,2.686913391,15.43790714
54,1,128437.0,799.64,2.759060244,15.79582684
55,2,127965.0,1054.42,1.079436962,14.36874491
56,2,363954.0,2407.25,2.512849096,15.2429024
57,2,374947.0,2179.52,3.100103091,15.83383007
58,2,367097.0,1791.83,2.237696551,14.72817598
59,2,367469.0,2453.75,3.191313466,15.26783031
60,2,145648.0,912.99,2.819201301,13.62957159
61,1,378788.0,2224.19,1.939547003,13.45733537
62,2,261041.0,2015.19,3.97403184,16.02451456
63,1,245819.0,1162.45,0.504767135,13.33393853
64,2,250068.0,1530.32,1.066703912,13.60543655
65,1,149140.0,1079.88,3.314185081,15.52175939
66,1,359770.0,2226.33,0.859308431,13.16178364
67,2,254161.0,1612.97,3.117110319,15.78712721
68,2,130117.0,681.78,1.628606138,15.05068122
69,2,356805.0,1739.04,1.756441,13.56492046
70,1,252421.0,1766.93,0.972615587,12.95732042
71,2,363543.0,2389.62,1.206979535,13.10228138
72,1,246292.0,1056.33,2.914253316,15.65276874
73,2,237918.0,1275.17,2.018662406,13.55920491
74,1,143641.0,1172.04,1.616454158,14.04253752
75,1,363907.0,1981.24,2.52543293,13.94199178
76,3,236453.0,1368.21,1.522647894,14.45048177
77,2,240330.0,1772.48,1.487135738,13.80236827
78,2,358223.0,2383.5,2.131938688,14.13715102
79,1,254351.0,2073.35,3.872764273,16.18260092
80,2,240214.0,1820.77,2.076977108,14.55452838
81,1,152724.0,1179.68,3.780937904,15.84088467
82,1,378180.0,2481.96,3.67927358,15.95189504
83,2,145698.0,1001.63,3.135054886,16.53472718
84,2,266252.0,2129.17,4.207311248,16.06736435
85,1,278416.0,2082.71,3.696367645,15.9616412
86,1,250235.0,1910.02,3.252193042,15.32780457
87,1,174265.0,880.38,3.992676071,16.75129957
88,2,142561.0,873.29,2.19640795,14.22775586
89,1,272804.0,1820.15,3.375297399,16.50667626
90,2,258402.0,1681.91,1.51284398,13.44246512
91,2,366182.0,1838.37,2.786871301,15.03506981
92,1,277075.0,2130.0,3.855207903,17.12430879
93,1,346113.0,1939.21,1.814813139,13.6053372
94,1,149981.0,1687.3,3.842232379,16.44057331
95,2,242101.0,1596.15,1.022321523,12.54642793
96,1,144685.0,883.63,4.508888029,17.26090227
97,2,259759.0,1528.34,3.90961098,16.07178323
98,2,366199.0,2295.9,2.623771557,15.40124682
99,1,270993.0,1952.72,4.553910007,16.88151558
100,1,362125.0,1835.74,2.886562554,15.61032889
101,2,248670.0,1009.67,1.985021056,14.0287635
102,2,388687.0,2497.8,3.589268079,16.02673302
103,1,158953.0,1172.38,4.052659164,16.37043919
104,2,401119.0,2090.62,3.665007533,16.98218912
105,3,248612.0,1558.66,2.659970964,13.41324704
106,1,155165.0,709.92,3.517092241,15.5160899
107,1,146557.0,883.43,3.736966644,16.04848313
108,0,382100.0,2340.49,3.337981988,16.01201009
109,1,173104.0,807.18,3.911168299,16.51988971
110,1,147263.0,1333.7,3.323041752,15.9944198
111,2,363977.0,2276.18,2.950051715,14.30931567
112,2,265290.0,1841.9,4.198670366,16.25554462
113,2,237389.0,1325.89,0.678313765,14.03742602
114,1,149834.0,825.76,4.514174461,16.54325436
115,1,378931.0,2643.54,1.704804532,13.55059795
116,2,357399.0,2148.01,1.798698571,14.81537674
117,2,240014.0,1206.4,2.212361217,15.5537246
118,1,246708.0,1748.57,2.772382631,15.25684582
119,1,160932.0,827.07,4.436335603,16.42019969
120,2,234382.0,1781.38,1.194491073,14.2353468
121,1,183123.0,1386.55,4.024264886,16.88249087
122,0,288305.0,2255.0,3.730891211,17.03548617
123,1,133884.0,939.06,1.625965931,13.70899674
124,3,229189.0,1793.1,1.255489188,13.67277029
125,1,137695.0,1606.58,3.559003217,15.63209952
126,1,381149.0,2378.18,1.856802233,15.67304455
127,1,357869.0,2161.03,1.702094871,13.38360615
128,1,268597.0,1826.57,3.528479088,16.05963927
129,2,237894.0,1880.89,1.231096847,13.49826212
130,1,152866.0,1122.0,3.85822458,15.97246948
131,2,367513.0,2410.17,1.938112813,14.19250649
132,2,153686.0,992.42,4.12006322,16.43480542
133,1,150908.0,1045.95,2.681541613,15.83766932
134,2,130102.0,778.1,3.098448325,15.59857857
135,2,340634.0,1748.77,1.110516993,13.95298694
136,1,386899.0,2493.21,3.720014257,15.42177612
137,1,258228.0,1271.91,2.877640373,15.33399917
138,1,278509.0,1838.54,3.4420237,16.58744672
139,1,144040.0,611.34,3.232536178,16.71136071
140,3,249645.0,1784.91,0.897102599,13.21893222
141,1,355482.0,2062.87,1.465477617,13.38850021
142,1,368118.0,2124.37,2.033274366,15.26411503
143,2,245406.0,1659.74,2.848875723,15.90131832
144,2,128045.0,707.5,2.465530863,15.43649638
145,1,381476.0,2058.27,3.268764683,15.80035966
146,1,273686.0,1855.04,4.220474524,16.34116948
147,1,145402.0,586.86,2.870937758,16.28779325
148,1,158405.0,1050.41,3.555831664,16.36260507
149,1,249268.0,1301.91,1.365072524,14.11158734
150,0,157110.0,1589.61,4.387311795,16.34284025
151,2,137076.0,869.46,2.84897502,15.25396669
