,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
0,2,247145.0,1270.58,2.007440296,14.07744748
1,1,393326.0,2374.58,4.647963,16.8919772
2,1,150118.0,827.96,4.294846343,16.69668775
3,0,170029.0,921.65,4.561228832,16.85736958
4,2,130254.0,735.98,2.958612683,14.98030484
5,3,359281.0,2253.03,2.062350025,15.35533874
6,2,250794.0,1483.1,2.343148963,13.98825182
7,1,250633.0,1485.41,1.599551799,13.6734424
8,2,354105.0,1799.43,1.306434933,14.47311311
9,1,155476.0,1092.8,3.097522533,16.18572657
10,1,363070.0,1802.11,2.165966785,14.81866364
11,1,176196.0,1326.35,4.477993047,17.48592111
12,2,352599.0,1673.48,2.101785648,14.61209251
13,2,128193.0,739.19,2.734572596,15.50604177
14,2,135458.0,601.54,1.832032392,15.11674523
15,1,392574.0,1861.31,3.192276971,15.72546493
16,1,253331.0,1576.77,2.14604395,14.03815304
17,1,249620.0,1230.66,2.297056053,13.86516188
18,2,121487.0,1457.65,2.512799698,15.39261455
19,0,278332.0,1767.59,2.749035279,16.16848899
20,2,248518.0,1737.02,3.036416831,15.88721866
21,2,248467.0,1161.3,2.007306883,14.56498941
22,1,175381.0,1374.25,4.93924406,16.02845271
23,1,249713.0,1875.75,3.548728918,16.37485714
24,2,244944.0,1226.34,1.497565281,15.65272516
25,1,268545.0,1928.26,3.861393967,15.58314754
26,2,122759.0,1045.86,1.570149551,13.26013632
27,2,140325.0,1073.55,3.649489461,15.97540676
28,1,123675.0,1084.59,1.889272298,13.94313687
29,2,255377.0,1387.36,2.194979904,14.16164506
30,1,250280.0,1262.27,1.617028025,14.89902453
31,2,249050.0,1722.93,1.666570454,14.83270916
32,1,141015.0,1164.76,2.82155201,16.81109599
33,1,254955.0,1791.77,2.150186176,15.61523561
34,2,253888.0,1514.52,3.602982484,16.17481691
35,1,257291.0,1710.4,3.150183817,15.10072116
36,1,145722.0,743.1,3.138104601,16.14669658
37,2,132549.0,1404.33,3.241317043,14.72307943
38,1,363005.0,2336.97,2.938043254,15.86177323
39,2,253368.0,1747.19,4.720717584,16.0317894
40,1,249593.0,1577.46,1.774534631,13.70095868
41,1,145166.0,755.23,3.076333846,15.6207907
42,2,138576.0,1107.01,2.06791263,13.81031419
43,1,302391.0,2013.47,4.93924406,16.81484973
44,1,262080.0,1529.71,1.868291858,14.05399949
45,2,367789.0,2019.4,3.117333296,15.63943514
46,2,136680.0,918.09,3.49339338,16.31926648
47,1,268321.0,1582.45,3.799154881,14.84036423
48,2,345484.0,1621.48,0.876318867,12.87473397
49,2,257412.0,1887.74,3.743140178,16.18681878
50,2,366214.0,1885.96,2.16810008,15.26774619
51,2,359977.0,2499.25,3.629865736,16.06659823
52,2,155714.0,1463.12,3.867027035,16.21357384
53,2,244893.0,1733.67,1.999727042,14.91910892
54,2,114947.0,831.09,0.717480949,13.44949569
55,0,378901.0,1931.7,3.045104613,15.83667707
56,2,358358.0,2272.82,2.87324904,15.38904634
57,2,358372.0,1785.32,3.130898754,15.8137012
58,1,264123.0,1889.69,3.206189607,16.25737056
59,2,120522.0,665.92,1.813074543,13.85797117
60,2,157703.0,768.21,4.928426955,16.36389734
61,1,259676.0,2318.52,3.272133326,15.67173866
62,2,148624.0,1377.11,3.731678124,15.86121614
63,1,247215.0,1714.95,4.152555353,16.22958425
64,2,241970.0,1692.13,1.349624666,14.06939404
65,0,148778.0,925.86,2.930139114,15.78564033
66,1,275124.0,1488.18,4.494578362,16.71246247
67,1,259116.0,1796.22,3.832220068,16.20335071
68,1,248052.0,1380.61,2.992865499,15.4676141
69,3,123945.0,888.27,1.979213831,15.22751785
70,1,253029.0,1474.52,2.800666752,15.93118416
71,1,242221.0,1741.99,3.035793218,15.36703738
72,1,136434.0,866.76,1.658365402,14.4175504
73,2,343259.0,1780.6,2.207073553,13.13375421
74,2,382490.0,2501.81,3.09880303,14.52796575
75,2,129231.0,804.52,1.571013881,13.40014889
76,3,237483.0,1502.45,1.806624703,14.85866412
77,1,280202.0,1939.26,4.905903625,16.80756035
78,1,152434.0,738.36,4.11009262,16.59970853
79,2,376740.0,1878.65,4.263964831,16.33217767
80,2,260756.0,1709.75,3.647403967,15.38737722
81,2,127407.0,1457.54,2.931221205,14.95599045
82,1,168380.0,863.84,3.102068531,17.28277744
83,2,239205.0,1619.02,0.654488446,13.35737294
84,2,350694.0,1842.2,1.016180697,12.55871814
85,2,146505.0,1012.65,3.784978193,16.25158366
86,1,149188.0,826.1,3.260403904,15.74503218
87,1,259456.0,1348.44,2.29921092,15.69697429
88,1,267086.0,1940.2,3.526850822,16.24314284
89,2,345587.0,1689.84,1.720734962,13.54139524
90,1,266951.0,1846.74,4.071323385,16.1107699
91,1,244030.0,1278.11,3.497967664,15.55656882
92,1,398251.0,2404.22,3.984700065,16.10994365
93,1,129834.0,1143.74,1.712878145,12.53257484
94,1,383787.0,1731.07,3.617606991,16.50012835
95,2,350054.0,2032.96,1.094869191,13.9002647
96,1,159943.0,1637.84,4.158563926,16.52045821
97,1,253377.0,1159.16,1.77110303,13.50127708
98,1,152611.0,804.03,3.712442128,16.01521864
99,1,243438.0,1680.73,0.655846683,11.60294468
100,1,245534.0,1695.56,2.144937131,13.73030312
101,2,358986.0,2143.91,2.110438228,13.8639369
102,2,140332.0,1155.41,3.378841125,15.64919561
103,1,130142.0,1061.48,2.297238997,14.91577547
104,0,257011.0,1838.2,3.595340059,16.22249814
105,1,149724.0,913.4,3.028242446,15.9569223
106,1,143752.0,1478.27,4.196033109,17.50152883
107,2,139478.0,853.42,1.879758128,14.1772229
108,1,261223.0,1632.1,3.133527885,15.40070892
109,1,368724.0,1916.27,3.580729659,16.04820411
110,1,125578.0,721.34,0.204807742,13.96794462
111,1,152251.0,998.73,3.141000903,16.14391053
112,1,377360.0,1842.2,3.628978591,16.7428362
113,1,133538.0,808.41,2.515392016,14.39773199
114,1,134469.0,1481.63,3.239893733,15.48792318
115,1,139519.0,939.83,3.056599048,16.00634462
116,2,136337.0,978.88,3.561739575,16.33846533
117,1,246530.0,1534.73,1.868014697,13.18671117
118,1,260302.0,1744.21,3.657805815,16.09752509
119,2,373724.0,1624.75,3.010134815,15.72899892
120,2,340843.0,1892.11,2.452704552,13.30557878
121,1,140123.0,861.97,3.013660547,15.91338315
122,0,397644.0,2415.97,3.905102375,15.92839908
123,2,365722.0,1995.75,1.856082455,15.09845836
124,1,145106.0,669.13,2.946797782,16.30443293
125,2,247643.0,1289.39,2.95294983,14.52807662
126,0,369471.0,1752.59,1.432114085,13.96851477
127,2,233074.0,1072.64,1.407565272,12.36139601
128,2,245909.0,1405.08,1.169936893,14.37217852
129,1,369502.0,2427.65,2.826717919,15.43998457
130,2,240208.0,1833.93,1.794798339,11.94918262
131,1,149407.0,878.52,3.546709612,16.44223359
132,2,243936.0,1995.27,3.446371613,15.54751564
133,1,157448.0,683.54,3.788079481,16.49912864
134,2,129922.0,889.44,1.126185502,12.43618314
135,1,262648.0,1545.68,4.136009083,16.29287767
136,2,369804.0,2398.75,2.807015741,15.49544067
137,1,145379.0,1243.21,3.522172449,15.97508335
138,1,257294.0,1850.06,3.846026952,16.03869122
139,2,360013.0,1860.84,2.252365604,14.60024037
140,2,124850.0,677.5,2.828989133,15.77038811
141,1,358680.0,1986.0,1.010675132,12.31998769
142,1,346151.0,1806.25,0.348236039,12.15171826
143,1,150475.0,1234.01,3.925325906,16.51399212
144,2,355961.0,1902.08,1.679640967,13.51479883
145,2,366369.0,2357.16,3.057581984,14.93284339
146,2,142204.0,1137.73,3.961287643,15.62443997
147,2,360160.0,2428.51,1.814886608,12.94475953
148,1,145209.0,913.62,2.364070763,14.19935298
149,1,267647.0,1569.32,3.712779276,15.58322567
150,1,235023.0,1819.23,0.974685158,12.17655504
151,2,359079.0,2019.06,1.485417121,15.19775136
152,1,158850.0,968.3,4.367665927,16.08222226
153,2,134225.0,1337.03,2.721584061,14.9947748
154,2,257690.0,1941.12,3.760286153,16.49719325
155,1,372598.0,1786.97,1.496655552,13.64004112
156,1,271425.0,1870.74,4.93924406,16.61793962
157,0,368888.0,2055.41,2.239782813,14.60998021
158,1,271100.0,1912.63,4.328276167,16.16105207
159,1,374904.0,1834.37,2.656806269,16.12285171
160,2,252180.0,1872.37,3.63229584,15.9487759
161,2,257613.0,1587.92,3.50926625,15.43663382
162,2,139230.0,1310.97,2.667102171,15.02784711
163,2,119549.0,705.56,1.494800104,13.41324738
164,1,271822.0,1911.24,3.763975136,16.38072621
165,1,242615.0,1017.31,0.494010704,13.95364934
166,2,153296.0,1134.49,4.205968021,16.43946668
167,1,254279.0,1461.51,3.23475346,15.42620834
168,0,156697.0,1056.15,4.436634698,17.32648538
169,1,256677.0,1073.27,2.274427018,15.63288366
