Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Max Temp (C),Avg Min Temp (C)
0.71,146151.1,924.63,17.34763158,4.49754386
0.81,146151.1,924.63,17.34763158,4.49754386
0.81,146151.1,924.63,17.34763158,4.49754386
0.75,146151.1,924.63,17.34763158,4.49754386
0.75,146151.1,924.63,17.34763158,4.49754386
0.74,146151.1,924.63,17.34763158,4.49754386
0.78,146151.1,924.63,17.34763158,4.49754386
0.87,146151.1,924.63,17.34763158,4.49754386
0.88,146151.1,924.63,17.34763158,4.49754386
0.83,146151.1,924.63,17.34763158,4.49754386
0.87,146151.1,924.63,17.34763158,4.49754386
0.77,146151.1,924.63,17.34763158,4.49754386
0.81,146151.1,924.63,17.34763158,4.49754386
0.89,146151.1,924.63,17.34763158,4.49754386
0.86,146151.1,924.63,17.34763158,4.49754386
0.79,146151.1,924.63,17.34763158,4.49754386
0.81,146151.1,924.63,17.34763158,4.49754386
0.82,146151.1,924.63,17.34763158,4.49754386
0.78,146151.1,924.63,17.34763158,4.49754386
0.5,366100.83,2151.68,12.92289585,1.780211685
0.84,366100.83,2151.68,12.92289585,1.780211685
0.72,366100.83,2151.68,12.92289585,1.780211685
0.71,366100.83,2151.68,12.92289585,1.780211685
0.7,366100.83,2151.68,12.92289585,1.780211685
0.69,366100.83,2151.68,12.92289585,1.780211685
0.69,366100.83,2151.68,12.92289585,1.780211685
0.74,366100.83,2151.68,12.92289585,1.780211685
0.63,366100.83,2151.68,12.92289585,1.780211685
0.78,366100.83,2151.68,12.92289585,1.780211685
0.67,366100.83,2151.68,12.92289585,1.780211685
0.72,366100.83,2151.68,12.92289585,1.780211685
0.79,366100.83,2151.68,12.92289585,1.780211685
0.76,366100.83,2151.68,12.92289585,1.780211685
0.78,366100.83,2151.68,12.92289585,1.780211685
0.79,366100.83,2151.68,12.92289585,1.780211685
0.8,366100.83,2151.68,12.92289585,1.780211685
0.84,366100.83,2151.68,12.92289585,1.780211685
0.81,366100.83,2151.68,12.92289585,1.780211685
0.86,366100.83,2151.68,12.92289585,1.780211685
0.82,366100.83,2151.68,12.92289585,1.780211685
0.83,366100.83,2151.68,12.92289585,1.780211685
0.82,366100.83,2151.68,12.92289585,1.780211685
0.8,366100.83,2151.68,12.92289585,1.780211685
0.81,366100.83,2151.68,12.92289585,1.780211685
0.96,366100.83,2151.68,12.92289585,1.780211685
0.84,366100.83,2151.68,12.92289585,1.780211685
0.82,366100.83,2151.68,12.92289585,1.780211685
0.53,285497.24,1966.28,16.88673034,4.743483146
0.5,285497.24,1966.28,16.88673034,4.743483146
0.65,285497.24,1966.28,16.88673034,4.743483146
0.7,285497.24,1966.28,16.88673034,4.743483146
0.61,285497.24,1966.28,16.88673034,4.743483146
0.59,285497.24,1966.28,16.88673034,4.743483146
0.58,285497.24,1966.28,16.88673034,4.743483146
0.77,285497.24,1966.28,16.88673034,4.743483146
0.78,285497.24,1966.28,16.88673034,4.743483146
0.84,285497.24,1966.28,16.88673034,4.743483146
0.69,285497.24,1966.28,16.88673034,4.743483146
0.79,285497.24,1966.28,16.88673034,4.743483146
0.71,285497.24,1966.28,16.88673034,4.743483146
0.8,285497.24,1966.28,16.88673034,4.743483146
0.72,285497.24,1966.28,16.88673034,4.743483146
0.64,285497.24,1966.28,16.88673034,4.743483146
