,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,0.72,255946.1777117887,1385.75,1.299952613,13.43277808,1
1,1.58,261138.90232951735,1938.15,3.417466466,15.9579054,1
2,0.55,283474.08918763243,1967.85,4.615330999,17.73027397,0
3,1.47,352849.72705722274,1818.93,1.130842251,13.62605677,1
4,1.91,259876.27253137113,1873.66,3.847849062,15.74384267,1
5,0.62,386303.57897978264,2075.01,3.649933955,16.92439533,0
6,1.81,136213.94302389136,863.25,3.006515108,15.11254444,1
7,1.2,376348.21410917555,2339.88,3.31617269,16.22106033,1
8,2.79,147959.19203792457,997.58,3.073623465,15.96156474,2
9,1.7,264249.06810088194,1932.03,1.444255385,14.12093932,1
10,1.7,248725.38286075694,1173.2,3.094157009,15.37296148,1
11,2.23,369881.13382708596,3047.82,2.987190615,15.25150257,2
12,2.3,239105.92573857485,1299.68,1.22173667,13.13591719,2
13,0.92,261515.6050852052,1566.9,1.096444523,13.79531855,0
14,1.48,259068.07510447496,1570.58,1.842903871,13.73164528,1
15,0.57,263158.2646809885,1894.03,3.473532942,16.40844455,0
16,0.39,376952.90213915444,2221.73,1.435434953,13.53965984,0
17,1.07,368564.9604855987,1845.96,2.85404529,15.25336241,0
18,0.44,277882.05847266,1873.99,3.770982058,17.50233184,0
19,0.3,383948.7733568553,2351.21,2.441544928,14.12405363,0
20,1.64,152269.85850703463,925.23,3.159948882,15.3600477,1
21,1.68,238478.57844214453,1569.89,1.181008342,13.47981171,1
22,2.04,377000.3864822024,2937.22,1.807481977,13.85681882,1
23,0.83,392757.24519493995,2446.58,2.238882771,13.90689052,0
24,1.63,248701.19843674087,1262.41,0.890484884,13.3633135,2
25,1.95,128457.05883608211,652.08,2.086785825,13.51698693,1
26,0.67,263220.6917623967,1574.61,2.887313763,15.88578761,0
27,2.83,119218.95522137209,1080.98,2.82966715,15.91406361,2
28,1.21,377871.7074062173,2274.8,2.003034514,14.28196556,1
29,1.97,348132.3424743537,1927.17,0.722497949,12.11019627,2
30,2.67,252618.69920640741,1796.64,3.031216474,15.22222394,2
31,1.72,136109.41971418326,1070.81,3.019567339,15.6905464,1
32,0.57,258821.9877701766,1732.0,3.522027213,14.05277705,0
33,2.34,246047.91114764198,1775.15,2.75655555,15.31990799,2
34,1.63,356200.65532672004,1837.97,1.792845764,14.85491186,1
35,1.48,150092.3400348361,670.19,3.071877888,16.07232585,1
36,0.68,159802.15591994076,778.09,4.753331579,16.49001289,0
37,0.72,151136.12472351902,613.89,3.74912403,17.13046987,0
38,0.92,147459.9415418133,937.55,3.826041708,15.96728084,0
39,0.81,267881.8997680411,1746.92,1.058928676,13.38446385,0
40,1.25,362389.41886434675,2151.12,0.21952357,11.58856682,1
41,0.96,385451.3724088018,2206.81,3.60540362,16.51559036,1
42,2.39,244453.03111001145,1683.57,2.545040285,15.76071737,2
43,0.99,150836.6754654135,810.09,3.030734873,15.72463529,0
44,1.26,260817.0590201728,1867.19,3.384445489,16.81748221,1
45,0.84,152408.2098813012,683.57,1.661661341,13.53541882,0
46,1.4,143028.15581605004,830.34,2.944643705,16.41737179,1
47,0.95,375161.54393533635,2503.39,0.776051371,13.36399472,1
