,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
0,1.61,348854.0,1851.05,0.323688042,12.40991065,1
1,2.14,364887.0,1925.37,2.939487525,15.74353412,1
2,1.65,248552.0,1681.81,1.634155021,13.27969744,1
3,0.9,242610.0,1809.87,0.269545875,11.42882392,0
4,2.19,140200.0,710.98,2.904044289,16.12113247,2
5,1.68,365955.0,2214.36,1.657519481,13.52642041,1
6,1.16,134016.0,921.77,3.109593634,15.07693793,1
7,1.08,149081.0,851.2,3.984421706,17.44668765,0
8,1.11,282369.0,2006.8,4.460434936,16.10124677,1
9,1.35,389769.0,2905.63,3.469444317,16.17596185,1
10,1.28,160500.0,1074.34,4.419090632,16.70087356,0
11,0.93,129251.0,695.94,3.101361336,15.38894349,0
12,1.6,222160.0,1268.27,1.520231607,13.88254416,1
13,1.91,244003.0,1396.44,1.400230519,14.89578662,2
14,0.44,392865.0,2970.89,3.719728374,16.01308713,0
15,1.73,356405.0,1491.41,-0.326393035,12.98874723,1
16,1.75,343175.0,1976.47,1.785112308,11.88916007,1
17,2.22,136553.0,970.11,1.067476802,13.75609006,2
18,1.78,120692.0,613.89,0.620319363,13.06481773,1
19,0.91,371482.0,2319.56,3.594888577,15.44077534,1
20,1.57,252136.0,1503.61,2.961933092,13.38276225,1
21,1.37,252818.0,1459.67,0.43432908,13.23926425,1
22,0.45,260588.0,1863.46,3.529428061,16.32915871,0
23,1.58,258464.0,1806.0,3.045738545,16.11963981,1
24,2.26,140836.0,955.3,2.839817723,15.68378467,2
25,1.33,355712.0,2260.12,1.831852944,13.72348434,1
26,0.62,277537.0,2353.68,3.832311872,16.73900058,0
27,1.64,236039.0,903.79,2.13802681,13.46916695,1
28,2.35,126626.0,772.06,2.215537361,15.35364407,2
29,2.67,237716.0,1480.91,2.944939964,15.02502636,2
30,1.87,367305.0,2139.78,2.964111043,14.9339091,2
31,0.66,131851.0,755.88,0.27172943,13.09121707,0
32,1.52,360139.0,1996.83,3.23834642,15.55539742,1
33,0.8,261764.0,1735.02,3.304193332,15.95877304,0
34,2.19,364776.0,2191.51,2.86979117,15.33359299,2
35,2.05,253113.0,1820.63,2.837523463,15.7219927,2
36,0.73,253312.0,1669.85,3.025506623,15.5444185,0
37,1.56,229252.0,921.37,0.776533875,12.44695148,1
38,0.67,386841.0,2833.89,3.048673974,16.478644,0
39,2.88,355732.0,1983.71,2.75431892,15.4487072,2
40,2.59,242392.0,1626.47,2.608070795,15.29145334,2
41,2.88,356304.0,2374.59,1.800228885,14.44401273,2
