,Unnamed: 0,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (MJ/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Avg Soil Moisture (%),Harvested in Sown Year,First Date of Season,Percent Cover (%),Unnamed: 19,Class
0,530273799,Maine,South Danielleville,03/24/2016,Saranac AR,06/26/2017,260,0.71,263,34,511.67,113.1,23.39055888,17.825395939,29.30784519,0.279093807,1,0,95.30367583,,0
1,340515908,Nebraska,New Melissashire,08/12/2012,Radiance HD,08/05/2018,229,0.66,2129,31,690.66,113.7,22.65892206,17.42213701,28.29850166,0.289964184,0,0,89.15025715,,0
2,205882926,Mississippi,Mosleychester,03/23/2016,Contender,05/31/2018,130,1.07,1061,241,764.47,214.8,10.74052748,5.232653061,16.04100463,0.378285714,0,1,95.14889447,,0
3,510681379,Utah,Paulfurt,08/09/2012,GA-ALFG-1,11/11/2013,225,0.59,1316,32,648.85,104.2,22.22443189,17.804053397,27.38269502,0.313191113,0,0,96.23234115,,0
4,350053612,Michigan,Salasside,03/16/2015,Caliber,06/08/2016,193,1.58,1372,33,775.76,166.1,23.27836858,20.510269475,29.19357796,0.303942909,0,1,93.40573865,,1
5,291532678,Kentucky,Lake Jared,08/14/2012,Saranac AR,07/31/2017,162,1.48,1469,34,688.31,97.8,19.2815617,12.711630955,24.03723765,0.262379129,0,0,93.89259801,,1
6,816630617,Colorado,Michaelside,04/01/2016,Contender,08/04/2016,226,1.27,1468,36,649.44,167.8,23.6889318,17.08528835,29.39571642,0.274457463,0,0,93.41460528,,1
7,663334998,Illinois,New Lisaport,03/29/2015,Caliber,06/28/2016,194,0.6,1350,33,706.4,181.7,23.95030949,18.224571255,29.21789403,0.275420048,0,0,93.25083097,,1
8,217134426,Minnesota,North Jorgeville,04/09/2016,Caliber,07/06/2017,191,1.56,529,29,652.94,161.3,23.83844807,6.881718371,18.32875541,0.346645999,0,0,94.89797402,,1
9,520575582,Mississippi,North Pamelamouth,08/12/2012,Saranac AR,06/05/2018,163,1.78,1733,32,821.8,114.8,19.22669608,13.265492949,24.02658573,0.330882543,0,0,79.69581411,,1
10,357975300,Washington,Vaughnland,08/09/2012,Saranac AR,08/23/2017,260,1.2,329,31,730.31,122.4,18.8735398,13.349217772,23.66517663,0.323529256,0,0,90.42790658,,1
11,468498193,Mississippi,New Nicoleport,08/25/2012,Evermore,09/01/2015,225,0.58,1099,30,673.28,96.6,23.43994407,18.515292905,27.58880623,0.205735294,0,0,99.71486653,,0
12,578958558,Michigan,Myersland,03/25/2016,Caliber,08/17/2017,159,1.58,446,36,692.06,87.8,18.85014694,13.934156058,24.65268847,0.289279343,0,0,96.96841362,,1
13,132093532,Vermont,Jacobport,08/09/2012,Saranac AR,08/25/2016,262,0.76,1677,33,659.13,65.7,22.46497928,17.690529167,28.55526545,0.268738891,0,0,83.05852149,,0
14,850483358,North Dakota,New Zacharymouth,08/13/2012,Saranac AR,07/17/2018,258,0.76,1847,33,660.87,224.8,23.06717859,17.891338833,27.94687772,0.277055322,0,0,70.50125279,,0
15,792007896,Utah,Cunninghamhaven,08/11/2012,Phoenix,08/26/2016,161,1.37,990,34,699.18,95.4,22.57494212,17.613603854,28.0975064,0.290558784,0,0,93.03413464,,1
16,804967183,Oregon,New Zachary,08/09/2012,Saranac AR,05/03/2017,125,2.01,1539,218,861.52,90.3,12.44066788,5.798210567,17.25834457,0.320264458,0,0,82.65607185,,1
17,12574296,Kansas,Molinaberg,08/09/2012,Saranac AR,07/23/2018,192,0.93,1009,32,641.79,89.6,23.44464427,18.424117758,27.9869935,0.218868182,0,0,87.61917724,,0
18,769326426,North Carolina,Deborahhaven,03/29/2016,Caliber,08/05/2018,226,0.89,935,34,663.53,94.3,23.15073066,17.870555236,27.5131359,0.331928085,0,0,94.49950913,,0
19,159330227,Michigan,West Tracy,08/09/2012,Phoenix,05/14/2018,158,1.39,1783,33,687.38,149.1,22.36834053,16.631303381,27.54410867,0.289415977,0,0,69.57889627,,1
20,894288321,South Dakota,New Jacqueline,03/30/2015,Saranac AR,08/29/2018,227,0.74,1239,32,647.54,115.7,23.85317243,18.203379661,28.68271753,0.252030749,0,0,88.47962783,,0
21,238176469,Kansas,East Raven,03/31/2016,Caliber,06/19/2018,160,1.14,863,34,721.61,249.6,22.68411835,17.520396107,27.37122291,0.279042279,0,0,92.50946179,,1
22,979750085,California,Francotown,05/26/2017,GA-505,06/23/2017,259,0.75,710,32,579.36,235.4,22.78365627,17.323928185,27.21277051,0.303428258,0,0,94.50204949,,0
23,517844549,South Carolina,Fowlerberg,04/09/2016,Saranac AR,07/21/2016,228,0.87,325,34,799.81,104.5,23.00930623,17.578824294,28.67573545,0.296544751,0,0,92.59271132,,0
24,661647586,New York,Yangbury,03/07/2015,Caliber,07/23/2015,191,0.67,831,32,557.03,169.1,23.19899037,18.389593236,27.82715686,0.321240092,0,0,98.01070907,,0
25,289946810,Wyoming,Jacksonborough,08/09/2012,Caliber,07/22/2017,224,1.19,2120,31,685.3,169.6,23.13025017,18.24713014,27.9177643,0.320864702,0,0,67.22120255,,1
26,50148054,Alaska,East Robin,04/12/2016,Saranac AR,09/14/2017,257,0.91,231,37,656.19,168.5,23.0346235,17.916260086,27.10981447,0.263501136,0,0,91.41793015,,0
27,812979856,Indiana,Hayeston,03/31/2015,Saranac AR,08/18/2018,227,0.66,1021,32,570.25,135.3,23.57653257,18.261357345,27.33296701,0.321164302,0,0,90.89170733,,0
28,732667087,Delaware,New Billyfort,08/09/2012,Radiance HD,08/06/2016,261,1.17,1303,35,698.04,92.3,22.29452497,18.031696367,28.59745454,0.269768711,0,0,97.94939254,,1
29,495784708,Delaware,Elizabethchester,03/19/2016,Caliber,08/22/2018,253,0.75,1092,32,497.9,110.0,23.00593222,18.016496941,27.77959639,0.3337799,0,0,91.05032823,,0
30,499695536,Iowa,Loganhaven,04/13/2016,Saranac AR,06/06/2016,165,1.59,1271,37,870.72,135.0,22.40288289,18.03643848,29.19064888,0.255114365,0,0,,,1
31,122412317,Montana,North Michael,08/09/2012,Ameristand 403T,09/14/2013,160,1.5,971,33,717.09,107.4,19.45928877,13.350344114,24.59860657,0.330941354,0,0,98.32107113,,1
32,800420291,New York,Robertland,08/09/2012,Saranac AR,06/19/2016,191,1.33,1150,35,807.51,128.1,22.81493757,18.615456861,28.25727297,0.205735294,0,0,96.40355499,,1
33,932036027,Kentucky,Carmenberg,03/22/2016,Caliber,07/20/2018,162,2.05,567,35,717.87,140.8,22.55615078,17.250246273,27.093589,0.262024381,0,0,96.79343606,,1
34,691066245,Georgia,Josephbury,08/09/2012,Caliber,09/18/2015,192,1.31,955,34,675.07,173.3,22.90517282,19.011002533,27.16691999,0.31783734,0,0,96.97444621,,1
35,92151808,Idaho,East Amy,04/12/2016,Saranac AR,06/03/2017,160,1.7,443,35,684.23,134.4,19.50743588,14.72806663,24.93782933,0.260612263,0,0,91.65977431,,1
36,49945477,Florida,South Lonnie,08/13/2012,Saranac AR,06/20/2018,159,1.08,1989,34,679.06,112.8,22.93309919,17.589699153,24.20381793,0.29679487,0,0,,,1
37,837847944,Michigan,New Andrew,08/09/2012,4030,07/29/2013,192,1.27,89,32,625.88,86.6,11.42592349,13.857854994,17.18917172,0.351584472,0,1,100.0,,1
38,63242829,Idaho,South Scott,08/09/2012,Caliber,08/09/2018,223,0.59,1229,30,607.22,86.2,22.95257827,17.693359912,27.62770551,0.328040607,0,0,85.41567773,,0
39,763436388,Colorado,North Tyler,03/30/2016,Saranac AR,05/30/2017,225,1.81,578,35,664.04,118.5,22.96602476,17.777643682,27.50804409,0.271753651,0,0,94.06155653,,1
40,271237265,Arizona,Robinsonton,08/09/2012,Saranac AR,08/01/2018,228,0.64,1152,32,669.29,207.0,23.05296957,18.005949977,28.13809472,0.274559342,0,0,96.41026604,,1
41,724855951,Wyoming,Turnerbury,08/09/2012,Saranac AR,08/01/2018,224,0.63,1728,33,659.1,96.5,22.78298337,17.458902661,27.86537114,0.275697835,0,0,69.13379499,,0
42,63715644,Georgia,Sheilaland,04/03/2016,Caliber,06/27/2017,192,1.87,447,31,684.65,165.8,22.78609825,7.43192677,27.30606645,0.252814716,0,1,96.17098537,,1
43,885565145,Virginia,New Philiptown,08/21/2012,Caliber,07/29/2017,258,0.59,2225,32,670.19,170.1,19.83105464,15.994754267,25.09974892,0.323907218,0,0,85.59505656,,0
44,768123629,Wyoming,South Nicoleborough,08/09/2012,Saranac AR,07/08/2018,226,0.7,1120,34,709.75,108.6,23.20900978,18.193857389,28.19819517,0.27800711,0,0,90.63967966,,1
45,14031527,Idaho,East Lisa,03/31/2016,Saranac AR,09/30/2016,256,0.43,172,29,541.91,113.1,23.16450711,17.352337324,29.79618674,0.263020649,0,0,89.6421298,,0
46,243018606,Arkansas,North Williambury,03/24/2016,Caliber,08/05/2016,227,1.61,440,34,678.65,133.3,23.7887601,19.554035443,29.71607045,0.293015308,0,0,94.00078664,,1
47,814118991,Minnesota,New Cheyennefurt,08/10/2012,Phoenix,06/09/2016,160,1.91,986,33,896.21,94.6,23.95191454,7.046870244,28.31714087,0.268132358,0,0,93.61350741,,1
48,455158360,Mississippi,New Richardview,08/14/2012,Caliber,07/09/2017,254,1.02,528,33,577.55,121.8,18.81812976,14.564096485,24.54855314,0.319180674,0,0,93.89360532,,1
49,878538576,Ohio,West Juantown,08/09/2012,Saranac AR,10/03/2016,226,0.85,1059,32,657.34,120.8,22.63191892,17.359478363,28.39469736,0.278545925,0,0,93.48332345,,0
50,83992008,Tennessee,Randallland,08/09/2012,Saranac AR,06/24/2018,258,0.78,2225,36,765.55,113.2,23.20180511,14.538474079,27.7049159,0.281393831,0,0,74.48997325,,0
51,95357664,Arkansas,Jamestown,08/09/2012,Saranac AR,08/15/2016,226,1.27,536,32,694.42,106.0,22.88894114,17.959901828,28.06920342,0.248154705,0,0,94.49114466,,0
52,289760152,Idaho,West Diane,08/09/2012,Radiance HD,12/19/2013,260,0.6,1992,32,715.35,91.5,22.15498244,12.657780243,28.18444171,0.276616948,0,0,100.0,,0
