,State,City,Date Sown,Variety,Date of Cut,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Avg of AAYPVPP,STD AAYPVP,Num STDs,Avg Yield of Varieties Per Cut,Annual Avg Yield,Avg Annual Yield Per Variety Per Plant
177,South Dakota,Highmore,5/5/1998,Frontier 2000,8/3/1999,0.71,146151.1,924.63,4.49754386,17.34763158,0,0.899910256,0.432750437,0.670339574,0.806842105,1.447891584,1.19
172,South Dakota,Highmore,5/5/1998,WL 232HQ,8/3/1999,0.81,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,0.993851667,0.806842105,1.447891584,1.33
173,South Dakota,Highmore,5/5/1998,Goldrush 747,8/3/1999,0.81,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,0.970743661,0.806842105,1.447891584,1.32
174,South Dakota,Highmore,5/5/1998,TMF Multiplier II,8/3/1999,0.75,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,0.878311634,0.806842105,1.447891584,1.28
175,South Dakota,Highmore,5/5/1998,Pioneer Brand 53V63,8/3/1999,0.75,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,0.878311634,0.806842105,1.447891584,1.28
176,South Dakota,Highmore,5/5/1998,DK 134,8/3/1999,0.74,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,0.862906296,0.806842105,1.447891584,1.273333333
181,South Dakota,Highmore,5/5/1998,CW 5321,8/3/1999,0.78,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,0.916824978,0.806842105,1.447891584,1.296666667
163,South Dakota,Highmore,5/5/1998,MagnumV,8/3/1999,0.87,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,1.240337072,0.806842105,1.447891584,1.436666667
164,South Dakota,Highmore,5/5/1998,WL 324,8/3/1999,0.88,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,1.18641839,0.806842105,1.447891584,1.413333333
165,South Dakota,Highmore,5/5/1998,TMF 421,8/3/1999,0.83,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,1.140202376,0.806842105,1.447891584,1.393333333
166,South Dakota,Highmore,5/5/1998,Husky Supreme,8/3/1999,0.87,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,1.140202376,0.806842105,1.447891584,1.393333333
167,South Dakota,Highmore,5/5/1998,Vernal,8/3/1999,0.77,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,1.109391701,0.806842105,1.447891584,1.38
168,South Dakota,Highmore,5/5/1998,ICI 620,8/3/1999,0.81,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,1.078581025,0.806842105,1.447891584,1.366666667
169,South Dakota,Highmore,5/5/1998,WL 325HQ,8/3/1999,0.89,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,1.078581025,0.806842105,1.447891584,1.366666667
170,South Dakota,Highmore,5/5/1998,Pioneer Brand 53Q60,8/3/1999,0.86,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,1.063175687,0.806842105,1.447891584,1.36
171,South Dakota,Highmore,5/5/1998,DK140,8/3/1999,0.79,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,1.055473019,0.806842105,1.447891584,1.356666667
178,South Dakota,Highmore,5/5/1998,CW 72008,8/3/1999,0.81,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,1.140202376,0.806842105,1.447891584,1.393333333
179,South Dakota,Highmore,5/5/1998,CW 72005,8/3/1999,0.82,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,1.101689032,0.806842105,1.447891584,1.376666667
180,South Dakota,Highmore,5/5/1998,CW 5236,8/3/1999,0.78,146151.1,924.63,4.49754386,17.34763158,1,0.899910256,0.432750437,1.063175687,0.806842105,1.447891584,1.36
264,South Dakota,Watertown,5/22/1996,Travois,8/16/1999,0.5,366100.83,2151.68,1.780211685,12.92289585,0,0.899910256,0.432750437,0.69344758,0.768571429,1.447891584,1.2
256,South Dakota,Watertown,5/22/1996,Rainier,8/16/1999,0.84,366100.83,2151.68,1.780211685,12.92289585,1,0.899910256,0.432750437,1.294255754,0.768571429,1.447891584,1.46
