,State,City,Date Sown,Variety,Date of Cut,Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class,Avg of AAYPVPP,STD AAYPVP,Num STDs,Avg Yield of Varieties Per Cut,Annual Avg Yield,Avg Annual Yield Per Variety Per Plant
399,South Dakota,Highmore,5/5/1998,Vernal,5/23/2000,1.18,235157.38,1220.67,2.30252,15.90674667,0,0.899910256,0.432750437,-0.404182738,1.295625,1.106568215,0.725
415,South Dakota,Highmore,5/5/1998,Vernal,7/6/2000,0.27,252578.57,1329.21,2.799949622,16.44955919,0,0.899910256,0.432750437,-0.404182738,0.358125,1.106568215,0.725
405,South Dakota,Highmore,5/5/1998,CW5321,5/23/2000,1.19,235157.38,1220.67,2.30252,15.90674667,0,0.899910256,0.432750437,-0.369520728,1.295625,1.106568215,0.74
421,South Dakota,Highmore,5/5/1998,CW5321,7/6/2000,0.29,252578.57,1329.21,2.799949622,16.44955919,0,0.899910256,0.432750437,-0.369520728,0.358125,1.106568215,0.74
396,South Dakota,Highmore,5/5/1998,TMF 421,5/23/2000,1.21,235157.38,1220.67,2.30252,15.90674667,0,0.899910256,0.432750437,-0.357966724,1.295625,1.106568215,0.745
412,South Dakota,Highmore,5/5/1998,TMF 421,7/6/2000,0.28,252578.57,1329.21,2.799949622,16.44955919,0,0.899910256,0.432750437,-0.357966724,0.358125,1.106568215,0.745
400,South Dakota,Highmore,5/5/1998,TMF Multiplier II,5/23/2000,1.24,235157.38,1220.67,2.30252,15.90674667,0,0.899910256,0.432750437,-0.323304714,1.295625,1.106568215,0.76
416,South Dakota,Highmore,5/5/1998,TMF Multiplier II,7/6/2000,0.28,252578.57,1329.21,2.799949622,16.44955919,0,0.899910256,0.432750437,-0.323304714,0.358125,1.106568215,0.76
403,South Dakota,Highmore,5/5/1998,CW72008,5/23/2000,1.26,235157.38,1220.67,2.30252,15.90674667,0,0.899910256,0.432750437,-0.277088701,1.295625,1.106568215,0.78
419,South Dakota,Highmore,5/5/1998,CW72008,7/6/2000,0.3,252578.57,1329.21,2.799949622,16.44955919,0,0.899910256,0.432750437,-0.277088701,0.358125,1.106568215,0.78
398,South Dakota,Highmore,5/5/1998,Garst 620,5/23/2000,1.24,235157.38,1220.67,2.30252,15.90674667,0,0.899910256,0.432750437,-0.265534697,1.295625,1.106568215,0.785
414,South Dakota,Highmore,5/5/1998,Garst 620,7/6/2000,0.33,252578.57,1329.21,2.799949622,16.44955919,0,0.899910256,0.432750437,-0.265534697,0.358125,1.106568215,0.785
404,South Dakota,Highmore,5/5/1998,CW5236,5/23/2000,1.28,235157.38,1220.67,2.30252,15.90674667,0,0.899910256,0.432750437,-0.253980694,1.295625,1.106568215,0.79
420,South Dakota,Highmore,5/5/1998,CW5236,7/6/2000,0.3,252578.57,1329.21,2.799949622,16.44955919,0,0.899910256,0.432750437,-0.253980694,0.358125,1.106568215,0.79
393,South Dakota,Highmore,5/5/1998,Husky Supreme,5/23/2000,1.31,235157.38,1220.67,2.30252,15.90674667,0,0.899910256,0.432750437,-0.242426691,1.295625,1.106568215,0.795
