Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
2.3,762,237920.06,1566.72,3.256238532,15.27348624
2.25,762,237920.06,1566.72,3.256238532,15.27348624
2.21,762,237920.06,1566.72,3.256238532,15.27348624
2.18,762,237920.06,1566.72,3.256238532,15.27348624
2.17,762,237920.06,1566.72,3.256238532,15.27348624
2.12,762,237920.06,1566.72,3.256238532,15.27348624
2.66,762,237920.06,1566.72,3.256238532,15.27348624
2.25,762,237920.06,1566.72,3.256238532,15.27348624
2.19,762,237920.06,1566.72,3.256238532,15.27348624
2.13,762,237920.06,1566.72,3.256238532,15.27348624
2.13,762,237920.06,1566.72,3.256238532,15.27348624
2.13,762,237920.06,1566.72,3.256238532,15.27348624
2.15,762,237920.06,1566.72,3.256238532,15.27348624
2.25,762,237920.06,1566.72,3.256238532,15.27348624
2.06,762,237920.06,1566.72,3.256238532,15.27348624
1.95,762,237920.06,1566.72,3.256238532,15.27348624
2,762,237920.06,1566.72,3.256238532,15.27348624
2.12,762,237920.06,1566.72,3.256238532,15.27348624
2.08,762,237920.06,1566.72,3.256238532,15.27348624
2.01,762,237920.06,1566.72,3.256238532,15.27348624
2.07,762,237920.06,1566.72,3.256238532,15.27348624
2.05,762,237920.06,1566.72,3.256238532,15.27348624
2.08,762,237920.06,1566.72,3.256238532,15.27348624
2.06,762,237920.06,1566.72,3.256238532,15.27348624
1.99,762,237920.06,1566.72,3.256238532,15.27348624
1.87,762,237920.06,1566.72,3.256238532,15.27348624
2.23,762,237920.06,1566.72,3.256238532,15.27348624
2.02,762,237920.06,1566.72,3.256238532,15.27348624
2.06,762,237920.06,1566.72,3.256238532,15.27348624
2.04,762,237920.06,1566.72,3.256238532,15.27348624
2.04,762,237920.06,1566.72,3.256238532,15.27348624
1.51,803,252511,1839.35,3.821579602,15.80236318
1.38,803,252511,1839.35,3.821579602,15.80236318
1.37,803,252511,1839.35,3.821579602,15.80236318
1.37,803,252511,1839.35,3.821579602,15.80236318
1.43,803,252511,1839.35,3.821579602,15.80236318
1.4,803,252511,1839.35,3.821579602,15.80236318
1.2,803,252511,1839.35,3.821579602,15.80236318
1.31,803,252511,1839.35,3.821579602,15.80236318
1.32,803,252511,1839.35,3.821579602,15.80236318
1.37,803,252511,1839.35,3.821579602,15.80236318
1.32,803,252511,1839.35,3.821579602,15.80236318
1.26,803,252511,1839.35,3.821579602,15.80236318
1.27,803,252511,1839.35,3.821579602,15.80236318
1.28,803,252511,1839.35,3.821579602,15.80236318
1.32,803,252511,1839.35,3.821579602,15.80236318
1.32,803,252511,1839.35,3.821579602,15.80236318
1.38,803,252511,1839.35,3.821579602,15.80236318
1.34,803,252511,1839.35,3.821579602,15.80236318
1.3,803,252511,1839.35,3.821579602,15.80236318
1.4,803,252511,1839.35,3.821579602,15.80236318
1.3,803,252511,1839.35,3.821579602,15.80236318
1.28,803,252511,1839.35,3.821579602,15.80236318
1.28,803,252511,1839.35,3.821579602,15.80236318
1.22,803,252511,1839.35,3.821579602,15.80236318
1.17,803,252511,1839.35,3.821579602,15.80236318
1.24,803,252511,1839.35,3.821579602,15.80236318
1.3,803,252511,1839.35,3.821579602,15.80236318
1.32,803,252511,1839.35,3.821579602,15.80236318
1.28,803,252511,1839.35,3.821579602,15.80236318
1.16,803,252511,1839.35,3.821579602,15.80236318
1.17,803,252511,1839.35,3.821579602,15.80236318
1.76,832,264060.84,1909.05,4.307142857,16.2907443
1.89,832,264060.84,1909.05,4.307142857,16.2907443
1.82,832,264060.84,1909.05,4.307142857,16.2907443
1.89,832,264060.84,1909.05,4.307142857,16.2907443
1.82,832,264060.84,1909.05,4.307142857,16.2907443
1.83,832,264060.84,1909.05,4.307142857,16.2907443
1.63,832,264060.84,1909.05,4.307142857,16.2907443
1.76,832,264060.84,1909.05,4.307142857,16.2907443
1.85,832,264060.84,1909.05,4.307142857,16.2907443
1.78,832,264060.84,1909.05,4.307142857,16.2907443
1.88,832,264060.84,1909.05,4.307142857,16.2907443
1.8,832,264060.84,1909.05,4.307142857,16.2907443
1.75,832,264060.84,1909.05,4.307142857,16.2907443
1.7,832,264060.84,1909.05,4.307142857,16.2907443
1.69,832,264060.84,1909.05,4.307142857,16.2907443
1.78,832,264060.84,1909.05,4.307142857,16.2907443
1.76,832,264060.84,1909.05,4.307142857,16.2907443
1.72,832,264060.84,1909.05,4.307142857,16.2907443
1.74,832,264060.84,1909.05,4.307142857,16.2907443
1.7,832,264060.84,1909.05,4.307142857,16.2907443
1.7,832,264060.84,1909.05,4.307142857,16.2907443
1.75,832,264060.84,1909.05,4.307142857,16.2907443
1.71,832,264060.84,1909.05,4.307142857,16.2907443
1.72,832,264060.84,1909.05,4.307142857,16.2907443
1.72,832,264060.84,1909.05,4.307142857,16.2907443
1.61,832,264060.84,1909.05,4.307142857,16.2907443
1.8,832,264060.84,1909.05,4.307142857,16.2907443
1.74,832,264060.84,1909.05,4.307142857,16.2907443
1.66,832,264060.84,1909.05,4.307142857,16.2907443
1.67,832,264060.84,1909.05,4.307142857,16.2907443
1.68,832,264060.84,1909.05,4.307142857,16.2907443
0.78,889,285497.24,1966.28,4.743483146,16.88673034
0.72,889,285497.24,1966.28,4.743483146,16.88673034
0.82,889,285497.24,1966.28,4.743483146,16.88673034
0.77,889,285497.24,1966.28,4.743483146,16.88673034
0.78,889,285497.24,1966.28,4.743483146,16.88673034
0.84,889,285497.24,1966.28,4.743483146,16.88673034
0.69,889,285497.24,1966.28,4.743483146,16.88673034
0.83,889,285497.24,1966.28,4.743483146,16.88673034
0.69,889,285497.24,1966.28,4.743483146,16.88673034
0.79,889,285497.24,1966.28,4.743483146,16.88673034
0.71,889,285497.24,1966.28,4.743483146,16.88673034
0.8,889,285497.24,1966.28,4.743483146,16.88673034
0.72,889,285497.24,1966.28,4.743483146,16.88673034
0.64,889,285497.24,1966.28,4.743483146,16.88673034
0.8,889,285497.24,1966.28,4.743483146,16.88673034
0.8,889,285497.24,1966.28,4.743483146,16.88673034
0.69,889,285497.24,1966.28,4.743483146,16.88673034
0.62,889,285497.24,1966.28,4.743483146,16.88673034
0.68,889,285497.24,1966.28,4.743483146,16.88673034
0.66,889,285497.24,1966.28,4.743483146,16.88673034
0.7,889,285497.24,1966.28,4.743483146,16.88673034
0.65,889,285497.24,1966.28,4.743483146,16.88673034
0.66,889,285497.24,1966.28,4.743483146,16.88673034
0.73,889,285497.24,1966.28,4.743483146,16.88673034
0.7,889,285497.24,1966.28,4.743483146,16.88673034
0.53,889,285497.24,1966.28,4.743483146,16.88673034
0.8,889,285497.24,1966.28,4.743483146,16.88673034
0.61,889,285497.24,1966.28,4.743483146,16.88673034
0.59,889,285497.24,1966.28,4.743483146,16.88673034
0.58,889,285497.24,1966.28,4.743483146,16.88673034
0.5,889,285497.24,1966.28,4.743483146,16.88673034
1.39,1125,353675.05,2161.05,3.123339254,15.75022202
1.4,1125,353675.05,2161.05,3.123339254,15.75022202
1.37,1125,353675.05,2161.05,3.123339254,15.75022202
1.34,1125,353675.05,2161.05,3.123339254,15.75022202
1.34,1125,353675.05,2161.05,3.123339254,15.75022202
1.29,1125,353675.05,2161.05,3.123339254,15.75022202
1.31,1125,353675.05,2161.05,3.123339254,15.75022202
1.4,1125,353675.05,2161.05,3.123339254,15.75022202
