Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
1.98,120668.5,1674.51,6.559923664,16.77180662,2
2.01,120668.5,1674.51,6.559923664,16.77180662,2
2.62,120668.5,1674.51,6.559923664,16.77180662,2
2.73,120668.5,1674.51,6.559923664,16.77180662,2
2.26,120668.5,1674.51,6.559923664,16.77180662,2
2.47,120668.5,1674.51,6.559923664,16.77180662,2
1.25,130584.37,1840.67,7.133056872,17.32080569,1
1.12,130584.37,1840.67,7.133056872,17.32080569,1
1.29,130584.37,1840.67,7.133056872,17.32080569,1
1.36,130584.37,1840.67,7.133056872,17.32080569,1
1.16,130584.37,1840.67,7.133056872,17.32080569,1
1.1,130584.37,1840.67,7.133056872,17.32080569,0
1.49,143581.62,1933.6,7.965714286,18.24795604,1
1.3,143581.62,1933.6,7.965714286,18.24795604,1
1.42,143581.62,1933.6,7.965714286,18.24795604,1
1.53,143581.62,1933.6,7.965714286,18.24795604,1
1.37,143581.62,1933.6,7.965714286,18.24795604,1
1.29,143581.62,1933.6,7.965714286,18.24795604,1
0.7,157547.41,2013.38,8.579391481,18.96014199,0
0.55,157547.41,2013.38,8.579391481,18.96014199,0
0.64,157547.41,2013.38,8.579391481,18.96014199,0
0.71,157547.41,2013.38,8.579391481,18.96014199,0
0.73,157547.41,2013.38,8.579391481,18.96014199,0
0.59,157547.41,2013.38,8.579391481,18.96014199,0
2.88,235055.43,3272.48,5.715183246,16.21633508,2
2.87,235055.43,3272.48,5.715183246,16.21633508,2
2.78,235055.43,3272.48,5.715183246,16.21633508,2
2.47,235055.43,3272.48,5.715183246,16.21633508,2
2.36,235055.43,3272.48,5.715183246,16.21633508,2
2.43,235055.43,3272.48,5.715183246,16.21633508,2
2.54,235055.43,3272.48,5.715183246,16.21633508,2
2.83,235055.43,3272.48,5.715183246,16.21633508,2
2.5,235055.43,3272.48,5.715183246,16.21633508,2
2.55,235055.43,3272.48,5.715183246,16.21633508,2
1.43,244971.3,3438.64,6.051071879,16.52880202,1
1.35,244971.3,3438.64,6.051071879,16.52880202,1
1.33,244971.3,3438.64,6.051071879,16.52880202,1
1.2,244971.3,3438.64,6.051071879,16.52880202,1
1.21,244971.3,3438.64,6.051071879,16.52880202,1
1.27,244971.3,3438.64,6.051071879,16.52880202,1
1.35,244971.3,3438.64,6.051071879,16.52880202,1
1.32,244971.3,3438.64,6.051071879,16.52880202,1
1.46,244971.3,3438.64,6.051071879,16.52880202,1
1.26,244971.3,3438.64,6.051071879,16.52880202,1
1.99,257968.55,3531.57,6.552966102,17.07116223,2
1.79,257968.55,3531.57,6.552966102,17.07116223,1
1.78,257968.55,3531.57,6.552966102,17.07116223,1
1.62,257968.55,3531.57,6.552966102,17.07116223,1
1.78,257968.55,3531.57,6.552966102,17.07116223,1
1.8,257968.55,3531.57,6.552966102,17.07116223,1
1.87,257968.55,3531.57,6.552966102,17.07116223,1
1.84,257968.55,3531.57,6.552966102,17.07116223,1
1.98,257968.55,3531.57,6.552966102,17.07116223,2
1.72,257968.55,3531.57,6.552966102,17.07116223,1
1.17,271934.34,3611.35,6.965266204,17.52929398,1
1.16,271934.34,3611.35,6.965266204,17.52929398,1
1.04,271934.34,3611.35,6.965266204,17.52929398,0
0.86,271934.34,3611.35,6.965266204,17.52929398,0
1.03,271934.34,3611.35,6.965266204,17.52929398,0
0.99,271934.34,3611.35,6.965266204,17.52929398,0
0.98,271934.34,3611.35,6.965266204,17.52929398,0
1.13,271934.34,3611.35,6.965266204,17.52929398,1
1.16,271934.34,3611.35,6.965266204,17.52929398,1
0.99,271934.34,3611.35,6.965266204,17.52929398,0
3.38,122788.22,778.85,5.531472081,16.13771574,2
2.84,122788.22,778.85,5.531472081,16.13771574,2
3.04,122788.22,778.85,5.531472081,16.13771574,2
2.75,122788.22,778.85,5.531472081,16.13771574,2
2.8,122788.22,778.85,5.531472081,16.13771574,2
2.95,122788.22,778.85,5.531472081,16.13771574,2
2.69,122788.22,778.85,5.531472081,16.13771574,2
2.74,122788.22,778.85,5.531472081,16.13771574,2
2.62,122788.22,778.85,5.531472081,16.13771574,2
2.61,122788.22,778.85,5.531472081,16.13771574,2
2.88,122788.22,778.85,5.531472081,16.13771574,2
2.75,122788.22,778.85,5.531472081,16.13771574,2
2.73,122788.22,778.85,5.531472081,16.13771574,2
2.48,122788.22,778.85,5.531472081,16.13771574,2
2.75,122788.22,778.85,5.531472081,16.13771574,2
3.24,122788.22,778.85,5.531472081,16.13771574,2
2.47,134126.73,935.76,6.389411765,17.01851765,2
2.36,134126.73,935.76,6.389411765,17.01851765,2
2.41,134126.73,935.76,6.389411765,17.01851765,2
2.43,134126.73,935.76,6.389411765,17.01851765,2
2.59,134126.73,935.76,6.389411765,17.01851765,2
2.48,134126.73,935.76,6.389411765,17.01851765,2
2.44,134126.73,935.76,6.389411765,17.01851765,2
2.49,134126.73,935.76,6.389411765,17.01851765,2
2.48,134126.73,935.76,6.389411765,17.01851765,2
2.49,134126.73,935.76,6.389411765,17.01851765,2
2.23,134126.73,935.76,6.389411765,17.01851765,2
2.28,134126.73,935.76,6.389411765,17.01851765,2
2.53,134126.73,935.76,6.389411765,17.01851765,2
2.31,134126.73,935.76,6.389411765,17.01851765,2
2.23,134126.73,935.76,6.389411765,17.01851765,2
1.86,134126.73,935.76,6.389411765,17.01851765,1
1.89,146453.83,1003.27,7.208311404,17.93894737,1
1.83,146453.83,1003.27,7.208311404,17.93894737,1
1.87,146453.83,1003.27,7.208311404,17.93894737,1
1.94,146453.83,1003.27,7.208311404,17.93894737,1
1.85,146453.83,1003.27,7.208311404,17.93894737,1
1.88,146453.83,1003.27,7.208311404,17.93894737,1
1.89,146453.83,1003.27,7.208311404,17.93894737,1
1.78,146453.83,1003.27,7.208311404,17.93894737,1
1.88,146453.83,1003.27,7.208311404,17.93894737,1
1.97,146453.83,1003.27,7.208311404,17.93894737,1
1.83,146453.83,1003.27,7.208311404,17.93894737,1
1.95,146453.83,1003.27,7.208311404,17.93894737,1
1.67,146453.83,1003.27,7.208311404,17.93894737,1
1.94,146453.83,1003.27,7.208311404,17.93894737,1
1.77,146453.83,1003.27,7.208311404,17.93894737,1
1.29,146453.83,1003.27,7.208311404,17.93894737,1
1.27,157737.78,1046.95,7.91063655,18.65053388,1
1.44,157737.78,1046.95,7.91063655,18.65053388,1
1.2,157737.78,1046.95,7.91063655,18.65053388,1
1.25,157737.78,1046.95,7.91063655,18.65053388,1
1.24,157737.78,1046.95,7.91063655,18.65053388,1
1.1,157737.78,1046.95,7.91063655,18.65053388,0
1.3,157737.78,1046.95,7.91063655,18.65053388,1
1.26,157737.78,1046.95,7.91063655,18.65053388,1
1.1,157737.78,1046.95,7.91063655,18.65053388,0
1.25,157737.78,1046.95,7.91063655,18.65053388,1
1.21,157737.78,1046.95,7.91063655,18.65053388,1
1.12,157737.78,1046.95,7.91063655,18.65053388,1
1.14,157737.78,1046.95,7.91063655,18.65053388,1
1.18,157737.78,1046.95,7.91063655,18.65053388,1
1.13,157737.78,1046.95,7.91063655,18.65053388,1
0.81,157737.78,1046.95,7.91063655,18.65053388,0
2,244241.54,2239.92,5.165557012,16.24311927,2
