,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Harvested in Sown Year,First Date of Season,Percent Cover (%),,Class
1,Ohio,South Charleston,5/1/2018,Finch,5/28/2019,148,1.98,392,0,120668.5,1674.51,11.66586514,6.559923664,16.77180662,0,,,,
2,Ohio,South Charleston,5/1/2018,Skylark,5/28/2019,148,2.01,392,0,120668.5,1674.51,11.66586514,6.559923664,16.77180662,0,,,,
3,Ohio,South Charleston,5/1/2018,SW 1509,5/28/2019,148,2.62,392,0,120668.5,1674.51,11.66586514,6.559923664,16.77180662,0,,,,
4,Ohio,South Charleston,5/1/2018,SW 1517,5/28/2019,148,2.73,392,0,120668.5,1674.51,11.66586514,6.559923664,16.77180662,0,,,,
5,Ohio,South Charleston,5/1/2018,Swift,5/28/2019,148,2.26,392,0,120668.5,1674.51,11.66586514,6.559923664,16.77180662,0,,,,
6,Ohio,South Charleston,5/1/2018,Vernal,5/28/2019,148,2.47,392,0,120668.5,1674.51,11.66586514,6.559923664,16.77180662,0,,,,
7,Ohio,South Charleston,5/1/2018,Finch,6/26/2019,177,1.25,421,29,130584.37,1840.67,12.22693128,7.133056872,17.32080569,0,,,,
8,Ohio,South Charleston,5/1/2018,Skylark,6/26/2019,177,1.12,421,29,130584.37,1840.67,12.22693128,7.133056872,17.32080569,0,,,,
9,Ohio,South Charleston,5/1/2018,SW 1509,6/26/2019,177,1.29,421,29,130584.37,1840.67,12.22693128,7.133056872,17.32080569,0,,,,
10,Ohio,South Charleston,5/1/2018,SW 1517,6/26/2019,177,1.36,421,29,130584.37,1840.67,12.22693128,7.133056872,17.32080569,0,,,,
11,Ohio,South Charleston,5/1/2018,Swift,6/26/2019,177,1.16,421,29,130584.37,1840.67,12.22693128,7.133056872,17.32080569,0,,,,
12,Ohio,South Charleston,5/1/2018,Vernal,6/26/2019,177,1.1,421,29,130584.37,1840.67,12.22693128,7.133056872,17.32080569,0,,,,
