Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
1.98,120668.5,1674.51,6.559923664,16.77180662
2.01,120668.5,1674.51,6.559923664,16.77180662
2.62,120668.5,1674.51,6.559923664,16.77180662
2.73,120668.5,1674.51,6.559923664,16.77180662
2.26,120668.5,1674.51,6.559923664,16.77180662
2.47,120668.5,1674.51,6.559923664,16.77180662
1.25,130584.37,1840.67,7.133056872,17.32080569
1.12,130584.37,1840.67,7.133056872,17.32080569
1.29,130584.37,1840.67,7.133056872,17.32080569
1.36,130584.37,1840.67,7.133056872,17.32080569
1.16,130584.37,1840.67,7.133056872,17.32080569
1.1,130584.37,1840.67,7.133056872,17.32080569
1.49,143581.62,1933.6,7.965714286,18.24795604
1.3,143581.62,1933.6,7.965714286,18.24795604
1.42,143581.62,1933.6,7.965714286,18.24795604
1.53,143581.62,1933.6,7.965714286,18.24795604
1.37,143581.62,1933.6,7.965714286,18.24795604
1.29,143581.62,1933.6,7.965714286,18.24795604
0.7,157547.41,2013.38,8.579391481,18.96014199
0.55,157547.41,2013.38,8.579391481,18.96014199
0.64,157547.41,2013.38,8.579391481,18.96014199
0.71,157547.41,2013.38,8.579391481,18.96014199
0.73,157547.41,2013.38,8.579391481,18.96014199
0.59,157547.41,2013.38,8.579391481,18.96014199
2.88,235055.43,3272.48,5.715183246,16.21633508
2.87,235055.43,3272.48,5.715183246,16.21633508
2.78,235055.43,3272.48,5.715183246,16.21633508
2.47,235055.43,3272.48,5.715183246,16.21633508
2.36,235055.43,3272.48,5.715183246,16.21633508
2.43,235055.43,3272.48,5.715183246,16.21633508
2.54,235055.43,3272.48,5.715183246,16.21633508
2.83,235055.43,3272.48,5.715183246,16.21633508
2.5,235055.43,3272.48,5.715183246,16.21633508
2.55,235055.43,3272.48,5.715183246,16.21633508
1.43,244971.3,3438.64,6.051071879,16.52880202
1.35,244971.3,3438.64,6.051071879,16.52880202
1.33,244971.3,3438.64,6.051071879,16.52880202
1.2,244971.3,3438.64,6.051071879,16.52880202
1.21,244971.3,3438.64,6.051071879,16.52880202
1.27,244971.3,3438.64,6.051071879,16.52880202
1.35,244971.3,3438.64,6.051071879,16.52880202
1.32,244971.3,3438.64,6.051071879,16.52880202
1.46,244971.3,3438.64,6.051071879,16.52880202
1.26,244971.3,3438.64,6.051071879,16.52880202
1.99,257968.55,3531.57,6.552966102,17.07116223
1.79,257968.55,3531.57,6.552966102,17.07116223
1.78,257968.55,3531.57,6.552966102,17.07116223
1.62,257968.55,3531.57,6.552966102,17.07116223
1.78,257968.55,3531.57,6.552966102,17.07116223
1.8,257968.55,3531.57,6.552966102,17.07116223
1.87,257968.55,3531.57,6.552966102,17.07116223
1.84,257968.55,3531.57,6.552966102,17.07116223
1.98,257968.55,3531.57,6.552966102,17.07116223
1.72,257968.55,3531.57,6.552966102,17.07116223
1.17,271934.34,3611.35,6.965266204,17.52929398
1.16,271934.34,3611.35,6.965266204,17.52929398
1.04,271934.34,3611.35,6.965266204,17.52929398
0.86,271934.34,3611.35,6.965266204,17.52929398
1.03,271934.34,3611.35,6.965266204,17.52929398
0.99,271934.34,3611.35,6.965266204,17.52929398
0.98,271934.34,3611.35,6.965266204,17.52929398
1.13,271934.34,3611.35,6.965266204,17.52929398
1.16,271934.34,3611.35,6.965266204,17.52929398
0.99,271934.34,3611.35,6.965266204,17.52929398
3.38,122788.22,778.85,5.531472081,16.13771574
2.84,122788.22,778.85,5.531472081,16.13771574
3.04,122788.22,778.85,5.531472081,16.13771574
2.75,122788.22,778.85,5.531472081,16.13771574
2.8,122788.22,778.85,5.531472081,16.13771574
2.95,122788.22,778.85,5.531472081,16.13771574
2.69,122788.22,778.85,5.531472081,16.13771574
2.74,122788.22,778.85,5.531472081,16.13771574
2.62,122788.22,778.85,5.531472081,16.13771574
2.61,122788.22,778.85,5.531472081,16.13771574
2.88,122788.22,778.85,5.531472081,16.13771574
2.75,122788.22,778.85,5.531472081,16.13771574
2.73,122788.22,778.85,5.531472081,16.13771574
2.48,122788.22,778.85,5.531472081,16.13771574
2.75,122788.22,778.85,5.531472081,16.13771574
3.24,122788.22,778.85,5.531472081,16.13771574
2.47,134126.73,935.76,6.389411765,17.01851765
2.36,134126.73,935.76,6.389411765,17.01851765
2.41,134126.73,935.76,6.389411765,17.01851765
2.43,134126.73,935.76,6.389411765,17.01851765
2.59,134126.73,935.76,6.389411765,17.01851765
2.48,134126.73,935.76,6.389411765,17.01851765
2.44,134126.73,935.76,6.389411765,17.01851765
2.49,134126.73,935.76,6.389411765,17.01851765
2.48,134126.73,935.76,6.389411765,17.01851765
2.49,134126.73,935.76,6.389411765,17.01851765
2.23,134126.73,935.76,6.389411765,17.01851765
2.28,134126.73,935.76,6.389411765,17.01851765
2.53,134126.73,935.76,6.389411765,17.01851765
2.31,134126.73,935.76,6.389411765,17.01851765
2.23,134126.73,935.76,6.389411765,17.01851765
1.86,134126.73,935.76,6.389411765,17.01851765
1.89,146453.83,1003.27,7.208311404,17.93894737
1.83,146453.83,1003.27,7.208311404,17.93894737
1.87,146453.83,1003.27,7.208311404,17.93894737
1.94,146453.83,1003.27,7.208311404,17.93894737
1.85,146453.83,1003.27,7.208311404,17.93894737
1.88,146453.83,1003.27,7.208311404,17.93894737
1.89,146453.83,1003.27,7.208311404,17.93894737
1.78,146453.83,1003.27,7.208311404,17.93894737
1.88,146453.83,1003.27,7.208311404,17.93894737
1.97,146453.83,1003.27,7.208311404,17.93894737
1.83,146453.83,1003.27,7.208311404,17.93894737
1.95,146453.83,1003.27,7.208311404,17.93894737
1.67,146453.83,1003.27,7.208311404,17.93894737
1.94,146453.83,1003.27,7.208311404,17.93894737
1.77,146453.83,1003.27,7.208311404,17.93894737
1.29,146453.83,1003.27,7.208311404,17.93894737
1.27,157737.78,1046.95,7.91063655,18.65053388
1.44,157737.78,1046.95,7.91063655,18.65053388
1.2,157737.78,1046.95,7.91063655,18.65053388
1.25,157737.78,1046.95,7.91063655,18.65053388
1.24,157737.78,1046.95,7.91063655,18.65053388
1.1,157737.78,1046.95,7.91063655,18.65053388
1.3,157737.78,1046.95,7.91063655,18.65053388
1.26,157737.78,1046.95,7.91063655,18.65053388
1.1,157737.78,1046.95,7.91063655,18.65053388
1.25,157737.78,1046.95,7.91063655,18.65053388
1.21,157737.78,1046.95,7.91063655,18.65053388
1.12,157737.78,1046.95,7.91063655,18.65053388
1.14,157737.78,1046.95,7.91063655,18.65053388
1.18,157737.78,1046.95,7.91063655,18.65053388
1.13,157737.78,1046.95,7.91063655,18.65053388
0.81,157737.78,1046.95,7.91063655,18.65053388
2,244241.54,2239.92,5.165557012,16.24311927
1.84,244241.54,2239.92,5.165557012,16.24311927
1.85,244241.54,2239.92,5.165557012,16.24311927
1.84,244241.54,2239.92,5.165557012,16.24311927
1.95,244241.54,2239.92,5.165557012,16.24311927
1.95,244241.54,2239.92,5.165557012,16.24311927
1.88,244241.54,2239.92,5.165557012,16.24311927
1.84,244241.54,2239.92,5.165557012,16.24311927
1.74,244241.54,2239.92,5.165557012,16.24311927
1.85,244241.54,2239.92,5.165557012,16.24311927
1.93,255616.65,2365.86,5.618764187,16.68960908
1.8,255616.65,2365.86,5.618764187,16.68960908
1.81,255616.65,2365.86,5.618764187,16.68960908
1.75,255616.65,2365.86,5.618764187,16.68960908
1.76,255616.65,2365.86,5.618764187,16.68960908
1.72,255616.65,2365.86,5.618764187,16.68960908
1.71,255616.65,2365.86,5.618764187,16.68960908
1.69,255616.65,2365.86,5.618764187,16.68960908
1.68,255616.65,2365.86,5.618764187,16.68960908
1.19,255616.65,2365.86,5.618764187,16.68960908
1.77,269016.87,2574.02,6.122321644,17.21613059
1.66,269016.87,2574.02,6.122321644,17.21613059
1.63,269016.87,2574.02,6.122321644,17.21613059
1.44,269016.87,2574.02,6.122321644,17.21613059
1.53,269016.87,2574.02,6.122321644,17.21613059
1.67,269016.87,2574.02,6.122321644,17.21613059
1.58,269016.87,2574.02,6.122321644,17.21613059
1.58,269016.87,2574.02,6.122321644,17.21613059
1.56,269016.87,2574.02,6.122321644,17.21613059
1.26,269016.87,2574.02,6.122321644,17.21613059
1.09,285825.46,2634.73,6.606260069,17.79072497
1.03,285825.46,2634.73,6.606260069,17.79072497
1,285825.46,2634.73,6.606260069,17.79072497
0.94,285825.46,2634.73,6.606260069,17.79072497
0.97,285825.46,2634.73,6.606260069,17.79072497
0.99,285825.46,2634.73,6.606260069,17.79072497
1.16,285825.46,2634.73,6.606260069,17.79072497
0.84,285825.46,2634.73,6.606260069,17.79072497
0.94,285825.46,2634.73,6.606260069,17.79072497
0.66,285825.46,2634.73,6.606260069,17.79072497
1.82,123423.86,1337.73,4.908186398,15.92521411
1.49,123423.86,1337.73,4.908186398,15.92521411
1.5,123423.86,1337.73,4.908186398,15.92521411
1.62,123423.86,1337.73,4.908186398,15.92521411
1.56,123423.86,1337.73,4.908186398,15.92521411
1.35,123423.86,1337.73,4.908186398,15.92521411
1.52,123423.86,1337.73,4.908186398,15.92521411
1.67,123423.86,1337.73,4.908186398,15.92521411
1.48,123423.86,1337.73,4.908186398,15.92521411
1.59,123423.86,1337.73,4.908186398,15.92521411
1.43,123423.86,1337.73,4.908186398,15.92521411
1.82,137167.69,1492.35,5.751224018,16.81512702
1.67,137167.69,1492.35,5.751224018,16.81512702
1.53,137167.69,1492.35,5.751224018,16.81512702
1.62,137167.69,1492.35,5.751224018,16.81512702
1.55,137167.69,1492.35,5.751224018,16.81512702
1.62,137167.69,1492.35,5.751224018,16.81512702
1.72,137167.69,1492.35,5.751224018,16.81512702
1.55,137167.69,1492.35,5.751224018,16.81512702
1.52,137167.69,1492.35,5.751224018,16.81512702
1.61,137167.69,1492.35,5.751224018,16.81512702
1.51,137167.69,1492.35,5.751224018,16.81512702
1.7,150535.07,1588.49,6.662141328,17.8230621
1.87,150535.07,1588.49,6.662141328,17.8230621
1.77,150535.07,1588.49,6.662141328,17.8230621
1.74,150535.07,1588.49,6.662141328,17.8230621
1.75,150535.07,1588.49,6.662141328,17.8230621
1.79,150535.07,1588.49,6.662141328,17.8230621
1.57,150535.07,1588.49,6.662141328,17.8230621
1.6,150535.07,1588.49,6.662141328,17.8230621
1.63,150535.07,1588.49,6.662141328,17.8230621
1.54,150535.07,1588.49,6.662141328,17.8230621
1.43,150535.07,1588.49,6.662141328,17.8230621
1.03,163156.29,1737.05,7.308670635,18.48071429
1.03,163156.29,1737.05,7.308670635,18.48071429
0.93,163156.29,1737.05,7.308670635,18.48071429
1.01,163156.29,1737.05,7.308670635,18.48071429
0.95,163156.29,1737.05,7.308670635,18.48071429
0.99,163156.29,1737.05,7.308670635,18.48071429
0.94,163156.29,1737.05,7.308670635,18.48071429
0.91,163156.29,1737.05,7.308670635,18.48071429
0.95,163156.29,1737.05,7.308670635,18.48071429
0.9,163156.29,1737.05,7.308670635,18.48071429
0.75,163156.29,1737.05,7.308670635,18.48071429
3.39,241551.12,1676.08,5.542067183,16.18895349
3.35,241551.12,1676.08,5.542067183,16.18895349
3.39,241551.12,1676.08,5.542067183,16.18895349
2.98,241551.12,1676.08,5.542067183,16.18895349
3.13,241551.12,1676.08,5.542067183,16.18895349
3.3,241551.12,1676.08,5.542067183,16.18895349
3.17,241551.12,1676.08,5.542067183,16.18895349
2.73,241551.12,1676.08,5.542067183,16.18895349
3.17,241551.12,1676.08,5.542067183,16.18895349
3.22,241551.12,1676.08,5.542067183,16.18895349
3.15,241551.12,1676.08,5.542067183,16.18895349
2.87,241551.12,1676.08,5.542067183,16.18895349
3.27,241551.12,1676.08,5.542067183,16.18895349
3.14,241551.12,1676.08,5.542067183,16.18895349
3.34,241551.12,1676.08,5.542067183,16.18895349
2.83,241551.12,1676.08,5.542067183,16.18895349
2.21,252901.02,1727.29,5.943262765,16.6235741
2.11,252901.02,1727.29,5.943262765,16.6235741
2.14,252901.02,1727.29,5.943262765,16.6235741
2.14,252901.02,1727.29,5.943262765,16.6235741
2.11,252901.02,1727.29,5.943262765,16.6235741
2.13,252901.02,1727.29,5.943262765,16.6235741
2.15,252901.02,1727.29,5.943262765,16.6235741
2.21,252901.02,1727.29,5.943262765,16.6235741
2.19,252901.02,1727.29,5.943262765,16.6235741
2.13,252901.02,1727.29,5.943262765,16.6235741
2.14,252901.02,1727.29,5.943262765,16.6235741
2.21,252901.02,1727.29,5.943262765,16.6235741
2.18,252901.02,1727.29,5.943262765,16.6235741
2.15,252901.02,1727.29,5.943262765,16.6235741
1.84,252901.02,1727.29,5.943262765,16.6235741
1.62,252901.02,1727.29,5.943262765,16.6235741
2.03,262676.7,1825.25,6.416518072,17.12543373
1.93,262676.7,1825.25,6.416518072,17.12543373
1.97,262676.7,1825.25,6.416518072,17.12543373
1.95,262676.7,1825.25,6.416518072,17.12543373
2.08,262676.7,1825.25,6.416518072,17.12543373
1.97,262676.7,1825.25,6.416518072,17.12543373
1.9,262676.7,1825.25,6.416518072,17.12543373
1.99,262676.7,1825.25,6.416518072,17.12543373
1.95,262676.7,1825.25,6.416518072,17.12543373
1.92,262676.7,1825.25,6.416518072,17.12543373
1.97,262676.7,1825.25,6.416518072,17.12543373
1.99,262676.7,1825.25,6.416518072,17.12543373
1.87,262676.7,1825.25,6.416518072,17.12543373
1.92,262676.7,1825.25,6.416518072,17.12543373
1.85,262676.7,1825.25,6.416518072,17.12543373
1.66,262676.7,1825.25,6.416518072,17.12543373
1.77,276643.96,2066.65,6.847841561,17.58339839
1.57,276643.96,2066.65,6.847841561,17.58339839
1.52,276643.96,2066.65,6.847841561,17.58339839
1.65,276643.96,2066.65,6.847841561,17.58339839
1.64,276643.96,2066.65,6.847841561,17.58339839
1.61,276643.96,2066.65,6.847841561,17.58339839
1.42,276643.96,2066.65,6.847841561,17.58339839
1.58,276643.96,2066.65,6.847841561,17.58339839
1.6,276643.96,2066.65,6.847841561,17.58339839
1.4,276643.96,2066.65,6.847841561,17.58339839
1.47,276643.96,2066.65,6.847841561,17.58339839
1.53,276643.96,2066.65,6.847841561,17.58339839
1.56,276643.96,2066.65,6.847841561,17.58339839
1.5,276643.96,2066.65,6.847841561,17.58339839
1.4,276643.96,2066.65,6.847841561,17.58339839
1.46,276643.96,2066.65,6.847841561,17.58339839
1.68,361996.1,3569.09,5.291709251,16.34720705
1.37,361996.1,3569.09,5.291709251,16.34720705
1.46,361996.1,3569.09,5.291709251,16.34720705
1.36,361996.1,3569.09,5.291709251,16.34720705
1.31,361996.1,3569.09,5.291709251,16.34720705
1.3,361996.1,3569.09,5.291709251,16.34720705
1.05,361996.1,3569.09,5.291709251,16.34720705
1.41,361996.1,3569.09,5.291709251,16.34720705
1.42,361996.1,3569.09,5.291709251,16.34720705
1.36,361996.1,3569.09,5.291709251,16.34720705
1.16,372266.78,3715.69,5.548177128,16.59960447
1.05,372266.78,3715.69,5.548177128,16.59960447
1.02,372266.78,3715.69,5.548177128,16.59960447
1.03,372266.78,3715.69,5.548177128,16.59960447
1.08,372266.78,3715.69,5.548177128,16.59960447
1.02,372266.78,3715.69,5.548177128,16.59960447
1.06,372266.78,3715.69,5.548177128,16.59960447
0.83,372266.78,3715.69,5.548177128,16.59960447
1.13,372266.78,3715.69,5.548177128,16.59960447
0.69,372266.78,3715.69,5.548177128,16.59960447
0.92,383493.75,3817.77,5.859210747,16.93473552
1.15,383493.75,3817.77,5.859210747,16.93473552
1.04,383493.75,3817.77,5.859210747,16.93473552
1.11,383493.75,3817.77,5.859210747,16.93473552
0.97,383493.75,3817.77,5.859210747,16.93473552
1.12,383493.75,3817.77,5.859210747,16.93473552
1.11,383493.75,3817.77,5.859210747,16.93473552
0.97,383493.75,3817.77,5.859210747,16.93473552
1.07,383493.75,3817.77,5.859210747,16.93473552
0.69,383493.75,3817.77,5.859210747,16.93473552
0.79,400987.9,3982.19,6.248983051,17.34995157
0.78,400987.9,3982.19,6.248983051,17.34995157
0.86,400987.9,3982.19,6.248983051,17.34995157
0.88,400987.9,3982.19,6.248983051,17.34995157
0.93,400987.9,3982.19,6.248983051,17.34995157
0.81,400987.9,3982.19,6.248983051,17.34995157
0.85,400987.9,3982.19,6.248983051,17.34995157
0.77,400987.9,3982.19,6.248983051,17.34995157
0.75,400987.9,3982.19,6.248983051,17.34995157
0.78,400987.9,3982.19,6.248983051,17.34995157
2.18,234032.19,2480.13,5.634646597,16.6852356
2.21,234032.19,2480.13,5.634646597,16.6852356
2.28,234032.19,2480.13,5.634646597,16.6852356
2.17,234032.19,2480.13,5.634646597,16.6852356
2.29,234032.19,2480.13,5.634646597,16.6852356
2.29,234032.19,2480.13,5.634646597,16.6852356
2.06,234032.19,2480.13,5.634646597,16.6852356
2.09,234032.19,2480.13,5.634646597,16.6852356
2.2,234032.19,2480.13,5.634646597,16.6852356
2.18,234032.19,2480.13,5.634646597,16.6852356
2.2,234032.19,2480.13,5.634646597,16.6852356
1.74,247409.88,2548.6,5.983312422,17.1282936
1.68,247409.88,2548.6,5.983312422,17.1282936
1.67,247409.88,2548.6,5.983312422,17.1282936
1.74,247409.88,2548.6,5.983312422,17.1282936
1.76,247409.88,2548.6,5.983312422,17.1282936
1.75,247409.88,2548.6,5.983312422,17.1282936
1.75,247409.88,2548.6,5.983312422,17.1282936
1.7,247409.88,2548.6,5.983312422,17.1282936
1.6,247409.88,2548.6,5.983312422,17.1282936
1.76,247409.88,2548.6,5.983312422,17.1282936
1.3,247409.88,2548.6,5.983312422,17.1282936
1.02,259801.52,2627.47,6.807773019,17.95650964
0.95,259801.52,2627.47,6.807773019,17.95650964
0.95,259801.52,2627.47,6.807773019,17.95650964
0.87,259801.52,2627.47,6.807773019,17.95650964
0.94,259801.52,2627.47,6.807773019,17.95650964
0.96,259801.52,2627.47,6.807773019,17.95650964
1.01,259801.52,2627.47,6.807773019,17.95650964
0.98,259801.52,2627.47,6.807773019,17.95650964
0.93,259801.52,2627.47,6.807773019,17.95650964
1.03,259801.52,2627.47,6.807773019,17.95650964
0.75,259801.52,2627.47,6.807773019,17.95650964
1.06,273619.11,2756.71,6.818754325,18.14455594
1.07,273619.11,2756.71,6.818754325,18.14455594
1.1,273619.11,2756.71,6.818754325,18.14455594
1.06,273619.11,2756.71,6.818754325,18.14455594
1.03,273619.11,2756.71,6.818754325,18.14455594
0.96,273619.11,2756.71,6.818754325,18.14455594
1.01,273619.11,2756.71,6.818754325,18.14455594
1.02,273619.11,2756.71,6.818754325,18.14455594
1.01,273619.11,2756.71,6.818754325,18.14455594
0.93,273619.11,2756.71,6.818754325,18.14455594
0.95,273619.11,2756.71,6.818754325,18.14455594
2.91,345964.18,2766.66,5.925035587,16.55592527
2.75,345964.18,2766.66,5.925035587,16.55592527
2.76,345964.18,2766.66,5.925035587,16.55592527
2.48,345964.18,2766.66,5.925035587,16.55592527
2.69,345964.18,2766.66,5.925035587,16.55592527
2.36,345964.18,2766.66,5.925035587,16.55592527
2.45,345964.18,2766.66,5.925035587,16.55592527
2.55,345964.18,2766.66,5.925035587,16.55592527
2.47,345964.18,2766.66,5.925035587,16.55592527
2.39,345964.18,2766.66,5.925035587,16.55592527
2.39,345964.18,2766.66,5.925035587,16.55592527
2.69,345964.18,2766.66,5.925035587,16.55592527
2.18,345964.18,2766.66,5.925035587,16.55592527
2.19,345964.18,2766.66,5.925035587,16.55592527
2.42,345964.18,2766.66,5.925035587,16.55592527
2.65,345964.18,2766.66,5.925035587,16.55592527
1.08,357035.3,2843.61,6.160416667,16.84486111
1.18,357035.3,2843.61,6.160416667,16.84486111
1.09,357035.3,2843.61,6.160416667,16.84486111
1.15,357035.3,2843.61,6.160416667,16.84486111
1.05,357035.3,2843.61,6.160416667,16.84486111
1.17,357035.3,2843.61,6.160416667,16.84486111
1.07,357035.3,2843.61,6.160416667,16.84486111
1.03,357035.3,2843.61,6.160416667,16.84486111
1.23,357035.3,2843.61,6.160416667,16.84486111
1.14,357035.3,2843.61,6.160416667,16.84486111
1.08,357035.3,2843.61,6.160416667,16.84486111
0.88,357035.3,2843.61,6.160416667,16.84486111
1.03,357035.3,2843.61,6.160416667,16.84486111
0.95,357035.3,2843.61,6.160416667,16.84486111
0.94,357035.3,2843.61,6.160416667,16.84486111
0.94,357035.3,2843.61,6.160416667,16.84486111
0.63,369594.13,2918.5,6.503918919,17.26800676
0.59,369594.13,2918.5,6.503918919,17.26800676
0.59,369594.13,2918.5,6.503918919,17.26800676
0.69,369594.13,2918.5,6.503918919,17.26800676
0.57,369594.13,2918.5,6.503918919,17.26800676
0.46,369594.13,2918.5,6.503918919,17.26800676
0.66,369594.13,2918.5,6.503918919,17.26800676
0.51,369594.13,2918.5,6.503918919,17.26800676
0.74,369594.13,2918.5,6.503918919,17.26800676
0.48,369594.13,2918.5,6.503918919,17.26800676
0.7,369594.13,2918.5,6.503918919,17.26800676
0.5,369594.13,2918.5,6.503918919,17.26800676
0.43,369594.13,2918.5,6.503918919,17.26800676
0.53,369594.13,2918.5,6.503918919,17.26800676
0.32,369594.13,2918.5,6.503918919,17.26800676
0.45,369594.13,2918.5,6.503918919,17.26800676
2.5,386572.3,3127.99,6.891404221,17.70369318
2.36,386572.3,3127.99,6.891404221,17.70369318
2.43,386572.3,3127.99,6.891404221,17.70369318
2.5,386572.3,3127.99,6.891404221,17.70369318
2.31,386572.3,3127.99,6.891404221,17.70369318
2.26,386572.3,3127.99,6.891404221,17.70369318
2.37,386572.3,3127.99,6.891404221,17.70369318
2.36,386572.3,3127.99,6.891404221,17.70369318
2.32,386572.3,3127.99,6.891404221,17.70369318
2.2,386572.3,3127.99,6.891404221,17.70369318
2.18,386572.3,3127.99,6.891404221,17.70369318
2.23,386572.3,3127.99,6.891404221,17.70369318
2.29,386572.3,3127.99,6.891404221,17.70369318
2.31,386572.3,3127.99,6.891404221,17.70369318
2.16,386572.3,3127.99,6.891404221,17.70369318
2.25,386572.3,3127.99,6.891404221,17.70369318
2.72,79771.91,996.35,3.253768116,14.35050725
2.77,79771.91,996.35,3.253768116,14.35050725
2.46,79771.91,996.35,3.253768116,14.35050725
2.71,79771.91,996.35,3.253768116,14.35050725
2.31,79771.91,996.35,3.253768116,14.35050725
2.34,79771.91,996.35,3.253768116,14.35050725
2.3,79771.91,996.35,3.253768116,14.35050725
2.55,79771.91,996.35,3.253768116,14.35050725
2.53,79771.91,996.35,3.253768116,14.35050725
2.42,79771.91,996.35,3.253768116,14.35050725
2.52,79771.91,996.35,3.253768116,14.35050725
2.57,79771.91,996.35,3.253768116,14.35050725
2.24,79771.91,996.35,3.253768116,14.35050725
1.71,93811.12,1087.45,4.524516129,15.80587097
1.84,93811.12,1087.45,4.524516129,15.80587097
1.73,93811.12,1087.45,4.524516129,15.80587097
1.67,93811.12,1087.45,4.524516129,15.80587097
