Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
2.3,237920.06,1566.72,3.256238532,15.27348624
2.3,237920.06,1566.72,3.256238532,15.27348624
2.2,237920.06,1566.72,3.256238532,15.27348624
2.2,237920.06,1566.72,3.256238532,15.27348624
2.2,237920.06,1566.72,3.256238532,15.27348624
2.1,237920.06,1566.72,3.256238532,15.27348624
2.7,237920.06,1566.72,3.256238532,15.27348624
2.3,237920.06,1566.72,3.256238532,15.27348624
2.2,237920.06,1566.72,3.256238532,15.27348624
2.1,237920.06,1566.72,3.256238532,15.27348624
2.1,237920.06,1566.72,3.256238532,15.27348624
2.1,237920.06,1566.72,3.256238532,15.27348624
2.2,237920.06,1566.72,3.256238532,15.27348624
2.3,237920.06,1566.72,3.256238532,15.27348624
2.1,237920.06,1566.72,3.256238532,15.27348624
2,237920.06,1566.72,3.256238532,15.27348624
2,237920.06,1566.72,3.256238532,15.27348624
2.1,237920.06,1566.72,3.256238532,15.27348624
2.1,237920.06,1566.72,3.256238532,15.27348624
2,237920.06,1566.72,3.256238532,15.27348624
2.1,237920.06,1566.72,3.256238532,15.27348624
2.1,237920.06,1566.72,3.256238532,15.27348624
2.1,237920.06,1566.72,3.256238532,15.27348624
2.1,237920.06,1566.72,3.256238532,15.27348624
2,237920.06,1566.72,3.256238532,15.27348624
1.9,237920.06,1566.72,3.256238532,15.27348624
2.2,237920.06,1566.72,3.256238532,15.27348624
2,237920.06,1566.72,3.256238532,15.27348624
2.1,237920.06,1566.72,3.256238532,15.27348624
2,237920.06,1566.72,3.256238532,15.27348624
2,237920.06,1566.72,3.256238532,15.27348624
1.5,252511,1839.35,3.821579602,15.80236318
1.4,252511,1839.35,3.821579602,15.80236318
1.4,252511,1839.35,3.821579602,15.80236318
1.4,252511,1839.35,3.821579602,15.80236318
1.4,252511,1839.35,3.821579602,15.80236318
1.4,252511,1839.35,3.821579602,15.80236318
1.2,252511,1839.35,3.821579602,15.80236318
1.3,252511,1839.35,3.821579602,15.80236318
1.3,252511,1839.35,3.821579602,15.80236318
1.4,252511,1839.35,3.821579602,15.80236318
1.3,252511,1839.35,3.821579602,15.80236318
1.3,252511,1839.35,3.821579602,15.80236318
1.3,252511,1839.35,3.821579602,15.80236318
1.3,252511,1839.35,3.821579602,15.80236318
1.3,252511,1839.35,3.821579602,15.80236318
1.3,252511,1839.35,3.821579602,15.80236318
