Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
2.3,237920.06,1566.72,3.256238532,15.27348624,2
2.25,237920.06,1566.72,3.256238532,15.27348624,2
2.21,237920.06,1566.72,3.256238532,15.27348624,2
2.18,237920.06,1566.72,3.256238532,15.27348624,2
2.17,237920.06,1566.72,3.256238532,15.27348624,2
2.12,237920.06,1566.72,3.256238532,15.27348624,2
2.66,237920.06,1566.72,3.256238532,15.27348624,2
2.25,237920.06,1566.72,3.256238532,15.27348624,2
2.19,237920.06,1566.72,3.256238532,15.27348624,2
2.13,237920.06,1566.72,3.256238532,15.27348624,2
2.13,237920.06,1566.72,3.256238532,15.27348624,2
2.13,237920.06,1566.72,3.256238532,15.27348624,2
2.15,237920.06,1566.72,3.256238532,15.27348624,2
2.25,237920.06,1566.72,3.256238532,15.27348624,2
2.06,237920.06,1566.72,3.256238532,15.27348624,2
1.95,237920.06,1566.72,3.256238532,15.27348624,2
2,237920.06,1566.72,3.256238532,15.27348624,2
2.12,237920.06,1566.72,3.256238532,15.27348624,2
2.08,237920.06,1566.72,3.256238532,15.27348624,2
2.01,237920.06,1566.72,3.256238532,15.27348624,2
2.07,237920.06,1566.72,3.256238532,15.27348624,2
2.05,237920.06,1566.72,3.256238532,15.27348624,2
2.08,237920.06,1566.72,3.256238532,15.27348624,2
2.06,237920.06,1566.72,3.256238532,15.27348624,2
1.99,237920.06,1566.72,3.256238532,15.27348624,2
1.87,237920.06,1566.72,3.256238532,15.27348624,1
2.23,237920.06,1566.72,3.256238532,15.27348624,2
2.02,237920.06,1566.72,3.256238532,15.27348624,2
2.06,237920.06,1566.72,3.256238532,15.27348624,2
2.04,237920.06,1566.72,3.256238532,15.27348624,2
2.04,237920.06,1566.72,3.256238532,15.27348624,2
1.51,252511,1839.35,3.821579602,15.80236318,1
1.38,252511,1839.35,3.821579602,15.80236318,1
1.37,252511,1839.35,3.821579602,15.80236318,1
1.37,252511,1839.35,3.821579602,15.80236318,1
1.43,252511,1839.35,3.821579602,15.80236318,1
1.4,252511,1839.35,3.821579602,15.80236318,1
1.2,252511,1839.35,3.821579602,15.80236318,1
1.31,252511,1839.35,3.821579602,15.80236318,1
1.32,252511,1839.35,3.821579602,15.80236318,1
1.37,252511,1839.35,3.821579602,15.80236318,1
1.32,252511,1839.35,3.821579602,15.80236318,1
1.26,252511,1839.35,3.821579602,15.80236318,1
1.27,252511,1839.35,3.821579602,15.80236318,1
1.28,252511,1839.35,3.821579602,15.80236318,1
1.32,252511,1839.35,3.821579602,15.80236318,1
1.32,252511,1839.35,3.821579602,15.80236318,1
1.38,252511,1839.35,3.821579602,15.80236318,1
1.34,252511,1839.35,3.821579602,15.80236318,1
1.3,252511,1839.35,3.821579602,15.80236318,1
1.4,252511,1839.35,3.821579602,15.80236318,1
1.3,252511,1839.35,3.821579602,15.80236318,1
1.28,252511,1839.35,3.821579602,15.80236318,1
1.28,252511,1839.35,3.821579602,15.80236318,1
1.22,252511,1839.35,3.821579602,15.80236318,1
1.17,252511,1839.35,3.821579602,15.80236318,1
1.24,252511,1839.35,3.821579602,15.80236318,1
1.3,252511,1839.35,3.821579602,15.80236318,1
1.32,252511,1839.35,3.821579602,15.80236318,1
1.28,252511,1839.35,3.821579602,15.80236318,1
1.16,252511,1839.35,3.821579602,15.80236318,1
1.17,252511,1839.35,3.821579602,15.80236318,1
1.76,264060.84,1909.05,4.307142857,16.2907443,1
1.89,264060.84,1909.05,4.307142857,16.2907443,1
1.82,264060.84,1909.05,4.307142857,16.2907443,1
1.89,264060.84,1909.05,4.307142857,16.2907443,1
1.82,264060.84,1909.05,4.307142857,16.2907443,1
1.83,264060.84,1909.05,4.307142857,16.2907443,1
1.63,264060.84,1909.05,4.307142857,16.2907443,1
1.76,264060.84,1909.05,4.307142857,16.2907443,1
1.85,264060.84,1909.05,4.307142857,16.2907443,1
1.78,264060.84,1909.05,4.307142857,16.2907443,1
1.88,264060.84,1909.05,4.307142857,16.2907443,1
1.8,264060.84,1909.05,4.307142857,16.2907443,1
1.75,264060.84,1909.05,4.307142857,16.2907443,1
1.7,264060.84,1909.05,4.307142857,16.2907443,1
1.69,264060.84,1909.05,4.307142857,16.2907443,1
1.78,264060.84,1909.05,4.307142857,16.2907443,1
1.76,264060.84,1909.05,4.307142857,16.2907443,1
1.72,264060.84,1909.05,4.307142857,16.2907443,1
1.74,264060.84,1909.05,4.307142857,16.2907443,1
1.7,264060.84,1909.05,4.307142857,16.2907443,1
1.7,264060.84,1909.05,4.307142857,16.2907443,1
1.75,264060.84,1909.05,4.307142857,16.2907443,1
1.71,264060.84,1909.05,4.307142857,16.2907443,1
1.72,264060.84,1909.05,4.307142857,16.2907443,1
1.72,264060.84,1909.05,4.307142857,16.2907443,1
1.61,264060.84,1909.05,4.307142857,16.2907443,1
1.8,264060.84,1909.05,4.307142857,16.2907443,1
1.74,264060.84,1909.05,4.307142857,16.2907443,1
1.66,264060.84,1909.05,4.307142857,16.2907443,1
1.67,264060.84,1909.05,4.307142857,16.2907443,1
1.68,264060.84,1909.05,4.307142857,16.2907443,1
0.78,285497.24,1966.28,4.743483146,16.88673034,0
