Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
1.83,119088.87,770.43,2.766718346,15.54416021,1
1.81,119088.87,770.43,2.766718346,15.54416021,1
1.75,119088.87,770.43,2.766718346,15.54416021,1
1.69,119088.87,770.43,2.766718346,15.54416021,1
1.81,119088.87,770.43,2.766718346,15.54416021,1
1.75,119088.87,770.43,2.766718346,15.54416021,1
1.67,119088.87,770.43,2.766718346,15.54416021,1
1.68,119088.87,770.43,2.766718346,15.54416021,1
1.76,119088.87,770.43,2.766718346,15.54416021,1
1.68,119088.87,770.43,2.766718346,15.54416021,1
1.65,119088.87,770.43,2.766718346,15.54416021,1
1.61,119088.87,770.43,2.766718346,15.54416021,1
1.54,119088.87,770.43,2.766718346,15.54416021,1
1.62,119088.87,770.43,2.766718346,15.54416021,1
1.42,119088.87,770.43,2.766718346,15.54416021,1
1.85,119088.87,770.43,2.766718346,15.54416021,1
1.76,119088.87,770.43,2.766718346,15.54416021,1
1.75,119088.87,770.43,2.766718346,15.54416021,1
1.6,119088.87,770.43,2.766718346,15.54416021,1
1.61,134620.45,907.92,3.724509346,16.48799065,1
1.55,134620.45,907.92,3.724509346,16.48799065,1
1.6,134620.45,907.92,3.724509346,16.48799065,1
1.62,134620.45,907.92,3.724509346,16.48799065,1
1.56,134620.45,907.92,3.724509346,16.48799065,1
1.54,134620.45,907.92,3.724509346,16.48799065,1
1.54,134620.45,907.92,3.724509346,16.48799065,1
1.54,134620.45,907.92,3.724509346,16.48799065,1
1.52,134620.45,907.92,3.724509346,16.48799065,1
1.5,134620.45,907.92,3.724509346,16.48799065,1
1.5,134620.45,907.92,3.724509346,16.48799065,1
1.48,134620.45,907.92,3.724509346,16.48799065,1
1.55,134620.45,907.92,3.724509346,16.48799065,1
1.46,134620.45,907.92,3.724509346,16.48799065,1
1.44,134620.45,907.92,3.724509346,16.48799065,1
1.52,134620.45,907.92,3.724509346,16.48799065,1
1.55,134620.45,907.92,3.724509346,16.48799065,1
1.55,134620.45,907.92,3.724509346,16.48799065,1
1.51,134620.45,907.92,3.724509346,16.48799065,1
0.87,146151.1,924.63,4.49754386,17.34763158,1
0.88,146151.1,924.63,4.49754386,17.34763158,1
0.83,146151.1,924.63,4.49754386,17.34763158,1
0.87,146151.1,924.63,4.49754386,17.34763158,1
0.77,146151.1,924.63,4.49754386,17.34763158,1
0.81,146151.1,924.63,4.49754386,17.34763158,1
0.89,146151.1,924.63,4.49754386,17.34763158,1
0.86,146151.1,924.63,4.49754386,17.34763158,1
0.79,146151.1,924.63,4.49754386,17.34763158,1
0.81,146151.1,924.63,4.49754386,17.34763158,1
0.81,146151.1,924.63,4.49754386,17.34763158,1
0.75,146151.1,924.63,4.49754386,17.34763158,0
0.75,146151.1,924.63,4.49754386,17.34763158,0
