Yield (tons/acre),Time Since Sown (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
2.17,1104,337149.01,1912.09,0.88358371,11.96707692
2.18,1104,337149.01,1912.09,0.88358371,11.96707692
2.25,1104,337149.01,1912.09,0.88358371,11.96707692
2.24,1104,337149.01,1912.09,0.88358371,11.96707692
1.96,1104,337149.01,1912.09,0.88358371,11.96707692
2.08,1104,337149.01,1912.09,0.88358371,11.96707692
2.06,1104,337149.01,1912.09,0.88358371,11.96707692
2.08,1104,337149.01,1912.09,0.88358371,11.96707692
1.97,1104,337149.01,1912.09,0.88358371,11.96707692
2.01,1104,337149.01,1912.09,0.88358371,11.96707692
1.91,1104,337149.01,1912.09,0.88358371,11.96707692
1.98,1104,337149.01,1912.09,0.88358371,11.96707692
1.95,1104,337149.01,1912.09,0.88358371,11.96707692
1.93,1104,337149.01,1912.09,0.88358371,11.96707692
1.84,1104,337149.01,1912.09,0.88358371,11.96707692
1.97,1104,337149.01,1912.09,0.88358371,11.96707692
1.96,1104,337149.01,1912.09,0.88358371,11.96707692
1.89,1104,337149.01,1912.09,0.88358371,11.96707692
1.78,1104,337149.01,1912.09,0.88358371,11.96707692
1.77,1104,337149.01,1912.09,0.88358371,11.96707692
1.94,1104,337149.01,1912.09,0.88358371,11.96707692
1.77,1104,337149.01,1912.09,0.88358371,11.96707692
1.85,1104,337149.01,1912.09,0.88358371,11.96707692
1.76,1104,337149.01,1912.09,0.88358371,11.96707692
1.75,1104,337149.01,1912.09,0.88358371,11.96707692
1.8,1104,337149.01,1912.09,0.88358371,11.96707692
1.66,1104,337149.01,1912.09,0.88358371,11.96707692
1.73,1104,337149.01,1912.09,0.88358371,11.96707692
2.16,1147,353400.81,2096.85,1.373266551,12.48047038
2.14,1147,353400.81,2096.85,1.373266551,12.48047038
1.94,1147,353400.81,2096.85,1.373266551,12.48047038
1.91,1147,353400.81,2096.85,1.373266551,12.48047038
2,1147,353400.81,2096.85,1.373266551,12.48047038
1.92,1147,353400.81,2096.85,1.373266551,12.48047038
1.9,1147,353400.81,2096.85,1.373266551,12.48047038
1.89,1147,353400.81,2096.85,1.373266551,12.48047038
1.96,1147,353400.81,2096.85,1.373266551,12.48047038
1.92,1147,353400.81,2096.85,1.373266551,12.48047038
1.9,1147,353400.81,2096.85,1.373266551,12.48047038
1.86,1147,353400.81,2096.85,1.373266551,12.48047038
1.87,1147,353400.81,2096.85,1.373266551,12.48047038
1.82,1147,353400.81,2096.85,1.373266551,12.48047038
1.91,1147,353400.81,2096.85,1.373266551,12.48047038
1.87,1147,353400.81,2096.85,1.373266551,12.48047038
1.82,1147,353400.81,2096.85,1.373266551,12.48047038
1.74,1147,353400.81,2096.85,1.373266551,12.48047038
1.76,1147,353400.81,2096.85,1.373266551,12.48047038
1.83,1147,353400.81,2096.85,1.373266551,12.48047038
1.65,1147,353400.81,2096.85,1.373266551,12.48047038
1.79,1147,353400.81,2096.85,1.373266551,12.48047038
1.72,1147,353400.81,2096.85,1.373266551,12.48047038
1.81,1147,353400.81,2096.85,1.373266551,12.48047038
1.75,1147,353400.81,2096.85,1.373266551,12.48047038
1.75,1147,353400.81,2096.85,1.373266551,12.48047038
1.44,1147,353400.81,2096.85,1.373266551,12.48047038
1.65,1147,353400.81,2096.85,1.373266551,12.48047038
0.83,1180,366100.83,2151.68,1.780211685,12.92289585
0.82,1180,366100.83,2151.68,1.780211685,12.92289585
0.8,1180,366100.83,2151.68,1.780211685,12.92289585
0.81,1180,366100.83,2151.68,1.780211685,12.92289585
0.96,1180,366100.83,2151.68,1.780211685,12.92289585
0.84,1180,366100.83,2151.68,1.780211685,12.92289585
0.82,1180,366100.83,2151.68,1.780211685,12.92289585
0.8,1180,366100.83,2151.68,1.780211685,12.92289585
0.84,1180,366100.83,2151.68,1.780211685,12.92289585
0.81,1180,366100.83,2151.68,1.780211685,12.92289585
0.86,1180,366100.83,2151.68,1.780211685,12.92289585
0.82,1180,366100.83,2151.68,1.780211685,12.92289585
0.76,1180,366100.83,2151.68,1.780211685,12.92289585
0.78,1180,366100.83,2151.68,1.780211685,12.92289585
0.79,1180,366100.83,2151.68,1.780211685,12.92289585
0.67,1180,366100.83,2151.68,1.780211685,12.92289585
0.72,1180,366100.83,2151.68,1.780211685,12.92289585
0.79,1180,366100.83,2151.68,1.780211685,12.92289585
0.84,1180,366100.83,2151.68,1.780211685,12.92289585
0.72,1180,366100.83,2151.68,1.780211685,12.92289585
0.71,1180,366100.83,2151.68,1.780211685,12.92289585
0.7,1180,366100.83,2151.68,1.780211685,12.92289585
0.69,1180,366100.83,2151.68,1.780211685,12.92289585
0.69,1180,366100.83,2151.68,1.780211685,12.92289585
0.74,1180,366100.83,2151.68,1.780211685,12.92289585
0.63,1180,366100.83,2151.68,1.780211685,12.92289585
0.5,1180,366100.83,2151.68,1.780211685,12.92289585
0.78,1180,366100.83,2151.68,1.780211685,12.92289585
1.39,397,125739.42,613.89,2.151532663,14.82198492
1.4,397,125739.42,613.89,2.151532663,14.82198492
1.37,397,125739.42,613.89,2.151532663,14.82198492
1.34,397,125739.42,613.89,2.151532663,14.82198492
1.34,397,125739.42,613.89,2.151532663,14.82198492
1.29,397,125739.42,613.89,2.151532663,14.82198492
1.31,397,125739.42,613.89,2.151532663,14.82198492
1.4,397,125739.42,613.89,2.151532663,14.82198492
1.32,397,125739.42,613.89,2.151532663,14.82198492
1.31,397,125739.42,613.89,2.151532663,14.82198492
1.22,397,125739.42,613.89,2.151532663,14.82198492
1.26,397,125739.42,613.89,2.151532663,14.82198492
1.23,397,125739.42,613.89,2.151532663,14.82198492
1.3,397,125739.42,613.89,2.151532663,14.82198492
1.23,397,125739.42,613.89,2.151532663,14.82198492
1.29,397,125739.42,613.89,2.151532663,14.82198492
1.33,397,125739.42,613.89,2.151532663,14.82198492
1.22,397,125739.42,613.89,2.151532663,14.82198492
1.24,397,125739.42,613.89,2.151532663,14.82198492
1.24,397,125739.42,613.89,2.151532663,14.82198492
1.12,397,125739.42,613.89,2.151532663,14.82198492
1.08,397,125739.42,613.89,2.151532663,14.82198492
1.29,397,125739.42,613.89,2.151532663,14.82198492
1.24,397,125739.42,613.89,2.151532663,14.82198492
1.12,397,125739.42,613.89,2.151532663,14.82198492
1.06,397,125739.42,613.89,2.151532663,14.82198492
1.31,397,125739.42,613.89,2.151532663,14.82198492
1.21,397,125739.42,613.89,2.151532663,14.82198492
1.2,397,125739.42,613.89,2.151532663,14.82198492
1.33,397,125739.42,613.89,2.151532663,14.82198492
1.03,397,125739.42,613.89,2.151532663,14.82198492
1.2,435,140522.38,705.84,2.961513761,15.59614679
1.15,435,140522.38,705.84,2.961513761,15.59614679
1.24,435,140522.38,705.84,2.961513761,15.59614679
1.22,435,140522.38,705.84,2.961513761,15.59614679
1.17,435,140522.38,705.84,2.961513761,15.59614679
1.19,435,140522.38,705.84,2.961513761,15.59614679
1.18,435,140522.38,705.84,2.961513761,15.59614679
1.14,435,140522.38,705.84,2.961513761,15.59614679
1.14,435,140522.38,705.84,2.961513761,15.59614679
1.16,435,140522.38,705.84,2.961513761,15.59614679
1.18,435,140522.38,705.84,2.961513761,15.59614679
1.13,435,140522.38,705.84,2.961513761,15.59614679
1.12,435,140522.38,705.84,2.961513761,15.59614679
1.12,435,140522.38,705.84,2.961513761,15.59614679
1.09,435,140522.38,705.84,2.961513761,15.59614679
1.16,435,140522.38,705.84,2.961513761,15.59614679
1.14,435,140522.38,705.84,2.961513761,15.59614679
1.15,435,140522.38,705.84,2.961513761,15.59614679
1.11,435,140522.38,705.84,2.961513761,15.59614679
1.23,435,140522.38,705.84,2.961513761,15.59614679
1.13,435,140522.38,705.84,2.961513761,15.59614679
1.12,435,140522.38,705.84,2.961513761,15.59614679
1.03,435,140522.38,705.84,2.961513761,15.59614679
1.07,435,140522.38,705.84,2.961513761,15.59614679
1.08,435,140522.38,705.84,2.961513761,15.59614679
1,435,140522.38,705.84,2.961513761,15.59614679
1.19,435,140522.38,705.84,2.961513761,15.59614679
1.23,435,140522.38,705.84,2.961513761,15.59614679
1.13,435,140522.38,705.84,2.961513761,15.59614679
1.11,435,140522.38,705.84,2.961513761,15.59614679
1.07,435,140522.38,705.84,2.961513761,15.59614679
1.55,462,150715.7,767.14,3.700669546,16.26632829
1.55,462,150715.7,767.14,3.700669546,16.26632829
1.48,462,150715.7,767.14,3.700669546,16.26632829
1.44,462,150715.7,767.14,3.700669546,16.26632829
1.58,462,150715.7,767.14,3.700669546,16.26632829
1.5,462,150715.7,767.14,3.700669546,16.26632829
1.54,462,150715.7,767.14,3.700669546,16.26632829
1.43,462,150715.7,767.14,3.700669546,16.26632829
1.52,462,150715.7,767.14,3.700669546,16.26632829
1.4,462,150715.7,767.14,3.700669546,16.26632829
1.47,462,150715.7,767.14,3.700669546,16.26632829
1.44,462,150715.7,767.14,3.700669546,16.26632829
1.54,462,150715.7,767.14,3.700669546,16.26632829
1.42,462,150715.7,767.14,3.700669546,16.26632829
1.48,462,150715.7,767.14,3.700669546,16.26632829
1.52,462,150715.7,767.14,3.700669546,16.26632829
1.39,462,150715.7,767.14,3.700669546,16.26632829
1.48,462,150715.7,767.14,3.700669546,16.26632829
1.45,462,150715.7,767.14,3.700669546,16.26632829
1.53,462,150715.7,767.14,3.700669546,16.26632829
1.41,462,150715.7,767.14,3.700669546,16.26632829
1.52,462,150715.7,767.14,3.700669546,16.26632829
1.49,462,150715.7,767.14,3.700669546,16.26632829
1.43,462,150715.7,767.14,3.700669546,16.26632829
1.45,462,150715.7,767.14,3.700669546,16.26632829
1.44,462,150715.7,767.14,3.700669546,16.26632829
1.57,462,150715.7,767.14,3.700669546,16.26632829
1.56,462,150715.7,767.14,3.700669546,16.26632829
1.47,462,150715.7,767.14,3.700669546,16.26632829
1.45,462,150715.7,767.14,3.700669546,16.26632829
1.35,462,150715.7,767.14,3.700669546,16.26632829
0.61,495,150715.7,767.14,3.700669546,16.26632829
0.61,495,163396.05,812.52,4.430141129,17.02935484
0.67,495,163396.05,812.52,4.430141129,17.02935484
0.57,495,163396.05,812.52,4.430141129,17.02935484
0.61,495,163396.05,812.52,4.430141129,17.02935484
0.6,495,163396.05,812.52,4.430141129,17.02935484
0.68,495,163396.05,812.52,4.430141129,17.02935484
0.6,495,163396.05,812.52,4.430141129,17.02935484
0.6,495,163396.05,812.52,4.430141129,17.02935484
0.61,495,163396.05,812.52,4.430141129,17.02935484
0.54,495,163396.05,812.52,4.430141129,17.02935484
0.56,495,163396.05,812.52,4.430141129,17.02935484
0.56,495,163396.05,812.52,4.430141129,17.02935484
0.55,495,163396.05,812.52,4.430141129,17.02935484
0.53,495,163396.05,812.52,4.430141129,17.02935484
0.63,495,163396.05,812.52,4.430141129,17.02935484
0.63,495,163396.05,812.52,4.430141129,17.02935484
0.52,495,163396.05,812.52,4.430141129,17.02935484
0.53,495,163396.05,812.52,4.430141129,17.02935484
0.63,495,163396.05,812.52,4.430141129,17.02935484
0.55,495,163396.05,812.52,4.430141129,17.02935484
0.6,495,163396.05,812.52,4.430141129,17.02935484
0.55,495,163396.05,812.52,4.430141129,17.02935484
0.52,495,163396.05,812.52,4.430141129,17.02935484
0.6,495,163396.05,812.52,4.430141129,17.02935484
0.59,495,163396.05,812.52,4.430141129,17.02935484
0.63,495,163396.05,812.52,4.430141129,17.02935484
0.6,495,163396.05,812.52,4.430141129,17.02935484
0.56,495,163396.05,812.52,4.430141129,17.02935484
0.53,495,163396.05,812.52,4.430141129,17.02935484
0.54,495,163396.05,812.52,4.430141129,17.02935484
2.04,419,133284.65,651.64,2.107547619,14.70492857
1.91,419,133284.65,651.64,2.107547619,14.70492857
1.86,419,133284.65,651.64,2.107547619,14.70492857
1.91,419,133284.65,651.64,2.107547619,14.70492857
1.92,419,133284.65,651.64,2.107547619,14.70492857
1.9,419,133284.65,651.64,2.107547619,14.70492857
1.94,419,133284.65,651.64,2.107547619,14.70492857
1.88,419,133284.65,651.64,2.107547619,14.70492857
1.91,419,133284.65,651.64,2.107547619,14.70492857
1.84,419,133284.65,651.64,2.107547619,14.70492857
1.92,419,133284.65,651.64,2.107547619,14.70492857
1.76,419,133284.65,651.64,2.107547619,14.70492857
2.01,419,133284.65,651.64,2.107547619,14.70492857
1.83,419,133284.65,651.64,2.107547619,14.70492857
1.77,419,133284.65,651.64,2.107547619,14.70492857
1.83,419,133284.65,651.64,2.107547619,14.70492857
1.78,419,133284.65,651.64,2.107547619,14.70492857
1.7,419,133284.65,651.64,2.107547619,14.70492857
1.79,419,133284.65,651.64,2.107547619,14.70492857
1.65,419,133284.65,651.64,2.107547619,14.70492857
1.81,419,133284.65,651.64,2.107547619,14.70492857
1.7,419,133284.65,651.64,2.107547619,14.70492857
1.73,419,133284.65,651.64,2.107547619,14.70492857
1.65,419,133284.65,651.64,2.107547619,14.70492857
1.81,419,133284.65,651.64,2.107547619,14.70492857
1.64,419,133284.65,651.64,2.107547619,14.70492857
