Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C),Class
1.82,123423.86,1337.73,4.908186398,15.92521411,1
1.49,123423.86,1337.73,4.908186398,15.92521411,1
1.5,123423.86,1337.73,4.908186398,15.92521411,1
1.62,123423.86,1337.73,4.908186398,15.92521411,1
1.56,123423.86,1337.73,4.908186398,15.92521411,1
1.35,123423.86,1337.73,4.908186398,15.92521411,1
1.52,123423.86,1337.73,4.908186398,15.92521411,1
1.67,123423.86,1337.73,4.908186398,15.92521411,1
1.48,123423.86,1337.73,4.908186398,15.92521411,1
1.59,123423.86,1337.73,4.908186398,15.92521411,1
1.43,123423.86,1337.73,4.908186398,15.92521411,1
1.82,137167.69,1492.35,5.751224018,16.81512702,1
1.67,137167.69,1492.35,5.751224018,16.81512702,1
1.53,137167.69,1492.35,5.751224018,16.81512702,1
1.62,137167.69,1492.35,5.751224018,16.81512702,1
1.55,137167.69,1492.35,5.751224018,16.81512702,1
1.62,137167.69,1492.35,5.751224018,16.81512702,1
1.72,137167.69,1492.35,5.751224018,16.81512702,1
1.55,137167.69,1492.35,5.751224018,16.81512702,1
1.52,137167.69,1492.35,5.751224018,16.81512702,1
1.61,137167.69,1492.35,5.751224018,16.81512702,1
1.51,137167.69,1492.35,5.751224018,16.81512702,1
1.7,150535.07,1588.49,6.662141328,17.8230621,1
1.87,150535.07,1588.49,6.662141328,17.8230621,1
1.77,150535.07,1588.49,6.662141328,17.8230621,1
1.74,150535.07,1588.49,6.662141328,17.8230621,1
1.75,150535.07,1588.49,6.662141328,17.8230621,1
1.79,150535.07,1588.49,6.662141328,17.8230621,1
1.57,150535.07,1588.49,6.662141328,17.8230621,1
1.6,150535.07,1588.49,6.662141328,17.8230621,1
1.63,150535.07,1588.49,6.662141328,17.8230621,1
1.54,150535.07,1588.49,6.662141328,17.8230621,1
1.43,150535.07,1588.49,6.662141328,17.8230621,1
1.03,163156.29,1737.05,7.308670635,18.48071429,0
1.03,163156.29,1737.05,7.308670635,18.48071429,0
0.93,163156.29,1737.05,7.308670635,18.48071429,0
1.01,163156.29,1737.05,7.308670635,18.48071429,0
0.95,163156.29,1737.05,7.308670635,18.48071429,0
0.99,163156.29,1737.05,7.308670635,18.48071429,0
0.94,163156.29,1737.05,7.308670635,18.48071429,0
0.91,163156.29,1737.05,7.308670635,18.48071429,0
0.95,163156.29,1737.05,7.308670635,18.48071429,0
0.9,163156.29,1737.05,7.308670635,18.48071429,0
0.75,163156.29,1737.05,7.308670635,18.48071429,0
2.18,234032.19,2480.13,5.634646597,16.6852356,2
2.21,234032.19,2480.13,5.634646597,16.6852356,2
2.28,234032.19,2480.13,5.634646597,16.6852356,2
2.17,234032.19,2480.13,5.634646597,16.6852356,2
2.29,234032.19,2480.13,5.634646597,16.6852356,2
2.29,234032.19,2480.13,5.634646597,16.6852356,2
2.06,234032.19,2480.13,5.634646597,16.6852356,2
2.09,234032.19,2480.13,5.634646597,16.6852356,2
2.2,234032.19,2480.13,5.634646597,16.6852356,2
2.18,234032.19,2480.13,5.634646597,16.6852356,2
2.2,234032.19,2480.13,5.634646597,16.6852356,2
