index,yield,radiation,rain,avg_min_temp,avg_max_temp,class
1,1.573333333,66026.81,556.68,4.374190476,17.84271429,2
2,0.4675,84870.36,629.6,6.443607843,20.00980392,0
3,0.1,110686.41,863.19,9.254660494,22.63450617,0
4,0.6825,142392.22,1096.93,9.254184397,22.43631206,1
5,1.27,190061.05,1717.08,7.982595819,20.95221254,1
6,1.1525,210582.13,1805.07,8.777984,21.652656,1
7,0.9775,227123.42,1860.39,9.44984985,22.31597598,1
8,0.934166667,239368.93,1943.17,9.901173104,22.71137339,1
9,1.439166667,329129.06,3362.84,9.164704082,21.64185714,1
10,1.155,339768.02,3442.76,9.480168818,21.95839126,1
11,2.323333333,352858.22,3622.23,9.963339713,22.38644019,2
12,0.626666667,382322.31,3839.32,10.23451699,22.79280859,1
