index,yield,radiation,rain,avg_min_temp,avg_max_temp,class
1,-0.185,202345.7,2548.28,4.757268446,16.54532182,2
2,0.11,215294.02,2702.79,5.199910448,16.99952239,1
3,0.059285714,229973.78,2785.99,5.837567185,17.6454314,1
4,-0.301428571,240824.79,2940.14,6.246358696,18.03110054,0
5,-0.070714286,320532.11,4018,5.259600798,16.91409182,2
6,0.054285714,333561.34,4108.03,5.549054054,17.20427606,2
7,0.096428571,345167.3,4455.01,5.989318394,17.58077498,1
8,0.315714286,356160.04,4557,6.304030937,17.88703367,1
9,0.275714286,434973.06,5427.36,6.058524709,17.669375,2
10,-0.13,448219.9,5618.81,6.184371429,17.80292857,2
11,-0.032142857,460993.66,5737.2,6.470251046,18.08971409,1
12,-0.046428571,473698.52,5906.52,6.824013605,18.4067619,1
13,-0.147857143,548649.17,6565.77,6.612161066,18.27568946,2
14,-0.095714286,562641.64,6712.69,6.723901193,18.40158433,1
15,-0.24,574720.2,6908.78,6.906268823,18.57803123,1
16,-0.19,587096.62,6998.66,7.094407895,18.7636568,0
17,-0.865714286,669239.22,8065.33,6.64610767,18.31966651,0
18,-0.071428571,681351.4,8262.61,6.802167996,18.47443923,1
19,-0.227142857,691869.47,8399.32,6.974375,18.636625,0
20,-0.137857143,704673.2,8573.85,7.148669098,18.8006062,0
