,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Class,Avg Yield,STD,Num STDs,,,
182,South Dakota,Watertown,5/22/1996,Bounty,6/1/1999,152,2.17,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.941140734,1.937142857,2,1.937142857
210,South Dakota,Watertown,5/22/1996,Bounty,7/14/1999,195,2.16,1147,43,353400.81,2096.85,,1.373266551,12.48047038,2,1.483264563,0.729684108,0.927436173,1.845714286,1,1.845714286
238,South Dakota,Watertown,5/22/1996,Bounty,8/16/1999,228,0.83,1180,33,366100.83,2151.68,,1.780211685,12.92289585,0,1.483264563,0.729684108,-0.895270372,0.768571429,0,0.768571429
422,South Dakota,Watertown,4/23/1999,Ciba 2888,5/24/2000,145,1.39,397,0,125739.42,613.89,,2.151532663,14.82198492,1,1.483264563,0.729684108,-0.127814985,1.258709677,1,1.258709677
453,South Dakota,Watertown,4/23/1999,Ciba 2888,7/1/2000,183,1.2,435,38,140522.38,705.84,,2.961513761,15.59614679,1,1.483264563,0.729684108,-0.388201634,1.141290323,1,1.141290323
484,South Dakota,Watertown,4/23/1999,Ciba 2888,7/28/2000,210,1.55,462,27,150715.7,767.14,,3.700669546,16.26632829,1,1.483264563,0.729684108,0.091457983,1.479032258,1,1.479032258
515,South Dakota,Watertown,4/23/1999,Ciba 2888,8/30/2000,243,0.61,495,33,150715.7,767.14,,3.700669546,16.26632829,0,1.483264563,0.729684108,-1.196770703,0.584193548,0,0.584193548
546,South Dakota,Watertown,4/3/1999,ABT 350,5/26/2000,147,2.04,419,0,133284.65,651.64,,2.107547619,14.70492857,2,1.483264563,0.729684108,0.762981447,1.815555556,1,1.815555556
573,South Dakota,Watertown,4/3/1999,ABT 350,7/7/2000,189,1.32,461,42,149682.73,751.4,,3.060238095,15.6184632,1,1.483264563,0.729684108,-0.223746908,1.248518519,1,1.248518519
600,South Dakota,Watertown,4/3/1999,ABT 350,8/3/2000,216,0.77,488,27,160190.33,806.56,,3.714764826,16.23828221,0,1.483264563,0.729684108,-0.977497735,0.741111111,0,0.741111111
763,South Dakota,Watertown,4/3/1999,ABT 350,5/31/2001,151,1.76,788,300,246746.81,1309.28,,0.858973384,12.94301648,1,1.483264563,0.729684108,0.379253754,1.597037037,1,1.597037037
790,South Dakota,Watertown,4/3/1999,ABT 350,7/9/2001,190,1.58,827,39,262372.13,1420.14,,1.447246377,13.54721014,1,1.483264563,0.729684108,0.132571665,1.570740741,1,1.570740741
817,South Dakota,Watertown,4/3/1999,ABT 350,8/6/2001,218,0.92,855,28,272117.2,1539.15,,2.00963785,14.09200935,0,1.483264563,0.729684108,-0.771929328,0.917407407,0,0.917407407
919,South Dakota,Watertown,4/23/1999,Rebound 4.2,6/4/2002,155,0.88,1137,642,354369.49,1820.67,,0.982671353,13.07183656,0,1.483264563,0.729684108,-0.82674757,0.75,0,0.75
939,South Dakota,Watertown,4/23/1999,Rebound 4.2,7/9/2002,190,1.37,1172,35,367966.78,1881.23,,1.439147485,13.54477408,1,1.483264563,0.729684108,-0.155224106,1.262,1,1.262
959,South Dakota,Watertown,4/23/1999,Rebound 4.2,8/18/2002,230,1.2,1212,40,383076.54,1964.08,,1.89653751,14.02158285,1,1.483264563,0.729684108,-0.388201634,1.2095,1,1.2095
979,South Dakota,Watertown,5/3/2001,WL327,6/4/2002,155,0.58,397,0,125591,620.06,,1.750904523,13.77364322,0,1.483264563,0.729684108,-1.237884385,0.489333333,0,0.489333333
994,South Dakota,Watertown,5/3/2001,WL327,7/9/2002,190,0.63,432,35,139188.29,680.62,,2.925404157,14.99810624,0,1.483264563,0.729684108,-1.169361582,0.535333333,0,0.535333333
1009,South Dakota,Watertown,5/3/2001,WL327,8/18/2002,230,0.64,472,40,154298.05,763.47,,3.972684989,16.0979704,0,1.483264563,0.729684108,-1.155657022,0.554,0,0.554
1128,South Dakota,Watertown,5/3/2001,WL327,6/13/2003,164,1.99,771,299,238487.34,1194.99,,1.21015544,13.1661399,2,1.483264563,0.729684108,0.694458645,1.892666667,1,1.892666667
1143,South Dakota,Watertown,5/3/2001,WL327,7/8/2003,189,0.52,796,25,248458.22,1267.22,,1.631794228,13.61200753,0,1.483264563,0.729684108,-1.320111748,0.492,0,0.492
1339,South Dakota,Watertown,5/3/2001,WL 327,6/14/2004,166,1.68,1138,342,350461.01,1677.44,,1.017269535,13.04339772,1,1.483264563,0.729684108,0.26961727,1.64,1,1.64
