index,yield,radiation,rainj,avg_min_temp,avg_max_temp,class
1,1.937142857,337149.01,1912.09,0.88358371,11.96707692,2
2,1.845714286,353400.81,2096.85,1.373266551,12.48047038,2
3,0.768571429,366100.83,2151.68,1.780211685,12.92289585,0
4,1.815555556,133284.65,651.64,2.107547619,14.70492857,2
5,1.248518519,149682.73,751.4,3.060238095,15.6184632,1
6,0.741111111,160190.33,806.56,3.714764826,16.23828221,0
7,1.597037037,246746.81,1309.28,0.858973384,12.94301648,1
8,1.570740741,262372.13,1420.14,1.447246377,13.54721014,1
9,0.917407407,272117.2,1539.15,2.00963785,14.09200935,0
10,0.489333333,125591,620.06,1.750904523,13.77364322,0
11,0.535333333,139188.29,680.62,2.925404157,14.99810624,0
12,0.554,154298.05,763.47,3.972684989,16.0979704,0
13,1.64,350461.01,1677.44,1.017269535,13.04339772,1
14,1.4,362811.36,1745.55,1.305264957,13.32894017,1
15,1.244666667,379484.01,1804.49,1.695721352,13.74209398,1
16,2.426666667,130014.47,935.81,1.9165,13.81821429,2
17,1.688333333,140536.72,962.79,2.777331839,14.69908072,1
18,1.044166667,153823.48,1042.34,3.64035343,15.67139293,1
19,2.0525,233953.05,1438.46,1.812230869,13.44771725,2
20,1.256666667,245741.55,1491.61,2.234307116,13.91529338,1
21,0.735833333,259392.68,1528.07,2.819185629,14.61579641,0
22,1.945,344186.49,2173.55,1.390052957,13.10703442,2
23,1.199166667,356139.49,2207.57,1.738349097,13.47310404,1
24,1.2875,368985.7,2249.56,2.130510033,13.89122074,1
25,0.554166667,378891.28,2326.07,2.409893791,14.17441993,0
26,1.095,243110.45,1414.73,0.658677792,12.62358151,0
27,1.806666667,257314.59,1480.32,1.231793612,13.25460688,2
28,1.191666667,267388.53,1625.87,1.71435867,13.72896675,1
29,1.463,126821.09,795.61,-0.326393035,11.83310945,1
30,1.53,139302.23,918.79,0.777517241,12.91632184,1
31,1.13,149564.18,984.64,1.416876356,13.56492408,1
32,1.031,237556.38,1589.38,0.10843061,11.58494163,1
33,1.09,249004.2,1695.27,0.660325,12.152275,1
34,0.686,259521.12,1754.36,1.210519324,12.732657,0
35,2.065,117081.45,866.38,0.049291339,11.2583727,2
36,1.264,134762.66,1021.92,1.74967366,12.93895105,1
37,0.646,149656.52,1115.28,2.866488223,14.18235546,0
