,State,City,Date Sown,Variety,Date of Cut,Julian Day,Yield (tons/acre),Time Since Sown (Days),Time Since Last Harvest (Days),Total Radiation (W/m^2),Total Rainfall (mm),Avg Air Temp (C),Avg Min Temp (C),Avg Max Temp (C),Class,Avg Yield,STD,Num STDs,,
182,South Dakota,Watertown,5/22/1996,Bounty,6/1/1999,152,2.17,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.941140734,1.937142857,2
183,South Dakota,Watertown,5/22/1996,Alfastar,6/1/1999,152,2.18,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.954845294,,
184,South Dakota,Watertown,5/22/1996,WL 325HQ,6/1/1999,152,2.25,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,1.050777218,,
185,South Dakota,Watertown,5/22/1996,Viking I,6/1/1999,152,2.24,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,1.037072657,,
186,South Dakota,Watertown,5/22/1996,DK 127,6/1/1999,152,1.96,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.653344963,,
187,South Dakota,Watertown,5/22/1996,Ciba 2444,6/1/1999,152,2.08,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.817799689,,
188,South Dakota,Watertown,5/22/1996,ICI 631,6/1/1999,152,2.06,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.790390568,,
189,South Dakota,Watertown,5/22/1996,HayGrazer,6/1/1999,152,2.08,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.817799689,,
190,South Dakota,Watertown,5/22/1996,WL 324,6/1/1999,152,1.97,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.667049524,,
191,South Dakota,Watertown,5/22/1996,Pioneer Brand 5454,6/1/1999,152,2.01,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.721867766,,
192,South Dakota,Watertown,5/22/1996,Pioneer Brand 5312,6/1/1999,152,1.91,1104,0,337149.01,1912.09,,0.88358371,11.96707692,1,1.483264563,0.729684108,0.584822161,,
193,South Dakota,Watertown,5/22/1996,Columbia 2000,6/1/1999,152,1.98,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.680754084,,
194,South Dakota,Watertown,5/22/1996,BigHorn,6/1/1999,152,1.95,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.639640403,,
195,South Dakota,Watertown,5/22/1996,DK 122,6/1/1999,152,1.93,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.612231282,,
196,South Dakota,Watertown,5/22/1996,Riley,6/1/1999,152,1.84,1104,0,337149.01,1912.09,,0.88358371,11.96707692,1,1.483264563,0.729684108,0.488890237,,
197,South Dakota,Watertown,5/22/1996,A-395,6/1/1999,152,1.97,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.667049524,,
198,South Dakota,Watertown,5/22/1996,ICI 620,6/1/1999,152,1.96,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.653344963,,
199,South Dakota,Watertown,5/22/1996,TMF Multiplier II,6/1/1999,152,1.89,1104,0,337149.01,1912.09,,0.88358371,11.96707692,1,1.483264563,0.729684108,0.55741304,,
200,South Dakota,Watertown,5/22/1996,Rainier,6/1/1999,152,1.78,1104,0,337149.01,1912.09,,0.88358371,11.96707692,1,1.483264563,0.729684108,0.406662875,,
201,South Dakota,Watertown,5/22/1996,WL 252HQ,6/1/1999,152,1.77,1104,0,337149.01,1912.09,,0.88358371,11.96707692,1,1.483264563,0.729684108,0.392958314,,
202,South Dakota,Watertown,5/22/1996,Saranac AR,6/1/1999,152,1.94,1104,0,337149.01,1912.09,,0.88358371,11.96707692,2,1.483264563,0.729684108,0.625935842,,
203,South Dakota,Watertown,5/22/1996,Vernal,6/1/1999,152,1.77,1104,0,337149.01,1912.09,,0.88358371,11.96707692,1,1.483264563,0.729684108,0.392958314,,
204,South Dakota,Watertown,5/22/1996,Baker,6/1/1999,152,1.85,1104,0,337149.01,1912.09,,0.88358371,11.96707692,1,1.483264563,0.729684108,0.502594798,,
205,South Dakota,Watertown,5/22/1996,Defiant,6/1/1999,152,1.76,1104,0,337149.01,1912.09,,0.88358371,11.96707692,1,1.483264563,0.729684108,0.379253754,,
206,South Dakota,Watertown,5/22/1996,LegenDairy 2.0,6/1/1999,152,1.75,1104,0,337149.01,1912.09,,0.88358371,11.96707692,1,1.483264563,0.729684108,0.365549193,,
207,South Dakota,Watertown,5/22/1996,ABT 205,6/1/1999,152,1.8,1104,0,337149.01,1912.09,,0.88358371,11.96707692,1,1.483264563,0.729684108,0.434071995,,
208,South Dakota,Watertown,5/22/1996,Travois,6/1/1999,152,1.66,1104,0,337149.01,1912.09,,0.88358371,11.96707692,1,1.483264563,0.729684108,0.242208149,,
209,South Dakota,Watertown,5/22/1996,SDFB,6/1/1999,152,1.73,1104,0,337149.01,1912.09,,0.88358371,11.96707692,1,1.483264563,0.729684108,0.338140072,,
210,South Dakota,Watertown,5/22/1996,Bounty,7/14/1999,195,2.16,1147,43,353400.81,2096.85,,1.373266551,12.48047038,2,1.483264563,0.729684108,0.927436173,1.845714286,1
211,South Dakota,Watertown,5/22/1996,Alfastar,7/14/1999,195,2.14,1147,43,353400.81,2096.85,,1.373266551,12.48047038,2,1.483264563,0.729684108,0.900027052,,
212,South Dakota,Watertown,5/22/1996,WL 325HQ,7/14/1999,195,1.94,1147,43,353400.81,2096.85,,1.373266551,12.48047038,2,1.483264563,0.729684108,0.625935842,,
213,South Dakota,Watertown,5/22/1996,Viking I,7/14/1999,195,1.91,1147,43,353400.81,2096.85,,1.373266551,12.48047038,1,1.483264563,0.729684108,0.584822161,,
214,South Dakota,Watertown,5/22/1996,DK 127,7/14/1999,195,2,1147,43,353400.81,2096.85,,1.373266551,12.48047038,2,1.483264563,0.729684108,0.708163205,,
