index,yield,radiation,rain,avg_min_temp,avg_max_temp,class
1,1.548181818,123423.86,1337.73,4.908186398,15.92521411,1
2,1.610909091,137167.69,1492.35,5.751224018,16.81512702,1
3,1.671818182,150535.07,1588.49,6.662141328,17.8230621,1
4,0.944545455,163156.29,1737.05,7.308670635,18.48071429,0
5,2.195454545,234032.19,2480.13,5.634646597,16.6852356,2
6,1.677272727,247409.88,2548.6,5.983312422,17.1282936,1
7,0.944545455,259801.52,2627.47,6.807773019,17.95650964,0
8,1.018181818,273619.11,2756.71,6.818754325,18.14455594,0
9,2.325454545,346264.32,3416.84,5.371927498,16.49879752,2
10,1.826363636,358088.32,3598.84,5.649347639,16.77893562,1
11,1.582727273,371244.15,3780.14,5.976935887,17.08483764,1
12,1.208181818,384907.74,3832.34,6.210857605,17.36054207,1
13,2.213,127496.57,1237.04,3.987419355,15.27359801,2
14,2.195,140010.34,1414.61,4.872036613,16.1710984,2
15,1.621,156602.97,1542.63,5.71302714,17.02663883,1
16,1.358,165651.16,1614.6,6.197003968,17.5355754,1
17,2.608666667,240727.78,2155.61,3.807428198,14.94236292,2
18,1.812,250673.04,2332.16,4.242540881,15.3531195,1
19,1.728,264792.31,2452.18,4.71713253,15.84166265,1
20,0.852,279780.39,2534.37,5.179332566,16.39226697,0
21,2.701333333,352217.36,3199.81,4.384876325,15.6335689,2
22,2.562666667,372121.27,3289.44,4.840364098,16.15087214,2
23,1.083333333,384510.74,3379.62,5.242376645,16.56509046,1
24,0.888,398400.57,3469.17,5.5192749,16.91188845,0
25,3.055333333,120654.92,1108.86,6.444035533,17.81994924,2
26,1.721333333,133530.36,1212.91,7.061194379,18.44625293,1
27,2.038,146726.56,1378.02,7.778311688,19.1375974,2
28,1.112666667,161171.53,1423.56,8.210921844,19.630501,1
29,1.664666667,233501.8,2194.04,5.513855263,16.81431579,1
30,1.723333333,247205.72,2351.24,6.029285714,17.32293233,1
31,1.886,258669.97,2432.13,6.430434258,17.73143546,1
32,1.3,271435.51,2521.06,6.890393519,18.18484954,1
