Yield (tons/acre),Total Radiation (W/m^2),Total Rainfall (mm),Avg Min Temp (C),Avg Max Temp (C)
2,120668.5,1674.51,6.559923664,16.77180662
2,120668.5,1674.51,6.559923664,16.77180662
2.6,120668.5,1674.51,6.559923664,16.77180662
2.7,120668.5,1674.51,6.559923664,16.77180662
2.3,120668.5,1674.51,6.559923664,16.77180662
2.5,120668.5,1674.51,6.559923664,16.77180662
1.3,130584.37,1840.67,7.133056872,17.32080569
1.1,130584.37,1840.67,7.133056872,17.32080569
1.3,130584.37,1840.67,7.133056872,17.32080569
1.4,130584.37,1840.67,7.133056872,17.32080569
1.2,130584.37,1840.67,7.133056872,17.32080569
1.1,130584.37,1840.67,7.133056872,17.32080569
1.5,143581.62,1933.6,7.965714286,18.24795604
1.3,143581.62,1933.6,7.965714286,18.24795604
1.4,143581.62,1933.6,7.965714286,18.24795604
1.5,143581.62,1933.6,7.965714286,18.24795604
1.4,143581.62,1933.6,7.965714286,18.24795604
1.3,143581.62,1933.6,7.965714286,18.24795604
0.7,157547.41,2013.38,8.579391481,18.96014199
0.6,157547.41,2013.38,8.579391481,18.96014199
0.6,157547.41,2013.38,8.579391481,18.96014199
0.7,157547.41,2013.38,8.579391481,18.96014199
0.7,157547.41,2013.38,8.579391481,18.96014199
0.6,157547.41,2013.38,8.579391481,18.96014199
2.9,235055.43,3272.48,5.715183246,16.21633508
2.9,235055.43,3272.48,5.715183246,16.21633508
2.8,235055.43,3272.48,5.715183246,16.21633508
2.5,235055.43,3272.48,5.715183246,16.21633508
2.4,235055.43,3272.48,5.715183246,16.21633508
2.4,235055.43,3272.48,5.715183246,16.21633508
2.5,235055.43,3272.48,5.715183246,16.21633508
2.8,235055.43,3272.48,5.715183246,16.21633508
2.5,235055.43,3272.48,5.715183246,16.21633508
2.6,235055.43,3272.48,5.715183246,16.21633508
1.4,244971.3,3438.64,6.051071879,16.52880202
1.4,244971.3,3438.64,6.051071879,16.52880202
1.3,244971.3,3438.64,6.051071879,16.52880202
1.2,244971.3,3438.64,6.051071879,16.52880202
1.2,244971.3,3438.64,6.051071879,16.52880202
1.3,244971.3,3438.64,6.051071879,16.52880202
1.4,244971.3,3438.64,6.051071879,16.52880202
1.3,244971.3,3438.64,6.051071879,16.52880202
1.5,244971.3,3438.64,6.051071879,16.52880202
1.3,244971.3,3438.64,6.051071879,16.52880202
2,257968.55,3531.57,6.552966102,17.07116223
1.8,257968.55,3531.57,6.552966102,17.07116223
1.8,257968.55,3531.57,6.552966102,17.07116223
1.6,257968.55,3531.57,6.552966102,17.07116223
1.8,257968.55,3531.57,6.552966102,17.07116223
1.8,257968.55,3531.57,6.552966102,17.07116223
1.9,257968.55,3531.57,6.552966102,17.07116223
1.8,257968.55,3531.57,6.552966102,17.07116223
2,257968.55,3531.57,6.552966102,17.07116223
1.7,257968.55,3531.57,6.552966102,17.07116223
1.2,271934.34,3611.35,6.965266204,17.52929398
